lang_iso_code,concept_id,ortho_form,raw_ipa,next_step
deu,1,Auge,aʊ̯ɡə,validate
deu,2,Ohr,oːɐ̯,validate
deu,3,Nase,naːzə,validate
deu,4,Mund,mʊnt,validate
deu,5,Zahn,t͡saːn,validate
deu,6,Zunge,t͡sʊŋə,validate
deu,7,Lippe,lɪpə,validate
deu,8,Wange,vaŋə,validate
deu,9,Gesicht,ɡəzɪçt,validate
deu,10,Stirn,ʃtɪɐ̯n,validate
deu,11,Haar,haːɐ̯,validate
deu,12,Schnurrbart,ʃnʊɐ̯baɐ̯t,validate
deu,13,Bart,baɐ̯t,validate
deu,14,Kinn,kɪn,validate
deu,15,Kiefer,kiːfɐ,validate
deu,16,Kehle,keːlə,validate
deu,17,Hals,hals,validate
deu,18,Genick,ɡeːnɪk,validate
deu,19,Kopf,kɔp͡f,validate
deu,20,Rücken,ʁʏkən,validate
deu,21,Bauch,baʊ̯χ,validate
deu,22,Nabel,naːbəl,validate
deu,23,Busen,buːzən,validate
deu,24,Brust,bʁʊst,validate
deu,25,Schulter,ʃʊltɐ,validate
deu,26,Arm,aɐ̯m,validate
deu,27,Ellenbogen,ɛlɛnboːɡən,validate
deu,28,Hand,hant,validate
deu,29,Handfläche,handflɛçə,validate
deu,30,Finger,fɪŋɐ,validate
deu,31,Fingernagel,fɪŋɛɐ̯naːɡəl,validate
deu,32,Nagel,naːɡəl,validate
deu,33,Zeh,t͡seː,validate
deu,34,Fuß,fuːs,validate
deu,35,Ferse,fɛɐ̯zə,validate
deu,36,Knie,kniː,validate
deu,37,Oberschenkel,oːbɛɐ̯ʃɛŋkəl,validate
deu,38,Bein,baɪ̯n,validate
deu,39,Körper,kœɐ̯pɐ,validate
deu,40,Haut,haʊ̯t,validate
deu,41,Blut,bluːt,validate
deu,42,Ader,aːdɐ,validate
deu,43,Sehne,zeːnə,validate
deu,44,Knochen,knɔχən,validate
deu,45,Gehirn,ɡeːhɪɐ̯n,validate
deu,46,Herz,hɛɐ̯t͡s,validate
deu,47,Magen,maːɡən,validate
deu,48,Leber,leːbɐ,validate
deu,49,Atem,aːteːm,validate
deu,50,Hunger,hʊŋɐ,validate
deu,51,Träne,tʁɛːnə,validate
deu,52,Geschmack,ɡəʃmak,validate
deu,53,Geruch,ɡeːʁuːχ,validate
deu,54,Schlaf,ʃlaːf,validate
deu,55,Traum,tʁaʊ̯m,validate
deu,56,Himmel,hɪməl,validate
deu,57,Sonne,zɔnə,validate
deu,58,Mond,mɔnt,validate
deu,59,Stern,ʃtɐn,validate
deu,60,Luft,lʊft,validate
deu,61,Wind,vɪnt,validate
deu,62,Welle,vɛlə,validate
deu,63,Wasser,vasɐ,validate
deu,64,Stein,ʃtaɪ̯n,validate
deu,65,Boden,boːdən,validate
deu,66,Erde,ɛɐ̯də,validate
deu,67,Staub,ʃtaʊ̯p,validate
deu,68,Rauch,ʁaʊ̯χ,validate
deu,69,Funke,fʊŋkə,validate
deu,70,Feuer,fɔʏ̯ɐ,validate
deu,71,Licht,lɪçt,validate
deu,72,Schatten,ʃatən,validate
deu,73,Wetter,vɛtɐ,validate
deu,74,Nebel,neːbəl,validate
deu,75,Wolke,vɔlkə,validate
deu,76,Regen,ʁeːɡən,validate
deu,77,Schnee,ʃneː,validate
deu,78,Eis,aɪ̯s,validate
deu,79,Frost,fʁɔst,validate
deu,80,Kälte,kɛltə,validate
deu,81,Hitze,hɪt͡sə,validate
deu,82,Raureif,ʁaʊ̯ʁaɪ̯f,validate
deu,83,Regenbogen,ʁeːɡɛnboːɡən,validate
deu,84,Donner,dɔnɐ,validate
deu,85,Strömung,ʃtʁøːmʊŋ,validate
deu,86,Tropfen,tʁɔp͡fən,validate
deu,87,Schaum,ʃaʊ̯m,validate
deu,88,Schmutz,ʃmʊt͡s,validate
deu,89,See,zeː,validate
deu,90,Sumpf,zʊmp͡f,validate
deu,91,Moor,moːɐ̯,validate
deu,92,Wiese,viːzə,validate
deu,93,Wald,valt,validate
deu,94,Hügel,hyːɡəl,validate
deu,95,Anhöhe,anhøːhə,validate
deu,96,Berg,bɛɐ̯k,validate
deu,97,Gipfel,ɡɪp͡fəl,validate
deu,98,Höhle,høːlə,validate
deu,99,Abhang,abhaŋ,validate
deu,100,Quelle,kwɛlə,validate
deu,101,Bach,baχ,validate
deu,102,Fluss,flʊs,validate
deu,103,Ufer,uːfɐ,validate
deu,104,Küste,kʏstə,validate
deu,105,Festland,fɛstlant,validate
deu,106,Meer,meːɐ̯,validate
deu,107,Bucht,bʊχt,validate
deu,108,Insel,ɪnzəl,validate
deu,109,Blume,bluːmə,validate
deu,110,Gras,ɡʁaːs,validate
deu,111,Wurzel,vʊɐ̯t͡səl,validate
deu,112,Baum,baʊ̯m,validate
deu,113,Stamm,ʃtam,validate
deu,114,Rinde,ʁɪndə,validate
deu,115,Ast,ast,validate
deu,116,Zweig,t͡svaɪ̯k,validate
deu,117,Blatt,blat,validate
deu,118,Birke,bɪɐ̯kə,validate
deu,119,Kiefer,kiːfɐ,validate
deu,120,Weide,vaɪ̯də,validate
deu,121,Tanne,tanə,validate
deu,122,Horn,hɔɐ̯n,validate
deu,123,Feder,feːdɐ,validate
deu,124,Fell,fɛl,validate
deu,125,Flügel,flyːɡəl,validate
deu,126,Klaue,klaʊ̯ə,validate
deu,127,Kralle,kʁalə,validate
deu,128,Schwanz,ʃvant͡s,validate
deu,129,Ei,aɪ̯,validate
deu,130,Nest,nɛst,validate
deu,131,Bau,baʊ̯,validate
deu,132,Tier,tiːɐ̯,validate
deu,133,Herde,hɛɐ̯də,validate
deu,134,Kuh,kuː,validate
deu,135,Bulle,bʊlə,validate
deu,136,Pferd,p͡fɛɐ̯t,validate
deu,137,Schaf,ʃaːf,validate
deu,138,Schwein,ʃvaɪ̯n,validate
deu,139,Hund,hʊnt,validate
deu,140,Katze,kat͡sə,validate
deu,141,Bär,bɛːɐ̯,validate
deu,142,Eichhörnchen,aɪ̯çhœɐ̯nçən,validate
deu,143,Elch,ɛlç,validate
deu,144,Fuchs,fʊks,validate
deu,145,Hase,haːzə,validate
deu,146,Maus,maʊ̯s,validate
deu,147,Wolf,vɔlf,validate
deu,148,Vogel,foːɡəl,validate
deu,149,Schwarm,ʃvaɐ̯m,validate
deu,150,Huhn,huːn,validate
deu,151,Hahn,haːn,validate
deu,152,Gans,ɡans,validate
deu,153,Adler,adlɐ,validate
deu,154,Ente,ɛntə,validate
deu,155,Eule,ɔʏ̯lə,validate
deu,156,Kranich,kʁaːnɪç,validate
deu,157,Krähe,kʁɛːhə,validate
deu,158,Kuckuck,kʊkʊk,validate
deu,159,Schwan,ʃvaːn,validate
deu,160,Fisch,fɪʃ,validate
deu,161,Barsch,baɐ̯ʃ,validate
deu,162,Hecht,hɛçt,validate
deu,163,Schlange,ʃlaŋə,validate
deu,164,Wurm,vʊɐ̯m,validate
deu,165,Spinne,ʃpɪnə,validate
deu,166,Ameise,aːmaɪ̯zə,validate
deu,167,Laus,laʊ̯s,validate
deu,168,Mücke,mʏkə,validate
deu,169,Fliege,fliːɡə,validate
deu,170,Schmetterling,ʃmɛtɛɐ̯lɪŋ,validate
deu,171,Beere,beːʁə,validate
deu,172,Apfel,ap͡fəl,validate
deu,173,Pilz,pɪlt͡s,validate
deu,174,Zwiebel,t͡sviːbəl,validate
deu,175,Saat,zaːt,validate
deu,176,Korn,kɔɐ̯n,validate
deu,177,Heu,hɔʏ̯,validate
deu,178,Schale,ʃaːlə,validate
deu,179,Grube,ɡʁuːbə,validate
deu,180,Falle,falə,validate
deu,181,Schlinge,ʃlɪŋə,validate
deu,182,Spur,ʃpuːɐ̯,validate
deu,183,Asche,aʃə,validate
deu,184,Dreck,dʁɛk,validate
deu,185,Eisen,aɪ̯zən,validate
deu,186,Gold,ɡɔlt,validate
deu,187,Silber,zɪlbɐ,validate
deu,188,Kohle,koːlə,validate
deu,189,Glas,ɡlaːs,validate
deu,190,Lehm,leːm,validate
deu,191,Sand,zant,validate
deu,192,Mensch,mɛnʃ,validate
deu,193,Mann,man,validate
deu,194,Frau,fʁaʊ̯,validate
deu,195,Kind,kɪnt,validate
deu,196,Junge,jʊŋə,validate
deu,197,Mädchen,mɛdçən,validate
deu,198,Familie,faːmiːliː,validate
deu,199,Großvater,ɡʁoːsfaːtɐ,validate
deu,200,Großmutter,ɡʁoːsmʊtɐ,validate
deu,201,Eltern,ɛltɐn,validate
deu,202,Vater,faːtɐ,validate
deu,203,Mutter,mʊtɐ,validate
deu,204,Sohn,zoːn,validate
deu,205,Tochter,tɔχtɐ,validate
deu,206,Bruder,bʁuːdɐ,validate
deu,207,Schwester,ʃvɛstɐ,validate
deu,208,Onkel,ɔŋkəl,validate
deu,209,Tante,tantə,validate
deu,210,Ehemann,eːəman,validate
deu,211,Ehefrau,eːəfʁaʊ̯,validate
deu,212,Freude,fʁɔʏ̯də,validate
deu,213,Gelächter,ɡəlɛçtɐ,validate
deu,214,Glück,ɡlʏk,validate
deu,215,Kummer,kʊmɐ,validate
deu,216,Wunsch,vʊnʃ,validate
deu,217,Lust,lʊst,validate
deu,218,Geist,ɡaɪ̯st,validate
deu,219,Gedanke,ɡədaŋkə,validate
deu,220,Gedächtnis,ɡədɛçtnɪs,validate
deu,221,Verstand,fɛɐ̯ʃtant,validate
deu,222,Sinn,zɪn,validate
deu,223,Grund,ɡʁʊnt,validate
deu,224,Wahrheit,vaːɐ̯haɪ̯t,validate
deu,225,Gespräch,ɡəspʁɛç,validate
deu,226,Märchen,mɛɐ̯çən,validate
deu,227,Erzählung,ɛɐ̯t͡sɛːlʊŋ,validate
deu,228,Nachricht,naχʁɪçt,validate
deu,229,Neuigkeit,nɔʏ̯ɪɡkaɪ̯t,validate
deu,230,Name,naːmə,validate
deu,231,Rätsel,ʁɛt͡səl,validate
deu,232,Rede,ʁeːdə,validate
deu,233,Sprache,ʃpʁaχə,validate
deu,234,Stimme,ʃtɪmə,validate
deu,235,Wort,vɔɐ̯t,validate
deu,236,Zeichen,t͡saɪ̯çən,validate
deu,237,Ruf,ʁuːf,validate
deu,238,Lärm,lɛɐ̯m,validate
deu,239,Laut,laʊ̯t,validate
deu,240,Ton,toːn,validate
