lang_iso_code,concept_id,ortho_form,raw_ipa,next_step
eng,1,eye,aɪ,validate
eng,2,ear,ɪə,validate
eng,3,nose,nəʊz,validate
eng,4,mouth,maʊθ,validate
eng,5,tooth,tuːθ,validate
eng,6,tongue,tʌŋ,validate
eng,7,lip,lɪp,validate
eng,8,cheek,t͡ʃiːk,validate
eng,9,face,feɪs,validate
eng,10,forehead,ˈfɒɹɪd,validate
eng,11,hair,heə,validate
eng,12,moustache,məˈstɑːʃ,validate
eng,13,beard,bɪəd,validate
eng,14,chin,t͡ʃɪn,validate
eng,15,jaw,d͡ʒɔː,validate
eng,16,throat,θɹəʊt,validate
eng,17,neck,nek,validate
eng,18,nape,neɪp,validate
eng,19,head,hed,validate
eng,20,back,bæk,validate
eng,20,spine,spaɪn,validate
eng,21,belly,ˈbelɪ,validate
eng,22,navel,ˈneɪvl,validate
eng,23,bosom,ˈbʊzəm,validate
eng,24,chest,t͡ʃest,validate
eng,24,breast,bɹest,validate
eng,25,shoulder,ˈʃəʊldə,validate
eng,26,arm,ɑːm,validate
eng,27,elbow,ˈelbəʊ,validate
eng,28,hand,hænd,validate
eng,29,palm,pɑːm,validate
eng,30,finger,ˈfɪŋɡə,validate
eng,31,fingernail,ˈfɪŋɡəneɪl,validate
eng,32,nail,neɪl,validate
eng,33,toe,təʊ,validate
eng,34,foot,fʊt,validate
eng,35,heel,hiːl,validate
eng,36,knee,niː,validate
eng,37,thigh,θaɪ,validate
eng,38,leg,leɡ,validate
eng,39,body,ˈbɒdɪ,validate
eng,40,skin,skɪn,validate
eng,41,blood,blʌd,validate
eng,42,vein,veɪn,validate
eng,43,sinew,ˈsɪnjuː,validate
eng,44,bone,bəʊn,validate
eng,45,brain,bɹeɪn,validate
eng,46,heart,hɑːt,validate
eng,47,stomach,ˈstʌmək,validate
eng,48,liver,ˈlɪvə,validate
eng,49,breath,bɹeθ,validate
eng,50,hunger,ˈhʌŋɡə,validate
eng,51,tear,tɪə,validate
eng,52,flavour,ˈfleɪvə,validate
eng,53,odour,ˈəʊdə,validate
eng,54,sleep,sliːp,validate
eng,55,dream,dɹiːm,validate
eng,56,sky,skaɪ,validate
eng,57,sun,sʌn,validate
eng,58,moon,muːn,validate
eng,59,star,stɑː,validate
eng,60,air,eə,validate
eng,61,wind,wɪnd,validate
eng,62,wave,weɪv,validate
eng,63,water,ˈwɔːtə,validate
eng,64,stone,stəʊn,validate
eng,65,soil,sɔɪl,validate
eng,65,ground,ɡɹaʊnd,validate
eng,66,earth,ɜːθ,validate
eng,67,dust,dʌst,validate
eng,68,smoke,sməʊk,validate
eng,69,spark,spɑːk,validate
eng,70,fire,ˈfaɪə,validate
eng,71,light,laɪt,validate
eng,72,shadow,ˈʃædəʊ,validate
eng,73,weather,ˈweðə,validate
eng,74,fog,fɒɡ,validate
eng,75,cloud,klaʊd,validate
eng,76,rain,ɹeɪn,validate
eng,77,snow,snəʊ,validate
eng,78,ice,aɪs,validate
eng,79,frost,fɹɒst,validate
eng,80,chill,t͡ʃɪl,validate
eng,81,heat,hiːt,validate
eng,82,hoarfrost,ˈhɔːfɹɒst,validate
eng,83,rainbow,ˈɹeɪnbəʊ,validate
eng,84,thunder,ˈθʌndə,validate
eng,85,current,ˈkʌɹənt,validate
eng,86,drop,dɹɒp,validate
eng,87,foam,fəʊm,validate
eng,88,dirt,dɜːt,validate
eng,89,lake,leɪk,validate
eng,90,swamp,swɒmp,validate
eng,91,moor,mʊə,validate
eng,92,meadow,ˈmedəʊ,validate
eng,93,forest,ˈfɒɹɪst,validate
eng,94,hill,hɪl,validate
eng,95,elevation,elɪˈveɪʃn,validate
eng,96,mountain,ˈmaʊntɪn,validate
eng,97,summit,ˈsʌmɪt,validate
eng,98,cave,keɪv,validate
eng,99,slope,sləʊp,validate
eng,100,source,sɔːs,validate
eng,101,brook,bɹʊk,validate
eng,102,river,ˈɹɪvə,validate
eng,103,shore,ʃɔː,validate
eng,104,coast,kəʊst,validate
eng,105,land,lænd,validate
eng,106,sea,siː,validate
eng,107,cove,kəʊv,validate
eng,108,island,ˈaɪlənd,validate
eng,109,flower,ˈflaʊə,validate
