lang_iso_code,concept_id,ortho_form,raw_ipa,next_step
ekk,1,silm,sʲilm,validate
ekk,2,kõrv,kɤrv,validate
ekk,3,nina,nʲinɑ,validate
ekk,4,suu,suː,validate
ekk,5,hammas,hɑmːɑs,validate
ekk,6,keel,keːl,validate
ekk,7,huul,huːl,validate
ekk,8,põsk,pɤsk,validate
ekk,9,nägu,næɡ̥u,validate
ekk,10,otsmik,otsmik,validate
ekk,11,juus,juːs,validate
ekk,12,vurrud,vurːud̥,validate
ekk,12,vuntsid,vuntsʲid̥,validate
ekk,13,habe,hɑb̥e,validate
ekk,14,lõug,lɤuɡ̥,validate
ekk,15,lõualuu,lɤuɑluː,validate
ekk,16,kõri,kɤri,validate
ekk,17,kael,kɑel,validate
ekk,18,kukal,kukɑl,validate
ekk,19,pea,peɑ,validate
ekk,20,selg,sʲelɡ̥,validate
ekk,21,kõht,kɤxt,validate
ekk,22,naba,nɑb̥ɑ,validate
ekk,23,rind,rind̥,validate
ekk,24,rind,rind̥,validate
ekk,25,õlg,ɤlɡ̥,validate
ekk,26,käsivars,kæsʲivɑrs,validate
ekk,27,küünarnukk,kyːnɑrnukː,validate
ekk,28,käsi,kæsʲi,validate
ekk,29,pihk,pixk,validate
ekk,30,sõrm,sɤrm,validate
ekk,31,küüs,kyːs,validate
ekk,32,küüs,kyːs,validate
ekk,33,varvas,vɑrvɑs,validate
ekk,34,jalg,jɑlɡ̥,validate
ekk,35,kand,kɑnd̥,validate
ekk,36,põlv,pɤlv,validate
ekk,37,reis,reis,validate
ekk,38,jalg,jɑlɡ̥,validate
ekk,39,ihu,ihu,validate
ekk,39,keha,kehɑ,validate
ekk,40,nahk,nɑxk,validate
ekk,41,veri,veri,validate
ekk,42,veen,veːn,validate
ekk,43,kõõlus,kɤːlus,validate
ekk,44,luu,luː,validate
ekk,45,aju,ɑju,validate
ekk,46,süda,syd̥ɑ,validate
ekk,47,magu,mɑɡ̥u,validate
ekk,48,maks,mɑks,validate
ekk,49,hingeõhk,hiŋk̥eɤxk,validate
ekk,49,hingamine,hiŋk̥ɑminʲe,validate
ekk,50,nälg,nælɡ̥,validate
ekk,51,pisar,pisɑr,validate
ekk,52,maitse,mɑitsʲe,validate
ekk,53,lõhn,lɤxn,validate
ekk,54,uni,unʲi,validate
ekk,55,unenägu,unʲenæɡ̥u,validate
ekk,56,taevas,tɑevɑs,validate
ekk,57,päike,pæike,validate
ekk,58,kuu,kuː,validate
ekk,59,täht,tæxt,validate
ekk,60,õhk,ɤxk,validate
ekk,61,tuul,tuːl,validate
ekk,62,laine,lɑinʲe,validate
ekk,63,vesi,vesʲi,validate
ekk,64,kivi,kivi,validate
ekk,65,maa,mɑː,validate
ekk,65,pinnas,pinːɑs,validate
ekk,66,maa,mɑː,validate
ekk,67,põrm,pɤrm,validate
ekk,68,suits,suits,validate
ekk,69,säde,sæd̥e,validate
ekk,70,tuli,tulʲi,validate
