lang_iso_code,concept_id,ortho_form,raw_ipa,next_step
fra,1,œil,œj,validate
fra,2,oreille,ɔˈʁɛj,validate
fra,3,nez,ne,validate
fra,4,bouche,buʃ,validate
fra,5,dent,dɑ̃,validate
fra,6,langue,lɑ̃ːɡ,validate
fra,7,lèvre,ˈlɛːvʁə,validate
fra,8,joue,ʒu,validate
fra,9,face,fas,validate
fra,9,visage,viˈzaːʒ,validate
fra,10,front,fʁɔ̃,validate
fra,11,cheveu,ʃvø,validate
fra,12,moustache,musˈtaʃ,validate
fra,13,barbe,baʁb,validate
fra,14,menton,mɑ̃ˈtɔ̃,validate
fra,15,mâchoire,mɑˈʃwaːʁ,validate
fra,16,gorge,ɡɔʁʒ,validate
fra,17,cou,ku,validate
fra,18,nuque,nyk,validate
fra,19,tête,tɛt,validate
fra,20,dos,do,validate
fra,21,ventre,ˈvɑ̃ːtʁə,validate
fra,22,nombril,nɔ̃ˈbʁi,validate
fra,23,sein,sɛ̃,validate
fra,24,poitrine,pwaˈtʁin,validate
fra,25,épaule,eˈpoːl,validate
fra,26,bras,bʁa,validate
fra,27,coude,kud,validate
fra,28,main,mɛ̃,validate
fra,29,paume,poːm,validate
fra,30,doigt,dwa,validate
fra,31,ongle,ˈɔ̃ˈɡlə,validate
fra,32,ongle,ˈɔ̃ˈɡlə,validate
fra,33,orteil,ɔʁˈtɛj,validate
fra,33,doigt de pied,dwadəˈpje,validate
fra,34,pied,pje,validate
fra,35,talon,taˈlɔ̃,validate
fra,36,genou,ʒəˈnu,validate
fra,37,cuisse,kɥis,validate
fra,38,jambe,ʒɑ̃ːb,validate
fra,39,corps,kɔːʁ,validate
fra,40,peau,po,validate
fra,41,sang,sɑ̃,validate
fra,42,veine,vɛn,validate
fra,43,tendon,tɑ̃ˈdɔ̃,validate
fra,44,os,ɔs,validate
fra,45,cerveau,sɛʁˈvo,validate
fra,46,cœur,kœːʁ,validate
fra,47,estomac,ɛstɔˈma,validate
fra,48,foie,fwa,validate
fra,49,haleine,aˈlɛn,validate
fra,50,faim,fɛ̃,validate
fra,51,larme,laʁm,validate
fra,52,goût,ɡu,validate
fra,52,saveur,saˈvœːʁ,validate
fra,53,odeur,ɔˈdœːʁ,validate
fra,54,sommeil,sɔˈmɛj,validate
fra,55,songe,sɔ̃ːʒ,validate
fra,56,ciel,sjɛl,validate
fra,57,soleil,sɔˈlɛj,validate
fra,58,lune,lyn,validate
fra,59,étoile,eˈtwal,validate
fra,60,air,ɛːʁ,validate
fra,61,vent,vɑ̃,validate
fra,62,vague,vaɡ,validate
fra,63,eau,o,validate
fra,64,pierre,pjɛːʁ,validate
fra,65,sol,sɔl,validate
fra,65,terrain,tɛˈʁɛ̃,validate
fra,66,terre,tɛːʁ,validate
fra,67,poussière,puˈsjɛːʁ,validate
fra,68,fumée,fyˈme,validate
fra,69,étincelle,etɛ̃ˈsɛl,validate
fra,70,feu,fø,validate
fra,71,lumière,lyˈmjɛːʁ,validate
fra,72,ombre,ˈɔː̃bʁə,validate
fra,73,temps,tɑ̃,validate
fra,74,brume,bʁym,validate
fra,74,brouillard,bʁuˈjaːʁ,validate
fra,75,nuage,nɥaːʒ,validate
fra,76,pluie,plɥi,validate
fra,77,neige,nɛːʒ,validate
fra,78,glace,ɡlas,validate
fra,79,gel,ʒɛl,validate
fra,79,gelée,ʒəˈle,validate
fra,80,froid,fʁwa,validate
fra,81,chaleur,ʃaˈlœːʁ,validate
fra,82,givre,ˈʒiːvʁə,validate
fra,83,arc-en-ciel,aʁkɑ̃ˈsjɛl,validate
fra,84,tonnerre,tɔˈnɛːʁ,validate
fra,85,courant,kuˈʁɑ̃,validate
fra,86,goutte,ɡut,validate
fra,87,écume,eˈkym,validate
fra,87,mousse,mus,validate
fra,88,boue,bu,validate
fra,88,saleté,salˈte,validate
fra,89,lac,lak,validate
fra,90,marais,maˈʁɛ,validate
fra,90,marécage,maʁeˈkaːʒ,validate
fra,91,tourbière,tuʁˈbjɛːʁ,validate
fra,92,pré,pʁe,validate
fra,93,bois,bwa,validate
fra,93,forêt,fɔˈʁɛ,validate
fra,94,coteau,kɔˈto,validate
fra,94,colline,kɔˈlin,validate
fra,95,éminence,emiˈnɑ̃ːs,validate
fra,95,élévation,elevɑˈsjɔ̃,validate
fra,96,mont,mɔ̃,validate
fra,96,montagne,mɔ̃ˈtaɲ,validate
fra,97,cime,sim,validate
fra,97,sommet,sɔˈmɛ,validate
fra,98,caverne,kaˈvɛʁn,validate
fra,99,pente,pɑ̃ːt,validate
fra,99,versant,vɛʁˈsɑ̃,validate
fra,100,source,suʁs,validate
fra,100,fontaine,fɔ̃ˈtɛn,validate
fra,101,ruisseau,ʁɥiˈso,validate
fra,102,fleuve,flœːv,validate
fra,102,rivière,ʁiˈvjɛːʁ,validate
fra,103,bord,bɔʁ,validate
fra,103,rivage,ʁiˈvaːʒ,validate
fra,104,côte,koːt,validate
fra,105,terre ferme,tɛːʁ ˈfɛʁm,validate
fra,106,mer,mɛːʁ,validate
fra,107,baie,bɛ,validate
fra,108,île,il,validate
fra,109,fleur,flœːʁ,validate
fra,110,herbe,ɛʁb,validate
fra,111,racine,ʁaˈsin,validate
fra,112,arbre,ˈaʁbʁə,validate
fra,113,tronc,tʁɔ̃,validate
fra,114,écorce,eˈkɔʁs,validate
fra,115,branche,bʁɑː̃ʃ,validate
fra,116,rameau,ʁaˈmo,validate
fra,117,feuille,fœj,validate
fra,118,bouleau,buˈlo,validate
fra,119,pin,pɛ̃,validate
fra,120,saule,soːl,validate
fra,121,sapin,saˈpɛ̃,validate
fra,122,corne,kɔʁn,validate
fra,123,plume,plym,validate
fra,124,peau,po,validate
fra,125,aile,ɛːl,validate
fra,126,serre,sɛːʁ,validate
fra,127,ongle,ˈɔ̃ˈɡlə,validate
fra,127,griffe,ɡʁif,validate
fra,128,queue,kø,validate
fra,129,œuf,œf,validate
fra,130,nid,ni,validate
fra,131,terrier,tɛˈʁje,validate
fra,132,animal,aniˈmal,validate
fra,133,troupeau,tʁuˈpo,validate
fra,134,vache,vaʃ,validate
fra,135,taureau,toˈʁo,validate
fra,136,cheval,ʃval,validate
fra,137,mouton,muˈtɔ̃,validate
fra,138,porc,pɔːʁ,validate
fra,138,cochon,kɔˈʃɔ̃,validate
fra,139,chien,ʃjɛ̃,validate
fra,140,chat,ʃa,validate
fra,141,ours,uʁs,validate
fra,142,écureuil,ekyˈʁœj,validate
fra,143,élan,eˈlɑ̃,validate
fra,144,renard,ʁəˈnaːʁ,validate
fra,145,lièvre,ˈljɛːvʁə,validate
fra,146,souris,suˈʁi,validate
fra,147,loup,lu,validate
fra,148,oiseau,waˈzo,validate
fra,149,nuée,nɥe,validate
fra,149,volée,vɔˈle,validate
fra,150,poule,pul,validate
fra,151,coq,kɔk,validate
fra,152,oie,wa,validate
fra,153,aigle,ˈɛːɡlə,validate
fra,154,canard,kaˈnaːʁ,validate
fra,155,hibou,iˈbu,validate
fra,156,grue,ɡʁy,validate
fra,157,corneille,kɔʁˈnɛj,validate
fra,158,coucou,kuˈku,validate
fra,159,cygne,siŋ,validate
fra,160,poisson,pwaˈsɔ̃,validate
fra,161,perche,pɛʁʃ,validate
fra,162,brochet,bʁɔˈʃɛ,validate
fra,163,serpent,sɛʁˈpɑ̃,validate
fra,164,ver,vɛːʁ,validate
fra,165,araignée,aʁɛˈɲe,validate
fra,166,fourmi,fuʁˈmi,validate
fra,167,pou,pu,validate
fra,168,moucheron,muʃˈʁɔ̃,validate
fra,169,mouche,muʃ,validate
fra,170,papillon,papiˈjɔ̃,validate
fra,171,baie,bɛ,validate
fra,172,pomme,pɔm,validate
fra,173,champignon,ʃɑ̃piˈɲɔ̃,validate
fra,174,oignon,ɔˈɲɔ̃,validate
fra,175,semence,səˈmɑ̃ːs,validate
fra,176,grain,ɡʁɛ̃,validate
fra,177,foin,fwɛ̃,validate
fra,178,pelure,pəˈlyːʁ,validate
fra,179,fosse,foːs,validate
fra,180,piège,pjɛːʒ,validate
fra,181,lacs,lɑ,validate
fra,182,trace,tʁas,validate
fra,183,cendre,ˈsɑ̃dʁə,validate
fra,184,crotte,kʁɔt,validate
fra,185,fer,fɛːʁ,validate
fra,186,or,ɔːʁ,validate
fra,187,argent,aʁˈʒɑ̃,validate
fra,188,charbon,ʃaʁˈbɔ̃,validate
fra,189,verre,vɛːʁ,validate
fra,190,glaise,ɡlɛːz,validate
fra,191,sable,ˈsɑːblə,validate
fra,192,homme,ɔm,validate
fra,193,homme,ɔm,validate
fra,194,femme,fam,validate
fra,195,enfant,ɑ̃ˈfɑ̃,validate
fra,196,garçon,ɡaʁˈsɔ̃,validate
fra,197,fille,fij,validate
fra,197,jeune fille,ʒœn ˈfij,validate
fra,198,famille,faˈmij,validate
