lang_iso_code,concept_id,ortho_form,raw_ipa,next_step
hin,1,आँख,ãːkʰ,validate
hin,1,चक्षु,t͡ʃəkʂʊ,validate
hin,2,कान,kaːn,validate
hin,2,कर्ण,kərɳ,validate
hin,3,नाक,naːk,validate
hin,3,नासा,naːsaː,validate
hin,4,मुख,mʊkʰ,validate
hin,4,मुँह,mũh,validate
hin,5,दंत,dənt,validate
hin,5,दाँत,dãːt,validate
hin,6,जीभ,d͡ʒiːbʰ,validate
hin,6,ज़बान,zəbaːn,validate
hin,6,जिह्वा,d͡ʒɪhvaː,validate
hin,7,ओंठ,õːʈʰ,validate
hin,7,होंठ,hõːʈʰ,validate
hin,8,गाल,ɡaːl,validate
hin,8,कपोल,kəpoːl,validate
hin,9,मुँह,mũh,validate
hin,9,चेहरा,t͡ʃeːhraː,validate
hin,10,माथा,maːtʰaː,validate
hin,10,मस्तक,məstək,validate
hin,11,बाल,baːl,validate
hin,12,मूँछें,mʊ̄̃t͡ʃʰeː̃,validate
hin,13,दाढ़ी,daːɽʰiː,validate
hin,14,चिबुक,t͡ʃɪbʊk,validate
hin,15,जबड़ा,d͡ʒəbɽaː,validate
hin,16,गला,ɡəlaː,validate
hin,17,गला,ɡəlaː,validate
hin,17,गरदन,ɡərdən,validate
hin,18,गरदन,ɡərdən,validate
hin,18,ग्रीवा,ɡriːvaː,validate
hin,19,सिर,sɪr,validate
hin,19,शीर्ष,ɕiːrʂ,validate
hin,20,पीठ,piːʈʰ,validate
hin,21,उदर,ʊdər,validate
hin,22,नाभि,naːbʰɪ,validate
hin,22,ढोंढी,ɖʰõːɖʰiː,validate
hin,23,कुच,kʊt͡ʃ,validate
hin,23,स्तन,stən,validate
hin,24,वक्ष,vəkʂ,validate
hin,25,कंधा,kəndʰaː,validate
hin,25,स्कंध,skəndʰ,validate
hin,26,बाँह,bãːh,validate
hin,26,बाज़ू,baːzuː,validate
hin,27,कुहनी,kʊhniː,validate
hin,28,हाथ,haːtʰ,validate
hin,28,हस्त,həst,validate
hin,29,हथेली,hətʰeːliː,validate
hin,30,उँगली,ũɡliː,validate
hin,30,अँगुली,ãɡʊliː,validate
hin,31,नख,nəkʰ,validate
hin,31,नाख़ून,naːxuːn,validate
hin,32,नख,nəkʰ,validate
hin,32,नाख़ून,naːxuːn,validate
hin,33,उँगली,ũɡəliː,validate
hin,33,पाँव की उँगली,pãːv kiː ũɡliː,validate
hin,34,चरण,t͡ʃərəɳ,validate
hin,34,पाँव,pãːv,validate
hin,35,एड़ी,eːɽiː,validate
hin,36,जानु,d͡ʒaːnʊ,validate
hin,36,घुटना,ɡʰʊʈnaː,validate
hin,37,उरु,ʊrʊ,validate
hin,38,टाँग,ʈãːɡ,validate
hin,39,तन,tən,validate
hin,39,देह,deːh,validate
hin,39,शरीर,ɕəriːr,validate
hin,40,चर्म,t͡ʃərm,validate
hin,40,त्वचा,tvət͡ʃaː,validate
hin,41,लहू,ləhuː,validate
hin,41,ख़ून,xuːn,validate
hin,42,रग,rəɡ,validate
hin,42,शिरा,ɕɪraː,validate
hin,43,कंडरा,kəɳɖəraː,validate
hin,43,स्नायु,snaːjʊ,validate
hin,44,अस्थि,əstʰɪ,validate
hin,45,दिमाग़,dɪmaːɣ,validate
hin,45,मस्तिष्क,məstɪʂk,validate
hin,46,दिल,dɪl,validate
hin,46,हृदय,hr̥dəj,validate
hin,47,मेदा,meːdaː,validate
hin,47,अमाशय,əmaːɕəj,validate
hin,48,जिगर,d͡ʒɪɡər,validate
hin,48,यकृत्,jəkɽt,validate
hin,49,दम,dəm,validate
hin,49,साँस,sãːs,validate
hin,49,श्वास,ɕwaːs,validate
hin,50,भूख,bʰuːkʰ,validate
hin,50,क्षुधा,kʂʊdʰaː,validate
hin,51,आँसू,ãːsuː,validate
hin,51,अश्रु,əɕrʊ,validate
hin,52,स्वाद,svaːd,validate
hin,52,ज़ायक़ा,zaːjqaː,validate
hin,53,बू,buː,validate
hin,53,गंध,ɡəndʰ,validate
hin,54,नींद,niːnd,validate
hin,54,निद्रा,nɪdraː,validate
hin,55,सपना,səpnaː,validate
hin,55,स्वप्न,svəpn,validate
hin,56,आकाश,aːkaːɕ,validate
hin,56,आसमान,aːsmaːn,validate
hin,57,रवि,rəvɪ,validate
hin,57,सूरज,suːrəd͡ʒ,validate
hin,57,सूर्य,suːrj,validate
hin,58,चाँद,t͡ʃãːd,validate
hin,58,चंद्र,t͡ʃəndr,validate
hin,59,तारा,taːraː,validate
hin,59,सितारा,sɪtaːraː,validate
hin,60,हवा,həvaː,validate
hin,60,वायु,vaːjʊ,validate
hin,61,पाद,paːd,validate
hin,62,लहर,ləhər,validate
hin,62,तरंग,tərəŋɡ,validate
hin,63,जल,d͡ʒəl,validate
hin,63,पानी,paːniː,validate
hin,64,पत्थर,pətʰːər,validate
hin,65,मिट्टी,mɪʈːiː,validate
hin,66,भूमि,bʰuːmɪ,validate
hin,66,ज़मीन,zəmiːn,validate
hin,67,धूल,dʰuːl,validate
hin,68,धूआँ,dʰuːãː,validate
hin,68,धुम्र,dʰʊmr,validate
hin,69,चिनगारी,t͡ʃɪnəɡaːriː,validate
hin,69,स्फुलिंग,sfʊlɪŋɡ,validate
hin,70,आग,aːɡ,validate
hin,70,आतिश,aːtɪɕ,validate
hin,70,अग्नि,əɡnɪ,validate
hin,71,रोशनी,roːɕniː,validate
hin,71,प्रकाश,prəkaːɕ,validate
hin,72,छाया,t͡ʃʰaːjaː,validate
hin,72,परछाई,pərt͡ʃʰaːĩː,validate
hin,73,ऋतु,r̥tʊ,validate
hin,73,मौसम,mɔːsəm,validate
hin,74,धुँध,dʰʊndʰ,validate
hin,74,कुहरा,kʊhəraː,validate
hin,75,मेघ,meːɡʰ,validate
hin,75,अभ्र,əbʰr,validate
hin,76,मेंह,mẽːh,validate
hin,76,बारिश,baːrɪɕ,validate
