lang_iso_code,concept_id,ortho_form,raw_ipa,next_step
jpn,1,目,me̞,validate
jpn,2,耳,mʲimʲi,validate
jpn,3,鼻,hänä,validate
jpn,4,口,kɯt͡ɕi,validate
jpn,5,歯,hä,validate
jpn,6,舌,ɕitä,validate
jpn,7,唇,kɯt͡ɕibʲiɾɯ,validate
jpn,8,頬,ho̞ː,validate
jpn,9,顔,käo̞,validate
jpn,10,額,çitäi,validate
jpn,11,髪,kämʲi,validate
jpn,12,口髭,kɯt͡ɕiçiɡʲe̞,validate
jpn,13,髭,çiɡʲe̞,validate
jpn,14,顎,äɡo̞,validate
jpn,15,顎,äɡo̞,validate
jpn,16,喉,no̞do̞,validate
jpn,17,首,kɯbʲi,validate
jpn,18,首,kɯbʲi,validate
jpn,19,頭,ätämä,validate
jpn,20,背中,se̞näkä,validate
jpn,21,腹,häɾä,validate
jpn,21,お腹,o̞näkä,validate
jpn,22,へそ,he̞so̞,validate
jpn,23,乳房,t͡ɕibɯsä,validate
jpn,24,胸,mɯne̞,validate
jpn,25,肩,kätä,validate
jpn,26,腕,ɯde̞,validate
jpn,27,肘,çid͡ʑi,validate
jpn,28,手,te̞,validate
jpn,29,手のひら,te̞no̞çiɾä,validate
jpn,30,指,jɯbʲi,validate
jpn,31,爪,t͡sɯme̞,validate
jpn,32,爪,t͡sɯme̞,validate
jpn,33,足の指,äɕi no̞ jɯbʲi,validate
jpn,34,足,äɕi,validate
jpn,35,かかと,käkäto̞,validate
jpn,36,膝,çizä,validate
jpn,37,上腿,d͡ʑo̞ːtäi,validate
jpn,38,足,äɕi,validate
jpn,39,体,käɾädä,validate
jpn,40,皮膚,çifɯ,validate
jpn,41,血,t͡ɕi,validate
jpn,42,血管,kʲe̞k̚kã̈ɴ,validate
jpn,43,腱,kʲẽ̞ɴ,validate
jpn,44,骨,ho̞ne̞,validate
jpn,45,脳,no̞ː,validate
jpn,46,心,ko̞ko̞ɾo̞,validate
jpn,46,心臓,ɕinzo̞ː,validate
jpn,47,胃,i,validate
jpn,48,肝臓,känzo̞ː,validate
jpn,49,息,ikʲi,validate
jpn,49,呼吸,ko̞kʲjɯː,validate
jpn,50,空腹,kɯːfɯkɯ,validate
jpn,51,涙,nämʲidä,validate
jpn,52,味,äd͡ʑi,validate
jpn,53,匂い,nʲio̞i,validate
jpn,54,睡眠,sɯimʲĩɴ,validate
jpn,55,夢,jɯme̞,validate
jpn,56,空,so̞ɾä,validate
jpn,57,太陽,täijo̞ː,validate
jpn,58,月,t͡sɯkʲi,validate
jpn,59,星,ho̞ɕi,validate
jpn,60,空気,kɯːkʲi,validate
jpn,61,風,käze̞,validate
jpn,62,波,nämʲi,validate
jpn,63,水,mʲizɯ,validate
jpn,64,石,iɕi,validate
jpn,65,土地,to̞t͡ɕi,validate
jpn,66,土,t͡sɯt͡ɕi,validate
jpn,67,埃,ho̞ko̞ɾi,validate
jpn,68,煙,kʲe̞mɯɾi,validate
jpn,69,火花,çibänä,validate
jpn,70,火,çi,validate
jpn,71,光,çikäɾi,validate
jpn,72,陰,käɡʲe̞,validate
jpn,73,天気,te̞nkʲi,validate
jpn,74,霧,kʲiɾi,validate
jpn,75,雲,kɯmo̞,validate
jpn,76,雨,äme̞,validate
jpn,77,雪,jɯkʲi,validate
jpn,78,氷,ko̞ːɾi,validate
jpn,79,霜,ɕimo̞,validate
jpn,80,寒さ,sämɯsä,validate
jpn,81,暑さ,ät͡sɯsä,validate
jpn,82,霧氷,mɯhjo̞ː,validate
jpn,83,虹,nʲid͡ʑi,validate
jpn,84,雷,kämʲinäɾi,validate
jpn,85,流れ,näɡäɾe̞,validate
jpn,86,滴,ɕizɯkɯ,validate
jpn,87,泡,äwä,validate
jpn,88,汚れ,jo̞ɡo̞ɾe̞,validate
jpn,89,湖,mʲizɯːmʲi,validate
jpn,90,沼,nɯmä,validate
jpn,91,湿原,ɕit͡sɯɡʲẽ̞ɴ,validate
jpn,92,草原,so̞ːɡʲẽ̞ɴ,validate
jpn,93,森,mo̞ɾi,validate
jpn,94,丘,o̞kä,validate
jpn,95,高み,täkämʲi,validate
jpn,96,山,jämä,validate
jpn,97,頂上,t͡ɕo̞ːd͡ʑo̞ː,validate
jpn,98,洞窟,do̞ːkɯt͡sɯ,validate
jpn,99,斜面,ɕämẽ̞ɴ,validate
jpn,100,泉,izɯmʲi,validate
jpn,101,小川,o̞ɡäwä,validate
jpn,102,川,käwä,validate
jpn,103,岸,kʲiɕi,validate
jpn,104,海岸,käiɡã̈ɴ,validate
jpn,105,陸,ɾikɯ,review
jpn,106,海,ɯmʲi,validate
jpn,107,湾,wã̈ɴ,validate
jpn,108,島,ɕimä,validate
jpn,109,花,hänä,validate
jpn,110,草,kɯsä,validate
jpn,111,根,ne̞,validate
jpn,112,木,kʲi,validate
jpn,113,幹,mʲikʲi,validate
jpn,114,皮層,çiso̞ː,review
jpn,115,枝,e̞dä,validate
jpn,116,小枝,ko̞e̞dä,validate
jpn,117,葉,hä,validate
jpn,118,樺,käbä,validate
jpn,119,松,mät͡sɯ,validate
jpn,120,柳,jänäɡʲi,validate
jpn,121,樅,mo̞mʲi,validate
jpn,122,角,t͡sɯno̞,validate
jpn,123,羽根,häne̞,validate
jpn,124,毛皮,kʲe̞ɡäwä,validate
jpn,125,羽,häne̞,validate
jpn,126,鉤爪,käɡʲizɯme̞,review
jpn,127,爪,t͡sɯme̞,validate
jpn,128,尻尾,ɕip̚po̞,validate
jpn,129,卵,tämäɡo̞,validate
jpn,130,巣,sɯ,validate
jpn,131,穴,änä,validate
jpn,132,動物,do̞ːbɯt͡sɯ,validate
jpn,133,群れ,mɯɾe̞,validate
jpn,134,牛,ɯɕi,validate
jpn,135,雄牛,o̞ːɕi,validate
jpn,136,馬,ɯmä,validate
jpn,137,羊,çit͡sɯd͡ʑi,validate
jpn,138,豚,bɯtä,validate
jpn,139,犬,inɯ,validate
jpn,140,猫,ne̞ko̞,validate
jpn,141,熊,kɯmä,validate
jpn,142,栗鼠,ɾisɯ,validate
jpn,143,ヘラジカ,he̞ɾäd͡ʑikä,validate
jpn,144,狐,kʲit͡sɯne̞,validate
jpn,145,兎,ɯsäɡʲi,validate
jpn,146,鼠,ne̞zɯmʲi,validate
jpn,147,狼,o̞ːkämʲi,validate
jpn,148,鳥,to̞ɾi,validate
jpn,149,群れ,mɯɾe̞,review
jpn,150,鶏,nʲiwäto̞ɾi,validate
jpn,151,雄鶏,o̞ndo̞ɾi,validate
jpn,152,ガチョウ,ɡät͡ɕo̞ː,validate
jpn,153,鷲,wäɕi,validate
jpn,154,鴨,kämo̞,validate
jpn,155,フクロウ,fɯkɯɾo̞ː,validate
jpn,156,鶴,t͡sɯɾɯ,validate
jpn,157,烏,käɾäsɯ,validate
jpn,158,郭公,käk̚ko̞ː,validate
jpn,159,白鳥,häkɯt͡ɕo̞ː,validate
jpn,160,魚,säkänä,validate
jpn,161,鱸,sɯzɯkʲi,review
jpn,162,川魳,käwäkämäsɯ,validate
jpn,163,蛇,he̞bʲi,validate
jpn,164,虫,mɯɕi,review
jpn,165,蜘蛛,kɯmo̞,validate
jpn,166,蟻,äɾi,validate
jpn,167,虱,ɕiɾämʲi,validate
jpn,168,蚊,kä,validate
jpn,169,蝿,häe̞,validate
jpn,170,蝶,t͡ɕo̞ː,validate
jpn,171,漿果,ɕo̞ːkä,review
jpn,172,林檎,ɾinɡo̞,validate
jpn,173,茸,kʲino̞ko̞,validate
jpn,174,玉葱,tämäne̞ɡʲi,validate
jpn,175,種,täne̞,validate
jpn,176,粒,t͡sɯbɯ,validate
jpn,177,干し草,ho̞ɕikɯsä,validate
jpn,178,皮,käwä,review
jpn,179,穴,änä,validate
jpn,180,わな,wänä,validate
jpn,181,輪,wä,validate
jpn,182,跡,äto̞,validate
jpn,183,灰,häi,validate
jpn,184,泥,do̞ɾo̞,review
jpn,185,鉄,te̞t͡sɯ,validate
jpn,186,金,kʲĩɴ,validate
jpn,187,銀,ɡʲĩɴ,validate
jpn,188,炭,sɯmʲi,validate
jpn,189,ガラス,ɡäɾäsɯ,validate
jpn,190,ローム,ɾo̞ːmɯ,validate
jpn,191,砂,sɯnä,validate
jpn,192,人,çito̞,validate
jpn,193,男,o̞to̞ko̞,validate
jpn,193,男性,dänse̞i,validate
jpn,194,女,o̞nnä,validate
jpn,194,女性,ɕo̞se̞i,validate
jpn,195,子,ko̞,validate
jpn,195,子供,ko̞do̞mo̞,validate
jpn,196,男の子,o̞to̞ko̞ no̞ ko̞,validate
jpn,197,女の子,o̞nnä no̞ ko̞,validate
jpn,198,家族,käzo̞kɯ,validate
jpn,199,祖父,so̞fɯ,validate
jpn,199,おじいさん,o̞d͡ʑiisã̈ɴ,validate
jpn,200,祖母,so̞bo̞,validate
jpn,200,おばあさん,o̞bäːsã̈ɴ,validate
jpn,201,親,o̞jä,validate
jpn,201,両親,ɾjo̞ːɕĩɴ,validate
jpn,202,父,t͡ɕit͡ɕi,validate
