lang_iso_code,concept_id,ortho_form,raw_ipa,next_step
rus,1,глаз,ɡɫaˑs,validate
rus,2,ухо,uˑxə,validate
rus,3,нос,nɔˑs,validate
rus,4,рот,rɔˑt,validate
rus,5,зуб,zuˑp,validate
rus,6,язык,jɐzɨˑk,validate
rus,7,губа,ɡubaˑ,validate
rus,8,щека,ʃʲːɪkaˑ,validate
rus,9,лицо,lit͡sɔˑ,validate
rus,10,лоб,ɫɔˑp,validate
rus,11,волос,vɔˑɫəs,validate
rus,11,волосы,vɔˑɫəsɨ,validate
rus,12,ус,uˑs,validate
rus,12,усы,usɨˑ,validate
rus,13,борода,bərɐdaˑ,validate
rus,14,подбородок,pədbɐrɔˑdək,validate
rus,15,челюсть,t͡ʃʲeˑlustʲ,validate
rus,16,горло,ɡɔˑrɫə,validate
rus,17,шея,ʃɛˑjə,validate
rus,18,затылок,zɐtɨˑɫək,validate
rus,19,голова,ɡəɫɐvaˑ,validate
rus,20,спина,spʲinaˑ,validate
rus,21,живот,ʒɨvɔˑt,validate
rus,22,пупок,pupɔˑk,validate
rus,23,женская грудь,ʒɛˑnskəjə ɡrutʲ,validate
rus,24,грудь,ɡruˑtʲ,validate
rus,25,плечо,plɪt͡ʃɔˑ,validate
rus,26,рука,rukaˑ,validate
rus,27,локоть,ɫɔˑkətʲ,validate
rus,28,кисть,kistʲ,validate
rus,29,ладонь,ɫɐdɔˑnʲ,validate
rus,30,палец,paˑlɪt͡s,validate
rus,31,ноготь,nɔˑɡətʲ,validate
rus,32,ноготь,nɔˑɡətʲ,validate
rus,33,палец,paˑlɪt͡s,validate
rus,34,ступня,stupnʲaˑ,validate
rus,35,пята,pʲɪ|taˑ,validate
rus,35,пятка,pʲaˑtkə,validate
rus,36,колено,kɐleˑnə,validate
rus,37,бедро,bʲɪdrɔˑ,validate
rus,38,нога,nɐɡaˑ,validate
rus,39,тело,tʲeˑɫə,validate
rus,40,кожа,kɔˑʒə,validate
rus,41,кровь,krɔˑfʲ,validate
rus,42,вена,vʲeˑnə,validate
rus,42,сосуд,sɐsuˑt,validate
rus,43,жила,ʒɨˑɫə,validate
rus,43,тетива,tʲɪtʲivaˑ,validate
rus,43,сухожилие,suxɐʒɨˑlijə,validate
rus,44,кость,kəstʲ,validate
rus,45,мозг,mɔˑzk,validate
rus,46,сердце,sʲeˑrdt͡sə,validate
rus,47,желудок,ʒɪɫuˑdək,validate
rus,48,печень,pʲeˑt͡ʃʲɪnʲ,validate
rus,49,дух,duˑx,validate
rus,49,дыхание,dɨxaˑnʲijə,validate
rus,50,голод,ɡɔˑɫət,validate
rus,51,слеза,slɪzaˑ,validate
rus,52,вкус,vkuˑs,validate
rus,53,запах,zaˑpəx,validate
rus,54,сон,sɔˑn,validate
rus,55,сновидение,snəvʲidʲeˑnʲijə,validate
rus,56,небо,nʲeˑbə,validate
rus,57,солнце,sɔˑnt͡sə,validate
rus,58,луна,ɫunaˑ,validate
rus,59,звезда,zvʲɪzdaˑ,validate
rus,60,воздух,vɔˑzdux,validate
rus,61,ветер,vʲeˑtʲɪr,validate
rus,62,волна,vɐɫnaˑ,validate
rus,63,вода,vɐdaˑ,validate
rus,64,камень,kaˑmʲɪnʲ,validate
rus,65,почва,pɔˑt͡ʃvə,validate
rus,66,земля,zʲɪmlaˑ,validate
rus,67,пыль,pɨˑl,validate
rus,68,дым,dɨˑm,validate
rus,69,искра,jɨˑskrə,validate
rus,70,огонь,ɐɡɔˑnʲ,validate
rus,71,свет,svʲeˑt,validate
rus,72,тень,tʲeˑnʲ,validate
rus,73,погода,pɐɡɔˑdə,validate
rus,74,туман,tumaˑn,validate
rus,75,облако,ɔˑbɫəkə,validate
rus,76,дождь,dəʒtʲ,validate
rus,77,снег,snʲeˑk,validate
rus,78,лед,lot,validate
rus,79,мороз,mɐrɔˑs,validate
rus,80,холод,xɔˑɫət,validate
rus,81,жара,ʒɐraˑ,validate
rus,82,иней,jɨˑnʲɪj,validate
rus,83,радуга,raˑduɡə,validate
rus,84,гром,ɡrɔˑm,validate
rus,85,течение,tʲɪt͡ʃʲeˑnʲijə,validate
rus,86,капля,kaˑplɪ,validate
rus,87,пена,pʲeˑnə,validate
rus,88,грязь,ɡrʲaˑsʲ,validate
rus,89,озеро,ɔˑzʲɪrə,validate
rus,90,топь,tɔˑpʲ,validate
rus,91,болото,bɐɫɔˑtə,validate
rus,92,луг,ɫuˑk,validate
rus,93,лес,leˑs,validate
rus,94,холм,xɔˑɫm,validate
rus,95,возвышенность,vɐzvɨˑʃənnəstʲ,validate
rus,96,гора,ɡɐraˑ,validate
rus,97,вершина,vʲɪrʃɨˑnə,validate
rus,98,пещера,pʲɪʃʲːeˑrə,validate
rus,99,склон,skɫɔˑn,validate
rus,100,источник,jɨstɔˑt͡ʃnʲik,validate
rus,101,ручей,rut͡ʃʲeˑj,validate
rus,102,река,rʲɪkaˑ,validate
rus,103,берег,bʲeˑrʲɪk,validate
rus,104,побережье,pəbʲɪrʲeˑʒʲɪ,validate
