,Semantic Domain,Concept_ID,English Word Form
60992,Agriculture and vegetation,Zaun::N,fence
60996,Agriculture and vegetation,Spaten::N,spade
60997,Agriculture and vegetation,Schaufel::N,shovel
60849,Agriculture and vegetation,Heu::N,hay
61640,Agriculture and vegetation,gießen::V,water
60847,Agriculture and vegetation,Saat::N,seed
60846,Agriculture and vegetation,Zwiebel::N,onion
60781,Agriculture and vegetation,Blume::N,flower
61023,Agriculture and vegetation,Getreide::N,corn
60783,Agriculture and vegetation,Wurzel::N,root
60784,Agriculture and vegetation,Baum::N,tree
60782,Agriculture and vegetation,Gras::N,grass
60786,Agriculture and vegetation,Rinde::N,bark
60844,Agriculture and vegetation,Apfel::N,apple
60785,Agriculture and vegetation,Stamm::N,trunk
60793,Agriculture and vegetation,Tanne::N,fir
60792,Agriculture and vegetation,Weide[Baum]::N,willow
61522,Agriculture and vegetation,graben::V,dig
60790,Agriculture and vegetation,Birke::N,birch
60789,Agriculture and vegetation,Blatt::N,leaf
60788,Agriculture and vegetation,Zweig::N,branch
60845,Agriculture and vegetation,Pilz::N,mushroom
60791,Agriculture and vegetation,Kiefer[Baum]::N,pine
60828,Animals,Kranich::N,crane
60829,Animals,Krähe::N,crow
60830,Animals,Kuckuck::N,cuckoo
60831,Animals,Schwan::N,swan
61635,Animals,treiben::V,drive
61407,Animals,bellen::V,bark
60840,Animals,Mücke::N,midge
60833,Animals,Barsch::N,perch
61094,Animals,Geld::N,money
60834,Animals,Hecht::N,pike
60835,Animals,Schlange[Tier]::N,snake
60836,Animals,Wurm::N,worm
60837,Animals,Spinne::N,spider
60838,Animals,Ameise::N,ant
60839,Animals,Laus::N,louse
60827,Animals,Eule::N,owl
60799,Animals,Kralle::N,claw
60832,Animals,Fisch::N,fish
60826,Animals,Ente::N,duck
60798,Animals,Klaue::N,claw
60825,Animals,Adler::N,eagle
60802,Animals,Nest::N,nest
60803,Animals,Bau::N,lair
60804,Animals,Tier::N,animal
60805,Animals,Herde::N,flock
60806,Animals,Kuh::N,cow
60807,Animals,Bulle::N,bull
60808,Animals,Pferd::N,horse
60809,Animals,Schaf::N,sheep
60810,Animals,Schwein::N,pig
60811,Animals,Hund::N,dog
60812,Animals,Katze::N,cat
61073,Animals,Weide::N,pasture
60813,Animals,Bär::N,bear
60815,Animals,Elch::N,elk
60816,Animals,Fuchs::N,fox
60817,Animals,Hase::N,hare
60818,Animals,Maus::N,mouse
60819,Animals,Wolf::N,wolf
60820,Animals,Vogel::N,bird
60821,Animals,Schwarm::N,swarm
60841,Animals,Fliege::N,fly
60822,Animals,Huhn::N,chicken
60823,Animals,Hahn::N,cock
60824,Animals,Gans::N,goose
60814,Animals,Eichhörnchen::N,squirrel
60842,Animals,Schmetterling::N,butterfly
61551,Basic actions and technology,schwenken::V,swing
61698,Basic actions and technology,ertragen::V,endure
60852,Basic actions and technology,Falle::N,trap
61484,Basic actions and technology,ansehen::V,watch
61489,Basic actions and technology,fühlen::V,feel
61494,Basic actions and technology,tun::V,do
61495,Basic actions and technology,können::V,can
61499,Basic actions and technology,aufhören::V,stop
60897,Basic actions and technology,Gespräch::N,talk
61543,Basic actions and technology,hauen::V,hit
60900,Basic actions and technology,Nachricht::N,message
60901,Basic actions and technology,Neuigkeit::N,news
61506,Basic actions and technology,legen::V,lay
61541,Basic actions and technology,brechen::V,break
61510,Basic actions and technology,aufhängen::V,hang up
61539,Basic actions and technology,binden::V,tie
61538,Basic actions and technology,abschneiden::V,cut off
61537,Basic actions and technology,abreißen::V,tear off
61514,Basic actions and technology,verlieren::V,lose
60909,Basic actions and technology,Ruf::N,call
61515,Basic actions and technology,fallen lassen::V,drop
61532,Basic actions and technology,drücken::V,press
61516,Basic actions and technology,machen::V,make
61518,Basic actions and technology,bauen::V,build
61519,Basic actions and technology,reparieren::V,mend
61520,Basic actions and technology,verbessern::V,improve
60917,Basic actions and technology,Arbeit::N,work
60919,Basic actions and technology,Geschenk::N,gift
61481,Basic actions and technology,flüchten::V,escape
61042,Basic actions and technology,Farbe::N,paint
60956,Basic actions and technology,Menge::N,amount
60963,Basic actions and technology,Lagerfeuer::N,campfire
60853,Basic actions and technology,Schlinge::N,noose
61548,Basic actions and technology,schneiden::V,cut
61547,Basic actions and technology,schleifen::V,grind
61546,Basic actions and technology,streichen::V,spread
60857,Basic actions and technology,Eisen::N,iron
60858,Basic actions and technology,Gold::N,gold
60859,Basic actions and technology,Silber::N,silver
61545,Basic actions and technology,reiben::V,rub
60861,Basic actions and technology,Glas::N,glass
60862,Basic actions and technology,Lehm::N,clay
61015,Basic actions and technology,Sack::N,sack
61013,Basic actions and technology,Deckel::N,cover
61012,Basic actions and technology,Eimer::N,bucket
61011,Basic actions and technology,Tasche::N,bag
61010,Basic actions and technology,Bündel::N,bundle
61009,Basic actions and technology,Beutel::N,pouch
61447,Basic actions and technology,schaukeln::V,seesaw
61004,Basic actions and technology,Griff::N,handle
61002,Basic actions and technology,Netz::N,net
61001,Basic actions and technology,Nagel::N,nail
60995,Basic actions and technology,Besen::N,broom
61457,Basic actions and technology,anhalten::V,stop
61470,Basic actions and technology,vorbereiten::V,prepare
61474,Basic actions and technology,rühren::V,move
60964,Basic actions and technology,Last::N,load
60957,Basic actions and technology,Haufen::N,heap
