src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
Abend,evening,Abend,evening,1.0,1.0
Abend,evening,Mittag,noon,0.67548764,0.6984582
Abend,evening,Kälte,chill,0.63578916,0.36684233
Abend,evening,hungrig,hungry,0.6266638,0.20851056
Abend,evening,läuten,chime,0.6036593,0.27459055
Abend,evening,Sünde,sin,0.5990387,0.17215654
Abend,evening,vorher,before,0.5915394,0.3561839
Abend,evening,hierhin,hither,0.58447146,0.41715774
Abend,evening,stoßen,shove,0.581952,0.34442636
Abend,evening,prahlen,brag,0.58048123,0.30677226
Abend,evening,Träne,tear,0.57414126,0.3361709
Abend,evening,fallen lassen,drop,0.5740427,0.2210463
Abend,evening,Mütze,cap,0.5738582,0.09603488
Abend,evening,nähen,sew,0.57349783,0.0156555
Abend,evening,morgen,tomorrow,0.57319486,0.09398471
Abend,evening,eintreten,enter,0.5703616,0.16126928
Abend,evening,hinfallen,tumble,0.56902826,0.26545945
Abend,evening,anhalten,stop,0.5630899,0.16899283
Abend,evening,auswählen,select,0.5603562,0.29936332
Abend,evening,Gang,walk,0.55745906,0.2610318
Abend,evening,aufhören,stop,0.55528957,0.16899283
Abend,evening,vorwärts,forward,0.54738563,0.18384947
Abend,evening,Fliege,fly,0.5469336,0.09359058
Abend,evening,Arznei,medicine,0.54598534,0.20310692
Abend,evening,zurücklassen,leave,0.5445306,0.17468846
Abhang,slope,Abhang,slope,1.0,1.0
Abhang,slope,Stamm,trunk,0.61470157,0.6940602
Abhang,slope,Eimer,bucket,0.57777053,0.5472373
Abhang,slope,abreißen,tear off,0.55540186,0.52296054
Abhang,slope,Geruch,odour,0.5471435,-0.044555787
Abhang,slope,Gürtel,belt,0.54113084,0.68206894
Abhang,slope,Gegenstand,item,0.5278487,0.44477028
Abhang,slope,Monat,month,0.52761215,0.19231957
Abhang,slope,Kessel,kettle,0.52665335,0.46277687
Abhang,slope,nähen,sew,0.52125734,0.01018738
Abhang,slope,Ellenbogen,elbow,0.51989263,0.5374763
Abhang,slope,Apfel,apple,0.5194727,0.16157378
Abhang,slope,hochheben,lift,0.5178968,0.33942968
Abhang,slope,Nebel,fog,0.5157148,0.65770507
Abhang,slope,Rauch,smoke,0.5096855,0.44377086
Abhang,slope,Platz,space,0.5089335,0.33159828
Abhang,slope,Höhle,cave,0.5083783,0.49518886
Abhang,slope,graben,dig,0.50789183,0.58540946
Abhang,slope,Gipfel,summit,0.50343156,0.3474116
Abhang,slope,stumpf,blunt,0.5026824,0.26291797
Abhang,slope,stehlen,steal,0.5017051,0.37386015
Abhang,slope,Anhöhe,elevation,0.49731347,0.72086513
Abhang,slope,Abstand,gap,0.4969215,0.54016083
Abhang,slope,Entfernung,distance,0.4939133,0.5743669
Abhang,slope,zerreißen,tear,0.4930324,0.3724668
Abstand,gap,Abstand,gap,1.0,1.0
Abstand,gap,stoßen,shove,0.6934478,0.35152403
Abstand,gap,Kohle,coal,0.6773892,0.3754106
Abstand,gap,Gewicht,weight,0.6771449,0.37377954
Abstand,gap,dünn,thin,0.66224056,0.35662293
Abstand,gap,Gegenstand,item,0.6458204,0.24309069
Abstand,gap,schmelzen,melt,0.6434639,0.48220876
Abstand,gap,kalt,cold,0.6412541,0.37144807
Abstand,gap,Fußboden,floor,0.6403752,0.26027226
Abstand,gap,klopfen,knock,0.6272731,0.15422648
Abstand,gap,trocknen,dry,0.6239388,0.32871485
Abstand,gap,melken,milk,0.6213151,0.2661677
Abstand,gap,kräftig,powerful,0.61307245,0.32534003
Abstand,gap,Träne,tear,0.60681504,0.11153013
Abstand,gap,aufwachen,wake up,0.60616934,0.42619818
Abstand,gap,Körper,body,0.60446376,0.30798844
Abstand,gap,betrügen,cheat,0.6037198,0.3687408
Abstand,gap,reifen,ripen,0.60215265,-0.0882535
Abstand,gap,aufhängen,hang up,0.60127133,0.25296485
Abstand,gap,aufstehen,get up,0.5998521,0.008409039
Abstand,gap,nackt,naked,0.5961167,0.33959568
Abstand,gap,Traum,dream,0.5952218,0.32289907
Abstand,gap,schmerzen,ache,0.5950725,0.39250928
Abstand,gap,läuten,chime,0.5940799,0.23844832
Abstand,gap,kratzen,scrape,0.5934601,0.41692695
Ader,vein,Ader,vein,1.0,1.0
Ader,vein,Hase,hare,0.23318927,0.4083179
Ader,vein,Rohr,pipe,0.19810334,0.47668582
Ader,vein,Knie,knee,0.19502166,0.3459755
Ader,vein,Ton,tone,0.19146052,0.5104778
Ader,vein,dumm,stupid,0.19086216,0.7119715
Ader,vein,sehen,see,0.19022745,0.30491224
Ader,vein,Baum,tree,0.17746748,0.3807159
