src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
Abend,õhtu,Abend,õhtu,1.0,0.99999994
Abend,õhtu,Mittag,lõuna,0.67548764,0.056077685
Abend,õhtu,Mittag,keskpäev,0.67548764,0.077238455
Abend,õhtu,Kälte,külm,0.63578916,-0.10018448
Abend,õhtu,Kälte,külmus,0.63578916,0.08747969
Abend,õhtu,hungrig,näljane,0.6266638,0.12643239
Abend,õhtu,läuten,helisema,0.6036593,0.036541175
Abend,õhtu,Sünde,patt,0.5990387,-0.06597575
Abend,õhtu,vorher,enne,0.5915394,0.10955567
Abend,õhtu,hierhin,siia,0.58447146,-0.07482909
Abend,õhtu,stoßen,tõukama,0.581952,-0.12058242
Abend,õhtu,prahlen,hooplema,0.58048123,0.008692168
Abend,õhtu,Träne,pisar,0.57414126,0.013350118
Abend,õhtu,fallen lassen,maha pillama,0.5740427,0.041476533
Abend,õhtu,fallen lassen,kukkuda laskma,0.5740427,-0.03605806
Abend,õhtu,Mütze,müts,0.5738582,-0.021041885
Abend,õhtu,nähen,õmblema,0.57349783,0.018669087
Abend,õhtu,morgen,homme,0.57319486,0.046262592
Abend,õhtu,eintreten,sisenema,0.5703616,-0.03539702
Abend,õhtu,eintreten,sisse astuma,0.5703616,-0.018474076
Abend,õhtu,hinfallen,kukkuma,0.56902826,-0.06973248
Abend,õhtu,hinfallen,maha kukkuma,0.56902826,0.015201576
Abend,õhtu,anhalten,peatuma,0.5630899,0.03741795
Abend,õhtu,auswählen,valima,0.5603562,0.0019263886
Abend,õhtu,Gang,käik,0.55745906,0.0009168759
Abend,õhtu,aufhören,lakkama,0.55528957,-0.05428236
Abend,õhtu,vorwärts,edasi,0.54738563,-0.16913852
Abend,õhtu,Fliege,kärbes,0.5469336,-0.106048785
Abend,õhtu,Arznei,ravim,0.54598534,-0.10556027
Abend,õhtu,zurücklassen,jätma,0.5445306,0.13438603
Abhang,nõlvak,Abhang,nõlvak,1.0,1.0
Abhang,nõlvak,Stamm,tüvi,0.61470157,0.0355655
Abhang,nõlvak,Eimer,pang,0.57777053,0.12966019
Abhang,nõlvak,Eimer,ämber,0.57777053,0.010639368
Abhang,nõlvak,abreißen,rebima,0.55540186,0.10146761
Abhang,nõlvak,abreißen,ära rebima,0.55540186,0.09932679
Abhang,nõlvak,Geruch,lõhn,0.5471435,0.11603202
Abhang,nõlvak,Gürtel,vöö,0.54113084,0.09224723
Abhang,nõlvak,Gegenstand,ese,0.5278487,-0.033265293
Abhang,nõlvak,Monat,kuu,0.52761215,-0.048184074
Abhang,nõlvak,Kessel,pada,0.52665335,-0.041829243
Abhang,nõlvak,nähen,õmblema,0.52125734,-0.12543385
Abhang,nõlvak,Ellenbogen,küünarnukk,0.51989263,0.032940075
Abhang,nõlvak,Apfel,õun,0.5194727,0.053590123
Abhang,nõlvak,hochheben,üles tõstma,0.5178968,-0.0018353239
Abhang,nõlvak,hochheben,kõrgele tõstma,0.5178968,-0.018566422
Abhang,nõlvak,Nebel,udu,0.5157148,0.027604517
Abhang,nõlvak,Rauch,suits,0.5096855,0.005813379
Abhang,nõlvak,Platz,ruum,0.5089335,-0.08604455
Abhang,nõlvak,Höhle,koobas,0.5083783,-0.01282077
Abhang,nõlvak,graben,kaevama,0.50789183,-0.057954945
Abhang,nõlvak,Gipfel,mäetipp,0.50343156,0.14671817
Abhang,nõlvak,stumpf,nüri,0.5026824,-0.089911
Abhang,nõlvak,stehlen,varastama,0.5017051,-0.045968473
Abhang,nõlvak,Anhöhe,küngas,0.49731347,-0.050232165
