src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
Abend,शाम,Abend,शाम,1.0,1.0
Abend,शाम,Abend,संध्या,1.0,0.21750164
Abend,संध्या,Abend,शाम,1.0,0.21750164
Abend,संध्या,Abend,संध्या,1.0,1.0
Abend,शाम,Mittag,दोपहर,0.67548764,-0.02981668
Abend,शाम,Mittag,मध्याह्न,0.67548764,0.0735896
Abend,संध्या,Mittag,दोपहर,0.67548764,-0.10030494
Abend,संध्या,Mittag,मध्याह्न,0.67548764,0.04834006
Abend,शाम,Kälte,सर्दी,0.63578916,-0.03183438
Abend,शाम,Kälte,शीतलता,0.63578916,0.10824439
Abend,संध्या,Kälte,सर्दी,0.63578916,0.053417668
Abend,संध्या,Kälte,शीतलता,0.63578916,-0.057557136
Abend,शाम,hungrig,भूखा,0.6266638,0.022837702
Abend,संध्या,hungrig,भूखा,0.6266638,-0.029785607
Abend,शाम,läuten,बजना,0.6036593,0.06378066
Abend,संध्या,läuten,बजना,0.6036593,-0.08634258
Abend,शाम,Sünde,पाप,0.5990387,-0.041176215
Abend,शाम,Sünde,गुनाह,0.5990387,0.05405094
Abend,संध्या,Sünde,पाप,0.5990387,-0.13880073
Abend,संध्या,Sünde,गुनाह,0.5990387,0.017024431
Abend,शाम,vorher,पहले,0.5915394,0.013319261
Abend,शाम,vorher,पेशतर,0.5915394,0.11998615
Abend,संध्या,vorher,पहले,0.5915394,0.056998212
Abend,संध्या,vorher,पेशतर,0.5915394,0.06693001
Abend,शाम,hierhin,इधर को,0.58447146,0.046158362
Abend,शाम,hierhin,यहाँ को,0.58447146,-0.021429759
Abend,संध्या,hierhin,इधर को,0.58447146,0.09510523
Abend,संध्या,hierhin,यहाँ को,0.58447146,0.043143544
Abend,शाम,stoßen,धक्का देना,0.581952,0.21976404
Abend,शाम,stoßen,झटका देना,0.581952,0.1324848
Abend,संध्या,stoßen,धक्का देना,0.581952,0.10622056
Abend,संध्या,stoßen,झटका देना,0.581952,0.020074293
Abend,शाम,prahlen,शेख़ी बघारना,0.58048123,-0.05793302
Abend,संध्या,prahlen,शेख़ी बघारना,0.58048123,0.075499676
Abend,शाम,Träne,आँसू,0.57414126,-0.13729553
Abend,शाम,Träne,अश्रु,0.57414126,0.017963156
Abend,संध्या,Träne,आँसू,0.57414126,-0.14130726
Abend,संध्या,Träne,अश्रु,0.57414126,-0.107419744
Abend,शाम,fallen lassen,गिराना,0.5740427,0.069659576
Abend,संध्या,fallen lassen,गिराना,0.5740427,0.001413919
Abend,शाम,Mütze,टोपी,0.5738582,-0.21919796
Abend,संध्या,Mütze,टोपी,0.5738582,-0.04187331
Abend,शाम,nähen,सीना,0.57349783,-0.1400134
Abend,संध्या,nähen,सीना,0.57349783,-0.16164985
Abend,शाम,morgen,कल,0.57319486,0.27606094
Abend,संध्या,morgen,कल,0.57319486,0.06963943
Abend,शाम,eintreten,प्रवेश करना,0.5703616,-0.08877686
Abend,संध्या,eintreten,प्रवेश करना,0.5703616,0.027497124
Abend,शाम,hinfallen,गिरना,0.56902826,0.19863944
Abend,संध्या,hinfallen,गिरना,0.56902826,0.16197805
Abend,शाम,anhalten,रुकना,0.5630899,0.026352197
Abend,शाम,anhalten,खड़ा होना,0.5630899,0.0847248
Abend,संध्या,anhalten,रुकना,0.5630899,-0.15446942
Abend,संध्या,anhalten,खड़ा होना,0.5630899,-0.046466187
Abend,शाम,auswählen,चुनना,0.5603562,0.20602193
Abend,संध्या,auswählen,चुनना,0.5603562,0.090405405
Abend,शाम,Gang,चाल,0.55745906,-0.1606267
Abend,संध्या,Gang,चाल,0.55745906,-0.0421891
Abend,शाम,aufhören,बंद जाना,0.55528957,-0.11380483
Abend,शाम,aufhören,समाप्त जाना,0.55528957,-0.0164273
Abend,संध्या,aufhören,बंद जाना,0.55528957,-0.027344473
Abend,संध्या,aufhören,समाप्त जाना,0.55528957,-0.095582135
Abend,शाम,vorwärts,आगे,0.54738563,0.08722435
Abend,शाम,vorwärts,आगे को,0.54738563,-0.078165025
Abend,संध्या,vorwärts,आगे,0.54738563,-0.021083303
Abend,संध्या,vorwärts,आगे को,0.54738563,-0.044856936
Abend,शाम,Fliege,मक्खी,0.5469336,0.0051921196
Abend,शाम,Fliege,मक्षिका,0.5469336,-0.1891407
Abend,संध्या,Fliege,मक्खी,0.5469336,-0.070777655
Abend,संध्या,Fliege,मक्षिका,0.5469336,-0.12122105
Abend,शाम,Arznei,दवा,0.54598534,-0.0015020911
Abend,शाम,Arznei,औषाधि,0.54598534,0.06025168
Abend,संध्या,Arznei,दवा,0.54598534,0.10413891
Abend,संध्या,Arznei,औषाधि,0.54598534,-0.02131809
Abend,शाम,zurücklassen,पीछे छोड़ना,0.5445306,0.009788454
Abend,संध्या,zurücklassen,पीछे छोड़ना,0.5445306,-0.14178851
Abhang,ढाल,Abhang,ढाल,1.0,1.0
Abhang,ढाल,Abhang,ढलान,1.0,0.14700636
Abhang,ढलान,Abhang,ढाल,1.0,0.14700636
Abhang,ढलान,Abhang,ढलान,1.0,1.0
Abhang,ढाल,Stamm,धड़,0.61470157,-0.16255455
Abhang,ढलान,Stamm,धड़,0.61470157,-0.20791207
Abhang,ढाल,Eimer,बाल्टी,0.57777053,-0.18402153
Abhang,ढलान,Eimer,बाल्टी,0.57777053,0.13992348
