src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
April,April,April,April,0.9999998,1.0
April,April,January,Januar,0.8788915,0.8757967
April,April,February,Februar,0.8691562,0.8776883
April,April,September,September,0.8548576,0.84248245
April,April,December,Dezember,0.844434,0.8726039
April,April,October,Oktober,0.84333646,0.8751769
April,April,August,August,0.829038,0.8270408
April,April,November,November,0.8263266,0.86459947
April,April,sleigh,Schlitten,0.6123593,0.12534633
April,April,Tuesday,Dienstag,0.55806136,0.6375227
April,April,Wednesday,Mittwoch,0.55070215,0.61173946
April,April,Sunday,Sonntag,0.5227665,0.5651545
April,April,Friday,Freitag,0.52068305,0.60355234
April,April,Monday,Montag,0.5112789,0.5629461
April,April,Thursday,Donnerstag,0.49217921,0.53551906
April,April,yesterday,gestern,0.47273302,0.21273746
April,April,Saturday,Samstag,0.46345237,0.58600986
April,April,begin,beginnen,0.45082238,0.31658015
April,April,summer,Sommer,0.45052782,0.5032974
April,April,evening,Abend,0.4380685,0.39828685
April,April,foam,Schaum,0.43658197,0.11200847
April,April,stove,Ofen,0.43575463,0.09225286
April,April,mend,reparieren,0.42665952,0.21711251
April,April,before,vorher,0.42574987,0.23585618
April,April,day,Tag,0.42296222,-0.06475176
August,August,August,August,0.9999999,1.0
August,August,September,September,0.8766665,0.8889016
August,August,April,April,0.829038,0.8270408
August,August,January,Januar,0.8252521,0.84214485
August,August,October,Oktober,0.8234244,0.87667835
August,August,November,November,0.8153721,0.85911137
August,August,December,Dezember,0.80451137,0.85467386
August,August,February,Februar,0.7914958,0.84153575
August,August,sleigh,Schlitten,0.5443089,0.12611163
August,August,stove,Ofen,0.51403147,0.15222068
August,August,next to,neben,0.49025157,0.08660217
August,August,day,Tag,0.4805982,-0.07382652
August,August,wake up,aufwachen,0.47970754,0.26419926
August,August,spoon,Löffel,0.47826427,0.3592916
August,August,hurry,sich beeilen,0.4737974,0.13979077
August,August,foam,Schaum,0.47287235,0.2323279
August,August,noon,Mittag,0.46044457,0.68664175
August,August,roar,brausen,0.45158982,0.18134072
August,August,Tuesday,Dienstag,0.44669726,0.6410165
August,August,campfire,Lagerfeuer,0.44435415,0.45620346
August,August,Wednesday,Mittwoch,0.4435025,0.607259
August,August,fir,Tanne,0.4430614,0.22618079
August,August,month,Monat,0.4399001,0.36072618
August,August,evening,Abend,0.43601444,0.40329522
August,August,turn around,umdrehen,0.4349217,0.25355127
December,Dezember,December,Dezember,1.0,1.0
December,Dezember,November,November,0.9692992,0.9740163
December,Dezember,September,September,0.95195335,0.9597154
December,Dezember,October,Oktober,0.90709376,0.91147125
December,Dezember,January,Januar,0.8876092,0.8700816
December,Dezember,February,Februar,0.86462116,0.8775424
December,Dezember,April,April,0.844434,0.8726039
December,Dezember,August,August,0.80451137,0.85467386
December,Dezember,sleigh,Schlitten,0.5578786,0.15173218
December,Dezember,Tuesday,Dienstag,0.52751744,0.67110753
December,Dezember,Wednesday,Mittwoch,0.5244744,0.6238722
December,Dezember,Friday,Freitag,0.478847,0.5899591
December,Dezember,Thursday,Donnerstag,0.46751586,0.58047473
December,Dezember,Sunday,Sonntag,0.46004337,0.59335107
December,Dezember,Saturday,Samstag,0.45746395,0.60519034
December,Dezember,again,wieder,0.45304495,0.23692447
December,Dezember,yesterday,gestern,0.44917974,0.26734295
December,Dezember,next to,neben,0.448811,0.14687133
December,Dezember,noon,Mittag,0.4444934,0.6560714
December,Dezember,Monday,Montag,0.4440905,0.5326912
December,Dezember,sit down,sich setzen,0.4374363,0.20418209
December,Dezember,wake up,aufwachen,0.4357927,0.2689666
December,Dezember,begin,beginnen,0.43212128,0.32963207
December,Dezember,later,später,0.43077132,0.32679236
December,Dezember,last,letzter,0.4278569,0.2297689
February,Februar,February,Februar,1.0000001,1.0
February,Februar,January,Januar,0.9394121,0.86886245
February,Februar,September,September,0.88242215,0.8803586
February,Februar,April,April,0.8691562,0.8776883
February,Februar,December,Dezember,0.86462116,0.8775424
February,Februar,November,November,0.8519836,0.8713763
February,Februar,October,Oktober,0.84726197,0.90999174
February,Februar,August,August,0.7914958,0.84153575
February,Februar,sleigh,Schlitten,0.56347287,0.18648775
February,Februar,Wednesday,Mittwoch,0.5399404,0.69890916
February,Februar,Tuesday,Dienstag,0.53606737,0.7235358
February,Februar,Friday,Freitag,0.5086826,0.6522934
February,Februar,Thursday,Donnerstag,0.5025711,0.6308003
February,Februar,Sunday,Sonntag,0.48985654,0.6335015
February,Februar,Monday,Montag,0.45818868,0.59116733
February,Februar,noon,Mittag,0.45448238,0.7079418
February,Februar,Saturday,Samstag,0.4527472,0.6741115
February,Februar,yesterday,gestern,0.44998547,0.2639883
February,Februar,begin,beginnen,0.44819158,0.39918035
February,Februar,morning,Morgen,0.4414269,0.23130772
February,Februar,day,Tag,0.4375398,-0.04889518
February,Februar,wake up,aufwachen,0.43238938,0.27904955
February,Februar,summer,Sommer,0.43066114,0.5711441
February,Februar,evening,Abend,0.4259479,0.49735522
February,Februar,sit down,sich setzen,0.4130002,0.24154297
Friday,Freitag,Friday,Freitag,0.99999994,1.0
Friday,Freitag,Tuesday,Dienstag,0.8446509,0.894505
Friday,Freitag,Thursday,Donnerstag,0.84383637,0.85991704
Friday,Freitag,Wednesday,Mittwoch,0.83847487,0.8916952
Friday,Freitag,Monday,Montag,0.8329195,0.83281064
Friday,Freitag,Sunday,Sonntag,0.8314423,0.86943585
Friday,Freitag,Saturday,Samstag,0.82555974,0.8876958
Friday,Freitag,night,Nacht,0.69346905,0.2255111
Friday,Freitag,yesterday,gestern,0.6430127,0.19803126
Friday,Freitag,noon,Mittag,0.6225377,0.63012296
Friday,Freitag,sit down,sich setzen,0.56208414,0.25843567
Friday,Freitag,January,Januar,0.5211432,0.59597886
Friday,Freitag,April,April,0.520683,0.60355234
Friday,Freitag,show,zu sehen sein,0.5127219,0.19620895
Friday,Freitag,show,zeigen,0.5127219,0.14478417
Friday,Freitag,raw,roh,0.51107,0.2806029
Friday,Freitag,February,Februar,0.5086826,0.6522934
Friday,Freitag,October,Oktober,0.5063106,0.5959132
Friday,Freitag,mushroom,Pilz,0.50146604,-0.053514212
Friday,Freitag,sleigh,Schlitten,0.49996984,0.14713083
Friday,Freitag,morning,Morgen,0.49943864,0.15425521
Friday,Freitag,at that time,damals,0.4969772,0.11044815
Friday,Freitag,evening,Abend,0.482758,0.39062208
Friday,Freitag,broom,Besen,0.4827226,0.23716956
Friday,Freitag,September,September,0.4796173,0.58885795
Friday,Freitag,December,Dezember,0.47884694,0.5899591
January,Januar,January,Januar,1.0,1.0
January,Januar,February,Februar,0.939412,0.86886245
January,Januar,September,September,0.89449495,0.86698973
January,Januar,December,Dezember,0.88760906,0.8700816
January,Januar,April,April,0.8788915,0.8757967
January,Januar,November,November,0.8726478,0.87173843
January,Januar,October,Oktober,0.8690674,0.89015514
January,Januar,August,August,0.82525206,0.84214485
January,Januar,sleigh,Schlitten,0.6022492,0.17012125
January,Januar,Wednesday,Mittwoch,0.5572879,0.6023303
January,Januar,Tuesday,Dienstag,0.551856,0.6415399
