src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
April,aprill,April,aprill,0.9999998,0.99999994
April,aprill,January,jaanuar,0.8788915,0.9047922
April,aprill,February,veebruar,0.8691562,0.8508899
April,aprill,September,september,0.8548576,0.8055955
April,aprill,December,detsember,0.844434,0.8921367
April,aprill,October,oktoober,0.84333646,0.87982666
April,aprill,August,august,0.829038,0.6046205
April,aprill,November,november,0.8263266,0.8893516
April,aprill,sleigh,saan,0.6123593,0.48719966
April,aprill,Tuesday,teisipäev,0.55806136,0.35344702
April,aprill,Wednesday,kesknädal,0.55070215,0.4226024
April,aprill,Sunday,pühapäev,0.5227665,0.0032707974
April,aprill,Friday,reede,0.52068305,0.66871643
April,aprill,Monday,esmaspäev,0.5112789,0.46306396
April,aprill,Thursday,neljapäev,0.49217921,0.3476981
April,aprill,yesterday,eile,0.47273302,0.45105273
April,aprill,Saturday,laupäev,0.46345237,0.13505384
April,aprill,begin,algama,0.45082238,0.5228393
April,aprill,begin,hakkama,0.45082238,0.4477415
April,aprill,summer,suvi,0.45052782,0.6680094
April,aprill,evening,õhtu,0.4380685,0.03510959
April,aprill,foam,vaht,0.43658197,0.5914237
April,aprill,stove,ahi,0.43575463,-0.054631084
April,aprill,mend,parandama,0.42665952,0.36832225
April,aprill,before,enne,0.42574987,0.28844643
April,aprill,day,päev,0.42296222,-0.012561969
August,august,August,august,0.9999999,1.0
August,august,September,september,0.8766665,0.7090241
August,august,April,aprill,0.829038,0.6046205
August,august,January,jaanuar,0.8252521,0.63154805
August,august,October,oktoober,0.8234244,0.61349976
August,august,November,november,0.8153721,0.6125897
August,august,December,detsember,0.80451137,0.6353126
August,august,February,veebruar,0.7914958,0.7134135
August,august,sleigh,saan,0.5443089,0.34423766
August,august,stove,ahi,0.51403147,-0.05843224
August,august,next to,kõrval,0.49025157,0.1200515
August,august,day,päev,0.4805982,0.02621302
August,august,wake up,ärkama,0.47970754,0.3086652
August,august,spoon,lusikas,0.47826427,0.06763382
August,august,hurry,ruttama,0.4737974,0.23283742
August,august,hurry,kiirustama,0.4737974,0.3101483
August,august,foam,vaht,0.47287235,0.4249071
August,august,noon,lõuna,0.46044457,0.07656717
August,august,noon,keskpäev,0.46044457,0.2894998
August,august,roar,kohisema,0.45158982,0.28883243
August,august,Tuesday,teisipäev,0.44669726,0.20671791
August,august,campfire,lõke,0.44435415,-0.032782815
August,august,Wednesday,kesknädal,0.4435025,0.26303643
August,august,fir,nulg,0.4430614,-0.030811936
August,august,month,kuu,0.4399001,0.3366135
August,august,evening,õhtu,0.43601444,0.12689078
August,august,turn around,ümber keerama,0.4349217,0.4232933
December,detsember,December,detsember,1.0,1.0
December,detsember,November,november,0.9692992,0.9686353
December,detsember,September,september,0.95195335,0.8371823
December,detsember,October,oktoober,0.90709376,0.85909677
December,detsember,January,jaanuar,0.8876092,0.9451741
December,detsember,February,veebruar,0.86462116,0.8533921
December,detsember,April,aprill,0.844434,0.8921367
December,detsember,August,august,0.80451137,0.6353126
December,detsember,sleigh,saan,0.5578786,0.5416343
December,detsember,Tuesday,teisipäev,0.52751744,0.4451915
December,detsember,Wednesday,kesknädal,0.5244744,0.43666318
December,detsember,Friday,reede,0.478847,0.6214367
December,detsember,Thursday,neljapäev,0.46751586,0.32792538
December,detsember,Sunday,pühapäev,0.46004337,0.041514494
December,detsember,Saturday,laupäev,0.45746395,0.1347628
December,detsember,again,jälle,0.45304495,0.07749612
December,detsember,yesterday,eile,0.44917974,0.55635804
December,detsember,next to,kõrval,0.448811,0.18881798
December,detsember,noon,lõuna,0.4444934,0.031312335
December,detsember,noon,keskpäev,0.4444934,0.43265834
December,detsember,Monday,esmaspäev,0.4440905,0.49319547
December,detsember,sit down,istet võtma,0.4374363,0.47325063
December,detsember,wake up,ärkama,0.4357927,0.5456009
December,detsember,begin,algama,0.43212128,0.54371953
December,detsember,begin,hakkama,0.43212128,0.4439611
December,detsember,later,hiljem,0.43077132,0.30341333
December,detsember,last,viimane,0.4278569,0.446603
February,veebruar,February,veebruar,1.0000001,1.0
February,veebruar,January,jaanuar,0.9394121,0.87982243
February,veebruar,September,september,0.88242215,0.7899104
February,veebruar,April,aprill,0.8691562,0.8508899
February,veebruar,December,detsember,0.86462116,0.8533921
February,veebruar,November,november,0.8519836,0.8294565
February,veebruar,October,oktoober,0.84726197,0.78464425
February,veebruar,August,august,0.7914958,0.7134135
February,veebruar,sleigh,saan,0.56347287,0.43634152
February,veebruar,Wednesday,kesknädal,0.5399404,0.37756336
February,veebruar,Tuesday,teisipäev,0.53606737,0.31950274
February,veebruar,Friday,reede,0.5086826,0.63721746
February,veebruar,Thursday,neljapäev,0.5025711,0.36214957
February,veebruar,Sunday,pühapäev,0.48985654,0.03559524
February,veebruar,Monday,esmaspäev,0.45818868,0.41325954
February,veebruar,noon,lõuna,0.45448238,0.06589997
February,veebruar,noon,keskpäev,0.45448238,0.3977672
February,veebruar,Saturday,laupäev,0.4527472,0.20595658
February,veebruar,yesterday,eile,0.44998547,0.4421022
February,veebruar,begin,algama,0.44819158,0.48446584
February,veebruar,begin,hakkama,0.44819158,0.39495063
February,veebruar,morning,hommik,0.4414269,0.78749824
February,veebruar,day,päev,0.4375398,0.038024887
February,veebruar,wake up,ärkama,0.43238938,0.49807554
February,veebruar,summer,suvi,0.43066114,0.5902711
February,veebruar,evening,õhtu,0.4259479,0.04574367
February,veebruar,sit down,istet võtma,0.4130002,0.42570505
Friday,reede,Friday,reede,0.99999994,1.0
Friday,reede,Tuesday,teisipäev,0.8446509,0.41538513
Friday,reede,Thursday,neljapäev,0.84383637,0.45868298
Friday,reede,Wednesday,kesknädal,0.83847487,0.516165
Friday,reede,Monday,esmaspäev,0.8329195,0.41907752
Friday,reede,Sunday,pühapäev,0.8314423,0.05650367
Friday,reede,Saturday,laupäev,0.82555974,0.16226463
Friday,reede,night,öö,0.69346905,0.0
Friday,reede,yesterday,eile,0.6430127,0.47559342
Friday,reede,noon,lõuna,0.6225377,0.010227803
Friday,reede,noon,keskpäev,0.6225377,0.57802224
Friday,reede,sit down,istet võtma,0.56208414,0.6801938
Friday,reede,January,jaanuar,0.5211432,0.63081855
Friday,reede,April,aprill,0.520683,0.66871643
Friday,reede,show,ilmuma,0.5127219,0.52584636
Friday,reede,show,näitama,0.5127219,0.5278239
Friday,reede,raw,toores,0.51107,0.56364524
Friday,reede,February,veebruar,0.5086826,0.63721746
Friday,reede,October,oktoober,0.5063106,0.599963
Friday,reede,mushroom,seen,0.50146604,0.4790823
Friday,reede,sleigh,saan,0.49996984,0.4697305
Friday,reede,morning,hommik,0.49943864,0.67469335
Friday,reede,at that time,tookord,0.4969772,0.6671962
