src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
April,avril,April,avril,0.9999998,0.99999994
April,avril,January,janvier,0.8788915,0.7375986
April,avril,February,février,0.8691562,0.50917643
April,avril,September,septembre,0.8548576,0.81881696
April,avril,December,décembre,0.844434,0.76649576
April,avril,October,octobre,0.84333646,0.81746393
April,avril,August,août,0.829038,-0.21828373
April,avril,November,novembre,0.8263266,0.79784656
April,avril,sleigh,traîneau,0.6123593,0.2654007
April,avril,Tuesday,mardi,0.55806136,0.65720135
April,avril,Wednesday,mercredi,0.55070215,0.6602937
April,avril,Sunday,dimanche,0.5227665,0.5786182
April,avril,Friday,vendredi,0.52068305,0.565266
April,avril,Monday,lundi,0.5112789,0.6552969
April,avril,Thursday,jeudi,0.49217921,0.62582725
April,avril,yesterday,hier,0.47273302,0.36789748
April,avril,Saturday,samedi,0.46345237,0.542207
April,avril,begin,commencer,0.45082238,0.2807336
April,avril,summer,été,0.45052782,0.35115296
April,avril,evening,soir,0.4380685,0.54847586
April,avril,evening,soirée,0.4380685,0.50943524
April,avril,foam,écume,0.43658197,0.05031506
April,avril,foam,mousse,0.43658197,0.056939438
April,avril,stove,poêle,0.43575463,0.044954702
April,avril,mend,réparer,0.42665952,0.11033444
April,avril,before,auparavant,0.42574987,0.2716195
April,avril,day,jour,0.42296222,0.40782955
April,avril,day,journée,0.42296222,0.36248827
August,août,August,août,0.9999999,1.0
August,août,September,septembre,0.8766665,-0.18048678
August,août,April,avril,0.829038,-0.21828373
August,août,January,janvier,0.8252521,-0.26648462
August,août,October,octobre,0.8234244,-0.14952722
August,août,November,novembre,0.8153721,-0.16153349
August,août,December,décembre,0.80451137,-0.18737411
August,août,February,février,0.7914958,-0.27850574
August,août,sleigh,traîneau,0.5443089,-0.21658659
August,août,stove,poêle,0.51403147,-0.038579427
August,août,next to,à côté de,0.49025157,0.03240049
August,août,day,jour,0.4805982,-0.017562546
August,août,day,journée,0.4805982,-0.04185334
August,août,wake up,se réveiller,0.47970754,-0.17233592
August,août,spoon,cuiller,0.47826427,-0.109559335
August,août,hurry,se hâter,0.4737974,-0.21763523
August,août,hurry,se dépêcher,0.4737974,-0.048955135
August,août,foam,écume,0.47287235,0.059622735
