src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
April,अप्रैल,April,अप्रैल,0.9999998,1.0
April,अप्रैल,January,जनवरी,0.8788915,0.022252027
April,अप्रैल,February,फ़रवरी,0.8691562,0.07618597
April,अप्रैल,September,सितंबर,0.8548576,0.17617166
April,अप्रैल,December,दिसंबर,0.844434,0.02304213
April,अप्रैल,October,अक्तूबर,0.84333646,-0.046734795
April,अप्रैल,August,अगस्त,0.829038,-0.037081398
April,अप्रैल,November,नवंबर,0.8263266,0.1450071
April,अप्रैल,sleigh,बर्फ़-गाड़ी,0.6123593,0.07979226
April,अप्रैल,Tuesday,मंगलवार,0.55806136,-0.053205762
April,अप्रैल,Wednesday,बुधवार,0.55070215,-0.06138955
April,अप्रैल,Sunday,इतवार,0.5227665,-0.035687536
April,अप्रैल,Sunday,रविवार,0.5227665,-0.1488978
April,अप्रैल,Friday,शुक्रवार,0.52068305,-0.21688914
April,अप्रैल,Monday,पीर,0.5112789,-0.098731905
April,अप्रैल,Monday,सोमवार,0.5112789,-0.010571238
April,अप्रैल,Thursday,गुरुवार,0.49217921,-0.04206536
April,अप्रैल,Thursday,बृहस्पतिवार,0.49217921,0.002763912
April,अप्रैल,yesterday,कल,0.47273302,0.035008863
April,अप्रैल,Saturday,सनीचर,0.46345237,0.1778951
April,अप्रैल,Saturday,शनिवार,0.46345237,-0.1761541
April,अप्रैल,begin,आरंभ होना,0.45082238,-0.034272622
April,अप्रैल,begin,प्रारंभ होना,0.45082238,0.014336575
April,अप्रैल,summer,गरमी,0.45052782,0.04689997
April,अप्रैल,summer,ग्रीष्म,0.45052782,0.07167757
April,अप्रैल,evening,शाम,0.4380685,0.21243557
April,अप्रैल,evening,संध्या,0.4380685,-0.011413585
April,अप्रैल,foam,झाग,0.43658197,0.14300431
April,अप्रैल,stove,चूल्हा,0.43575463,-0.012931053
April,अप्रैल,mend,मरम्मत करना,0.42665952,-0.08042076
April,अप्रैल,before,पहले,0.42574987,-0.20809585
April,अप्रैल,before,पेशतर,0.42574987,0.053917136
April,अप्रैल,day,दिन,0.42296222,0.052028794
April,अप्रैल,day,रोज़,0.42296222,0.06332704
August,अगस्त,August,अगस्त,0.9999999,0.99999994
August,अगस्त,September,सितंबर,0.8766665,0.13142516
August,अगस्त,April,अप्रैल,0.829038,-0.037081398
August,अगस्त,January,जनवरी,0.8252521,0.10702435
August,अगस्त,October,अक्तूबर,0.8234244,-0.035195176
August,अगस्त,November,नवंबर,0.8153721,-0.17410031
August,अगस्त,December,दिसंबर,0.80451137,0.20940818
August,अगस्त,February,फ़रवरी,0.7914958,0.04699865
August,अगस्त,sleigh,बर्फ़-गाड़ी,0.5443089,0.11048165
August,अगस्त,stove,चूल्हा,0.51403147,0.063024096
August,अगस्त,next to,के पास,0.49025157,-0.0958487
August,अगस्त,next to,की बग़ल में,0.49025157,-0.13526477
August,अगस्त,day,दिन,0.4805982,0.27719355
August,अगस्त,day,रोज़,0.4805982,-0.0510199
August,अगस्त,wake up,जागना,0.47970754,0.155137
August,अगस्त,spoon,चम्मच,0.47826427,0.14065842
August,अगस्त,hurry,जल्दी करना,0.4737974,-0.04756492
August,अगस्त,hurry,शीघ्रता करना,0.4737974,0.12088224
August,अगस्त,foam,झाग,0.47287235,0.1149289
August,अगस्त,noon,दोपहर,0.46044457,-0.027943114
August,अगस्त,noon,मध्याह्न,0.46044457,0.07003319
August,अगस्त,roar,साँय-साँय करना,0.45158982,-0.02781075
August,अगस्त,Tuesday,मंगलवार,0.44669726,0.10632968
August,अगस्त,campfire,अलाव,0.44435415,0.031925153
August,अगस्त,campfire,कैंप-फ़ायर,0.44435415,0.12573963
August,अगस्त,Wednesday,बुधवार,0.4435025,0.035426512
August,अगस्त,fir,फ़र,0.4430614,0.06274937
August,अगस्त,month,मास,0.4399001,-0.12894678
