src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
April,四月,April,四月,0.9999998,0.0
April,四月,January,一月,0.8788915,0.0
April,四月,February,二月,0.8691562,0.0
April,四月,September,九月,0.8548576,0.0
April,四月,December,十二月,0.844434,0.0
April,四月,October,十月,0.84333646,0.0
April,四月,August,八月,0.829038,0.0
April,四月,November,十一月,0.8263266,0.0
April,四月,sleigh,そり,0.6123593,0.0
April,四月,Tuesday,火曜日,0.55806136,0.0
April,四月,Wednesday,水曜日,0.55070215,0.0
April,四月,Sunday,日曜日,0.5227665,0.0
April,四月,Friday,金曜日,0.52068305,0.0
April,四月,Monday,月曜日,0.5112789,0.0
April,四月,Thursday,木曜日,0.49217921,0.0
April,四月,yesterday,昨日,0.47273302,0.0
April,四月,Saturday,土曜日,0.46345237,0.0
April,四月,begin,始まる,0.45082238,0.0
April,四月,summer,夏,0.45052782,0.0
April,四月,evening,晩,0.4380685,0.0
April,四月,evening,夕方,0.4380685,0.0
April,四月,foam,泡,0.43658197,0.0
April,四月,stove,ストーブ,0.43575463,0.0
April,四月,mend,直す,0.42665952,0.0
April,四月,mend,修理する,0.42665952,0.0
April,四月,before,以前に,0.42574987,0.0
April,四月,day,日,0.42296222,0.0
August,八月,August,八月,0.9999999,0.0
August,八月,September,九月,0.8766665,0.0
August,八月,April,四月,0.829038,0.0
August,八月,January,一月,0.8252521,0.0
August,八月,October,十月,0.8234244,0.0
August,八月,November,十一月,0.8153721,0.0
August,八月,December,十二月,0.80451137,0.0
August,八月,February,二月,0.7914958,0.0
August,八月,sleigh,そり,0.5443089,0.0
August,八月,stove,ストーブ,0.51403147,0.0
August,八月,next to,横に,0.49025157,0.0
August,八月,day,日,0.4805982,0.0
August,八月,wake up,目が覚める,0.47970754,0.0
August,八月,spoon,スプーン,0.47826427,0.0
August,八月,hurry,焦る,0.4737974,0.0
August,八月,foam,泡,0.47287235,0.0
August,八月,noon,昼,0.46044457,0.0
August,八月,roar,逆巻く,0.45158982,0.0
August,八月,Tuesday,火曜日,0.44669726,0.0
August,八月,campfire,篝火,0.44435415,0.0
