src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aas,Wiese,aas,Wiese,1.0,1.0
aas,Wiese,aas,Schlinge,1.0,0.49386007
aas,Schlinge,aas,Wiese,1.0,0.49386007
aas,Schlinge,aas,Schlinge,1.0,1.0
aas,Wiese,ahven,Barsch,0.9513547,0.21817963
aas,Schlinge,ahven,Barsch,0.9513547,0.19568922
aas,Wiese,vikerkaar,Regenbogen,0.9416036,0.43404874
aas,Schlinge,vikerkaar,Regenbogen,0.9416036,0.5010104
aas,Wiese,sarv,Horn,0.9247092,-0.18463472
aas,Schlinge,sarv,Horn,0.9247092,-0.22531821
aas,Wiese,seeme,Saat,0.9189388,0.048599135
aas,Schlinge,seeme,Saat,0.9189388,0.046247646
aas,Wiese,suusk,Ski,0.91751295,0.10811198
aas,Schlinge,suusk,Ski,0.91751295,0.1314199
aas,Wiese,leib,Brot,0.91304404,0.10249154
aas,Schlinge,leib,Brot,0.91304404,0.16877058
aas,Wiese,mure,Kummer,0.9097787,0.16143256
aas,Schlinge,mure,Kummer,0.9097787,0.18752101
aas,Wiese,rohi,Gras,0.90558434,0.05376798
aas,Schlinge,rohi,Gras,0.90558434,0.058408257
aas,Wiese,kurg,Kranich,0.8984426,0.22353934
aas,Schlinge,kurg,Kranich,0.8984426,0.17650668
aas,Wiese,palavik,Fieber,0.89750504,0.21865335
aas,Schlinge,palavik,Fieber,0.89750504,0.29981774
aas,Wiese,lumi,Schnee,0.894138,0.4940662
aas,Schlinge,lumi,Schnee,0.894138,0.6211752
aas,Wiese,pilv,Wolke,0.89069766,0.39334792
aas,Schlinge,pilv,Wolke,0.89069766,0.6926899
aas,Wiese,teravik,Spitze,0.88875085,0.07621497
aas,Schlinge,teravik,Spitze,0.88875085,0.24612427
aas,Wiese,karusnahk,Fell,0.88726926,0.277476
aas,Schlinge,karusnahk,Fell,0.88726926,0.3670387
aas,Wiese,lõualuu,Kiefer,0.8817165,0.32670063
aas,Schlinge,lõualuu,Kiefer,0.8817165,0.56964105
aas,Wiese,raba,Moor,0.87731856,0.10267913
aas,Schlinge,raba,Moor,0.87731856,0.11780685
aas,Wiese,haug,Hecht,0.87244475,0.26665258
aas,Schlinge,haug,Hecht,0.87244475,0.33785176
aas,Wiese,palavus,Hitze,0.8704183,0.14505902
aas,Schlinge,palavus,Hitze,0.8704183,0.4222413
aas,Wiese,kakk,Eule,0.8700793,0.0021889769
aas,Schlinge,kakk,Eule,0.8700793,-0.14453489
aas,Wiese,sang,Griff,0.8675947,0.09979871
aas,Schlinge,sang,Griff,0.8675947,0.171259
aas,Wiese,huul,Lippe,0.8669074,0.22044876
aas,Schlinge,huul,Lippe,0.8669074,0.23429497
aas,Wiese,hammas,Zahn,0.86639935,0.10033836
aas,Schlinge,hammas,Zahn,0.86639935,0.23340063
aas,Wiese,tara,Zaun,0.8659137,0.053963445
aas,Schlinge,tara,Zaun,0.8659137,-0.12876044
aas,Wiese,kamm,Kamm,0.8647277,0.017573282
aas,Schlinge,kamm,Kamm,0.8647277,-0.003091883
aasta,Jahr,aasta,Jahr,1.0000001,1.0
aasta,Jahr,tuhat,tausend,0.5004866,-0.052923694
aasta,Jahr,reis,Oberschenkel,0.49287477,-0.07393736
aasta,Jahr,määrdunud,schmutzig,0.48441756,-0.007011829
aasta,Jahr,kingitus,Geschenk,0.47876605,-0.24430157
aasta,Jahr,andma,geben,0.475684,-0.023341402
aasta,Jahr,andma,reichen,0.475684,-0.041538525
aasta,Jahr,kuu,Mond,0.46537727,0.0013799742
aasta,Jahr,kuu,Monat,0.46537727,0.00065471977
aasta,Jahr,maismaa,Festland,0.46470216,-0.0452685
aasta,Jahr,jahtima,jagen,0.46384904,0.12411274
aasta,Jahr,kogunema,sich versammeln,0.4611222,-0.01043972
aasta,Jahr,sõudma,rudern,0.45824525,0.08592196
aasta,Jahr,pood,Laden,0.45649388,0.11687696
aasta,Jahr,jõudma,geraten,0.45627046,-0.008279022
aasta,Jahr,kant,Kante,0.45386216,-0.04178318
aasta,Jahr,peitma,verstecken,0.4519837,0.05155092
aasta,Jahr,peitma,verbergen,0.4519837,0.10280672
aasta,Jahr,täitma,füllen,0.4518218,0.07213299
aasta,Jahr,katki rebima,zerreißen,0.45081264,0.02960901
aasta,Jahr,astuma,schreiten,0.4500856,0.109481685
aasta,Jahr,sõitma,fahren,0.44900456,0.16247463
aasta,Jahr,uppuma,versinken,0.44547728,0.092884034
aasta,Jahr,võitma,siegen,0.44510755,-0.04393459
aasta,Jahr,hommik,Morgen,0.4449356,0.11720139
aasta,Jahr,üheksakümmend,neunzig,0.44481358,-0.13615292
aasta,Jahr,tulu,Nutzen,0.44228303,0.13439353
aasta,Jahr,ära sõitma,abfahren,0.44218636,0.09874119
abi,Hilfe,abi,Hilfe,1.0000001,1.0
abi,Hilfe,lubama,versprechen,0.7923413,0.5700736
abi,Hilfe,vihastuma,sich ärgern,0.7809613,0.54704195
abi,Hilfe,võnkuma,schwingen,0.7801613,0.34871244
abi,Hilfe,pöörduma,sich drehen,0.77687424,0.39200705
abi,Hilfe,mööduma,vergehen,0.7699748,0.58995247
abi,Hilfe,sisenema,hineingehen,0.7675217,0.5357034
abi,Hilfe,sisenema,eintreten,0.7675217,0.32572043
abi,Hilfe,lootma,erwarten,0.7668828,0.4475773
abi,Hilfe,rikkuma,verderben,0.7655841,0.44105732
abi,Hilfe,rikkuma,beschädigen,0.7655841,0.49760473
abi,Hilfe,hoidma,halten,0.76474863,0.2742156
abi,Hilfe,hoidma,bewahren,0.76474863,0.46778494
abi,Hilfe,kogunema,sich versammeln,0.76192,0.4162891
abi,Hilfe,saatma,schicken,0.7617869,0.47329018
abi,Hilfe,maksma,zahlen,0.7612798,0.367846
abi,Hilfe,proovima,probieren,0.7609674,0.5218024
abi,Hilfe,takistama,behindern,0.7572209,0.5221197
abi,Hilfe,kartma,sich fürchten,0.7571675,0.5386039
abi,Hilfe,kartma,fürchten,0.7571675,0.5672288
abi,Hilfe,juhtuma,passieren,0.7563373,0.35501343
abi,Hilfe,unustama,vergessen,0.7515885,0.35836568
abi,Hilfe,otsima,suchen,0.75075394,0.5231868
abi,Hilfe,räpane,schmutzig,0.747797,0.4630988
abi,Hilfe,vaene,arm,0.7449995,0.34470716
abi,Hilfe,minema,gehen,0.7435254,0.35633138
abi,Hilfe,välja minema,weggehen,0.74081266,0.57739985
abi,Hilfe,vaatama,anschauen,0.73732144,0.40506476
abi,Hilfe,vaatama,ansehen,0.73732144,0.39453864
abi,Hilfe,küsima,fragen,0.7348203,0.52758765
abikaasa,Ehemann,abikaasa,Ehemann,1.0000001,1.0
abikaasa,Ehemann,abikaasa,Ehefrau,1.0000001,0.6456226
abikaasa,Ehefrau,abikaasa,Ehemann,1.0000001,0.6456226
abikaasa,Ehefrau,abikaasa,Ehefrau,1.0000001,1.0
abikaasa,Ehemann,vend,Bruder,0.8915717,0.6728082
abikaasa,Ehefrau,vend,Bruder,0.8915717,0.6884527
abikaasa,Ehemann,vanaisa,Großvater,0.8861001,0.66602963
abikaasa,Ehefrau,vanaisa,Großvater,0.8861001,0.7189436
abikaasa,Ehemann,onu,Onkel,0.88462174,0.58183825
abikaasa,Ehefrau,onu,Onkel,0.88462174,0.5923147
abikaasa,Ehemann,arst,Arzt,0.8787064,-0.081815444
abikaasa,Ehefrau,arst,Arzt,0.8787064,-0.092169195
abikaasa,Ehemann,naerma,lachen,0.854567,0.23876287
abikaasa,Ehefrau,naerma,lachen,0.854567,0.13751186
abikaasa,Ehemann,poeg,Sohn,0.8525973,-0.022536822
abikaasa,Ehefrau,poeg,Sohn,0.8525973,-0.19582266
abikaasa,Ehemann,isa,Vater,0.8506509,0.5889143
abikaasa,Ehefrau,isa,Vater,0.8506509,0.59995604
abikaasa,Ehemann,laps,Kind,0.8505497,-0.04228983
abikaasa,Ehefrau,laps,Kind,0.8505497,-0.042588927
abikaasa,Ehemann,naine,Frau,0.8409784,-0.051073365
abikaasa,Ehemann,naine,Ehefrau,0.8409784,0.6456226
abikaasa,Ehefrau,naine,Frau,0.8409784,-0.16382304
abikaasa,Ehefrau,naine,Ehefrau,0.8409784,1.0
abikaasa,Ehemann,ema,Mutter,0.83168536,0.6167736
abikaasa,Ehefrau,ema,Mutter,0.83168536,0.76581883
abikaasa,Ehemann,poiss,Junge,0.82318145,0.3791421
abikaasa,Ehefrau,poiss,Junge,0.82318145,0.3248497
