src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aas,meadow,aas,meadow,1.0,1.0
aas,meadow,aas,noose,1.0,0.32343668
aas,noose,aas,meadow,1.0,0.32343668
aas,noose,aas,noose,1.0,1.0
aas,meadow,ahven,perch,0.9513547,0.24458846
aas,noose,ahven,perch,0.9513547,0.4427293
aas,meadow,vikerkaar,rainbow,0.9416036,0.36784196
aas,noose,vikerkaar,rainbow,0.9416036,0.4818015
aas,meadow,sarv,horn,0.9247092,0.29685846
aas,noose,sarv,horn,0.9247092,0.39811242
aas,meadow,seeme,seed,0.9189388,0.32577375
aas,noose,seeme,seed,0.9189388,0.15995626
aas,meadow,suusk,ski,0.91751295,0.31376415
aas,noose,suusk,ski,0.91751295,0.38384587
aas,meadow,leib,bread,0.91304404,0.14958328
aas,noose,leib,bread,0.91304404,0.52594995
aas,meadow,mure,grief,0.9097787,0.23641914
aas,noose,mure,grief,0.9097787,0.4547925
aas,meadow,rohi,grass,0.90558434,0.27244103
aas,noose,rohi,grass,0.90558434,0.48519123
aas,meadow,kurg,crane,0.8984426,0.43940663
aas,noose,kurg,crane,0.8984426,0.52519107
aas,meadow,palavik,fever,0.89750504,0.27671695
aas,noose,palavik,fever,0.89750504,0.47364697
aas,meadow,lumi,snow,0.894138,0.25998464
aas,noose,lumi,snow,0.894138,0.43682075
aas,meadow,pilv,cloud,0.89069766,0.17162979
aas,noose,pilv,cloud,0.89069766,0.29463816
aas,meadow,teravik,tip,0.88875085,0.26602352
aas,noose,teravik,tip,0.88875085,0.31926218
aas,meadow,karusnahk,fur,0.88726926,0.34067425
aas,noose,karusnahk,fur,0.88726926,0.5093043
aas,meadow,lõualuu,jaw,0.8817165,0.11989191
aas,noose,lõualuu,jaw,0.8817165,0.46860057
aas,meadow,raba,moor,0.87731856,0.20095626
aas,noose,raba,moor,0.87731856,0.37796766
aas,meadow,haug,pike,0.87244475,0.36113727
aas,noose,haug,pike,0.87244475,0.49304217
