src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aas,pré,aas,pré,1.0,1.0
aas,pré,aas,lacs,1.0,-0.059229437
aas,lacs,aas,pré,1.0,-0.059229437
aas,lacs,aas,lacs,1.0,1.0
aas,pré,ahven,perche,0.9513547,-0.05693384
aas,lacs,ahven,perche,0.9513547,0.4674702
aas,pré,vikerkaar,arc-en-ciel,0.9416036,-0.03829199
aas,lacs,vikerkaar,arc-en-ciel,0.9416036,0.29398614
aas,pré,sarv,corne,0.9247092,-0.13974088
aas,lacs,sarv,corne,0.9247092,0.46064287
aas,pré,seeme,semence,0.9189388,-0.108486265
aas,lacs,seeme,semence,0.9189388,0.4581837
aas,pré,suusk,ski,0.91751295,-0.10359648
aas,lacs,suusk,ski,0.91751295,0.35957253
aas,pré,leib,pain,0.91304404,-0.19109716
aas,lacs,leib,pain,0.91304404,0.4038149
aas,pré,mure,peine,0.9097787,-0.17549123
aas,pré,mure,chagrin,0.9097787,-0.11758783
aas,lacs,mure,peine,0.9097787,0.257721
aas,lacs,mure,chagrin,0.9097787,0.21134433
aas,pré,rohi,herbe,0.90558434,-0.05917513
aas,lacs,rohi,herbe,0.90558434,0.616926
aas,pré,kurg,grue,0.8984426,-0.13523543
aas,lacs,kurg,grue,0.8984426,0.6384175
aas,pré,palavik,fièvre,0.89750504,0.11886597
aas,lacs,palavik,fièvre,0.89750504,-0.074629955
aas,pré,lumi,neige,0.894138,-0.08045657
aas,lacs,lumi,neige,0.894138,0.53864753
aas,pré,pilv,nuage,0.89069766,-0.09641029
aas,lacs,pilv,nuage,0.89069766,0.60302323
aas,pré,teravik,cime,0.88875085,-0.18433137
aas,pré,teravik,pointe,0.88875085,-0.094761714
aas,lacs,teravik,cime,0.88875085,0.51136833
aas,lacs,teravik,pointe,0.88875085,0.53227973
aas,pré,karusnahk,peau,0.88726926,-0.17347917
aas,lacs,karusnahk,peau,0.88726926,0.30295932
aas,pré,lõualuu,mâchoire,0.8817165,-0.108832926
aas,lacs,lõualuu,mâchoire,0.8817165,0.51637053
aas,pré,raba,tourbière,0.87731856,-0.068639725
aas,lacs,raba,tourbière,0.87731856,0.6444186
aas,pré,haug,brochet,0.87244475,-0.12291466
aas,lacs,haug,brochet,0.87244475,0.30780217
aas,pré,palavus,chaleur,0.8704183,-0.08579291
aas,lacs,palavus,chaleur,0.8704183,0.55643684
aas,pré,kakk,hibou,0.8700793,-0.08985184
aas,lacs,kakk,hibou,0.8700793,0.33798096
aas,pré,sang,prise,0.8675947,-0.039477967
aas,pré,sang,manche,0.8675947,-0.17183653
aas,lacs,sang,prise,0.8675947,0.18875124
aas,lacs,sang,manche,0.8675947,0.48901537
aas,pré,huul,lèvre,0.8669074,0.14569044
aas,lacs,huul,lèvre,0.8669074,0.049418297
aas,pré,hammas,dent,0.86639935,-0.099380895
aas,lacs,hammas,dent,0.86639935,0.3794325
aas,pré,tara,clôture,0.8659137,-0.18760258
aas,lacs,tara,clôture,0.8659137,0.20625976
aas,pré,kamm,peigne,0.8647277,-0.13862744
aas,lacs,kamm,peigne,0.8647277,0.5188222
aasta,an,aasta,an,1.0000001,1.0
aasta,an,aasta,année,1.0000001,-0.16279773
aasta,année,aasta,an,1.0000001,-0.16279773
aasta,année,aasta,année,1.0000001,1.0
aasta,an,tuhat,mille,0.5004866,0.43871605
