src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aas,草原,aas,草原,1.0,0.0
aas,草原,aas,輪,1.0,0.0
aas,輪,aas,草原,1.0,0.0
aas,輪,aas,輪,1.0,0.0
aas,草原,ahven,鱸,0.9513547,0.0
aas,輪,ahven,鱸,0.9513547,0.0
aas,草原,vikerkaar,虹,0.9416036,0.0
aas,輪,vikerkaar,虹,0.9416036,0.0
aas,草原,sarv,角,0.9247092,0.0
aas,輪,sarv,角,0.9247092,0.0
aas,草原,seeme,種,0.9189388,0.0
aas,輪,seeme,種,0.9189388,0.0
aas,草原,suusk,スキー,0.91751295,0.0
aas,輪,suusk,スキー,0.91751295,0.0
aas,草原,leib,パン,0.91304404,0.0
aas,輪,leib,パン,0.91304404,0.0
aas,草原,mure,悩み,0.9097787,0.0
aas,輪,mure,悩み,0.9097787,0.0
aas,草原,rohi,草,0.90558434,0.0
aas,輪,rohi,草,0.90558434,0.0
aas,草原,kurg,鶴,0.8984426,0.0
aas,輪,kurg,鶴,0.8984426,0.0
aas,草原,palavik,熱,0.89750504,0.0
aas,輪,palavik,熱,0.89750504,0.0
aas,草原,lumi,雪,0.894138,0.0
aas,輪,lumi,雪,0.894138,0.0
aas,草原,pilv,雲,0.89069766,0.0
aas,輪,pilv,雲,0.89069766,0.0
aas,草原,teravik,先頭,0.88875085,0.0
aas,輪,teravik,先頭,0.88875085,0.0
aas,草原,karusnahk,毛皮,0.88726926,0.0
aas,輪,karusnahk,毛皮,0.88726926,0.0
aas,草原,lõualuu,顎,0.8817165,0.0
aas,輪,lõualuu,顎,0.8817165,0.0
aas,草原,raba,湿原,0.87731856,0.0
aas,輪,raba,湿原,0.87731856,0.0
aas,草原,haug,川魳,0.87244475,0.0
aas,輪,haug,川魳,0.87244475,0.0
aas,草原,palavus,暑さ,0.8704183,0.0
aas,輪,palavus,暑さ,0.8704183,0.0
aas,草原,kakk,フクロウ,0.8700793,0.0
aas,輪,kakk,フクロウ,0.8700793,0.0
aas,草原,sang,取っ手,0.8675947,0.0
aas,輪,sang,取っ手,0.8675947,0.0
aas,草原,huul,唇,0.8669074,0.0
aas,輪,huul,唇,0.8669074,0.0
aas,草原,hammas,歯,0.86639935,0.0
aas,輪,hammas,歯,0.86639935,0.0
aas,草原,tara,垣根,0.8659137,0.0
aas,輪,tara,垣根,0.8659137,0.0
aas,草原,kamm,櫛,0.8647277,0.0
aas,輪,kamm,櫛,0.8647277,0.0
aasta,年,aasta,年,1.0000001,0.0
aasta,年,tuhat,千,0.5004866,0.0
aasta,年,reis,上腿,0.49287477,0.0
aasta,年,määrdunud,汚い,0.48441756,0.0
aasta,年,kingitus,贈り物,0.47876605,0.0
aasta,年,andma,上げる,0.475684,0.0
aasta,年,andma,渡す,0.475684,0.0
aasta,年,kuu,月,0.46537727,0.0
aasta,年,kuu,月,0.46537727,0.0
aasta,年,maismaa,陸,0.46470216,0.0
aasta,年,jahtima,狩りをする,0.46384904,0.0
aasta,年,kogunema,集まる,0.4611222,0.0
aasta,年,sõudma,漕ぐ,0.45824525,0.0
aasta,年,pood,店,0.45649388,0.0
aasta,年,jõudma,当たる,0.45627046,0.0
aasta,年,kant,縁,0.45386216,0.0
aasta,年,peitma,隠す,0.4519837,0.0
aasta,年,peitma,隠す,0.4519837,0.0
aasta,年,täitma,いっぱいにする,0.4518218,0.0
aasta,年,katki rebima,引き裂く,0.45081264,0.0
aasta,年,astuma,跨ぐ,0.4500856,0.0
aasta,年,sõitma,行く,0.44900456,0.0
aasta,年,sõitma,乗車する,0.44900456,0.0
aasta,年,uppuma,沈む,0.44547728,0.0
aasta,年,võitma,勝つ,0.44510755,0.0
aasta,年,hommik,朝,0.4449356,0.0
aasta,年,üheksakümmend,九十,0.44481358,0.0
aasta,年,tulu,利益,0.44228303,0.0
aasta,年,ära sõitma,出発する,0.44218636,0.0
abi,援助,abi,援助,1.0000001,0.0
abi,援助,lubama,約束する,0.7923413,0.0
abi,援助,vihastuma,怒る,0.7809613,0.0
abi,援助,vihastuma,腹を立てる,0.7809613,0.0
abi,援助,võnkuma,振動する,0.7801613,0.0
abi,援助,pöörduma,回転する,0.77687424,0.0
abi,援助,mööduma,経つ,0.7699748,0.0
abi,援助,sisenema,入る,0.7675217,0.0
abi,援助,sisenema,中に入る,0.7675217,0.0
abi,援助,lootma,期待する,0.7668828,0.0
abi,援助,rikkuma,台無しにする,0.7655841,0.0
abi,援助,rikkuma,損傷する,0.7655841,0.0
abi,援助,hoidma,持つ,0.76474863,0.0
abi,援助,hoidma,保存する,0.76474863,0.0
abi,援助,kogunema,集まる,0.76192,0.0
abi,援助,saatma,送る,0.7617869,0.0
abi,援助,maksma,支払う,0.7612798,0.0
abi,援助,proovima,食べてみる,0.7609674,0.0
abi,援助,takistama,妨害する,0.7572209,0.0
abi,援助,kartma,怖がる,0.7571675,0.0
abi,援助,kartma,恐れる,0.7571675,0.0
abi,援助,juhtuma,起こる,0.7563373,0.0
abi,援助,unustama,忘れる,0.7515885,0.0
abi,援助,otsima,探る,0.75075394,0.0
abi,援助,räpane,汚い,0.747797,0.0
abi,援助,vaene,貧乏な,0.7449995,0.0
abi,援助,minema,行く,0.7435254,0.0
abi,援助,välja minema,立ち去る,0.74081266,0.0
abi,援助,vaatama,眺める,0.73732144,0.0
abi,援助,vaatama,見る,0.73732144,0.0
abi,援助,küsima,聞く,0.7348203,0.0
abikaasa,夫,abikaasa,夫,1.0000001,0.0
abikaasa,夫,abikaasa,主人,1.0000001,0.0
abikaasa,夫,abikaasa,妻,1.0000001,0.0
abikaasa,夫,abikaasa,奥さん,1.0000001,0.0
abikaasa,主人,abikaasa,夫,1.0000001,0.0
abikaasa,主人,abikaasa,主人,1.0000001,0.0
abikaasa,主人,abikaasa,妻,1.0000001,0.0
abikaasa,主人,abikaasa,奥さん,1.0000001,0.0
abikaasa,妻,abikaasa,夫,1.0000001,0.0
abikaasa,妻,abikaasa,主人,1.0000001,0.0
abikaasa,妻,abikaasa,妻,1.0000001,0.0
abikaasa,妻,abikaasa,奥さん,1.0000001,0.0
abikaasa,奥さん,abikaasa,夫,1.0000001,0.0
abikaasa,奥さん,abikaasa,主人,1.0000001,0.0
abikaasa,奥さん,abikaasa,妻,1.0000001,0.0
abikaasa,奥さん,abikaasa,奥さん,1.0000001,1.0
abikaasa,夫,vend,弟,0.8915717,0.0
abikaasa,主人,vend,弟,0.8915717,0.0
abikaasa,妻,vend,弟,0.8915717,0.0
abikaasa,奥さん,vend,弟,0.8915717,0.0
abikaasa,夫,vanaisa,祖父,0.8861001,0.0
abikaasa,夫,vanaisa,おじいさん,0.8861001,0.0
abikaasa,主人,vanaisa,祖父,0.8861001,0.0
abikaasa,主人,vanaisa,おじいさん,0.8861001,0.0
abikaasa,妻,vanaisa,祖父,0.8861001,0.0
abikaasa,妻,vanaisa,おじいさん,0.8861001,0.0
abikaasa,奥さん,vanaisa,祖父,0.8861001,0.40873396
abikaasa,奥さん,vanaisa,おじいさん,0.8861001,-0.012622535
abikaasa,夫,onu,伯父,0.88462174,0.0
abikaasa,夫,onu,伯父さん,0.88462174,0.0
abikaasa,主人,onu,伯父,0.88462174,0.0
abikaasa,主人,onu,伯父さん,0.88462174,0.0
abikaasa,妻,onu,伯父,0.88462174,0.0
abikaasa,妻,onu,伯父さん,0.88462174,0.0
abikaasa,奥さん,onu,伯父,0.88462174,0.0
abikaasa,奥さん,onu,伯父さん,0.88462174,-0.11523913
abikaasa,夫,arst,医者,0.8787064,0.0
abikaasa,主人,arst,医者,0.8787064,0.0
abikaasa,妻,arst,医者,0.8787064,0.0
abikaasa,奥さん,arst,医者,0.8787064,0.0
abikaasa,夫,naerma,笑う,0.854567,0.0
abikaasa,主人,naerma,笑う,0.854567,0.0
abikaasa,妻,naerma,笑う,0.854567,0.0
abikaasa,奥さん,naerma,笑う,0.854567,0.0
abikaasa,夫,poeg,息子,0.8525973,0.0
abikaasa,夫,poeg,息子さん,0.8525973,0.0
abikaasa,主人,poeg,息子,0.8525973,0.0
abikaasa,主人,poeg,息子さん,0.8525973,0.0
abikaasa,妻,poeg,息子,0.8525973,0.0
abikaasa,妻,poeg,息子さん,0.8525973,0.0
abikaasa,奥さん,poeg,息子,0.8525973,0.542067
abikaasa,奥さん,poeg,息子さん,0.8525973,0.07753678
abikaasa,夫,isa,父,0.8506509,0.0
abikaasa,夫,isa,お父さん,0.8506509,0.0
abikaasa,主人,isa,父,0.8506509,0.0
abikaasa,主人,isa,お父さん,0.8506509,0.0
abikaasa,妻,isa,父,0.8506509,0.0
abikaasa,妻,isa,お父さん,0.8506509,0.0
abikaasa,奥さん,isa,父,0.8506509,0.0
abikaasa,奥さん,isa,お父さん,0.8506509,0.08811448
abikaasa,夫,laps,子,0.8505497,0.0
abikaasa,夫,laps,子供,0.8505497,0.0
abikaasa,主人,laps,子,0.8505497,0.0
abikaasa,主人,laps,子供,0.8505497,0.0
abikaasa,妻,laps,子,0.8505497,0.0
abikaasa,妻,laps,子供,0.8505497,0.0
abikaasa,奥さん,laps,子,0.8505497,0.0
abikaasa,奥さん,laps,子供,0.8505497,0.48271668
abikaasa,夫,naine,女,0.8409784,0.0
abikaasa,夫,naine,女性,0.8409784,0.0
abikaasa,夫,naine,妻,0.8409784,0.0
abikaasa,夫,naine,奥さん,0.8409784,0.0
abikaasa,主人,naine,女,0.8409784,0.0
abikaasa,主人,naine,女性,0.8409784,0.0
abikaasa,主人,naine,妻,0.8409784,0.0
abikaasa,主人,naine,奥さん,0.8409784,0.0
abikaasa,妻,naine,女,0.8409784,0.0
abikaasa,妻,naine,女性,0.8409784,0.0
abikaasa,妻,naine,妻,0.8409784,0.0
abikaasa,妻,naine,奥さん,0.8409784,0.0
abikaasa,奥さん,naine,女,0.8409784,0.0
abikaasa,奥さん,naine,女性,0.8409784,0.32908732
abikaasa,奥さん,naine,妻,0.8409784,0.0
abikaasa,奥さん,naine,奥さん,0.8409784,1.0
abikaasa,夫,ema,母,0.83168536,0.0
abikaasa,夫,ema,お母さん,0.83168536,0.0
abikaasa,主人,ema,母,0.83168536,0.0
abikaasa,主人,ema,お母さん,0.83168536,0.0
abikaasa,妻,ema,母,0.83168536,0.0
abikaasa,妻,ema,お母さん,0.83168536,0.0
abikaasa,奥さん,ema,母,0.83168536,0.0
abikaasa,奥さん,ema,お母さん,0.83168536,-0.023106404
abikaasa,夫,poiss,男の子,0.82318145,0.0
abikaasa,主人,poiss,男の子,0.82318145,0.0
abikaasa,妻,poiss,男の子,0.82318145,0.0
abikaasa,奥さん,poiss,男の子,0.82318145,0.031959582
abikaasa,夫,vanaema,祖母,0.82222813,0.0
abikaasa,夫,vanaema,おばあさん,0.82222813,0.0
abikaasa,主人,vanaema,祖母,0.82222813,0.0
abikaasa,主人,vanaema,おばあさん,0.82222813,0.0
abikaasa,妻,vanaema,祖母,0.82222813,0.0
abikaasa,妻,vanaema,おばあさん,0.82222813,0.0
abikaasa,奥さん,vanaema,祖母,0.82222813,0.0
abikaasa,奥さん,vanaema,おばあさん,0.82222813,-0.16768175
abikaasa,夫,noor,若い,0.79949135,0.0
abikaasa,主人,noor,若い,0.79949135,0.0
abikaasa,妻,noor,若い,0.79949135,0.0
abikaasa,奥さん,noor,若い,0.79949135,0.0
abikaasa,夫,ots,端,0.78198045,0.0
abikaasa,主人,ots,端,0.78198045,0.0
abikaasa,妻,ots,端,0.78198045,0.0
abikaasa,奥さん,ots,端,0.78198045,0.0
abikaasa,夫,õpetaja,先生,0.7807467,0.0
abikaasa,主人,õpetaja,先生,0.7807467,0.0
abikaasa,妻,õpetaja,先生,0.7807467,0.0
abikaasa,奥さん,õpetaja,先生,0.7807467,0.49664807
abikaasa,夫,rebane,狐,0.76460046,0.0
abikaasa,主人,rebane,狐,0.76460046,0.0
abikaasa,妻,rebane,狐,0.76460046,0.0
abikaasa,奥さん,rebane,狐,0.76460046,0.0
abikaasa,夫,kallama,注ぐ,0.7635564,0.0
abikaasa,主人,kallama,注ぐ,0.7635564,0.0
abikaasa,妻,kallama,注ぐ,0.7635564,0.0
abikaasa,奥さん,kallama,注ぐ,0.7635564,0.0
abikaasa,夫,kallas,岸,0.757159,0.0
abikaasa,主人,kallas,岸,0.757159,0.0
abikaasa,妻,kallas,岸,0.757159,0.0
abikaasa,奥さん,kallas,岸,0.757159,0.0
abikaasa,夫,endine,以前の,0.7566836,0.0
abikaasa,主人,endine,以前の,0.7566836,0.0
abikaasa,妻,endine,以前の,0.7566836,0.0
abikaasa,奥さん,endine,以前の,0.7566836,0.061100826
abikaasa,夫,perekond,家族,0.7533734,0.0
abikaasa,主人,perekond,家族,0.7533734,0.0
abikaasa,妻,perekond,家族,0.7533734,0.0
abikaasa,奥さん,perekond,家族,0.7533734,0.26701102
abikaasa,夫,näljane,空腹の,0.75129825,0.0
abikaasa,主人,näljane,空腹の,0.75129825,0.0
abikaasa,妻,näljane,空腹の,0.75129825,0.0
abikaasa,奥さん,näljane,空腹の,0.75129825,-0.038207293
abikaasa,夫,hunnik,堆積,0.74941903,0.0
abikaasa,主人,hunnik,堆積,0.74941903,0.0
abikaasa,妻,hunnik,堆積,0.74941903,0.0
abikaasa,奥さん,hunnik,堆積,0.74941903,0.0
abikaasa,夫,varrukas,袖,0.7485102,0.0
abikaasa,主人,varrukas,袖,0.7485102,0.0
abikaasa,妻,varrukas,袖,0.7485102,0.0
abikaasa,奥さん,varrukas,袖,0.7485102,0.0
abikaasa,夫,naba,へそ,0.747313,0.0
abikaasa,主人,naba,へそ,0.747313,0.0
abikaasa,妻,naba,へそ,0.747313,0.0
abikaasa,奥さん,naba,へそ,0.747313,0.0
aed,垣根,aed,垣根,1.0000001,1.0
aed,垣根,lame,平らな,0.9397212,-0.13595267
aed,垣根,õhuke,薄い,0.93010724,0.0
aed,垣根,õhuke,細い,0.93010724,0.0
aed,垣根,tihe,密な,0.9160043,0.0
aed,垣根,lähedane,近い,0.9124095,0.0
aed,垣根,tasane,平らな,0.91069734,-0.13595267
aed,垣根,aken,窓,0.89666575,0.0
aed,垣根,pehme,柔らかい,0.89594513,-0.028310325
aed,垣根,kamm,櫛,0.8955169,0.0
aed,垣根,kakk,フクロウ,0.8903759,-0.025809456
aed,垣根,lammas,羊,0.8890803,0.0
aed,垣根,raiuma,刻む,0.8825001,0.0
aed,垣根,varvas,足の指,0.88133156,-0.052338924
aed,垣根,punane,赤い,0.8795505,0.97985905
aed,垣根,soe,温かい,0.87878895,-0.10153354
aed,垣根,karusnahk,毛皮,0.875776,0.0
aed,垣根,teravili,麦,0.8734993,0.0
aed,垣根,teravili,穀物,0.8734993,0.0
aed,垣根,lõualuu,顎,0.8703343,0.0
aed,垣根,kammima,梳く,0.8685744,0.0
aed,垣根,sile,滑らかな,0.86786216,-0.09057203
aed,垣根,lai,広い,0.8673673,0.0
aed,垣根,kurbus,悩み,0.86637807,0.0
aed,垣根,peen,細い,0.86545485,0.0
aed,垣根,natuke,少し,0.86346483,0.0
aed,垣根,natuke,ちょっと,0.86346483,0.9806703
aed,垣根,piim,牛乳,0.8626835,0.0
aeg,時,aeg,時,1.0,0.0
aeg,時,aeg,時間,1.0,0.0
aeg,時間,aeg,時,1.0,0.0
aeg,時間,aeg,時間,1.0,1.0
aeg,時,lahtine,開いた,0.74469316,0.0
aeg,時間,lahtine,開いた,0.74469316,0.09208107
aeg,時,samm,歩,0.7371017,0.0
aeg,時間,samm,歩,0.7371017,0.0
aeg,時,kaduma,消える,0.72748166,0.0
aeg,時間,kaduma,消える,0.72748166,-0.070460066
aeg,時,maks,肝臓,0.7267187,0.0
aeg,時間,maks,肝臓,0.7267187,0.0
aeg,時,parandama,直す,0.7257768,0.0
aeg,時,parandama,修理する,0.7257768,0.0
aeg,時,parandama,改良する,0.7257768,0.0
aeg,時間,parandama,直す,0.7257768,0.0
aeg,時間,parandama,修理する,0.7257768,0.0014238507
aeg,時間,parandama,改良する,0.7257768,-0.0034900606
aeg,時,puhkama,休養する,0.71909183,0.0
aeg,時間,puhkama,休養する,0.71909183,-0.08442895
aeg,時,väsima,眠くなる,0.71467257,0.0
aeg,時間,väsima,眠くなる,0.71467257,-0.21107244
aeg,時,jooksma,走る,0.710324,0.0
aeg,時間,jooksma,走る,0.710324,0.0
aeg,時,sallima,好きである,0.7084843,0.0
aeg,時間,sallima,好きである,0.7084843,0.7406883
aeg,時,pesema,洗う,0.70520407,0.0
aeg,時,pesema,洗濯する,0.70520407,0.0
aeg,時間,pesema,洗う,0.70520407,0.0
aeg,時間,pesema,洗濯する,0.70520407,0.031217523
aeg,時,takistama,妨害する,0.70462394,0.0
aeg,時間,takistama,妨害する,0.70462394,-0.21013674
aeg,時,tasuma,払う,0.7041784,0.0
aeg,時間,tasuma,払う,0.7041784,0.0
aeg,時,küsima,聞く,0.7031497,0.0
aeg,時間,küsima,聞く,0.7031497,0.0
aeg,時,kahenema,減る,0.7027226,0.0
aeg,時間,kahenema,減る,0.7027226,0.0
aeg,時,muutma,変える,0.7021611,0.0
aeg,時間,muutma,変える,0.7021611,0.058006763
aeg,時,alal hoidma,預かる,0.7001531,0.0
aeg,時間,alal hoidma,預かる,0.7001531,-0.0049796104
aeg,時,kiirustama,急ぐ,0.6982973,0.0
aeg,時,kiirustama,焦る,0.6982973,0.0
aeg,時間,kiirustama,急ぐ,0.6982973,0.0
aeg,時間,kiirustama,焦る,0.6982973,0.0
aeg,時,juhtuma,起こる,0.6978927,0.0
aeg,時間,juhtuma,起こる,0.6978927,-0.05089877
aeg,時,siduma,縛る,0.6945876,0.0
aeg,時間,siduma,縛る,0.6945876,0.0
aeg,時,sukelduma,潜る,0.6941969,0.0
aeg,時間,sukelduma,潜る,0.6941969,0.0
aeg,時,katki tegema,割る,0.6934076,0.0
aeg,時間,katki tegema,割る,0.6934076,0.0
aeg,時,otsima,探る,0.6930506,0.0
aeg,時間,otsima,探る,0.6930506,0.0
aeg,時,rahu,静けさ,0.69183594,0.0
aeg,時間,rahu,静けさ,0.69183594,0.12368235
aeg,時,algama,始まる,0.69182324,0.0
aeg,時間,algama,始まる,0.69182324,-0.056945622
aer,オール,aer,オール,1.0,0.99999994
aer,オール,õun,林檎,0.29526877,0.0
aer,オール,õhtu,晩,0.25017267,0.0
aer,オール,õhtu,夕方,0.25017267,0.0
aer,オール,pull,雄牛,0.23875578,0.0
aer,オール,torkav,尖った,0.225747,-0.039381664
aer,オール,ahi,ストーブ,0.21011603,-0.09553996
aer,オール,kõrv,耳,0.20820093,0.0
aer,オール,rasv,脂肪,0.20369683,0.0
aer,オール,padi,枕,0.20321621,0.0
aer,オール,pori,汚れ,0.19683126,0.0
aer,オール,sõda,戦争,0.1891068,0.5565534
aer,オール,jahe,涼しい,0.1879416,0.005350996
aer,オール,äri,取り引き,0.1800945,-0.054021865
aer,オール,ihu,体,0.17630266,0.0
aer,オール,hapu,酸っぱい,0.17443992,-0.078538455
aer,オール,mägi,山,0.16980334,0.0
aer,オール,nõel,針,0.16714923,0.0
aer,オール,vajuma,下がる,0.16350082,-0.048464455
aer,オール,pisike,小さい,0.16325222,0.040903904
aer,オール,uni,睡眠,0.15899828,0.0
aer,オール,all,下に,0.15789185,0.0
aer,オール,all,下に,0.15789185,0.0
aer,オール,aasta,年,0.15661605,0.0
aer,オール,ihne,けちな,0.15265949,-0.08506045
aer,オール,müra,騒音,0.15247081,0.0
aer,オール,kurb,悲しい,0.15205395,-0.010093398
ahi,ストーブ,ahi,ストーブ,1.0,1.0
ahi,ストーブ,õun,林檎,0.24234036,0.0
ahi,ストーブ,värv,ペンキ,0.24015704,-0.033118024
ahi,ストーブ,aer,オール,0.21011604,-0.09553996
ahi,ストーブ,nõel,針,0.20890991,0.0
ahi,ストーブ,pori,汚れ,0.2002949,0.0
ahi,ストーブ,hüüe,呼び声,0.18863244,0.059619166
ahi,ストーブ,võrk,網,0.18292567,0.0
ahi,ストーブ,küünarnukk,肘,0.180965,0.0
ahi,ストーブ,õde,妹,0.17205226,0.0
ahi,ストーブ,naer,笑い,0.16897067,0.0
ahi,ストーブ,nädal,週,0.16802594,0.0
ahi,ストーブ,tüvi,幹,0.16773152,0.0
ahi,ストーブ,rõõm,喜び,0.16426212,0.0
ahi,ストーブ,esimene,一番目,0.1598022,0.06994137
ahi,ストーブ,uks,戸,0.15965359,0.0
ahi,ストーブ,uks,ドア,0.15965359,0.0
ahi,ストーブ,hõbe,銀,0.15842256,0.0
ahi,ストーブ,laupäev,土曜日,0.15826815,-0.13725628
ahi,ストーブ,pull,雄牛,0.15683731,0.0
ahi,ストーブ,järv,湖,0.1524873,0.0
ahi,ストーブ,küps,熟した,0.15077263,0.11639494
ahi,ストーブ,pisike,小さい,0.14784977,0.004987046
ahi,ストーブ,tädi,叔母,0.14476734,-0.12535743
ahi,ストーブ,tädi,叔母さん,0.14476734,-0.10125381
ahi,ストーブ,otsmik,額,0.13058294,0.0
ahi,ストーブ,kõu,雷,0.12883723,0.0
ahistama,邪魔する,ahistama,邪魔する,1.0000001,1.0
ahistama,邪魔する,lohistama,引きずる,0.97319454,0.0022798888
ahistama,邪魔する,loksutama,振る,0.94146127,0.0
ahistama,邪魔する,loksutama,揺さぶる,0.94146127,-0.13942608
ahistama,邪魔する,riputama,掛ける,0.9348191,-0.02819848
ahistama,邪魔する,vedama,引く,0.93437403,0.0
ahistama,邪魔する,pigistama,押す,0.92964,0.0
ahistama,邪魔する,katki tegema,割る,0.9227726,0.0
ahistama,邪魔する,teritama,研ぐ,0.9226912,0.0
ahistama,邪魔する,vilistama,口笛を吹く,0.9208171,-0.013880393
ahistama,邪魔する,valutama,痛む,0.9185689,0.0
ahistama,邪魔する,varastama,盗る,0.9142144,0.0
ahistama,邪魔する,kaanetama,覆う,0.9134322,0.0
ahistama,邪魔する,joonistama,写生する,0.91267383,-0.16557479
ahistama,邪魔する,liigutama,感情を動かす,0.91230667,0.06225466
ahistama,邪魔する,lehvitama,振る,0.9104483,0.0
ahistama,邪魔する,näitama,見せる,0.9101339,0.10877867
ahistama,邪魔する,üritama,試す,0.9099078,0.0
ahistama,邪魔する,ärritama,怒らせる,0.9090863,-0.14533962
ahistama,邪魔する,kihutama,疾駆する,0.9088956,0.25530595
ahistama,邪魔する,kihutama,走る,0.9088956,0.0
ahistama,邪魔する,jutustama,物語る,0.9073344,0.14247002
ahistama,邪魔する,alustama,始める,0.90614593,-0.018582843
ahistama,邪魔する,koputama,とんとん叩く,0.9061425,-0.0031628832
ahistama,邪魔する,puudutama,触る,0.9060453,0.0
ahistama,邪魔する,puudutama,触れる,0.9060453,0.038943037
ahistama,邪魔する,vihastama,怒らせる,0.9055299,-0.14533962
ahistama,邪魔する,karjatama,放牧する,0.9052816,-0.059925113
ahven,鱸,ahven,鱸,1.0000001,0.0
ahven,鱸,kurg,鶴,0.96353215,0.0
ahven,鱸,aas,草原,0.9513547,0.0
ahven,鱸,aas,輪,0.9513547,0.0
ahven,鱸,leib,パン,0.9431003,0.0
ahven,鱸,kahvel,フォーク,0.9406219,0.0
ahven,鱸,haug,川魳,0.9366293,0.0
ahven,鱸,kühvel,シャベル,0.93094784,0.0
ahven,鱸,tara,垣根,0.9290981,0.0
ahven,鱸,tassima,引きずる,0.92762035,0.0
ahven,鱸,karusnahk,毛皮,0.92709184,0.0
ahven,鱸,palavik,熱,0.9243214,0.0
ahven,鱸,hunnik,堆積,0.91706604,0.0
ahven,鱸,lumi,雪,0.91597724,0.0
ahven,鱸,viil,枚,0.9119688,0.0
ahven,鱸,viil,切れ,0.9119688,0.0
ahven,鱸,latt,棒,0.91178125,0.0
ahven,鱸,sang,取っ手,0.90852034,0.0
ahven,鱸,magu,胃,0.9081933,0.0
ahven,鱸,vikerkaar,虹,0.90767866,0.0
ahven,鱸,tormama,疾駆する,0.90722036,0.0
ahven,鱸,krae,襟,0.90604883,0.0
ahven,鱸,palavus,暑さ,0.9014121,0.0
ahven,鱸,sarv,角,0.8980269,0.0
ahven,鱸,viilukas,枚,0.8956254,0.0
ahven,鱸,viilukas,切れ,0.8956254,0.0
ahven,鱸,kauplus,店,0.89258915,0.0
ahven,鱸,suusk,スキー,0.89225954,0.0
ainult,～だけ,ainult,～だけ,0.99999994,1.0
ainult,～だけ,siit,ここから,0.6861754,0.12566285
ainult,～だけ,lakkama,止める,0.6629757,0.08468668
ainult,～だけ,asjata,無駄に,0.6554626,0.12956029
ainult,～だけ,kaevand,穴,0.65265125,0.0
ainult,～だけ,ärkama,目が覚める,0.6478198,0.034666136
ainult,～だけ,ärkama,起きる,0.6478198,0.013437618
ainult,～だけ,märkama,気が付く,0.6476189,0.2678486
ainult,～だけ,torkama,突く,0.645828,0.0
ainult,～だけ,kuidas,どう,0.64299375,0.0
ainult,～だけ,selg,背中,0.642501,0.0
ainult,～だけ,himu,気,0.6419342,0.0
ainult,～だけ,tõukama,突く,0.6410628,0.0
ainult,～だけ,mitte,ない,0.6391269,0.0
ainult,～だけ,ühekorraga,同時に,0.6367724,0.012428954
ainult,～だけ,teadma,知っている,0.6363299,0.06628683
ainult,～だけ,viskama,投げる,0.6358021,0.009917907
ainult,～だけ,alati,いつも,0.6357025,-0.105852425
ainult,～だけ,mitte kunagi,一度も...ない,0.6350681,-0.010979302
ainult,～だけ,lükkama,ずらす,0.6341534,-0.0400217
ainult,～だけ,segama,構う,0.6335306,0.0
ainult,～だけ,segama,混ぜる,0.6335306,0.12503538
ainult,～だけ,vaevalt,ほとんど～ない,0.63327205,-0.07184379
ainult,～だけ,kraapima,引っ掻く,0.63047993,0.030448757
ainult,～だけ,ilm,天気,0.62811154,0.0
ainult,～だけ,siduma,縛る,0.6281029,0.0
ainult,～だけ,kõikuma,揺れる,0.6270951,0.14567706
ajaleht,新聞,ajaleht,新聞,0.99999994,1.0
ajaleht,新聞,praadima,焼く,0.7819366,0.0
ajaleht,新聞,praadima,炒める,0.7819366,-0.11215857
ajaleht,新聞,laulma,歌う,0.78046834,0.0
ajaleht,新聞,kallas,岸,0.74957436,0.0
ajaleht,新聞,kiitma,褒める,0.74881184,-0.06579669
ajaleht,新聞,jutustus,物語,0.7396165,0.71369445
