src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aboyer,bellen,aboyer,bellen,0.9999998,1.0
aboyer,bellen,ployer,beugen,0.7402884,0.540158
aboyer,bellen,pleurer,weinen,0.71086395,0.40353674
aboyer,bellen,aimer,lieben,0.7087616,0.40246403
aboyer,bellen,aimer,mögen,0.7087616,0.32152995
aboyer,bellen,abuser,täuschen,0.6898585,0.51648515
aboyer,bellen,hurler,heulen,0.6885785,0.43090567
aboyer,bellen,dormir,schlafen,0.68166107,0.36213332
aboyer,bellen,agacer,ärgern,0.67012435,0.5643662
aboyer,bellen,essuyer,abwischen,0.6530813,0.48197913
aboyer,bellen,nettoyer,reinigen,0.65199906,0.48310405
aboyer,bellen,rire,lachen,0.6492819,0.4481107
aboyer,bellen,gronder,schimpfen,0.6454109,0.40356988
aboyer,bellen,copain,Kamerad,0.6450482,0.22322926
aboyer,bellen,se laver,sich waschen,0.64238435,0.47422415
aboyer,bellen,se coucher,untergehen,0.64170504,0.28935757
aboyer,bellen,se baigner,baden,0.63924134,0.36070812
aboyer,bellen,cacher,verstecken,0.63741034,0.35071883
aboyer,bellen,cacher,verbergen,0.63741034,0.5434738
aboyer,bellen,croire,glauben,0.6372472,0.37307417
aboyer,bellen,laver,waschen,0.63555914,0.5054283
aboyer,bellen,se dépêcher,sich beeilen,0.63070476,0.3909733
aboyer,bellen,bouger,sich bewegen,0.62883073,0.4329305
aboyer,bellen,enlever,ausziehen,0.6285812,0.43962026
aboyer,bellen,pleuvoir,regnen,0.62840855,0.43073654
aboyer,bellen,tromper,täuschen,0.62725556,0.51648515
aboyer,bellen,déranger,stören,0.627091,0.33647847
abuser,täuschen,abuser,täuschen,1.0000002,1.0
abuser,täuschen,dormir,schlafen,0.7829317,0.49376264
abuser,täuschen,cacher,verstecken,0.7690758,0.52984536
abuser,täuschen,cacher,verbergen,0.7690758,0.49264458
abuser,täuschen,croire,glauben,0.76267666,0.55777067
abuser,täuschen,mensonge,Lüge,0.7541803,0.04003763
abuser,täuschen,avare,geizig,0.7517398,0.40772957
abuser,täuschen,s'asseoir,sich setzen,0.74728197,0.47318184
abuser,täuschen,agacer,ärgern,0.74647635,0.6232479
abuser,täuschen,chagrin,Kummer,0.7459636,0.29114342
abuser,täuschen,heurter,stoßen,0.74545336,0.5320217
abuser,täuschen,aimer,lieben,0.7445152,0.41625416
abuser,täuschen,aimer,mögen,0.7445152,0.5217171
abuser,täuschen,laver,waschen,0.7407678,0.9335074
abuser,täuschen,mourir,sterben,0.7384522,0.5614052
abuser,täuschen,se laver,sich waschen,0.7369867,0.9111027
abuser,täuschen,se fatiguer,müde werden,0.7359614,0.3911368
abuser,täuschen,se taper,sich schlagen,0.73459274,0.36488512
abuser,täuschen,dissimuler,verbergen,0.7319805,0.49264458
abuser,täuschen,pleurer,weinen,0.73009086,0.52133286
abuser,täuschen,tromper,täuschen,0.7267566,1.0
abuser,täuschen,crier,schreien,0.72577035,0.54708886
abuser,täuschen,geler,gefrieren,0.72464544,0.605666
abuser,täuschen,rire,lachen,0.7245106,0.7353259
abuser,täuschen,s'enfuir,flüchten,0.723996,0.48694253
abuser,täuschen,regarder,anschauen,0.7198509,0.4802357
abuser,täuschen,regarder,ansehen,0.7198509,0.48032868
abuser,täuschen,montrer,zeigen,0.7169124,0.43813083
accrocher,aufhängen,accrocher,aufhängen,1.0,1.0
accrocher,aufhängen,arracher,abreißen,0.74324876,0.6844836
accrocher,aufhängen,malheur,Unglück,0.6742995,0.4879223
accrocher,aufhängen,se dépêcher,sich beeilen,0.6613899,0.7183256
accrocher,aufhängen,s'asseoir,sich setzen,0.65345085,0.5518297
accrocher,aufhängen,cacher,verstecken,0.6523712,0.7026031
accrocher,aufhängen,cacher,verbergen,0.6523712,0.7687479
accrocher,aufhängen,pêcher,fischen,0.6440883,0.4037225
accrocher,aufhängen,lâcher,fallen lassen,0.6433765,0.6781357
accrocher,aufhängen,se fâcher,sich ärgern,0.643114,0.63839036
accrocher,aufhängen,sécher,trocknen,0.64292914,0.76716155
accrocher,aufhängen,lécher,lecken,0.64191145,0.74811566
accrocher,aufhängen,laisser tomber,fallen lassen,0.6369471,0.6781357
accrocher,aufhängen,broncher,sich rühren,0.62988335,0.7087388
accrocher,aufhängen,marcher,laufen,0.62448865,0.6302263
accrocher,aufhängen,marcher,schreiten,0.62448865,0.69159806
accrocher,aufhängen,goutte,Tropfen,0.62365454,0.72720313
accrocher,aufhängen,perdre,verlieren,0.6233316,0.56496865
accrocher,aufhängen,nettoyer,reinigen,0.6226409,0.5717881
accrocher,aufhängen,pousser,schieben,0.61725,0.5938145
accrocher,aufhängen,pousser,antreiben,0.61725,0.5032233
accrocher,aufhängen,aiguiser,schleifen,0.61670107,0.6724992
accrocher,aufhängen,aller voir,besuchen,0.6165474,0.4235236
accrocher,aufhängen,bouger,sich bewegen,0.6103288,0.6695517
accrocher,aufhängen,trancher,schneiden,0.6100112,0.5421081
accrocher,aufhängen,tromper,täuschen,0.6053246,0.59837997
accrocher,aufhängen,percevoir,vernehmen,0.6040947,0.30974346
accrocher,aufhängen,crochet,Haken,0.6039919,0.60141134
acheter,kaufen,acheter,kaufen,1.0000001,1.0
acheter,kaufen,vendre,verkaufen,0.70678085,0.84499776
acheter,kaufen,fabriquer,herstellen,0.70352775,0.48971164
acheter,kaufen,payer,bezahlen,0.6747625,0.548371
acheter,kaufen,payer,zahlen,0.6747625,0.27538246
acheter,kaufen,louer,loben,0.6696469,0.4962916
acheter,kaufen,construire,bauen,0.653937,0.55588603
acheter,kaufen,tirer,ziehen,0.6492108,0.63655096
acheter,kaufen,tirer,schießen,0.6492108,0.40984765
acheter,kaufen,concevoir,begreifen,0.6452427,0.5588199
acheter,kaufen,aiguiser,schleifen,0.64188236,0.584213
acheter,kaufen,offrir,schenken,0.6398663,0.3432387
acheter,kaufen,bruire,rauschen,0.63498116,0.35451448
acheter,kaufen,se passer,passieren,0.6255285,0.58767104
