src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aboyer,bark,aboyer,bark,0.9999998,1.0
aboyer,bark,ployer,bow,0.7402884,0.54431546
aboyer,bark,pleurer,weep,0.71086395,0.41372034
aboyer,bark,aimer,love,0.7087616,0.36411148
aboyer,bark,aimer,like,0.7087616,0.32527876
aboyer,bark,abuser,deceive,0.6898585,0.307756
aboyer,bark,hurler,howl,0.6885785,0.154629
aboyer,bark,dormir,sleep,0.68166107,0.399059
aboyer,bark,agacer,annoy,0.67012435,0.15584514
aboyer,bark,essuyer,wipe,0.6530813,0.508161
aboyer,bark,nettoyer,clean,0.65199906,0.44770595
aboyer,bark,rire,laugh,0.6492819,0.26153803
aboyer,bark,gronder,grumble,0.6454109,0.3176301
aboyer,bark,copain,companion,0.6450482,0.37315345
aboyer,bark,se laver,wash,0.64238435,0.5872358
aboyer,bark,se coucher,set,0.64170504,0.32867596
aboyer,bark,se baigner,bath,0.63924134,0.41519713
aboyer,bark,cacher,hide,0.63741034,0.29858562
aboyer,bark,cacher,conceal,0.63741034,0.36610094
aboyer,bark,croire,believe,0.6372472,0.2552944
aboyer,bark,laver,wash,0.63555914,0.5872358
aboyer,bark,se dépêcher,hurry,0.63070476,0.438064
aboyer,bark,bouger,move,0.62883073,0.21424082
aboyer,bark,enlever,take off,0.6285812,0.23172104
aboyer,bark,pleuvoir,rain,0.62840855,0.3685605
aboyer,bark,tromper,deceive,0.62725556,0.307756
aboyer,bark,déranger,disturb,0.627091,0.14178656
abuser,deceive,abuser,deceive,1.0000002,1.0
abuser,deceive,dormir,sleep,0.7829317,0.36501133
abuser,deceive,cacher,hide,0.7690758,0.60386336
abuser,deceive,cacher,conceal,0.7690758,0.56999236
abuser,deceive,croire,believe,0.76267666,0.48497963
abuser,deceive,mensonge,lie,0.7541803,0.29833665
abuser,deceive,avare,stingy,0.7517398,0.17355303
abuser,deceive,s'asseoir,sit down,0.74728197,0.41570663
abuser,deceive,agacer,annoy,0.74647635,0.4316346
abuser,deceive,chagrin,grief,0.7459636,0.37473616
abuser,deceive,heurter,shove,0.74545336,0.40538937
abuser,deceive,aimer,love,0.7445152,0.25680077
abuser,deceive,aimer,like,0.7445152,0.34902743
abuser,deceive,laver,wash,0.7407678,0.39171863
abuser,deceive,mourir,die,0.7384522,0.40697598
abuser,deceive,se laver,wash,0.7369867,0.39171863
abuser,deceive,se fatiguer,get tired,0.7359614,0.45619154
abuser,deceive,se taper,brawl,0.73459274,0.19331533
abuser,deceive,dissimuler,conceal,0.7319805,0.56999236
abuser,deceive,pleurer,weep,0.73009086,0.26742837
abuser,deceive,tromper,deceive,0.7267566,1.0
abuser,deceive,crier,shout,0.72577035,0.34832639
abuser,deceive,geler,freeze,0.72464544,0.39583832
abuser,deceive,rire,laugh,0.7245106,0.43488234
abuser,deceive,s'enfuir,escape,0.723996,0.4940765
abuser,deceive,regarder,look at,0.7198509,0.34230888
abuser,deceive,regarder,watch,0.7198509,0.37543848
abuser,deceive,montrer,show,0.7169124,0.30816925
accrocher,hang up,accrocher,hang up,1.0,1.0
accrocher,hang up,arracher,tear off,0.74324876,0.57648295
accrocher,hang up,malheur,misfortune,0.6742995,0.19867463
accrocher,hang up,se dépêcher,hurry,0.6613899,0.27025256
accrocher,hang up,s'asseoir,sit down,0.65345085,0.35231715
accrocher,hang up,cacher,hide,0.6523712,0.19129474
accrocher,hang up,cacher,conceal,0.6523712,0.3485366
accrocher,hang up,pêcher,fish,0.6440883,0.4729036
accrocher,hang up,lâcher,drop,0.6433765,0.25224096
accrocher,hang up,se fâcher,be annoyed,0.643114,0.32193413
accrocher,hang up,sécher,dry,0.64292914,0.40042895
accrocher,hang up,lécher,lick,0.64191145,0.29531676
accrocher,hang up,laisser tomber,drop,0.6369471,0.25224096
accrocher,hang up,broncher,budge,0.62988335,0.13848159
accrocher,hang up,marcher,walk,0.62448865,0.54315126
accrocher,hang up,marcher,pace,0.62448865,0.28215402
accrocher,hang up,goutte,drop,0.62365454,0.25224096
accrocher,hang up,perdre,lose,0.6233316,0.13563865
accrocher,hang up,nettoyer,clean,0.6226409,0.21766621
accrocher,hang up,pousser,push,0.61725,0.065383755
accrocher,hang up,pousser,urge,0.61725,0.15980996
accrocher,hang up,aiguiser,grind,0.61670107,0.5827306
accrocher,hang up,aller voir,visit,0.6165474,0.25452596
accrocher,hang up,bouger,move,0.6103288,0.22144465
accrocher,hang up,trancher,cut,0.6100112,0.3539527
accrocher,hang up,tromper,deceive,0.6053246,0.24346177
accrocher,hang up,percevoir,hear,0.6040947,0.1664219
accrocher,hang up,crochet,hook,0.6039919,0.54750764
acheter,buy,acheter,buy,1.0000001,1.0
acheter,buy,vendre,sell,0.70678085,0.6797978
acheter,buy,fabriquer,produce,0.70352775,0.50371337
acheter,buy,payer,pay for,0.6747625,-0.05186433
acheter,buy,payer,pay,0.6747625,0.56859124
acheter,buy,louer,praise,0.6696469,0.3513971
acheter,buy,construire,build,0.653937,0.52185595
acheter,buy,tirer,pull,0.6492108,0.47437367
acheter,buy,tirer,shoot,0.6492108,0.28102922
acheter,buy,concevoir,grasp,0.6452427,0.52798665
acheter,buy,aiguiser,grind,0.64188236,0.39824504
acheter,buy,offrir,give,0.6398663,0.4268245
acheter,buy,bruire,rustle,0.63498116,0.3100953
acheter,buy,se passer,happen,0.6255285,0.4000721
acheter,buy,augmenter,increase,0.6213552,0.39624837
acheter,buy,percevoir,hear,0.62109363,0.4151973
acheter,buy,ployer,bow,0.61519456,0.2699712
acheter,buy,apporter,bring,0.6120848,0.4985014
acheter,buy,détruire,destroy,0.61147076,0.451353
acheter,buy,demander,ask,0.60923517,0.5798582
acheter,buy,maîtriser,rule,0.60364574,0.29400188
acheter,buy,décorer,decorate,0.6031853,0.28725022
acheter,buy,geler,freeze,0.5935608,0.5489135
acheter,buy,envoyer,send,0.59156954,0.5521308
acheter,buy,chasser,hunt,0.59050953,0.22281772
acheter,buy,voler,fly,0.5898761,0.3979119
acheter,buy,voler,steal,0.5898761,0.58573395
acheter,buy,frotter,rub,0.588152,0.5235184
affaire,matter,affaire,matter,1.0000001,1.0
affaire,matter,affaire,business,1.0000001,0.28039485
affaire,business,affaire,matter,1.0000001,0.28039485
affaire,business,affaire,business,1.0000001,1.0
affaire,matter,affamé,hungry,0.8068448,0.53371114
affaire,business,affamé,hungry,0.8068448,0.32737914
affaire,matter,correct,correct,0.60291344,0.3226955
affaire,business,correct,correct,0.60291344,0.18461508
affaire,matter,violence,violence,0.5930829,0.47894186
affaire,business,violence,violence,0.5930829,0.2651468
affaire,matter,mensonge,lie,0.58150876,0.38456976
affaire,business,mensonge,lie,0.58150876,0.07170401
affaire,matter,frauder,cheat,0.5652257,0.4856184
affaire,business,frauder,cheat,0.5652257,0.38031295
affaire,matter,plaie,wound,0.5388661,0.34294283
affaire,business,plaie,wound,0.5388661,0.12785323
affaire,matter,à peine,hardly,0.5056783,0.5808839
affaire,business,à peine,hardly,0.5056783,0.33442062
affaire,matter,erreur,mistake,0.49338424,0.6313187
affaire,business,erreur,mistake,0.49338424,0.2541614
affaire,matter,culpabilité,fault,0.4864582,0.3822993
affaire,business,culpabilité,fault,0.4864582,0.14561287
affaire,matter,thé,tea,0.48565158,0.24226838
affaire,business,thé,tea,0.48565158,0.32647955
affaire,matter,église,church,0.48516315,0.22810762
affaire,business,église,church,0.48516315,0.40001494
affaire,matter,chagrin,grief,0.48503897,0.5554052
affaire,business,chagrin,grief,0.48503897,0.3801965
affaire,matter,songe,dream,0.48390618,0.40718073
affaire,business,songe,dream,0.48390618,0.13756362
affaire,matter,faute,mistake,0.47906816,0.6313187
affaire,matter,faute,fault,0.47906816,0.3822993
affaire,business,faute,mistake,0.47906816,0.2541614
affaire,business,faute,fault,0.47906816,0.14561287
affaire,matter,peine,grief,0.4720837,0.5554052
affaire,business,peine,grief,0.4720837,0.3801965
affaire,matter,faim,hunger,0.47132713,0.3040846
affaire,business,faim,hunger,0.47132713,0.21366851
affaire,matter,demain,tomorrow,0.45845503,0.2937044
affaire,business,demain,tomorrow,0.45845503,0.23486309
affaire,matter,femme,woman,0.44895095,0.27115837
affaire,matter,femme,wife,0.44895095,0.3015278
affaire,business,femme,woman,0.44895095,0.18462694
affaire,business,femme,wife,0.44895095,0.28181845
affaire,matter,matinée,morning,0.44622344,0.24986285
affaire,business,matinée,morning,0.44622344,0.24840906
affaire,matter,fardeau,load,0.44509888,0.25963384
affaire,business,fardeau,load,0.44509888,0.15038577
affaire,matter,siffler,whistle,0.44003573,0.5253413
affaire,business,siffler,whistle,0.44003573,0.28095007
affaire,matter,abuser,deceive,0.43910095,0.3856303
affaire,business,abuser,deceive,0.43910095,0.24211656
affaire,matter,mort,death,0.43797043,0.39710277
affaire,business,mort,death,0.43797043,0.180477
affaire,matter,lettre,letter,0.43692806,0.39729977
affaire,matter,lettre,character,0.43692806,0.39168245
affaire,business,lettre,letter,0.43692806,0.15366253
affaire,business,lettre,character,0.43692806,0.2070689
affamé,hungry,affamé,hungry,1.0000001,1.0
affamé,hungry,affaire,matter,0.80684483,0.53371114
affamé,hungry,affaire,business,0.80684483,0.32737914
affamé,hungry,chagrin,grief,0.6649195,0.62431455
affamé,hungry,mensonge,lie,0.64252657,0.49326468
affamé,hungry,avare,stingy,0.63278705,0.12976667
affamé,hungry,calme,calm,0.59143496,0.60658413
affamé,hungry,violence,violence,0.5855911,0.4254213
affamé,hungry,frauder,cheat,0.5717283,0.61826324
affamé,hungry,songe,dream,0.56628436,0.48818317
affamé,hungry,balai,broom,0.5629648,0.4298892
affamé,hungry,correct,correct,0.5626505,0.3083607
affamé,hungry,culpabilité,fault,0.56163037,0.5060812
affamé,hungry,tasse,cup,0.5592485,0.17189468
affamé,hungry,femme,woman,0.55903184,0.39540708
affamé,hungry,femme,wife,0.55903184,0.44420356
affamé,hungry,se laver,wash,0.55381453,0.57488817
affamé,hungry,goutte,drop,0.55035055,0.37206
affamé,hungry,homme,human,0.54823256,0.33479178
affamé,hungry,homme,man,0.54823256,0.33911765
affamé,hungry,corrompre,spoil,0.54183394,0.71257627
affamé,hungry,abuser,deceive,0.541401,0.6026304
affamé,hungry,malade,sick,0.54088,0.6820147
affamé,hungry,faim,hunger,0.53844875,0.6411842
affamé,hungry,dommage,damage,0.53494465,0.3303427
affamé,hungry,s'enfuir,escape,0.53137004,0.60787755
affamé,hungry,heurter,shove,0.5306143,0.45903334
affamé,hungry,svelte,slim,0.53003466,0.4637719
affiler,grind,affiler,grind,0.99999994,1.0
affiler,grind,essuyer,wipe,0.70316315,0.66379416
affiler,grind,âge,age,0.6910453,0.3095916
affiler,grind,balayer,sweep,0.6701785,0.36153555
affiler,grind,balayer,sweep,0.6701785,0.36153555
affiler,grind,siffler,whistle,0.66892225,0.6483104
affiler,grind,filer,dash,0.6313013,0.47728813
affiler,grind,pleuvoir,rain,0.6014292,0.37414908
affiler,grind,aller voir,visit,0.60027,0.34434795
affiler,grind,sélectionner,select,0.5901181,0.095228255
affiler,grind,crochet,hook,0.5843592,0.57293725
affiler,grind,aviron,oar,0.58299315,-0.015308455
affiler,grind,fardeau,load,0.58293456,0.59457815
affiler,grind,copain,companion,0.58285636,0.50616544
affiler,grind,ramer,row,0.5699989,0.2459312
affiler,grind,cliqueter,tinkle,0.5696562,0.49121243
affiler,grind,tousser,cough,0.5622343,0.36056632
affiler,grind,appétissant,delicious,0.5570297,0.50877714
affiler,grind,tricoter,knit,0.5521944,0.71405184
affiler,grind,presser,press,0.55014306,0.28828233
affiler,grind,thé,tea,0.5475299,0.39193648
affiler,grind,s'assembler,assemble,0.5461848,0.38036272
affiler,grind,molester,bother,0.5447468,0.5762864
affiler,grind,gai,merry,0.54320997,0.39494613
