src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aboyer,haukuma,aboyer,haukuma,0.9999998,1.0
aboyer,haukuma,ployer,painutama,0.7402884,0.81116134
aboyer,haukuma,pleurer,nutma,0.71086395,0.7263834
aboyer,haukuma,aimer,armastama,0.7087616,0.86296093
aboyer,haukuma,aimer,sallima,0.7087616,0.8743808
aboyer,haukuma,aimer,meeldima,0.7087616,0.82660663
aboyer,haukuma,abuser,petma,0.6898585,-0.097155474
aboyer,haukuma,abuser,tüssama,0.6898585,0.70163286
aboyer,haukuma,hurler,uluma,0.6885785,0.69193435
aboyer,haukuma,dormir,magama,0.68166107,0.8512254
aboyer,haukuma,agacer,ärritama,0.67012435,0.88311845
aboyer,haukuma,agacer,vihastama,0.67012435,0.92123985
aboyer,haukuma,essuyer,puhtaks pühkima,0.6530813,0.82914805
aboyer,haukuma,nettoyer,puhastama,0.65199906,0.8956491
aboyer,haukuma,rire,naerma,0.6492819,0.460181
aboyer,haukuma,gronder,sõimama,0.6454109,0.025803288
aboyer,haukuma,copain,sõber,0.6450482,0.015381353
aboyer,haukuma,se laver,end pesema,0.64238435,0.75885975
aboyer,haukuma,se coucher,loojuma,0.64170504,0.5308767
aboyer,haukuma,se baigner,suplema,0.63924134,0.70149887
aboyer,haukuma,se baigner,kümblema,0.63924134,0.69894433
aboyer,haukuma,cacher,peitma,0.63741034,0.82836115
aboyer,haukuma,cacher,peitma,0.63741034,0.82836115
aboyer,haukuma,cacher,varjama,0.63741034,0.7404813
aboyer,haukuma,croire,uskuma,0.6372472,0.91808605
aboyer,haukuma,laver,pesema,0.63555914,0.80159396
aboyer,haukuma,se dépêcher,ruttama,0.63070476,0.87323356
aboyer,haukuma,se dépêcher,kiirustama,0.63070476,0.90007055
aboyer,haukuma,bouger,liikuma,0.62883073,0.8992422
aboyer,haukuma,enlever,käest võtma,0.6285812,0.5940536
aboyer,haukuma,enlever,jalast võtma,0.6285812,0.7295672
aboyer,haukuma,enlever,seljast võtma,0.6285812,0.64053595
aboyer,haukuma,pleuvoir,sadama,0.62840855,0.59264207
aboyer,haukuma,tromper,petma,0.62725556,-0.097155474
aboyer,haukuma,tromper,tüssama,0.62725556,0.70163286
aboyer,haukuma,déranger,segama,0.627091,0.8625107
aboyer,haukuma,déranger,häirima,0.627091,0.30871814
abuser,petma,abuser,petma,1.0000002,0.99999994
abuser,petma,abuser,tüssama,1.0000002,-0.060980767
abuser,tüssama,abuser,petma,1.0000002,-0.060980767
abuser,tüssama,abuser,tüssama,1.0000002,1.0
abuser,petma,dormir,magama,0.7829317,-0.11768108
abuser,tüssama,dormir,magama,0.7829317,0.7821786
abuser,petma,cacher,peitma,0.7690758,-0.16893137
abuser,petma,cacher,peitma,0.7690758,-0.16893137
abuser,petma,cacher,varjama,0.7690758,-0.15202206
abuser,tüssama,cacher,peitma,0.7690758,0.7256391
abuser,tüssama,cacher,peitma,0.7690758,0.7256391
abuser,tüssama,cacher,varjama,0.7690758,0.75530505
abuser,petma,croire,uskuma,0.76267666,-0.06562108
abuser,tüssama,croire,uskuma,0.76267666,0.7729696
abuser,petma,mensonge,vale,0.7541803,-0.003438644
abuser,tüssama,mensonge,vale,0.7541803,0.4533369
abuser,petma,avare,ihne,0.7517398,0.055528298
abuser,tüssama,avare,ihne,0.7517398,0.0069905035
abuser,petma,s'asseoir,istet võtma,0.74728197,-0.088460684
abuser,tüssama,s'asseoir,istet võtma,0.74728197,0.59578454
abuser,petma,agacer,ärritama,0.74647635,-0.08507866
abuser,petma,agacer,vihastama,0.74647635,-0.09102912
abuser,tüssama,agacer,ärritama,0.74647635,0.5535245
abuser,tüssama,agacer,vihastama,0.74647635,0.65970004
abuser,petma,chagrin,mure,0.7459636,-0.107293196
abuser,petma,chagrin,kurbus,0.7459636,-0.13108575
abuser,tüssama,chagrin,mure,0.7459636,0.4998264
abuser,tüssama,chagrin,kurbus,0.7459636,0.7710029
abuser,petma,heurter,tõukama,0.74545336,-0.111139774
abuser,tüssama,heurter,tõukama,0.74545336,0.76789486
abuser,petma,aimer,armastama,0.7445152,-0.03246237
abuser,petma,aimer,sallima,0.7445152,-0.14343876
abuser,petma,aimer,meeldima,0.7445152,-0.06802423
abuser,tüssama,aimer,armastama,0.7445152,0.6750446
abuser,tüssama,aimer,sallima,0.7445152,0.80421257
abuser,tüssama,aimer,meeldima,0.7445152,0.7423492
