src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aboyer,吠える,aboyer,吠える,0.9999998,1.0
aboyer,吠える,ployer,折る,0.7402884,0.0
aboyer,吠える,pleurer,泣く,0.71086395,0.0
aboyer,吠える,aimer,愛する,0.7087616,0.08613051
aboyer,吠える,aimer,好きである,0.7087616,0.07503195
aboyer,吠える,abuser,だます,0.6898585,0.032605156
aboyer,吠える,hurler,きゃんきゃん鳴く,0.6885785,-0.12856331
aboyer,吠える,dormir,眠る,0.68166107,0.0
aboyer,吠える,agacer,怒らせる,0.67012435,-0.04596479
aboyer,吠える,essuyer,拭く,0.6530813,0.0
aboyer,吠える,nettoyer,掃除する,0.65199906,0.16414438
aboyer,吠える,rire,笑う,0.6492819,0.0
aboyer,吠える,gronder,叱る,0.6454109,0.0
aboyer,吠える,copain,同志,0.6450482,0.0
aboyer,吠える,se laver,洗う,0.64238435,0.0
aboyer,吠える,se coucher,沈む,0.64170504,0.0
aboyer,吠える,se baigner,入浴する,0.63924134,0.20947823
aboyer,吠える,cacher,隠す,0.63741034,0.0
aboyer,吠える,cacher,隠す,0.63741034,0.0
aboyer,吠える,croire,信じる,0.6372472,-0.06707935
aboyer,吠える,laver,洗う,0.63555914,0.0
aboyer,吠える,laver,洗濯する,0.63555914,-0.036312297
aboyer,吠える,se dépêcher,焦る,0.63070476,0.0
aboyer,吠える,bouger,移動する,0.62883073,0.05450006
aboyer,吠える,enlever,脱ぐ,0.6285812,0.0
aboyer,吠える,pleuvoir,雨が降る,0.62840855,-0.024372313
aboyer,吠える,tromper,だます,0.62725556,0.032605156
aboyer,吠える,déranger,構う,0.627091,0.0
abuser,だます,abuser,だます,1.0000002,1.0
abuser,だます,dormir,眠る,0.7829317,0.0
abuser,だます,cacher,隠す,0.7690758,0.0
abuser,だます,cacher,隠す,0.7690758,0.0
abuser,だます,croire,信じる,0.76267666,0.114706196
abuser,だます,mensonge,嘘,0.7541803,0.0
abuser,だます,avare,けちな,0.7517398,-0.04890766
abuser,だます,s'asseoir,座る,0.74728197,0.0
abuser,だます,agacer,怒らせる,0.74647635,-0.027809223
abuser,だます,chagrin,悩み,0.7459636,0.0
abuser,だます,heurter,突く,0.74545336,0.0
abuser,だます,aimer,愛する,0.7445152,0.027574766
abuser,だます,aimer,好きである,0.7445152,0.038275436
abuser,だます,laver,洗う,0.7407678,0.0
abuser,だます,laver,洗濯する,0.7407678,-0.037356935
abuser,だます,mourir,死ぬ,0.7384522,0.0
abuser,だます,mourir,亡くなる,0.7384522,-0.10055842
abuser,だます,se laver,洗う,0.7369867,0.0
abuser,だます,se fatiguer,眠くなる,0.7359614,0.20722446
abuser,だます,se taper,殴る,0.73459274,0.0
abuser,だます,dissimuler,隠す,0.7319805,0.0
abuser,だます,pleurer,泣く,0.73009086,0.0
abuser,だます,tromper,だます,0.7267566,1.0
abuser,だます,crier,叫ぶ,0.72577035,0.0
abuser,だます,geler,凍る,0.72464544,0.0
abuser,だます,rire,笑う,0.7245106,0.0
abuser,だます,s'enfuir,逃亡する,0.723996,0.09207303
abuser,だます,regarder,眺める,0.7198509,-0.13804027
abuser,だます,regarder,見る,0.7198509,0.0
abuser,だます,montrer,見せる,0.7169124,0.05146397
accrocher,掛ける,accrocher,掛ける,1.0,1.0
accrocher,掛ける,arracher,剝ぎ取る,0.74324876,-0.27515095
accrocher,掛ける,malheur,不幸,0.6742995,0.0
accrocher,掛ける,se dépêcher,焦る,0.6613899,0.0
accrocher,掛ける,s'asseoir,座る,0.65345085,0.0
accrocher,掛ける,cacher,隠す,0.6523712,0.0
accrocher,掛ける,cacher,隠す,0.6523712,0.0
accrocher,掛ける,pêcher,釣る,0.6440883,0.0
accrocher,掛ける,lâcher,落とす,0.6433765,-0.03037105
accrocher,掛ける,se fâcher,怒る,0.643114,0.0
accrocher,掛ける,se fâcher,腹を立てる,0.643114,0.10931027
accrocher,掛ける,sécher,乾く,0.64292914,0.0
accrocher,掛ける,lécher,なめる,0.64191145,-0.018304944
accrocher,掛ける,laisser tomber,落とす,0.6369471,-0.03037105
accrocher,掛ける,broncher,動く,0.62988335,0.0
accrocher,掛ける,marcher,歩く,0.62448865,0.0
accrocher,掛ける,marcher,跨ぐ,0.62448865,0.0
accrocher,掛ける,goutte,滴,0.62365454,0.0
accrocher,掛ける,perdre,無くす,0.6233316,0.0003857389
accrocher,掛ける,nettoyer,掃除する,0.6226409,0.13191003
accrocher,掛ける,pousser,ずらす,0.61725,-0.05312892
accrocher,掛ける,pousser,励ます,0.61725,-0.14410232
accrocher,掛ける,aiguiser,研ぐ,0.61670107,0.0
accrocher,掛ける,aller voir,訪ねる,0.6165474,-0.10121513
accrocher,掛ける,bouger,移動する,0.6103288,0.024790388
