src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-たい,want,-たい,want,0.99999994,1.0
-たい,want,病気になる,fall ill,0.26737878,0.23414251
-たい,want,閉まった,closed,0.2512156,0.2106728
-たい,want,ストーブ,stove,0.24752921,0.30219653
-たい,want,お嬢さん,daughter,0.23640038,0.18237399
-たい,want,～だけ,only,0.22220697,0.29133195
-たい,want,呼び声,call,0.21207494,0.38988703
-たい,want,裕福な,rich,0.19401585,0.2339673
-たい,want,きゃんきゃん鳴く,howl,0.19021438,0.12569438
-たい,want,到着する,arrive,0.18880087,0.3288132
-たい,want,気が付く,notice,0.17832346,0.32725435
-たい,want,元気になる,recover,0.17142497,0.20508866
-たい,want,止まる,stop,0.16961917,0.50081444
-たい,want,そちら,there,0.16445251,0.24530357
-たい,want,真ん中,middle,0.16381726,0.20786646
-たい,want,認識する,recognize,0.15973571,0.38917398
-たい,want,起こる,happen,0.15766078,0.6011613
-たい,want,ズボン,trousers,0.15729827,0.3856521
-たい,want,水をやる,water,0.15554515,0.11301993
-たい,want,カップ,cup,0.14853022,0.16776505
-たい,want,呼吸する,breathe,0.14777437,0.48991206
-たい,want,集める,gather,0.14398667,0.3697974
-たい,want,どこでも,everywhere,0.14218818,0.5927746
-たい,want,強力な,powerful,0.14157268,0.3023266
-たい,want,手のひら,palm,0.14149024,0.11178069
あなた,you,あなた,you,0.99999994,1.0
あなた,you,あなた,thou,0.99999994,0.5477669
あなた,thou,あなた,you,0.99999994,0.5477669
あなた,thou,あなた,thou,0.99999994,1.0
あなた,you,奥さん,wife,0.84769326,0.28731892
あなた,thou,奥さん,wife,0.84769326,0.30109566
あなた,you,引っ掻く,scrape,0.8342601,0.27077645
あなた,thou,引っ掻く,scrape,0.8342601,0.35389596
あなた,you,垣根,fence,0.8170411,0.2214249
あなた,thou,垣根,fence,0.8170411,0.25702685
あなた,you,揺さぶる,jolt,0.80898017,0.15408993
あなた,you,揺さぶる,shake,0.80898017,0.5697013
あなた,thou,揺さぶる,jolt,0.80898017,0.0823376
あなた,thou,揺さぶる,shake,0.80898017,0.48233312
あなた,you,あの時,at that time,0.8081905,0.40470672
あなた,thou,あの時,at that time,0.8081905,0.33674592
あなた,you,赤い,red,0.79248536,0.28960532
あなた,thou,赤い,red,0.79248536,0.22572945
あなた,you,ちょっと,a little,0.77778715,0.47912937
あなた,thou,ちょっと,a little,0.77778715,0.48080128
あなた,you,色々な,different,0.7775366,0.30853355
あなた,thou,色々な,different,0.7775366,0.46984652
あなた,you,大きい,big,0.7311378,0.3962762
あなた,thou,大きい,big,0.7311378,0.3233701
あなた,you,記憶,memory,0.6933289,0.51426417
あなた,thou,記憶,memory,0.6933289,0.59232086
あなた,you,こう,so,0.683,0.60079193
あなた,thou,こう,so,0.683,0.58501434
あなた,you,叔母,aunt,0.673948,0.4838432
あなた,thou,叔母,aunt,0.673948,0.43167457
あなた,you,今日,today,0.6678166,0.39334798
あなた,thou,今日,today,0.6678166,0.5056542
あなた,you,半分,half,0.6431861,0.27242094
あなた,thou,半分,half,0.6431861,0.25857833
あなた,you,青い,blue,0.60355747,0.26044947
あなた,thou,青い,blue,0.60355747,0.30859068
あなた,you,息子,son,0.60346526,0.1753372
あなた,thou,息子,son,0.60346526,0.34231523
あなた,you,呼吸,breath,0.6032467,0.44799566
あなた,thou,呼吸,breath,0.6032467,0.44857723
あなた,you,名前,name,0.59021676,0.16765898
あなた,thou,名前,name,0.59021676,0.26615697
あなた,you,あなた達,you,0.5731163,1.0
あなた,thou,あなた達,you,0.5731163,0.5477669
あなた,you,動物,animal,0.5627692,0.26372817
あなた,thou,動物,animal,0.5627692,0.39215994
あなた,you,それ,that,0.5606529,0.33969682
あなた,thou,それ,that,0.5606529,0.4464919
あなた,you,過去に,once,0.5482046,0.29090458
あなた,thou,過去に,once,0.5482046,0.32982826
あなた,you,フォーク,fork,0.5347189,0.2487203
あなた,thou,フォーク,fork,0.5347189,0.23898691
あなた,you,健康,health,0.5343741,0.24352461
あなた,thou,健康,health,0.5343741,0.15608993
あなた達,you,あなた達,you,1.0,1.0
あなた達,you,色々な,different,0.8236966,0.30853355
あなた達,you,赤い,red,0.7941614,0.28960532
あなた達,you,垣根,fence,0.7830092,0.2214249
あなた達,you,ちょっと,a little,0.78207785,0.47912937
あなた達,you,報告,message,0.7803407,0.4205842
あなた達,you,支配する,rule,0.7621254,0.2427432
あなた達,you,あの時,at that time,0.7608802,0.40470672
あなた達,you,揺さぶる,jolt,0.7480036,0.15408993
あなた達,you,揺さぶる,shake,0.7480036,0.5697013
あなた達,you,大きい,big,0.7363414,0.3962762
あなた達,you,長さ,length,0.7359759,0.36222568
あなた達,you,子供,child,0.73479295,0.3048315
あなた達,you,健康,health,0.71853894,0.24352461
あなた達,you,叔母,aunt,0.69961846,0.4838432
あなた達,you,こう,so,0.6884165,0.60079193
あなた達,you,先生,teacher,0.68105197,0.24865405
あなた達,you,仕事,work,0.6707547,0.37502235
あなた達,you,名前,name,0.6618607,0.16765898
あなた達,you,触れる,touch,0.659527,0.5391937
あなた達,you,別の,other,0.65420866,0.13932627
あなた達,you,生活,life,0.65165234,0.38729054
あなた達,you,高さ,height,0.6514896,0.28370225
あなた達,you,掛かっている,hang,0.6508586,0.28642213
あなた達,you,食事,meal,0.6507604,0.48869625
あなた達,you,真実,truth,0.64513785,0.51128656
あの時,at that time,あの時,at that time,1.0000001,1.0
あの時,at that time,赤い,red,0.9853005,0.23730098
あの時,at that time,垣根,fence,0.98209727,0.19445485
あの時,at that time,ちょっと,a little,0.9769327,0.49998766
あの時,at that time,揺さぶる,jolt,0.9717469,0.017922983
あの時,at that time,揺さぶる,shake,0.9717469,0.47062758
あの時,at that time,大きい,big,0.92770404,0.38543582
あの時,at that time,こう,so,0.87563664,0.37485975
あの時,at that time,奥さん,wife,0.8578805,0.31196788
あの時,at that time,色々な,different,0.85401076,0.19501433
あの時,at that time,叔母,aunt,0.8412718,0.27304804
あの時,at that time,半分,half,0.8224545,0.36479485
あの時,at that time,青い,blue,0.81669414,0.14960667
あの時,at that time,あなた,you,0.80819046,0.40470672
あの時,at that time,あなた,thou,0.80819046,0.33674592
あの時,at that time,健康,health,0.8052084,0.25258863
あの時,at that time,支配する,rule,0.79302967,0.27383804
あの時,at that time,今日,today,0.7804454,0.32712585
あの時,at that time,生活,life,0.77892303,0.39365527
あの時,at that time,息子,son,0.77245694,0.28345737
あの時,at that time,記憶,memory,0.7678472,0.36980182
あの時,at that time,名前,name,0.7620932,0.15578496
あの時,at that time,あなた達,you,0.7608802,0.40470672
あの時,at that time,耳が聞こえない,deaf,0.75684124,0.45048714
あの時,at that time,言葉,word,0.75150585,0.29427612
あの時,at that time,子供,child,0.74881893,0.30815476
あの時,at that time,掛かっている,hang,0.7484403,0.17102993
いっぱいにする,fill,いっぱいにする,fill,1.0000001,1.0
いっぱいにする,fill,いっぱいの,full,0.3176356,0.3807497
いっぱいにする,fill,落とす,drop,0.25348154,0.3866603
いっぱいにする,fill,キスする,kiss,0.23302373,0.35296923
いっぱいにする,fill,ここへ,hither,0.23222491,0.4431332
いっぱいにする,fill,飲み込む,swallow,0.20866571,0.44774562
いっぱいにする,fill,成功する,succeed,0.20268704,0.33029565
いっぱいにする,fill,揺れる,sway,0.1878536,0.38446915
いっぱいにする,fill,気が付く,notice,0.18603744,0.36684856
いっぱいにする,fill,据える,put,0.18568163,0.29269958
いっぱいにする,fill,出発する,depart,0.17376247,0.27723563
いっぱいにする,fill,伯父さん,uncle,0.17175852,0.21438253
いっぱいにする,fill,贈り物,gift,0.1653946,0.23240694
いっぱいにする,fill,震える,tremble,0.16484466,0.44893706
いっぱいにする,fill,清潔な,clean,0.15328023,0.3116393
いっぱいにする,fill,ナイフ,knife,0.15140387,0.33561105
いっぱいにする,fill,雨が降る,rain,0.15085931,0.1940626
いっぱいにする,fill,終わり,conclusion,0.14965151,0.2548633
いっぱいにする,fill,柔らかい,soft,0.14940622,0.29719073
いっぱいにする,fill,病気である,be ill,0.14891517,0.15290439
いっぱいにする,fill,耐える,endure,0.1472613,0.27018785
いっぱいにする,fill,休養する,relax,0.14564021,0.40510416
いっぱいにする,fill,曲げる,bend,0.14512725,0.32000148
いっぱいにする,fill,労働者,worker,0.14262185,0.19063851
いっぱいにする,fill,朽ちる,decay,0.14020559,0.17561829
いっぱいの,full,いっぱいの,full,1.0000001,1.0
いっぱいの,full,いっぱいにする,fill,0.3176356,0.3807497
いっぱいの,full,ゆとり,space,0.29770824,0.42052191
いっぱいの,full,終わり,conclusion,0.27883455,0.31693873
いっぱいの,full,成功する,succeed,0.2656432,0.14105724
いっぱいの,full,スカーフ,scarf,0.25477636,0.26556396
いっぱいの,full,変える,alter,0.25333604,0.29675612
いっぱいの,full,とんとん叩く,knock,0.23229258,0.23193246
いっぱいの,full,約束する,promise,0.20425054,0.27294642
いっぱいの,full,お父さん,father,0.19336939,0.10627301
いっぱいの,full,伸びる,grow,0.18415317,0.09064981
いっぱいの,full,上げる,give,0.18090154,0.2809035
いっぱいの,full,フクロウ,owl,0.17900097,0.22227845
いっぱいの,full,ぴかぴか光る,sparkle,0.1776911,0.18381914
いっぱいの,full,どのくらい,how much,0.17462859,0.29959175
いっぱいの,full,寝付く,fall asleep,0.17421237,0.25126368
いっぱいの,full,無駄に,in vain,0.16566445,0.297498
いっぱいの,full,以前の,former,0.16498369,0.16397622
いっぱいの,full,ひんやりした,fresh,0.16451602,0.25800115
いっぱいの,full,恐れる,be afraid of,0.1634653,0.28150517
いっぱいの,full,逃げる,flee,0.16122352,0.19029438
いっぱいの,full,かばん,bag,0.15790023,0.33323538
いっぱいの,full,耐える,endure,0.15515825,0.3483325
いっぱいの,full,病気である,be ill,0.15250811,-0.025961336
いっぱいの,full,ブーツ,boot,0.14302486,0.33985132
いつも,always,いつも,always,1.0000001,1.0
いつも,always,ニュース,news,0.30160418,0.23276308
いつも,always,火曜日,Tuesday,0.2954985,0.25908047
いつも,always,時間,time,0.2926354,0.35878617
いつも,always,水曜日,Wednesday,0.2841079,0.29442823
いつも,always,過去に,once,0.27615637,0.40598863
いつも,always,月曜日,Monday,0.27375662,0.20134646
いつも,always,そちら,there,0.27315846,0.480403
いつも,always,どこでも,everywhere,0.26512975,0.6270039
いつも,always,最後の,last,0.25581473,0.32024264
いつも,always,日曜日,Sunday,0.2508525,0.21087706
いつも,always,年齢,age,0.25027943,0.24797304
いつも,always,真実,truth,0.24592778,0.5158855
いつも,always,木曜日,Thursday,0.24587548,0.26070195
いつも,always,金曜日,Friday,0.23821521,0.28149277
いつも,always,文字,character,0.23324282,0.44048512
いつも,always,間もなく,soon,0.23135231,0.15531896
いつも,always,損傷する,damage,0.23124836,0.1314125
いつも,always,世界,world,0.22604552,0.28216052
いつも,always,報告,message,0.2259347,0.34926346
いつも,always,別の,other,0.22361647,0.29624778
いつも,always,子供,child,0.22102709,0.30555168
いつも,always,或いは,or,0.22055767,0.30932587
いつも,always,同時に,at once,0.22000203,0.5549454
いつも,always,先生,teacher,0.21900876,0.22755896
うめく,groan,うめく,groan,1.0,1.0
うめく,groan,感情を動かす,move,0.27068728,0.05826072
うめく,groan,掛ける,hang up,0.22245449,0.23135294
うめく,groan,労働者,worker,0.21592169,-0.03153252
うめく,groan,約束する,promise,0.20463276,0.040860035
うめく,groan,キスする,kiss,0.2025977,0.094607964
うめく,groan,小さい,little,0.19686286,0.02531619
うめく,groan,放牧する,herd,0.1966527,-0.18337163
うめく,groan,干し草,hay,0.1966506,0.07147737
うめく,groan,期待する,wait for,0.1935357,0.15101841
うめく,groan,変わる,change,0.19321954,0.007072039
うめく,groan,見知らぬ,foreign,0.19140522,-0.05774044
うめく,groan,以前の,former,0.18795289,-0.001649417
うめく,groan,ひんやりした,fresh,0.18625963,0.18094812
うめく,groan,一緒に,together,0.1851522,-0.033894993
うめく,groan,案内する,guide,0.18509187,0.20754619
うめく,groan,無駄に,in vain,0.1811365,0.10135138
うめく,groan,軽微する,guard,0.17970827,0.21221513
うめく,groan,病気である,be ill,0.1733723,0.08477194
うめく,groan,酸っぱい,sour,0.17163317,0.110060796
うめく,groan,どのくらい,how much,0.16966666,-0.056022525
うめく,groan,数える,count,0.16102475,-0.06989119
うめく,groan,ここから,hence,0.1598117,-0.012668759
うめく,groan,修理する,mend,0.15627031,0.22895774
うめく,groan,取り上げる,seize,0.15607132,0.075829566
おじいさん,grandfather,おじいさん,grandfather,1.0000001,1.0
おじいさん,grandfather,挙げる,raise,0.27584866,0.218227
おじいさん,grandfather,長い間,long,0.26798424,0.16293104
おじいさん,grandfather,燃える,burn,0.261931,0.13406302
おじいさん,grandfather,通して,through,0.25871983,0.20951352
おじいさん,grandfather,閉める,close,0.22270192,0.3374462
おじいさん,grandfather,灰色の,grey,0.22046499,0.18633223
おじいさん,grandfather,邪魔する,bother,0.21538413,0.5838531
おじいさん,grandfather,目が覚める,wake up,0.20584416,0.36246324
おじいさん,grandfather,息子さん,son,0.2027749,0.7040067
おじいさん,grandfather,洗濯する,wash,0.19903654,0.19998606
おじいさん,grandfather,製造する,produce,0.19007106,0.14011037
おじいさん,grandfather,明るい,bright,0.18528368,0.3433638
おじいさん,grandfather,始める,start,0.1727512,0.15177003
おじいさん,grandfather,開いた,open,0.1706423,0.09453727
おじいさん,grandfather,入浴する,bath,0.16789156,0.26751235
おじいさん,grandfather,強力な,powerful,0.16743244,0.20229693
おじいさん,grandfather,励ます,urge,0.16629839,0.12714991
おじいさん,grandfather,伝える,convey,0.16173522,0.26986644
おじいさん,grandfather,ベルト,belt,0.15807116,0.20367974
おじいさん,grandfather,食べる,eat,0.15107174,0.18602896
おじいさん,grandfather,二番目,second,0.15050428,0.15852086
おじいさん,grandfather,煙を出す,smoke,0.14924255,0.02067155
おじいさん,grandfather,増える,increase,0.14885409,0.08123449
おじいさん,grandfather,別れる,separate,0.14724904,0.023670582
おじいさん,grandfather,別れる,leave,0.14724904,0.28778198
おばあさん,grandmother,おばあさん,grandmother,1.0000001,1.0
おばあさん,grandmother,ひどい,nasty,0.29632667,0.4481447
おばあさん,grandmother,逆巻く,roar,0.2691071,0.39147073
おばあさん,grandmother,愛する,love,0.2634906,0.5371642
おばあさん,grandmother,立ち上がる,stand up,0.25060052,0.19459891
おばあさん,grandmother,けちな,stingy,0.23669156,0.10094947
おばあさん,grandmother,伝える,convey,0.23464988,0.31352592
おばあさん,grandmother,病気になる,fall ill,0.22470571,0.29063103
おばあさん,grandmother,正しい,correct,0.22110987,0.1990692
おばあさん,grandmother,干し草,hay,0.20970605,0.42334294
おばあさん,grandmother,ストーブ,stove,0.19906436,0.41134328
おばあさん,grandmother,二番目,second,0.19623081,0.27697352
おばあさん,grandmother,破壊する,destroy,0.19448906,0.28355613
おばあさん,grandmother,スカーフ,scarf,0.19418694,0.5243717
おばあさん,grandmother,終わり,conclusion,0.17722015,0.236395
おばあさん,grandmother,豊かさ,wealth,0.17032133,0.41475216
おばあさん,grandmother,搾乳する,milk,0.16949154,0.27780777
おばあさん,grandmother,無くす,lose,0.16738173,0.287829
おばあさん,grandmother,預かる,keep,0.16289082,0.31026447
おばあさん,grandmother,上がる,rise,0.16192934,0.2506827
おばあさん,grandmother,勉強する,learn,0.15899426,0.422939
おばあさん,grandmother,終える,finish,0.15804376,0.26706594
おばあさん,grandmother,強力な,powerful,0.15058567,0.18816635
おばあさん,grandmother,頭のいい,clever,0.14836033,0.21653588
おばあさん,grandmother,どこに,where,0.14656399,0.29498023
お嬢さん,daughter,お嬢さん,daughter,1.0000001,1.0
お嬢さん,daughter,きゃんきゃん鳴く,howl,0.27034372,-0.053471606
お嬢さん,daughter,呼吸する,breathe,0.259988,0.2377376
お嬢さん,daughter,出会う,meet,0.25794744,0.24397205
お嬢さん,daughter,一緒に,together,0.2533714,0.30907312
お嬢さん,daughter,ここから,hence,0.2439141,0.30815193
お嬢さん,daughter,長い間,long,0.24377365,0.10995838
お嬢さん,daughter,-たい,want,0.23640043,0.18237399
お嬢さん,daughter,がらんがらんと鳴る,tinkle,0.23143896,0.574857
お嬢さん,daughter,止める,stop,0.21985371,0.11326401
お嬢さん,daughter,怒らせる,annoy,0.21696518,0.2618897
お嬢さん,daughter,元気になる,recover,0.20706508,0.32906222
お嬢さん,daughter,ヘラジカ,elk,0.20529988,0.41267684
お嬢さん,daughter,下がる,drop,0.19557509,0.09605353
お嬢さん,daughter,スキー,ski,0.19093984,0.18669167
お嬢さん,daughter,閉まった,closed,0.18704532,0.017470226
お嬢さん,daughter,気が付く,notice,0.18691443,0.13372585
お嬢さん,daughter,社会,company,0.1822498,0.15142702
お嬢さん,daughter,お母さん,mother,0.18191677,0.7646095
お嬢さん,daughter,結び目,knot,0.17924252,0.21646602
お嬢さん,daughter,妨害する,hinder,0.17674589,0.19198497
