src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-たい,vouloir,-たい,vouloir,0.99999994,1.0
-たい,vouloir,病気になる,tomber malade,0.26737878,0.4944701
-たい,vouloir,閉まった,clos,0.2512156,0.38685545
-たい,vouloir,閉まった,fermé,0.2512156,0.23214523
-たい,vouloir,ストーブ,poêle,0.24752921,-0.03544371
-たい,vouloir,お嬢さん,fille,0.23640038,0.22025776
-たい,vouloir,～だけ,seulement,0.22220697,0.31292018
-たい,vouloir,～だけ,ne ... que,0.22220697,0.07583329
-たい,vouloir,呼び声,cri,0.21207494,0.25145277
-たい,vouloir,呼び声,appel,0.21207494,0.48899385
-たい,vouloir,裕福な,riche,0.19401585,0.04883759
-たい,vouloir,きゃんきゃん鳴く,hurler,0.19021438,0.4213942
-たい,vouloir,到着する,arriver,0.18880087,0.46269813
-たい,vouloir,気が付く,remarquer,0.17832346,0.41816172
-たい,vouloir,気が付く,apercevoir,0.17832346,0.56499666
-たい,vouloir,元気になる,guérir,0.17142497,-0.08799355
-たい,vouloir,元気になる,se remettre,0.17142497,0.5505941
-たい,vouloir,止まる,s'arrêter,0.16961917,0.23501112
-たい,vouloir,そちら,là,0.16445251,0.0
-たい,vouloir,そちら,là-bas,0.16445251,0.008215293
-たい,vouloir,真ん中,milieu,0.16381726,0.21227738
-たい,vouloir,認識する,reconnaître,0.15973571,0.53876996
-たい,vouloir,起こる,se passer,0.15766078,0.53200924
-たい,vouloir,ズボン,pantalon,0.15729827,0.16463684
-たい,vouloir,水をやる,arroser,0.15554515,0.35049114
-たい,vouloir,カップ,tasse,0.14853022,0.28886074
-たい,vouloir,呼吸する,respirer,0.14777437,0.41492802
-たい,vouloir,集める,collectionner,0.14398667,0.42594546
-たい,vouloir,どこでも,partout,0.14218818,0.30254358
-たい,vouloir,強力な,fort,0.14157268,0.2892754
-たい,vouloir,強力な,vigoureux,0.14157268,0.45714253
-たい,vouloir,手のひら,paume,0.14149024,0.1708335
あなた,tu,あなた,tu,0.99999994,1.0
あなた,tu,あなた,toi,0.99999994,0.5319854
あなた,toi,あなた,tu,0.99999994,0.5319854
あなた,toi,あなた,toi,0.99999994,1.0
あなた,tu,奥さん,femme,0.84769326,0.102506354
あなた,tu,奥さん,épouse,0.84769326,0.10951572
あなた,toi,奥さん,femme,0.84769326,0.25246355
あなた,toi,奥さん,épouse,0.84769326,0.24134621
あなた,tu,引っ掻く,gratter,0.8342601,0.31490016
あなた,tu,引っ掻く,égratigner,0.8342601,0.17141931
あなた,toi,引っ掻く,gratter,0.8342601,0.34766397
あなた,toi,引っ掻く,égratigner,0.8342601,0.24721068
あなた,tu,垣根,clôture,0.8170411,0.18110345
あなた,toi,垣根,clôture,0.8170411,0.10036586
あなた,tu,揺さぶる,cahoter,0.80898017,0.39895594
あなた,tu,揺さぶる,secouer,0.80898017,0.45394528
あなた,toi,揺さぶる,cahoter,0.80898017,0.35923624
あなた,toi,揺さぶる,secouer,0.80898017,0.36222947
あなた,tu,あの時,alors,0.8081905,0.2895022
あなた,tu,あの時,à l'époque,0.8081905,0.21918097
あなた,toi,あの時,alors,0.8081905,0.2017223
あなた,toi,あの時,à l'époque,0.8081905,0.28726393
あなた,tu,赤い,rouge,0.79248536,0.23579799
あなた,toi,赤い,rouge,0.79248536,0.23568577
あなた,tu,ちょっと,un peu,0.77778715,0.05521363
あなた,toi,ちょっと,un peu,0.77778715,0.03437373
あなた,tu,色々な,différent,0.7775366,0.26243955
あなた,toi,色々な,différent,0.7775366,0.27329588
あなた,tu,大きい,grand,0.7311378,0.30727756
あなた,toi,大きい,grand,0.7311378,0.21870688
あなた,tu,記憶,mémoire,0.6933289,0.27786124
あなた,toi,記憶,mémoire,0.6933289,0.2961694
あなた,tu,こう,si,0.683,0.37142208
あなた,tu,こう,ainsi,0.683,0.103493765
あなた,toi,こう,si,0.683,0.33163095
あなた,toi,こう,ainsi,0.683,0.058084786
あなた,tu,叔母,tante,0.673948,0.056588903
あなた,toi,叔母,tante,0.673948,0.18874067
あなた,tu,今日,aujourd'hui,0.6678166,0.26365042
あなた,toi,今日,aujourd'hui,0.6678166,0.1939269
あなた,tu,半分,moitié,0.6431861,0.0807931
あなた,toi,半分,moitié,0.6431861,-0.0025276393
あなた,tu,青い,bleu,0.60355747,0.3441792
あなた,toi,青い,bleu,0.60355747,0.35052636
あなた,tu,息子,fils,0.60346526,0.2277097
あなた,toi,息子,fils,0.60346526,0.2472571
あなた,tu,呼吸,haleine,0.6032467,0.385913
あなた,toi,呼吸,haleine,0.6032467,0.5298992
あなた,tu,名前,nom,0.59021676,0.17727725
あなた,toi,名前,nom,0.59021676,0.22845834
あなた,tu,あなた達,vous,0.5731163,0.48704278
あなた,toi,あなた達,vous,0.5731163,0.5919502
あなた,tu,動物,animal,0.5627692,0.45234066
あなた,toi,動物,animal,0.5627692,0.39907277
あなた,tu,それ,ce,0.5606529,0.31789368
あなた,tu,それ,cela,0.5606529,0.36440152
あなた,toi,それ,ce,0.5606529,0.26363808
あなた,toi,それ,cela,0.5606529,0.26896822
あなた,tu,過去に,jadis,0.5482046,0.27067223
あなた,tu,過去に,autrefois,0.5482046,0.20152126
あなた,toi,過去に,jadis,0.5482046,0.2694785
あなた,toi,過去に,autrefois,0.5482046,0.25009108
あなた,tu,フォーク,fourchette,0.5347189,0.21905732
あなた,toi,フォーク,fourchette,0.5347189,0.30197984
あなた,tu,健康,santé,0.5343741,0.30673164
あなた,toi,健康,santé,0.5343741,0.19171011
あなた達,vous,あなた達,vous,1.0,0.99999994
あなた達,vous,色々な,différent,0.8236966,0.298239
あなた達,vous,赤い,rouge,0.7941614,0.24435684
あなた達,vous,垣根,clôture,0.7830092,0.23714873
あなた達,vous,ちょっと,un peu,0.78207785,0.0022258312
あなた達,vous,報告,message,0.7803407,0.41092795
あなた達,vous,支配する,dominer,0.7621254,0.24675481
あなた達,vous,支配する,maîtriser,0.7621254,0.3301519
あなた達,vous,あの時,alors,0.7608802,0.20682114
あなた達,vous,あの時,à l'époque,0.7608802,0.30601522
あなた達,vous,揺さぶる,cahoter,0.7480036,0.37662932
あなた達,vous,揺さぶる,secouer,0.7480036,0.25609985
あなた達,vous,大きい,grand,0.7363414,0.24807432
あなた達,vous,長さ,longueur,0.7359759,0.2099562
あなた達,vous,子供,enfant,0.73479295,0.24268071
あなた達,vous,健康,santé,0.71853894,0.04373282
あなた達,vous,叔母,tante,0.69961846,0.21127573
あなた達,vous,こう,si,0.6884165,0.4412366
あなた達,vous,こう,ainsi,0.6884165,0.08704163
あなた達,vous,先生,professeur,0.68105197,0.19258729
あなた達,vous,先生,instituteur,0.68105197,0.11120383
あなた達,vous,仕事,travail,0.6707547,0.24722973
あなた達,vous,名前,nom,0.6618607,0.1388817
あなた達,vous,触れる,toucher,0.659527,0.44672984
あなた達,vous,別の,autre,0.65420866,0.22979765
あなた達,vous,生活,vie,0.65165234,0.22288013
あなた達,vous,高さ,hauteur,0.6514896,0.14442696
あなた達,vous,高さ,altitude,0.6514896,0.11085224
あなた達,vous,掛かっている,pendre,0.6508586,0.36778843
あなた達,vous,食事,repas,0.6507604,0.41795316
あなた達,vous,食事,manger,0.6507604,0.5557907
あなた達,vous,真実,vérité,0.64513785,-0.07173378
あの時,alors,あの時,alors,1.0000001,1.0
あの時,alors,あの時,à l'époque,1.0000001,0.41016144
あの時,à l'époque,あの時,alors,1.0000001,0.41016144
あの時,à l'époque,あの時,à l'époque,1.0000001,1.0
あの時,alors,赤い,rouge,0.9853005,0.16413409
あの時,à l'époque,赤い,rouge,0.9853005,0.30997586
あの時,alors,垣根,clôture,0.98209727,0.19837087
あの時,à l'époque,垣根,clôture,0.98209727,0.41430065
あの時,alors,ちょっと,un peu,0.9769327,-0.015578344
あの時,à l'époque,ちょっと,un peu,0.9769327,0.01208796
あの時,alors,揺さぶる,cahoter,0.9717469,0.48812532
あの時,alors,揺さぶる,secouer,0.9717469,0.39484274
あの時,à l'époque,揺さぶる,cahoter,0.9717469,0.37140274
あの時,à l'époque,揺さぶる,secouer,0.9717469,0.40498275
あの時,alors,大きい,grand,0.92770404,0.19972911
あの時,à l'époque,大きい,grand,0.92770404,0.27790254
あの時,alors,こう,si,0.87563664,0.4725635
あの時,alors,こう,ainsi,0.87563664,0.6414138
あの時,à l'époque,こう,si,0.87563664,0.5132762
あの時,à l'époque,こう,ainsi,0.87563664,0.25257373
あの時,alors,奥さん,femme,0.8578805,0.30401212
あの時,alors,奥さん,épouse,0.8578805,0.30517972
あの時,à l'époque,奥さん,femme,0.8578805,0.3365583
あの時,à l'époque,奥さん,épouse,0.8578805,0.46372253
あの時,alors,色々な,différent,0.85401076,0.24010946
あの時,à l'époque,色々な,différent,0.85401076,0.35329086
あの時,alors,叔母,tante,0.8412718,0.28525466
あの時,à l'époque,叔母,tante,0.8412718,0.3132587
あの時,alors,半分,moitié,0.8224545,0.2691175
あの時,à l'époque,半分,moitié,0.8224545,0.2786924
あの時,alors,青い,bleu,0.81669414,0.20019527
あの時,à l'époque,青い,bleu,0.81669414,0.33231917
あの時,alors,あなた,tu,0.80819046,0.2895022
あの時,alors,あなた,toi,0.80819046,0.2017223
あの時,à l'époque,あなた,tu,0.80819046,0.21918097
あの時,à l'époque,あなた,toi,0.80819046,0.28726393
あの時,alors,健康,santé,0.8052084,0.09167908
あの時,à l'époque,健康,santé,0.8052084,0.08316673
あの時,alors,支配する,dominer,0.79302967,0.36249307
あの時,alors,支配する,maîtriser,0.79302967,0.23639971
あの時,à l'époque,支配する,dominer,0.79302967,0.3761801
あの時,à l'époque,支配する,maîtriser,0.79302967,0.3054586
あの時,alors,今日,aujourd'hui,0.7804454,0.27942044
あの時,à l'époque,今日,aujourd'hui,0.7804454,0.4160593
あの時,alors,生活,vie,0.77892303,0.26158863
あの時,à l'époque,生活,vie,0.77892303,0.37388313
あの時,alors,息子,fils,0.77245694,0.31529158
あの時,à l'époque,息子,fils,0.77245694,0.46080047
あの時,alors,記憶,mémoire,0.7678472,0.3270917
あの時,à l'époque,記憶,mémoire,0.7678472,0.46494254
あの時,alors,名前,nom,0.7620932,0.2001222
あの時,à l'époque,名前,nom,0.7620932,0.34828287
あの時,alors,あなた達,vous,0.7608802,0.20682114
あの時,à l'époque,あなた達,vous,0.7608802,0.30601522
あの時,alors,耳が聞こえない,sourd,0.75684124,0.34141946
あの時,à l'époque,耳が聞こえない,sourd,0.75684124,0.53068006
あの時,alors,言葉,mot,0.75150585,0.15935853
あの時,à l'époque,言葉,mot,0.75150585,0.27830547
あの時,alors,子供,enfant,0.74881893,0.23385322
あの時,à l'époque,子供,enfant,0.74881893,0.35767218
あの時,alors,掛かっている,pendre,0.7484403,0.34879756
あの時,à l'époque,掛かっている,pendre,0.7484403,0.32005087
いっぱいにする,remplir,いっぱいにする,remplir,1.0000001,0.99999994
いっぱいにする,remplir,いっぱいの,plein,0.3176356,0.3668961
いっぱいにする,remplir,いっぱいの,rempli,0.3176356,0.8609055
いっぱいにする,remplir,落とす,lâcher,0.25348154,0.5812178
いっぱいにする,remplir,落とす,laisser tomber,0.25348154,0.5923788
いっぱいにする,remplir,キスする,embrasser,0.23302373,0.5339872
いっぱいにする,remplir,ここへ,par ici,0.23222491,-0.007172564
いっぱいにする,remplir,飲み込む,avaler,0.20866571,0.41705495
いっぱいにする,remplir,成功する,réussir,0.20268704,0.6255598
いっぱいにする,remplir,揺れる,osciller,0.1878536,0.45099068
いっぱいにする,remplir,揺れる,chanceler,0.1878536,0.49280205
いっぱいにする,remplir,気が付く,remarquer,0.18603744,0.40876704
いっぱいにする,remplir,気が付く,apercevoir,0.18603744,0.68685484
いっぱいにする,remplir,据える,poser,0.18568163,0.5689933
いっぱいにする,remplir,据える,mettre,0.18568163,0.48303872
いっぱいにする,remplir,出発する,partir,0.17376247,0.16814004
いっぱいにする,remplir,伯父さん,oncle,0.17175852,0.17196743
いっぱいにする,remplir,贈り物,cadeau,0.1653946,0.30437177
いっぱいにする,remplir,贈り物,présent,0.1653946,0.22794618
いっぱいにする,remplir,震える,trembler,0.16484466,0.5057378
いっぱいにする,remplir,清潔な,net,0.15328023,0.3138691
