src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
Abend,evening,Abend,evening,1.0,1.0
Abend,evening,Mittag,noon,0.5689231,0.6984582
Abend,evening,Samstag,Saturday,0.49524423,0.53454065
Abend,evening,morgen,tomorrow,0.47102517,0.09398471
Abend,evening,Sonntag,Sunday,0.46678817,0.5807525
Abend,evening,Januar,January,0.45594367,0.41447797
Abend,evening,April,April,0.45379728,0.43806854
Abend,evening,Dezember,December,0.4536986,0.40569323
Abend,evening,sechzig,sixty,0.44963273,0.39720124
Abend,evening,Oktober,October,0.44429174,0.39982158
Abend,evening,Februar,February,0.44404137,0.42594793
Abend,evening,fünfzig,fifty,0.43830317,0.42866826
Abend,evening,Löffel,spoon,0.43007392,0.3414771
Abend,evening,Freitag,Friday,0.42835152,0.4827581
Abend,evening,November,November,0.42649102,0.40539095
Abend,evening,Montag,Monday,0.4123096,0.53281343
Abend,evening,Dienstag,Tuesday,0.41067165,0.5354767
Abend,evening,Genick,nape,0.41006666,0.090348795
Abend,evening,singen,sing,0.40150508,0.1731871
Abend,evening,Mitte,middle,0.39603162,0.269548
Abend,evening,August,August,0.39598733,0.43601444
Abend,evening,neunzig,ninety,0.39424163,0.4901881
Abend,evening,sich unterhalten,chat,0.3896253,0.32368022
Abend,evening,Fingernagel,fingernail,0.38542962,0.3047068
Abend,evening,Tanne,fir,0.38033298,0.30651098
Abhang,slope,Abhang,slope,0.9999998,1.0
Abhang,slope,Genick,nape,0.62754744,-0.11110166
Abhang,slope,Beutel,pouch,0.625929,0.20164098
Abhang,slope,blind,blind,0.6003395,0.3270197
Abhang,slope,Pfeil,arrow,0.5938336,0.62373775
Abhang,slope,Silber,silver,0.5529433,0.37543142
Abhang,slope,Zwiebel,onion,0.5493829,0.41086876
Abhang,slope,fett,fat,0.5406495,0.51594126
Abhang,slope,Volk,nation,0.5342285,0.28585252
Abhang,slope,Fell,fur,0.52722275,0.6658937
Abhang,slope,Knopf,button,0.51544,0.27739453
