src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
Abend,õhtu,Abend,õhtu,1.0,0.99999994
Abend,õhtu,Mittag,lõuna,0.5689231,0.056077685
Abend,õhtu,Mittag,keskpäev,0.5689231,0.077238455
Abend,õhtu,Samstag,laupäev,0.49524423,0.0074635707
Abend,õhtu,morgen,homme,0.47102517,0.046262592
Abend,õhtu,Sonntag,pühapäev,0.46678817,-0.038659833
Abend,õhtu,Januar,jaanuar,0.45594367,0.011272673
Abend,õhtu,April,aprill,0.45379728,0.03510959
Abend,õhtu,Dezember,detsember,0.4536986,0.0030649342
Abend,õhtu,sechzig,kuuskümmend,0.44963273,0.047694497
Abend,õhtu,Oktober,oktoober,0.44429174,0.08683036
Abend,õhtu,Februar,veebruar,0.44404137,0.04574367
Abend,õhtu,fünfzig,viiskümmend,0.43830317,-0.07857725
Abend,õhtu,Löffel,lusikas,0.43007392,-0.06727645
Abend,õhtu,Freitag,reede,0.42835152,0.08514939
Abend,õhtu,November,november,0.42649102,0.012020461
Abend,õhtu,Montag,esmaspäev,0.4123096,-0.037549496
Abend,õhtu,Dienstag,teisipäev,0.41067165,-0.13734427
Abend,õhtu,Genick,kukal,0.41006666,0.07215825
Abend,õhtu,singen,laulma,0.40150508,0.021780195
Abend,õhtu,Mitte,keskpaik,0.39603162,0.12855756
Abend,õhtu,August,august,0.39598733,0.12689078
Abend,õhtu,neunzig,üheksakümmend,0.39424163,-0.03204919
Abend,õhtu,sich unterhalten,vestlema,0.3896253,0.057406813
Abend,õhtu,Fingernagel,küüs,0.38542962,0.11141033
Abend,õhtu,Tanne,nulg,0.38033298,0.019503169
Abhang,nõlvak,Abhang,nõlvak,0.9999998,1.0
Abhang,nõlvak,Genick,kukal,0.62754744,-0.079842225
Abhang,nõlvak,Beutel,paun,0.625929,-0.049469955
Abhang,nõlvak,blind,pime,0.6003395,-0.067657724
Abhang,nõlvak,Pfeil,nool,0.5938336,0.122227415
Abhang,nõlvak,Silber,hõbe,0.5529433,-0.28624645
Abhang,nõlvak,Zwiebel,sibul,0.5493829,-0.09208623
Abhang,nõlvak,fett,rasvane,0.5406495,0.12861237
Abhang,nõlvak,Volk,rahvas,0.5342285,0.028492108
Abhang,nõlvak,Fell,karvkate,0.52722275,-0.012809193
Abhang,nõlvak,Fell,karusnahk,0.52722275,0.07001102
Abhang,nõlvak,Knopf,nööp,0.51544,-0.008805737
Abhang,nõlvak,Regal,riiul,0.5123374,0.014964949
Abhang,nõlvak,Milch,piim,0.51054907,0.016030267
Abhang,nõlvak,Korn,iva,0.50877017,0.16014266
Abhang,nõlvak,Korn,tera,0.50877017,-0.05810543
Abhang,nõlvak,Schwarm,parv,0.5077363,0.038474884
Abhang,nõlvak,Wurzel,juur,0.503554,0.005908869
Abhang,nõlvak,Schulter,õlg,0.50012016,0.008848909
Abhang,nõlvak,verderben,rikkuma,0.49631792,-0.0008196533
Abhang,nõlvak,Kehle,kõri,0.49432528,-0.091138646
Abhang,nõlvak,stricken,kuduma,0.48763517,0.013655521
Abhang,nõlvak,Ehemann,mees,0.47780883,-0.0639572
Abhang,nõlvak,Ehemann,abikaasa,0.47780883,0.034697622
Abhang,nõlvak,Stamm,tüvi,0.4772678,0.0355655
Abhang,nõlvak,Geschenk,kingitus,0.47523892,0.020867817
Abhang,nõlvak,wehen,puhuma,0.47371733,0.018646065
Abhang,nõlvak,Deckel,kaas,0.47305956,-0.025536157
Abstand,vahe,Abstand,vahe,1.0000001,1.0
Abstand,vahe,Verstand,aru,0.7083562,0.20391408
Abstand,vahe,Verstand,mõistus,0.7083562,0.45162332
Abstand,vahe,schütteln,raputama,0.65464276,0.36725563
Abstand,vahe,schütteln,loksutama,0.65464276,0.43468642
Abstand,vahe,Gegenstand,ese,0.6499806,0.54894435
Abstand,vahe,hinfallen,kukkuma,0.6452129,0.6476344
Abstand,vahe,hinfallen,maha kukkuma,0.6452129,0.5524664
Abstand,vahe,aufhängen,riputama,0.63936496,0.44672745
Abstand,vahe,fallen,langema,0.6268741,0.44291964
Abstand,vahe,kühl,jahe,0.6016076,0.14768495
Abstand,vahe,weich,pehme,0.60047895,0.7075597
Abstand,vahe,Fußboden,põrand,0.5979429,0.16109252
Abstand,vahe,Apfel,õun,0.59768635,0.053387444
Abstand,vahe,stumpf,nüri,0.5973866,0.121558174
Abstand,vahe,plötzlich,äkki,0.59349006,0.020131057
Abstand,vahe,plötzlich,järsku,0.59349006,0.60211915
Abstand,vahe,schleifen,lihvima,0.58783895,0.4824564
Abstand,vahe,schleifen,teritama,0.58783895,0.5121163
Abstand,vahe,vorwärts,edasi,0.5864355,0.3702265
Abstand,vahe,aufheben,üles tõstma,0.58572835,0.6426831
Abstand,vahe,schleppen,tassima,0.5855013,0.4027863
Abstand,vahe,schleppen,lohistama,0.5855013,0.53026915
Abstand,vahe,sinken,vajuma,0.58456224,-0.0575347
Abstand,vahe,sinken,langema,0.58456224,0.44291964
Abstand,vahe,sich erheben,kerkima,0.5830105,0.73891056
Abstand,vahe,leer,tühi,0.58259666,-0.030907646
Abstand,vahe,Gipfel,mäetipp,0.58061934,0.35966194
Abstand,vahe,fallen lassen,maha pillama,0.5801275,0.37179857
Abstand,vahe,fallen lassen,kukkuda laskma,0.5801275,0.6178792
Abstand,vahe,Geist,vaim,0.57888705,0.50741076
Abstand,vahe,Lagerfeuer,lõke,0.57755536,-0.02941775
Abstand,vahe,lecken,lakkuma,0.5764637,0.60851336
Ader,veen,Ader,veen,1.0,1.0
Ader,veen,Schaum,vaht,0.246897,0.5106542
Ader,veen,Hase,jänes,0.23318927,-0.008126808
Ader,veen,Rohr,toru,0.19810334,0.7223338
Ader,veen,Knie,põlv,0.19502166,-0.16327736
Ader,veen,Ton,toon,0.19146052,0.3038618
Ader,veen,dumm,juhm,0.19086216,-0.1504463
Ader,veen,dumm,rumal,0.19086216,0.6354173
Ader,veen,Baum,puu,0.17746748,0.47575584
Ader,veen,Spur,jälg,0.16432126,0.099310376
Ader,veen,Gott,jumal,0.15960604,0.68523204
Ader,veen,Bär,karu,0.15139933,0.35848975
Ader,veen,niemals,mitte kunagi,0.13890238,0.67449874
Ader,veen,Juli,juuli,0.1334461,0.34889317
Ader,veen,Lehm,savi,0.132035,0.3727614
Ader,veen,wieviel,mitu,0.13192771,0.47846326
Ader,veen,wieviel,kui palju,0.13192771,0.6373295
Ader,veen,Frau,naine,0.12943476,0.6361053
Ader,veen,Elch,põder,0.12900531,-0.0030386336
Ader,veen,Fett,rasv,0.12517636,-0.027901642
Ader,veen,Zeh,varvas,0.12468197,0.48991323
Ader,veen,Honig,mesi,0.11708261,0.62247074
Ader,veen,Sehne,kõõlus,0.10917654,0.07394826
Ader,veen,Haus,maja,0.09974864,0.25703347
Ader,veen,Krähe,vares,0.09854375,0.47279197
Ader,veen,Lust,himu,0.09822921,0.7972274
Ader,veen,Schuh,king,0.09775903,0.3458414
Adler,kotkas,Adler,kotkas,1.0,1.0
Adler,kotkas,Milch,piim,0.65140367,0.5453005
Adler,kotkas,Klaue,küüs,0.6283064,-0.043718178
Adler,kotkas,Lehrer,õpetaja,0.62075686,0.7438322
Adler,kotkas,jung,noor,0.5866584,0.5694274
Adler,kotkas,lecker,hõrk,0.5843902,0.12132654
Adler,kotkas,lecker,maitsev,0.5843902,0.48510617
Adler,kotkas,Leber,maks,0.56994206,0.37071455
