src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
Abend,soir,Abend,soir,1.0,1.0
Abend,soir,Abend,soirée,1.0,0.8464606
Abend,soirée,Abend,soir,1.0,0.8464606
Abend,soirée,Abend,soirée,1.0,0.99999994
Abend,soir,Mittag,midi,0.5689231,0.63129246
Abend,soirée,Mittag,midi,0.5689231,0.5724834
Abend,soir,Samstag,samedi,0.49524423,0.6395785
Abend,soirée,Samstag,samedi,0.49524423,0.60502136
Abend,soir,morgen,demain,0.47102517,0.57951015
Abend,soirée,morgen,demain,0.47102517,0.4472805
Abend,soir,Sonntag,dimanche,0.46678817,0.7655964
Abend,soirée,Sonntag,dimanche,0.46678817,0.6644297
Abend,soir,Januar,janvier,0.45594367,0.5404093
Abend,soirée,Januar,janvier,0.45594367,0.43029654
Abend,soir,April,avril,0.45379728,0.54847586
Abend,soirée,April,avril,0.45379728,0.50943524
Abend,soir,Dezember,décembre,0.4536986,0.6024691
Abend,soirée,Dezember,décembre,0.4536986,0.4688865
Abend,soir,sechzig,soixante,0.44963273,0.27915192
Abend,soirée,sechzig,soixante,0.44963273,0.27305833
Abend,soir,Oktober,octobre,0.44429174,0.59499514
Abend,soirée,Oktober,octobre,0.44429174,0.5242336
Abend,soir,Februar,février,0.44404137,0.4004297
Abend,soirée,Februar,février,0.44404137,0.2623713
Abend,soir,fünfzig,cinquante,0.43830317,0.3264994
Abend,soirée,fünfzig,cinquante,0.43830317,0.3680308
Abend,soir,Löffel,cuiller,0.43007392,0.25338417
Abend,soirée,Löffel,cuiller,0.43007392,0.13860029
Abend,soir,Freitag,vendredi,0.42835152,0.54059744
Abend,soirée,Freitag,vendredi,0.42835152,0.5267594
Abend,soir,November,novembre,0.42649102,0.6029465
Abend,soirée,November,novembre,0.42649102,0.52267146
Abend,soir,Montag,lundi,0.4123096,0.7206875
Abend,soirée,Montag,lundi,0.4123096,0.62074685
Abend,soir,Dienstag,mardi,0.41067165,0.6631813
Abend,soirée,Dienstag,mardi,0.41067165,0.62605464
Abend,soir,Genick,nuque,0.41006666,0.39995998
Abend,soirée,Genick,nuque,0.41006666,0.29687166
Abend,soir,singen,chanter,0.40150508,0.3956186
Abend,soirée,singen,chanter,0.40150508,0.4673433
Abend,soir,Mitte,milieu,0.39603162,0.2689418
Abend,soirée,Mitte,milieu,0.39603162,0.088653356
Abend,soir,August,août,0.39598733,-0.19041103
Abend,soirée,August,août,0.39598733,-0.2102405
Abend,soir,neunzig,quatre-vingt-dix,0.39424163,0.32716894
Abend,soirée,neunzig,quatre-vingt-dix,0.39424163,0.3505349
Abend,soir,sich unterhalten,bavarder,0.3896253,0.25895458
Abend,soir,sich unterhalten,s'entretenir,0.3896253,0.17638414
Abend,soirée,sich unterhalten,bavarder,0.3896253,0.18434618
Abend,soirée,sich unterhalten,s'entretenir,0.3896253,-0.0145666525
Abend,soir,Fingernagel,ongle,0.38542962,0.26650584
Abend,soirée,Fingernagel,ongle,0.38542962,0.1774902
Abend,soir,Tanne,sapin,0.38033298,0.255123
Abend,soirée,Tanne,sapin,0.38033298,0.08154707
Abhang,pente,Abhang,pente,0.9999998,1.0
Abhang,pente,Abhang,versant,0.9999998,0.65749276
Abhang,versant,Abhang,pente,0.9999998,0.65749276
Abhang,versant,Abhang,versant,0.9999998,1.0
Abhang,pente,Genick,nuque,0.62754744,0.5464384
Abhang,versant,Genick,nuque,0.62754744,0.49110746
Abhang,pente,Beutel,sac,0.625929,0.2577812
Abhang,pente,Beutel,petit sac,0.625929,0.38294744
Abhang,versant,Beutel,sac,0.625929,0.23516995
Abhang,versant,Beutel,petit sac,0.625929,0.37160775
Abhang,pente,blind,aveugle,0.6003395,0.2227754
Abhang,versant,blind,aveugle,0.6003395,0.19868368
Abhang,pente,Pfeil,flèche,0.5938336,0.10609364
Abhang,versant,Pfeil,flèche,0.5938336,0.12663889
Abhang,pente,Silber,argent,0.5529433,0.20262533
Abhang,versant,Silber,argent,0.5529433,0.25393644
Abhang,pente,Zwiebel,oignon,0.5493829,0.38140982
Abhang,versant,Zwiebel,oignon,0.5493829,0.44223642
Abhang,pente,fett,gras,0.5406495,0.24873704
Abhang,versant,fett,gras,0.5406495,0.3812233
Abhang,pente,Volk,peuple,0.5342285,0.1238458
Abhang,versant,Volk,peuple,0.5342285,0.32848206
Abhang,pente,Fell,peau,0.52722275,0.3918587
Abhang,versant,Fell,peau,0.52722275,0.43600044
Abhang,pente,Knopf,bouton,0.51544,0.4373551
Abhang,versant,Knopf,bouton,0.51544,0.47140104
Abhang,pente,Regal,étagère,0.5123374,-0.030738693
Abhang,versant,Regal,étagère,0.5123374,0.0983012
Abhang,pente,Milch,lait,0.51054907,0.43148518
Abhang,versant,Milch,lait,0.51054907,0.32338482
