src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
April,April,April,April,1.0000001,0.99999994
April,April,February,Februar,0.74839634,0.885257
April,April,November,November,0.73710865,0.88175344
April,April,December,Dezember,0.7311475,0.90034074
April,April,October,Oktober,0.7180678,0.8865966
April,April,September,September,0.7046387,0.8391854
April,April,August,August,0.6830222,0.84207076
April,April,January,Januar,0.6186014,0.8928091
April,April,autumn,Herbst,0.53682536,0.54966104
April,April,Friday,Freitag,0.48423898,0.5987371
April,April,Thursday,Donnerstag,0.48040742,0.5597254
April,April,Tuesday,Dienstag,0.4453754,0.6416763
April,April,spring,Frühling,0.4390901,0.37167418
April,April,Saturday,Samstag,0.40879703,0.597287
April,April,March,März,0.40705705,0.12453569
April,April,Monday,Montag,0.4061186,0.5693224
April,April,morning,Morgen,0.37695992,0.06206596
April,April,pike,Hecht,0.3728838,0.15127808
April,April,night,Nacht,0.3661851,0.268684
April,April,Wednesday,Mittwoch,0.36289722,0.6265149
April,April,month,Monat,0.3311249,0.3266129
April,April,fog,Nebel,0.33003944,0.17060609
April,April,forehead,Stirn,0.3285568,0.06951533
April,April,Sunday,Sonntag,0.32649937,0.56871104
April,April,begin,beginnen,0.32055977,0.30820537
August,August,August,August,1.0,1.0
August,August,September,September,0.86804193,0.8829367
August,August,October,Oktober,0.8328768,0.87756556
August,August,November,November,0.8022118,0.8718564
August,August,December,Dezember,0.77862304,0.88783604
August,August,February,Februar,0.73541737,0.8710813
August,August,January,Januar,0.70648557,0.84302795
August,August,April,April,0.68302214,0.84207076
August,August,autumn,Herbst,0.51089174,0.6093112
August,August,Thursday,Donnerstag,0.5090693,0.5711111
August,August,spring,Frühling,0.4930626,0.47307405
August,August,March,März,0.48175406,0.09312175
August,August,fog,Nebel,0.47633982,0.22090133
August,August,morning,Morgen,0.4692175,0.2238971
August,August,forehead,Stirn,0.45415342,-0.02956333
August,August,filth,Dreck,0.4408866,-0.16896419
August,August,eleven,elf,0.43082806,0.31517306
August,August,Tuesday,Dienstag,0.42463875,0.65099627
August,August,Friday,Freitag,0.42349404,0.582531
August,August,Saturday,Samstag,0.4210212,0.61790335
August,August,oar,Ruder,0.41529036,0.25515926
August,August,year,Jahr,0.40628356,-0.049788114
August,August,afterwards,danach,0.39065906,0.35787275
August,August,take,nehmen,0.3906442,0.24518827
August,August,place,Ort,0.39044362,0.010329619
August,August,place,setzen,0.39044362,0.1854249
December,Dezember,December,Dezember,1.0000001,1.0
December,Dezember,November,November,0.936966,0.9775855
December,Dezember,September,September,0.90052485,0.95179176
December,Dezember,October,Oktober,0.8829655,0.92399514
December,Dezember,February,Februar,0.8321295,0.91057795
December,Dezember,August,August,0.778623,0.88783604
December,Dezember,January,Januar,0.76523423,0.8930289
December,Dezember,April,April,0.73114747,0.90034074
December,Dezember,autumn,Herbst,0.4868784,0.62120354
December,Dezember,Thursday,Donnerstag,0.47825414,0.60201514
December,Dezember,Saturday,Samstag,0.47376165,0.6273813
December,Dezember,Friday,Freitag,0.47325003,0.592581
December,Dezember,morning,Morgen,0.4609483,0.1851033
December,Dezember,fog,Nebel,0.45164746,0.18536456
December,Dezember,forehead,Stirn,0.44365132,0.042105764
December,Dezember,spring,Frühling,0.44340485,0.44443434
December,Dezember,March,März,0.43320766,0.12670593
December,Dezember,turn out,geraten,0.42422083,0.25384665
December,Dezember,Tuesday,Dienstag,0.41376385,0.68743515
December,Dezember,Monday,Montag,0.4115418,0.5422585
December,Dezember,winter,Winter,0.41001067,0.35657558
December,Dezember,stupid,dumm,0.3846573,0.12532489
December,Dezember,oar,Ruder,0.3731202,0.25388613
December,Dezember,filth,Dreck,0.36903703,-0.1269784
December,Dezember,afterwards,danach,0.3630927,0.43003303
February,Februar,February,Februar,1.0,0.9999999
February,Februar,January,Januar,0.8851744,0.90226626
February,Februar,December,Dezember,0.83212936,0.91057795
February,Februar,November,November,0.8230101,0.9018015
February,Februar,September,September,0.81125784,0.8802483
February,Februar,October,Oktober,0.80533475,0.8912785
February,Februar,April,April,0.7483962,0.885257
February,Februar,August,August,0.7354173,0.8710813
February,Februar,autumn,Herbst,0.508913,0.58670634
February,Februar,Thursday,Donnerstag,0.4634809,0.6343229
February,Februar,forehead,Stirn,0.43972853,0.06841147
February,Februar,Tuesday,Dienstag,0.43509582,0.71240073
February,Februar,Friday,Freitag,0.43363872,0.6361493
February,Februar,spring,Frühling,0.4224032,0.43519095
February,Februar,March,März,0.41063067,0.05586505
February,Februar,in front of,vor,0.40088162,0.2335191
February,Februar,Saturday,Samstag,0.38775912,0.65094554
February,Februar,fog,Nebel,0.3866391,0.21025532
February,Februar,oar,Ruder,0.3839156,0.24081361
February,Februar,morning,Morgen,0.3780786,0.21555461
February,Februar,summer,Sommer,0.37594327,0.5776485
February,Februar,afterwards,danach,0.3724504,0.40675536
February,Februar,place,Ort,0.36995965,0.022075629
February,Februar,place,setzen,0.36995965,0.22484967
February,Februar,blunt,stumpf,0.36821938,0.34545836
February,Februar,begin,beginnen,0.36602494,0.3920193
Friday,Freitag,Friday,Freitag,1.0,1.0
Friday,Freitag,Thursday,Donnerstag,0.79691297,0.8564178
Friday,Freitag,Saturday,Samstag,0.78226066,0.88675404
Friday,Freitag,Tuesday,Dienstag,0.7350751,0.8975345
Friday,Freitag,Monday,Montag,0.72878855,0.8310481
Friday,Freitag,Sunday,Sonntag,0.69723874,0.8648235
Friday,Freitag,night,Nacht,0.66767514,0.27523637
Friday,Freitag,Wednesday,Mittwoch,0.66367364,0.8926165
Friday,Freitag,morning,Morgen,0.5603444,0.19183046
Friday,Freitag,broom,Besen,0.5588526,0.2485477
Friday,Freitag,day,Tag,0.5440772,0.028285861
Friday,Freitag,at that time,damals,0.5376822,0.090077706
Friday,Freitag,evening,Abend,0.53600526,0.43976846
Friday,Freitag,fog,Nebel,0.5336719,0.26403883
Friday,Freitag,dirty,schmutzig,0.5169071,0.23283282
Friday,Freitag,sky,Himmel,0.51667565,0.3217272
Friday,Freitag,year,Jahr,0.51123375,0.048184853
Friday,Freitag,forehead,Stirn,0.5081655,-0.024089355
Friday,Freitag,smoke,Rauch,0.5036747,0.17842564
Friday,Freitag,smoke,rauchen,0.5036747,0.24799956
Friday,Freitag,autumn,Herbst,0.49731398,0.42680004
Friday,Freitag,tomorrow,morgen,0.49462184,0.526983
Friday,Freitag,sit down,sich setzen,0.4943462,0.2604279
Friday,Freitag,thing,Sache,0.4931646,0.16001123
Friday,Freitag,dream,Traum,0.4927756,0.22316757
Friday,Freitag,wet,nass,0.48837742,0.1692517
January,Januar,January,Januar,1.0000001,1.0
January,Januar,February,Februar,0.88517445,0.90226626
January,Januar,October,Oktober,0.76648605,0.8922874
January,Januar,December,Dezember,0.76523423,0.8930289
January,Januar,November,November,0.76377803,0.89244515
January,Januar,September,September,0.75447387,0.8642559
January,Januar,August,August,0.7064855,0.84302795
January,Januar,April,April,0.6186013,0.8928091
January,Januar,forehead,Stirn,0.5536316,0.020715866
January,Januar,Thursday,Donnerstag,0.52118915,0.6162555
January,Januar,Tuesday,Dienstag,0.50893587,0.6740848
January,Januar,place,Ort,0.50250113,0.058035545
January,Januar,place,setzen,0.50250113,0.21680804
January,Januar,afterwards,danach,0.49262556,0.34666306
January,Januar,fog,Nebel,0.48157027,0.112954915
January,Januar,autumn,Herbst,0.4798761,0.5709852
January,Januar,spring,Frühling,0.47087237,0.35577065
January,Januar,Friday,Freitag,0.46366018,0.6230037
January,Januar,oar,Ruder,0.45489702,0.17356384
January,Januar,filth,Dreck,0.4525191,-0.113395065
January,Januar,wipe,abwischen,0.45009398,0.19462508
January,Januar,cut off,abschneiden,0.44096935,0.34644192
January,Januar,month,Monat,0.44006655,0.27365017
January,Januar,summer,Sommer,0.43830016,0.564255
January,Januar,Saturday,Samstag,0.4346065,0.6365753
January,Januar,begin,beginnen,0.43327627,0.32480744
July,Juli,July,Juli,1.0000001,1.0
July,Juli,beautiful,schön,0.19408748,-0.03272236
July,Juli,heart,Herz,0.19279851,-0.003854772
July,Juli,spade,Spaten,0.18897331,-0.04799059
July,Juli,everything,alles,0.18365881,0.0038682371
July,Juli,hair,Haar,0.18336996,-0.04715078
July,Juli,seek,suchen,0.16882306,-0.00763496
July,Juli,give,geben,0.16154934,-0.043413054
July,Juli,give,schenken,0.16154934,-0.01586746
July,Juli,net,Netz,0.16084395,-0.20151845
July,Juli,item,Gegenstand,0.15766408,0.061141375
July,Juli,wash,waschen,0.15668455,-0.07582754
July,Juli,wash,sich waschen,0.15668455,-0.060848378
July,Juli,raise,heben,0.1535508,-0.11798097
July,Juli,receive,erhalten,0.15169354,-0.07345628
July,Juli,keep,aufbewahren,0.14550069,0.013913054
July,Juli,wake,wecken,0.1425094,-0.09946963
July,Juli,wake up,aufwachen,0.1382975,-0.11217024
July,Juli,May,Mai,0.13099784,-0.16303554
July,Juli,lazy,faul,0.12953089,-0.040682055
July,Juli,alone,allein,0.12914653,-0.034945548
July,Juli,because of,wegen,0.12911133,0.16516128
July,Juli,add,hinzufügen,0.12723732,0.000707265
July,Juli,instruct,unterrichten,0.12623021,-0.011785375
July,Juli,lose,verlieren,0.124908455,-0.102288835
July,Juli,never,niemals,0.12487358,-0.09134786
July,Juli,learn,lernen,0.12434739,-0.054763358
June,Juni,June,Juni,1.0000001,0.99999994
June,Juni,seem,scheinen,0.70300865,-0.11830057
June,Juni,laughter,Gelächter,0.68188715,-0.070244126
June,Juni,aunt,Tante,0.6799431,-0.21567771
June,Juni,go in,hineingehen,0.6478141,-0.093737
June,Juni,grandmother,Großmutter,0.64361984,-0.11060011
June,Juni,tumble,hinfallen,0.6314332,-0.13678296
June,Juni,bother,belästigen,0.6224291,0.09115328
June,Juni,uncle,Onkel,0.6186398,-0.2269124
June,Juni,friend,Freund,0.6113303,-0.002549138
June,Juni,daughter,Tochter,0.60626453,-0.099646926
June,Juni,navel,Nabel,0.60591376,-0.1532343
June,Juni,swamp,Sumpf,0.59533936,-0.16521637
June,Juni,pretty,hübsch,0.58851516,-0.1524633
June,Juni,grind,schleifen,0.5861435,-0.15115555
June,Juni,wife,Ehefrau,0.58478683,-0.12665531
June,Juni,grandfather,Großvater,0.5820398,-0.022664044
June,Juni,diligent,fleißig,0.5815165,-0.14404762
June,Juni,mushroom,Pilz,0.58058876,0.0142126195
June,Juni,grumble,schimpfen,0.5740296,-0.06352824
June,Juni,mother,Mutter,0.573847,-0.1273475
June,Juni,nail,Nagel,0.5654512,-0.12228272
June,Juni,nail,Nagel,0.5654512,-0.12228272
June,Juni,husband,Ehemann,0.5619147,-0.009933438
June,Juni,be afraid,sich fürchten,0.56114787,0.012130059
June,Juni,hinder,behindern,0.55778164,-0.004155021
March,März,March,März,1.0,1.0
March,März,spring,Frühling,0.51658064,0.17953804
March,März,October,Oktober,0.5019164,0.06769796
March,März,September,September,0.4850459,0.07831081
March,März,August,August,0.481754,0.09312175
March,März,November,November,0.47372654,0.12658481
March,März,December,Dezember,0.43320766,0.12670593
March,März,load,Last,0.42069358,0.10326673
March,März,size,Größe,0.41879594,-0.106327854
March,März,January,Januar,0.41242716,0.087882675
March,März,Monday,Montag,0.41168886,0.0087870825
