src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
April,aprill,April,aprill,1.0000001,0.99999994
April,aprill,February,veebruar,0.74839634,0.8508899
April,aprill,November,november,0.73710865,0.8893516
April,aprill,December,detsember,0.7311475,0.8921367
April,aprill,October,oktoober,0.7180678,0.87982666
April,aprill,September,september,0.7046387,0.8055955
April,aprill,August,august,0.6830222,0.6046205
April,aprill,January,jaanuar,0.6186014,0.9047922
April,aprill,autumn,sügis,0.53682536,-0.0014265217
April,aprill,Friday,reede,0.48423898,0.66871643
April,aprill,Thursday,neljapäev,0.48040742,0.3476981
April,aprill,Tuesday,teisipäev,0.4453754,0.35344702
April,aprill,spring,kevad,0.4390901,0.4854369
April,aprill,Saturday,laupäev,0.40879703,0.13505384
April,aprill,March,märts,0.40705705,-0.0021326542
April,aprill,Monday,esmaspäev,0.4061186,0.46306396
April,aprill,morning,hommik,0.37695992,0.7885235
April,aprill,pike,haug,0.3728838,0.63954234
April,aprill,night,öö,0.3661851,0.0
April,aprill,Wednesday,kesknädal,0.36289722,0.4226024
April,aprill,month,kuu,0.3311249,0.4956666
April,aprill,fog,udu,0.33003944,-0.07338385
April,aprill,forehead,otsmik,0.3285568,0.023211043
April,aprill,Sunday,pühapäev,0.32649937,0.0032707974
April,aprill,begin,algama,0.32055977,0.5228393
April,aprill,begin,hakkama,0.32055977,0.4477415
August,august,August,august,1.0,1.0
August,august,September,september,0.86804193,0.7090241
August,august,October,oktoober,0.8328768,0.61349976
August,august,November,november,0.8022118,0.6125897
August,august,December,detsember,0.77862304,0.6353126
August,august,February,veebruar,0.73541737,0.7134135
August,august,January,jaanuar,0.70648557,0.63154805
August,august,April,aprill,0.68302214,0.6046205
August,august,autumn,sügis,0.51089174,0.04811285
August,august,Thursday,neljapäev,0.5090693,0.30329838
August,august,spring,kevad,0.4930626,0.4055311
August,august,March,märts,0.48175406,0.14660957
August,august,fog,udu,0.47633982,0.016400842
August,august,morning,hommik,0.4692175,0.61401945
August,august,forehead,otsmik,0.45415342,0.05212343
August,august,filth,saast,0.4408866,0.27440894
August,august,filth,mustus,0.4408866,0.32452482
August,august,eleven,üksteist,0.43082806,0.37950695
August,august,Tuesday,teisipäev,0.42463875,0.20671791
August,august,Friday,reede,0.42349404,0.4852953
August,august,Saturday,laupäev,0.4210212,0.147291
August,august,oar,aer,0.41529036,-0.007083647
August,august,year,aasta,0.40628356,0.3676811
August,august,afterwards,seejärel,0.39065906,0.24048688
August,august,take,võtma,0.3906442,0.051745303
August,august,place,paik,0.39044362,0.2653618
August,august,place,panema,0.39044362,0.25675967
December,detsember,December,detsember,1.0000001,1.0
December,detsember,November,november,0.936966,0.9686353
December,detsember,September,september,0.90052485,0.8371823
December,detsember,October,oktoober,0.8829655,0.85909677
December,detsember,February,veebruar,0.8321295,0.8533921
December,detsember,August,august,0.778623,0.6353126
December,detsember,January,jaanuar,0.76523423,0.9451741
December,detsember,April,aprill,0.73114747,0.8921367
December,detsember,autumn,sügis,0.4868784,0.0050437376
December,detsember,Thursday,neljapäev,0.47825414,0.32792538
December,detsember,Saturday,laupäev,0.47376165,0.1347628
December,detsember,Friday,reede,0.47325003,0.6214367
December,detsember,morning,hommik,0.4609483,0.790279
December,detsember,fog,udu,0.45164746,-0.09827718
December,detsember,forehead,otsmik,0.44365132,0.1536488
December,detsember,spring,kevad,0.44340485,0.47966814
December,detsember,March,märts,0.43320766,0.10856419
December,detsember,turn out,jõudma,0.42422083,0.6270443
December,detsember,Tuesday,teisipäev,0.41376385,0.4451915
December,detsember,Monday,esmaspäev,0.4115418,0.49319547
December,detsember,winter,talv,0.41001067,0.5277205
December,detsember,stupid,juhm,0.3846573,-0.10506844
December,detsember,stupid,rumal,0.3846573,0.58168805
December,detsember,oar,aer,0.3731202,-0.07896702
December,detsember,filth,saast,0.36903703,0.5401356
December,detsember,filth,mustus,0.36903703,0.562943
December,detsember,afterwards,seejärel,0.3630927,0.28651035
February,veebruar,February,veebruar,1.0,1.0
February,veebruar,January,jaanuar,0.8851744,0.87982243
February,veebruar,December,detsember,0.83212936,0.8533921
February,veebruar,November,november,0.8230101,0.8294565
February,veebruar,September,september,0.81125784,0.7899104
February,veebruar,October,oktoober,0.80533475,0.78464425
February,veebruar,April,aprill,0.7483962,0.8508899
February,veebruar,August,august,0.7354173,0.7134135
February,veebruar,autumn,sügis,0.508913,0.0069384724
February,veebruar,Thursday,neljapäev,0.4634809,0.36214957
February,veebruar,forehead,otsmik,0.43972853,0.031226542
February,veebruar,Tuesday,teisipäev,0.43509582,0.31950274
February,veebruar,Friday,reede,0.43363872,0.63721746
February,veebruar,spring,kevad,0.4224032,0.45736715
February,veebruar,March,märts,0.41063067,0.019140847
February,veebruar,in front of,ees,0.40088162,0.37961364
February,veebruar,Saturday,laupäev,0.38775912,0.20595658
February,veebruar,fog,udu,0.3866391,-0.0992423
February,veebruar,oar,aer,0.3839156,-0.10559136
February,veebruar,morning,hommik,0.3780786,0.78749824
February,veebruar,summer,suvi,0.37594327,0.5902711
February,veebruar,afterwards,seejärel,0.3724504,0.2841273
February,veebruar,place,paik,0.36995965,0.4263375
February,veebruar,place,panema,0.36995965,0.45102257
February,veebruar,blunt,nüri,0.36821938,0.105152935
February,veebruar,begin,algama,0.36602494,0.48446584
February,veebruar,begin,hakkama,0.36602494,0.39495063
Friday,reede,Friday,reede,1.0,1.0
Friday,reede,Thursday,neljapäev,0.79691297,0.45868298
Friday,reede,Saturday,laupäev,0.78226066,0.16226463
Friday,reede,Tuesday,teisipäev,0.7350751,0.41538513
Friday,reede,Monday,esmaspäev,0.72878855,0.41907752
Friday,reede,Sunday,pühapäev,0.69723874,0.05650367
Friday,reede,night,öö,0.66767514,0.0
Friday,reede,Wednesday,kesknädal,0.66367364,0.516165
Friday,reede,morning,hommik,0.5603444,0.67469335
Friday,reede,broom,luud,0.5588526,0.71729076
Friday,reede,day,päev,0.5440772,0.083580375
Friday,reede,at that time,tookord,0.5376822,0.6671962
Friday,reede,evening,õhtu,0.53600526,0.08514939
Friday,reede,fog,udu,0.5336719,0.029135885
Friday,reede,dirty,räpane,0.5169071,0.7524308
Friday,reede,dirty,määrdunud,0.5169071,0.56746733
Friday,reede,sky,taevas,0.51667565,0.5195526
Friday,reede,year,aasta,0.51123375,0.3641782
Friday,reede,forehead,otsmik,0.5081655,0.085510865
Friday,reede,smoke,suits,0.5036747,0.75486046
Friday,reede,smoke,suitsema,0.5036747,0.7923986
Friday,reede,autumn,sügis,0.49731398,0.022734262
Friday,reede,tomorrow,homme,0.49462184,0.72014165
Friday,reede,sit down,istet võtma,0.4943462,0.6801938
Friday,reede,thing,ese,0.4931646,0.42928562
Friday,reede,dream,unenägu,0.4927756,-0.22252369
Friday,reede,wet,märg,0.48837742,0.023149654
January,jaanuar,January,jaanuar,1.0000001,1.0
January,jaanuar,February,veebruar,0.88517445,0.87982243
January,jaanuar,October,oktoober,0.76648605,0.8252228
January,jaanuar,December,detsember,0.76523423,0.9451741
January,jaanuar,November,november,0.76377803,0.9307075
January,jaanuar,September,september,0.75447387,0.78486323
January,jaanuar,August,august,0.7064855,0.63154805
January,jaanuar,April,aprill,0.6186013,0.9047922
January,jaanuar,forehead,otsmik,0.5536316,0.08475805
January,jaanuar,Thursday,neljapäev,0.52118915,0.36187097
January,jaanuar,Tuesday,teisipäev,0.50893587,0.4070588
January,jaanuar,place,paik,0.50250113,0.5045905
January,jaanuar,place,panema,0.50250113,0.52668947
January,jaanuar,afterwards,seejärel,0.49262556,0.33585495
January,jaanuar,fog,udu,0.48157027,-0.05224789
January,jaanuar,autumn,sügis,0.4798761,0.023509994
January,jaanuar,spring,kevad,0.47087237,0.47865063
January,jaanuar,Friday,reede,0.46366018,0.63081855
January,jaanuar,oar,aer,0.45489702,-0.060834393
January,jaanuar,filth,saast,0.4525191,0.53150874
January,jaanuar,filth,mustus,0.4525191,0.5593376
January,jaanuar,wipe,puhtaks pühkima,0.45009398,0.48556387
January,jaanuar,cut off,ära lõikama,0.44096935,0.61934805
January,jaanuar,month,kuu,0.44006655,0.5522469
January,jaanuar,summer,suvi,0.43830016,0.58955866
January,jaanuar,Saturday,laupäev,0.4346065,0.16241601
January,jaanuar,begin,algama,0.43327627,0.57122386
January,jaanuar,begin,hakkama,0.43327627,0.49190265
July,juuli,July,juuli,1.0000001,1.0
July,juuli,beautiful,kena,0.19408748,0.033968367
July,juuli,heart,süda,0.19279851,0.3032514
July,juuli,spade,labidas,0.18897331,0.44028986
July,juuli,everything,kõik,0.18365881,-0.1349001
July,juuli,hair,juus,0.18336996,0.5411421
July,juuli,seek,otsima,0.16882306,0.28011134
July,juuli,give,andma,0.16154934,0.32697248
