src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
April,avril,April,avril,1.0000001,0.99999994
April,avril,February,février,0.74839634,0.50917643
April,avril,November,novembre,0.73710865,0.79784656
April,avril,December,décembre,0.7311475,0.76649576
April,avril,October,octobre,0.7180678,0.81746393
April,avril,September,septembre,0.7046387,0.81881696
April,avril,August,août,0.6830222,-0.21828373
April,avril,January,janvier,0.6186014,0.7375986
April,avril,autumn,automne,0.53682536,0.41824138
April,avril,Friday,vendredi,0.48423898,0.565266
April,avril,Thursday,jeudi,0.48040742,0.62582725
April,avril,Tuesday,mardi,0.4453754,0.65720135
April,avril,spring,printemps,0.4390901,0.48846197
April,avril,Saturday,samedi,0.40879703,0.542207
April,avril,March,mars,0.40705705,0.8347986
April,avril,Monday,lundi,0.4061186,0.6552969
April,avril,morning,matin,0.37695992,0.5364249
April,avril,morning,matinée,0.37695992,0.58342934
April,avril,pike,brochet,0.3728838,0.30475253
April,avril,night,nuit,0.3661851,0.3239268
April,avril,Wednesday,mercredi,0.36289722,0.6602937
April,avril,month,mois,0.3311249,0.46771348
April,avril,fog,brume,0.33003944,0.38351253
April,avril,fog,brouillard,0.33003944,0.38818985
April,avril,forehead,front,0.3285568,0.2182523
April,avril,Sunday,dimanche,0.32649937,0.5786182
April,avril,begin,commencer,0.32055977,0.2807336
August,août,August,août,1.0,1.0
August,août,September,septembre,0.86804193,-0.18048678
August,août,October,octobre,0.8328768,-0.14952722
August,août,November,novembre,0.8022118,-0.16153349
August,août,December,décembre,0.77862304,-0.18737411
August,août,February,février,0.73541737,-0.27850574
August,août,January,janvier,0.70648557,-0.26648462
August,août,April,avril,0.68302214,-0.21828373
August,août,autumn,automne,0.51089174,0.12811352
August,août,Thursday,jeudi,0.5090693,-0.18224086
August,août,spring,printemps,0.4930626,0.0046206526
August,août,March,mars,0.48175406,-0.19230857
August,août,fog,brume,0.47633982,-0.08434852
August,août,fog,brouillard,0.47633982,-0.21641243
August,août,morning,matin,0.4692175,-0.23343417
August,août,morning,matinée,0.4692175,-0.20192134
August,août,forehead,front,0.45415342,-0.05946765
August,août,filth,crotte,0.4408866,-0.119329005
August,août,eleven,onze,0.43082806,-0.20013829
August,août,Tuesday,mardi,0.42463875,-0.15917888
August,août,Friday,vendredi,0.42349404,-0.23484883
August,août,Saturday,samedi,0.4210212,-0.22658384
August,août,oar,rame,0.41529036,-0.07586155
August,août,oar,aviron,0.41529036,-0.06577409
August,août,year,an,0.40628356,-0.123212226
August,août,year,année,0.40628356,0.021667715
