src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
April,四月,April,四月,1.0000001,0.0
April,四月,February,二月,0.74839634,0.0
April,四月,November,十一月,0.73710865,0.0
April,四月,December,十二月,0.7311475,0.0
April,四月,October,十月,0.7180678,0.0
April,四月,September,九月,0.7046387,0.0
April,四月,August,八月,0.6830222,0.0
April,四月,January,一月,0.6186014,0.0
April,四月,autumn,秋,0.53682536,0.0
April,四月,Friday,金曜日,0.48423898,0.0
April,四月,Thursday,木曜日,0.48040742,0.0
April,四月,Tuesday,火曜日,0.4453754,0.0
April,四月,spring,春,0.4390901,0.0
April,四月,Saturday,土曜日,0.40879703,0.0
April,四月,March,三月,0.40705705,0.0
April,四月,Monday,月曜日,0.4061186,0.0
April,四月,morning,朝,0.37695992,0.0
April,四月,pike,川魳,0.3728838,0.0
April,四月,night,夜,0.3661851,0.0
April,四月,Wednesday,水曜日,0.36289722,0.0
April,四月,month,月,0.3311249,0.0
April,四月,fog,霧,0.33003944,0.0
April,四月,forehead,額,0.3285568,0.0
April,四月,Sunday,日曜日,0.32649937,0.0
April,四月,begin,始まる,0.32055977,0.0
August,八月,August,八月,1.0,0.0
August,八月,September,九月,0.86804193,0.0
August,八月,October,十月,0.8328768,0.0
August,八月,November,十一月,0.8022118,0.0
August,八月,December,十二月,0.77862304,0.0
August,八月,February,二月,0.73541737,0.0
August,八月,January,一月,0.70648557,0.0
August,八月,April,四月,0.68302214,0.0
August,八月,autumn,秋,0.51089174,0.0
August,八月,Thursday,木曜日,0.5090693,0.0
August,八月,spring,春,0.4930626,0.0
August,八月,March,三月,0.48175406,0.0
August,八月,fog,霧,0.47633982,0.0
August,八月,morning,朝,0.4692175,0.0
August,八月,forehead,額,0.45415342,0.0
August,八月,filth,泥,0.4408866,0.0
August,八月,eleven,十一,0.43082806,0.0
August,八月,Tuesday,火曜日,0.42463875,0.0
August,八月,Friday,金曜日,0.42349404,0.0
August,八月,Saturday,土曜日,0.4210212,0.0
August,八月,oar,オール,0.41529036,0.0
August,八月,year,年,0.40628356,0.0
August,八月,afterwards,その後で,0.39065906,0.0
August,八月,take,取る,0.3906442,0.0
August,八月,place,所,0.39044362,0.0
August,八月,place,場所,0.39044362,0.0
August,八月,place,座らせる,0.39044362,0.0
December,十二月,December,十二月,1.0000001,1.0
December,十二月,November,十一月,0.936966,-0.07875225
December,十二月,September,九月,0.90052485,0.0
December,十二月,October,十月,0.8829655,0.0
December,十二月,February,二月,0.8321295,0.0
December,十二月,August,八月,0.778623,0.0
December,十二月,January,一月,0.76523423,0.0
December,十二月,April,四月,0.73114747,0.0
December,十二月,autumn,秋,0.4868784,0.0
December,十二月,Thursday,木曜日,0.47825414,-0.019238338
December,十二月,Saturday,土曜日,0.47376165,-0.05412214
December,十二月,Friday,金曜日,0.47325003,0.012683094
December,十二月,morning,朝,0.4609483,0.0
December,十二月,fog,霧,0.45164746,0.0
December,十二月,forehead,額,0.44365132,0.0
December,十二月,spring,春,0.44340485,0.0
December,十二月,March,三月,0.43320766,0.0
December,十二月,turn out,当たる,0.42422083,-0.09687218
December,十二月,Tuesday,火曜日,0.41376385,-0.0336304
December,十二月,Monday,月曜日,0.4115418,0.008712575
December,十二月,winter,冬,0.41001067,0.0
December,十二月,stupid,馬鹿な,0.3846573,-0.059536688
December,十二月,oar,オール,0.3731202,0.070837855
December,十二月,filth,泥,0.36903703,0.0
December,十二月,afterwards,その後で,0.3630927,-0.11212821
February,二月,February,二月,1.0,0.0
February,二月,January,一月,0.8851744,0.0
February,二月,December,十二月,0.83212936,0.0
February,二月,November,十一月,0.8230101,0.0
February,二月,September,九月,0.81125784,0.0
February,二月,October,十月,0.80533475,0.0
February,二月,April,四月,0.7483962,0.0
February,二月,August,八月,0.7354173,0.0
February,二月,autumn,秋,0.508913,0.0
February,二月,Thursday,木曜日,0.4634809,0.0
February,二月,forehead,額,0.43972853,0.0
February,二月,Tuesday,火曜日,0.43509582,0.0
February,二月,Friday,金曜日,0.43363872,0.0
February,二月,spring,春,0.4224032,0.0
February,二月,March,三月,0.41063067,0.0
February,二月,in front of,前に,0.40088162,0.0
February,二月,Saturday,土曜日,0.38775912,0.0
February,二月,fog,霧,0.3866391,0.0
February,二月,oar,オール,0.3839156,0.0
February,二月,morning,朝,0.3780786,0.0
February,二月,summer,夏,0.37594327,0.0
February,二月,afterwards,その後で,0.3724504,0.0
February,二月,place,所,0.36995965,0.0
February,二月,place,場所,0.36995965,0.0
February,二月,place,座らせる,0.36995965,0.0
February,二月,blunt,鈍い,0.36821938,0.0
February,二月,begin,始まる,0.36602494,0.0
Friday,金曜日,Friday,金曜日,1.0,1.0
Friday,金曜日,Thursday,木曜日,0.79691297,0.9247837
Friday,金曜日,Saturday,土曜日,0.78226066,0.7143171
Friday,金曜日,Tuesday,火曜日,0.7350751,0.9488341
Friday,金曜日,Monday,月曜日,0.72878855,0.9088636
Friday,金曜日,Sunday,日曜日,0.69723874,0.7667918
Friday,金曜日,night,夜,0.66767514,0.0
Friday,金曜日,Wednesday,水曜日,0.66367364,0.8964931
Friday,金曜日,morning,朝,0.5603444,0.0
Friday,金曜日,broom,ほうき,0.5588526,0.14497721
Friday,金曜日,day,日,0.5440772,0.0
Friday,金曜日,at that time,あの時,0.5376822,0.42460924
Friday,金曜日,evening,晩,0.53600526,0.0
Friday,金曜日,evening,夕方,0.53600526,0.0
Friday,金曜日,fog,霧,0.5336719,0.0
Friday,金曜日,dirty,汚い,0.5169071,0.0
Friday,金曜日,sky,空,0.51667565,0.0
Friday,金曜日,year,年,0.51123375,0.0
Friday,金曜日,forehead,額,0.5081655,0.0
Friday,金曜日,smoke,煙,0.5036747,0.0
Friday,金曜日,smoke,煙を出す,0.5036747,-0.047490764
Friday,金曜日,autumn,秋,0.49731398,0.0
Friday,金曜日,tomorrow,明日,0.49462184,0.0
Friday,金曜日,sit down,座る,0.4943462,0.0
Friday,金曜日,thing,物,0.4931646,0.0
Friday,金曜日,dream,夢,0.4927756,0.0
Friday,金曜日,wet,濡れた,0.48837742,-0.09841782
January,一月,January,一月,1.0000001,0.0
January,一月,February,二月,0.88517445,0.0
January,一月,October,十月,0.76648605,0.0
January,一月,December,十二月,0.76523423,0.0
January,一月,November,十一月,0.76377803,0.0
January,一月,September,九月,0.75447387,0.0
January,一月,August,八月,0.7064855,0.0
January,一月,April,四月,0.6186013,0.0
January,一月,forehead,額,0.5536316,0.0
January,一月,Thursday,木曜日,0.52118915,0.0
January,一月,Tuesday,火曜日,0.50893587,0.0
January,一月,place,所,0.50250113,0.0
January,一月,place,場所,0.50250113,0.0
January,一月,place,座らせる,0.50250113,0.0
January,一月,afterwards,その後で,0.49262556,0.0
January,一月,fog,霧,0.48157027,0.0
January,一月,autumn,秋,0.4798761,0.0
January,一月,spring,春,0.47087237,0.0
January,一月,Friday,金曜日,0.46366018,0.0
January,一月,oar,オール,0.45489702,0.0
January,一月,filth,泥,0.4525191,0.0
January,一月,wipe,拭く,0.45009398,0.0
January,一月,cut off,切り取る,0.44096935,0.0
January,一月,month,月,0.44006655,0.0
January,一月,summer,夏,0.43830016,0.0
January,一月,Saturday,土曜日,0.4346065,0.0
January,一月,begin,始まる,0.43327627,0.0
July,七月,July,七月,1.0000001,0.0
July,七月,beautiful,綺麗な,0.19408748,0.0
July,七月,heart,心,0.19279851,0.0
July,七月,heart,心臓,0.19279851,0.0
July,七月,spade,スコップ,0.18897331,0.0
July,七月,everything,全部,0.18365881,0.0
July,七月,hair,髪,0.18336996,0.0
July,七月,seek,探る,0.16882306,0.0
July,七月,give,上げる,0.16154934,0.0
July,七月,give,贈る,0.16154934,0.0
July,七月,net,網,0.16084395,0.0
July,七月,item,物件,0.15766408,0.0
July,七月,wash,洗う,0.15668455,0.0
July,七月,wash,洗濯する,0.15668455,0.0
July,七月,wash,洗う,0.15668455,0.0
July,七月,raise,挙げる,0.1535508,0.0
July,七月,receive,受ける,0.15169354,0.0
July,七月,keep,預かる,0.14550069,0.0
July,七月,wake,起こす,0.1425094,0.0
July,七月,wake up,目が覚める,0.1382975,0.0
July,七月,May,五月,0.13099784,0.0
July,七月,lazy,怠惰な,0.12953089,0.0
July,七月,alone,一人で,0.12914653,0.0
July,七月,because of,為に,0.12911133,0.0
July,七月,because of,せいで,0.12911133,0.0
July,七月,add,加える,0.12723732,0.0
July,七月,instruct,通知する,0.12623021,0.0
July,七月,lose,無くす,0.124908455,0.0
July,七月,never,一度も...ない,0.12487358,0.0
July,七月,learn,学ぶ,0.12434739,0.0
July,七月,learn,勉強する,0.12434739,0.0
June,六月,June,六月,1.0000001,0.0
June,六月,seem,ように見える,0.70300865,0.0
June,六月,laughter,笑い,0.68188715,0.0
June,六月,aunt,叔母,0.6799431,0.0
June,六月,aunt,叔母さん,0.6799431,0.0
June,六月,go in,入る,0.6478141,0.0
June,六月,grandmother,祖母,0.64361984,0.0
June,六月,grandmother,おばあさん,0.64361984,0.0
June,六月,tumble,転ぶ,0.6314332,0.0
June,六月,bother,邪魔する,0.6224291,0.0
June,六月,uncle,伯父,0.6186398,0.0
June,六月,uncle,伯父さん,0.6186398,0.0
June,六月,friend,友達,0.6113303,0.0
June,六月,daughter,娘,0.60626453,0.0
June,六月,daughter,お嬢さん,0.60626453,0.0
June,六月,navel,へそ,0.60591376,0.0
June,六月,swamp,沼,0.59533936,0.0
June,六月,pretty,素敵な,0.58851516,0.0
June,六月,grind,研ぐ,0.5861435,0.0
June,六月,wife,妻,0.58478683,0.0
June,六月,wife,奥さん,0.58478683,0.0
June,六月,grandfather,祖父,0.5820398,0.0
June,六月,grandfather,おじいさん,0.5820398,0.0
June,六月,diligent,勤勉な,0.5815165,0.0
June,六月,mushroom,茸,0.58058876,0.0
June,六月,grumble,叱る,0.5740296,0.0
June,六月,mother,母,0.573847,0.0
June,六月,mother,お母さん,0.573847,0.0
June,六月,nail,爪,0.5654512,0.0
June,六月,nail,釘,0.5654512,0.0
June,六月,husband,夫,0.5619147,0.0
June,六月,husband,主人,0.5619147,0.0
June,六月,be afraid,怖がる,0.56114787,0.0
June,六月,hinder,妨害する,0.55778164,0.0
March,三月,March,三月,1.0,0.0
March,三月,spring,春,0.51658064,0.0
March,三月,October,十月,0.5019164,0.0
March,三月,September,九月,0.4850459,0.0
March,三月,August,八月,0.481754,0.0
March,三月,November,十一月,0.47372654,0.0
March,三月,December,十二月,0.43320766,0.0
March,三月,load,荷物,0.42069358,0.0
March,三月,size,大きさ,0.41879594,0.0
March,三月,January,一月,0.41242716,0.0
March,三月,Monday,月曜日,0.41168886,0.0
March,三月,home,家,0.41138074,0.0
March,三月,February,二月,0.4106307,0.0
March,三月,build,建設する,0.40721148,0.0
March,三月,April,四月,0.407057,0.0
March,三月,strength,強さ,0.40654284,0.0
March,三月,stream,流れる,0.40316507,0.0
March,三月,Sunday,日曜日,0.39987725,0.0
March,三月,bracket,支柱,0.39454463,0.0
March,三月,morning,朝,0.38806388,0.0
March,三月,ladder,梯子,0.386405,0.0
March,三月,Thursday,木曜日,0.37936422,0.0
March,三月,ground,土地,0.3771623,0.0
March,三月,well,井戸,0.37681374,0.0
March,三月,Wednesday,水曜日,0.3766134,0.0
May,五月,May,五月,0.99999994,0.0
May,五月,chair,椅子,0.16943292,0.0
May,五月,glue,貼る,0.16001903,0.0
May,五月,glue,くっ付ける,0.16001903,0.0
May,五月,sew,縫う,0.15416214,0.0
May,五月,skin,皮膚,0.1509243,0.0
May,五月,pain,痛み,0.14770256,0.0
May,五月,brain,脳,0.1326399,0.0
