src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aas,Wiese,aas,Wiese,1.0000001,1.0
aas,Wiese,aas,Schlinge,1.0000001,0.49386007
aas,Schlinge,aas,Wiese,1.0000001,0.49386007
aas,Schlinge,aas,Schlinge,1.0000001,1.0
aas,Wiese,nael,Nagel,0.7670443,0.21994548
aas,Schlinge,nael,Nagel,0.7670443,0.2905591
aas,Wiese,vares,Krähe,0.71373695,-0.0926817
aas,Schlinge,vares,Krähe,0.71373695,-0.11307584
aas,Wiese,kurg,Kranich,0.6763659,0.22353934
aas,Schlinge,kurg,Kranich,0.6763659,0.17650668
aas,Wiese,pang,Eimer,0.6746385,0.33052215
aas,Schlinge,pang,Eimer,0.6746385,0.2293095
aas,Wiese,kallama,schütten,0.6716365,0.39189288
aas,Schlinge,kallama,schütten,0.6716365,0.71693933
aas,Wiese,naba,Nabel,0.6653832,0.39781147
aas,Schlinge,naba,Nabel,0.6653832,0.50038993
aas,Wiese,rohi,Gras,0.65517396,0.05376798
aas,Schlinge,rohi,Gras,0.65517396,0.058408257
aas,Wiese,kallas,Ufer,0.65332586,-0.24271646
aas,Schlinge,kallas,Ufer,0.65332586,-0.13688418
aas,Wiese,niit,Faden,0.6427066,0.30977017
aas,Schlinge,niit,Faden,0.6427066,0.5700789
aas,Wiese,sarv,Horn,0.64051175,-0.18463472
aas,Schlinge,sarv,Horn,0.64051175,-0.22531821
aas,Wiese,kukk,Hahn,0.623686,-0.07359748
aas,Schlinge,kukk,Hahn,0.623686,-0.12415452
aas,Wiese,orav,Eichhörnchen,0.6204706,0.23552804
aas,Schlinge,orav,Eichhörnchen,0.6204706,0.5540776
aas,Wiese,ots,Ende,0.6199031,-0.13074486
aas,Schlinge,ots,Ende,0.6199031,-0.0065717082
aas,Wiese,mets,Wald,0.61499685,0.19403227
aas,Schlinge,mets,Wald,0.61499685,0.120627515
aas,Wiese,vaht,Schaum,0.61294526,0.38009563
aas,Schlinge,vaht,Schaum,0.61294526,0.1524506
aas,Wiese,teivas,Stange,0.6058809,0.41944945
aas,Schlinge,teivas,Stange,0.6058809,0.55027807
aas,Wiese,lehm,Kuh,0.5904368,0.10293061
aas,Schlinge,lehm,Kuh,0.5904368,0.20507441
aas,Wiese,kuuskümmend,sechzig,0.59016263,0.22018075
