src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aas,meadow,aas,meadow,1.0000001,1.0
aas,meadow,aas,noose,1.0000001,0.32343668
aas,noose,aas,meadow,1.0000001,0.32343668
aas,noose,aas,noose,1.0000001,1.0
aas,meadow,nael,nail,0.7670443,0.43953168
aas,noose,nael,nail,0.7670443,0.5925349
aas,meadow,vares,crow,0.71373695,0.44996935
aas,noose,vares,crow,0.71373695,0.38566068
aas,meadow,kurg,crane,0.6763659,0.43940663
aas,noose,kurg,crane,0.6763659,0.52519107
aas,meadow,pang,bucket,0.6746385,0.37854278
aas,noose,pang,bucket,0.6746385,0.56371915
aas,meadow,kallama,pour,0.6716365,0.40488404
aas,noose,kallama,pour,0.6716365,0.37311468
aas,meadow,naba,navel,0.6653832,0.43902344
aas,noose,naba,navel,0.6653832,0.518651
aas,meadow,rohi,grass,0.65517396,0.27244103
aas,noose,rohi,grass,0.65517396,0.48519123
aas,meadow,kallas,shore,0.65332586,0.22745682
aas,noose,kallas,shore,0.65332586,0.32264513
aas,meadow,niit,thread,0.6427066,0.17417678
aas,noose,niit,thread,0.6427066,0.5401204
aas,meadow,sarv,horn,0.64051175,0.29685846
aas,noose,sarv,horn,0.64051175,0.39811242
aas,meadow,kukk,cock,0.623686,0.58123183
aas,noose,kukk,cock,0.623686,0.46748525
aas,meadow,orav,squirrel,0.6204706,0.53281045
aas,noose,orav,squirrel,0.6204706,0.57459235
aas,meadow,ots,end,0.6199031,0.066278525
aas,noose,ots,end,0.6199031,0.2820358
aas,meadow,mets,forest,0.61499685,0.32457078
aas,noose,mets,forest,0.61499685,0.4388265
aas,meadow,vaht,foam,0.61294526,0.55927587
aas,noose,vaht,foam,0.61294526,0.5394968
aas,meadow,teivas,pole,0.6058809,0.2285851
aas,noose,teivas,pole,0.6058809,0.29588544
aas,meadow,lehm,cow,0.5904368,0.34436902
aas,noose,lehm,cow,0.5904368,0.5257944
aas,meadow,kuuskümmend,sixty,0.59016263,0.14281096
aas,noose,kuuskümmend,sixty,0.59016263,0.31895858
aas,meadow,latt,pole,0.5900719,0.2285851
aas,noose,latt,pole,0.5900719,0.29588544
aas,meadow,kari,flock,0.5889522,0.39125434
aas,noose,kari,flock,0.5889522,0.52430403
aas,meadow,pakane,frost,0.5862275,0.5222348
aas,noose,pakane,frost,0.5862275,0.4348554
