src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aas,pré,aas,pré,1.0000001,1.0
aas,pré,aas,lacs,1.0000001,-0.059229437
aas,lacs,aas,pré,1.0000001,-0.059229437
aas,lacs,aas,lacs,1.0000001,1.0
aas,pré,nael,clou,0.7670443,-0.2050503
aas,lacs,nael,clou,0.7670443,0.54472816
aas,pré,vares,corneille,0.71373695,-0.097977035
aas,lacs,vares,corneille,0.71373695,0.4096802
aas,pré,kurg,grue,0.6763659,-0.13523543
aas,lacs,kurg,grue,0.6763659,0.6384175
aas,pré,pang,seau,0.6746385,-0.04086974
aas,lacs,pang,seau,0.6746385,0.48250365
aas,pré,kallama,verser,0.6716365,-0.2976045
aas,lacs,kallama,verser,0.6716365,0.2190103
aas,pré,naba,nombril,0.6653832,0.13323267
aas,lacs,naba,nombril,0.6653832,0.30256543
aas,pré,rohi,herbe,0.65517396,-0.05917513
aas,lacs,rohi,herbe,0.65517396,0.616926
aas,pré,kallas,bord,0.65332586,-0.090849906
aas,pré,kallas,rivage,0.65332586,-0.05274016
aas,lacs,kallas,bord,0.65332586,0.43399638
aas,lacs,kallas,rivage,0.65332586,0.53583306
aas,pré,niit,fil,0.6427066,-0.06524126
aas,lacs,niit,fil,0.6427066,0.32774395
aas,pré,sarv,corne,0.64051175,-0.13974088
aas,lacs,sarv,corne,0.64051175,0.46064287
aas,pré,kukk,coq,0.623686,-0.07479702
aas,lacs,kukk,coq,0.623686,0.30385888
aas,pré,orav,écureuil,0.6204706,-0.1422786
aas,lacs,orav,écureuil,0.6204706,0.38782465
aas,pré,ots,bout,0.6199031,-0.13340914
aas,lacs,ots,bout,0.6199031,0.34581625
aas,pré,mets,bois,0.61499685,-0.15817484
aas,pré,mets,forêt,0.61499685,-0.02586934
aas,lacs,mets,bois,0.61499685,0.4997687
aas,lacs,mets,forêt,0.61499685,0.05083862
aas,pré,vaht,écume,0.61294526,0.019084316
aas,pré,vaht,mousse,0.61294526,-0.1515488
aas,lacs,vaht,écume,0.61294526,-0.13234147
aas,lacs,vaht,mousse,0.61294526,0.36509916
aas,pré,teivas,barre,0.6058809,-0.2354134
aas,pré,teivas,perche,0.6058809,-0.05693384
aas,lacs,teivas,barre,0.6058809,0.3358689
aas,lacs,teivas,perche,0.6058809,0.4674702
aas,pré,lehm,vache,0.5904368,-0.1440745
aas,lacs,lehm,vache,0.5904368,0.36422223
aas,pré,kuuskümmend,soixante,0.59016263,-0.17942637
aas,lacs,kuuskümmend,soixante,0.59016263,0.37749457
aas,pré,latt,barre,0.5900719,-0.2354134
aas,pré,latt,perche,0.5900719,-0.05693384
aas,lacs,latt,barre,0.5900719,0.3358689
aas,lacs,latt,perche,0.5900719,0.4674702
aas,pré,kari,troupeau,0.5889522,-0.10600378
aas,lacs,kari,troupeau,0.5889522,0.47621793
aas,pré,pakane,gel,0.5862275,0.008405976
aas,pré,pakane,gelée,0.5862275,-0.00041675568
aas,lacs,pakane,gel,0.5862275,0.37692243
aas,lacs,pakane,gelée,0.5862275,-0.19123904
aas,pré,nool,flèche,0.5845937,-0.102333724
aas,lacs,nool,flèche,0.5845937,0.043134667
aas,pré,mander,terre ferme,0.5845829,-0.086674884
aas,lacs,mander,terre ferme,0.5845829,0.5544861
aas,pré,sang,prise,0.58406496,-0.039477967
aas,pré,sang,manche,0.58406496,-0.17183653
aas,lacs,sang,prise,0.58406496,0.18875124
aas,lacs,sang,manche,0.58406496,0.48901537
aasta,an,aasta,an,1.0000001,1.0
aasta,an,aasta,année,1.0000001,-0.16279773
aasta,année,aasta,an,1.0000001,-0.16279773
aasta,année,aasta,année,1.0000001,1.0
aasta,an,jaanuar,janvier,0.50261056,0.3666789
aasta,année,jaanuar,janvier,0.50261056,-0.11371188
aasta,an,september,septembre,0.48535332,0.31016138
aasta,année,september,septembre,0.48535332,-0.102173924
aasta,an,hommik,matin,0.48267725,0.23687342
aasta,an,hommik,matinée,0.48267725,0.21549928
aasta,année,hommik,matin,0.48267725,0.016424958
aasta,année,hommik,matinée,0.48267725,-0.024871562
aasta,an,laupäev,samedi,0.47599047,0.21585238
aasta,année,laupäev,samedi,0.47599047,0.08222398
aasta,an,detsember,décembre,0.46580327,0.33616894
aasta,année,detsember,décembre,0.46580327,-0.15135181
aasta,an,juuli,juillet,0.46310702,0.3527827
aasta,année,juuli,juillet,0.46310702,-0.068609424
aasta,an,viima,apporter,0.45639157,0.21382213
aasta,année,viima,apporter,0.45639157,-0.1555261
aasta,an,suvi,été,0.451993,0.3827762
aasta,année,suvi,été,0.451993,-0.032452293
aasta,an,kott,sac,0.4428673,0.13193622
aasta,an,kott,sac,0.4428673,0.13193622
aasta,année,kott,sac,0.4428673,0.08014272
aasta,année,kott,sac,0.4428673,0.08014272
aasta,an,juuni,juin,0.44189477,0.35302123
aasta,année,juuni,juin,0.44189477,-0.104427435
aasta,an,november,novembre,0.44015932,0.3670488
aasta,année,november,novembre,0.44015932,-0.18500167
aasta,an,jahe,frais,0.43988064,0.22374049
aasta,année,jahe,frais,0.43988064,0.017165247
aasta,an,kaua,longtemps,0.4383056,0.2805546
aasta,année,kaua,longtemps,0.4383056,0.007766798
aasta,an,aprill,avril,0.43636638,0.29574686
aasta,année,aprill,avril,0.43636638,-0.024508676
aasta,an,saabas,botte,0.43350655,0.182005
aasta,année,saabas,botte,0.43350655,-0.023165928
aasta,an,mai,mai,0.43238923,0.27529058
aasta,année,mai,mai,0.43238923,-0.05119349
aasta,an,kord,une fois,0.42735836,0.34002936
aasta,année,kord,une fois,0.42735836,-0.054367684
aasta,an,kuuskümmend,soixante,0.42549735,0.3472587
aasta,année,kuuskümmend,soixante,0.42549735,-0.06663493
aasta,an,vehkima,agiter,0.4230242,0.14393428
aasta,année,vehkima,agiter,0.4230242,-0.08154592
aasta,an,taha,derrière,0.42255002,0.10391435
aasta,année,taha,derrière,0.42255002,0.036031313
aasta,an,ilm,temps,0.4190681,0.24136493
aasta,année,ilm,temps,0.4190681,0.058985494
aasta,an,viiskümmend,cinquante,0.41799864,0.34640336
aasta,année,viiskümmend,cinquante,0.41799864,-0.0318939
aasta,an,veebruar,février,0.4124724,0.3607371
aasta,année,veebruar,février,0.4124724,-0.20480683
aasta,an,viimane,dernier,0.4105964,0.24604364
aasta,année,viimane,dernier,0.4105964,-0.08397949
abi,aide,abi,aide,0.99999994,1.0
abi,aide,abi,secours,0.99999994,0.60460556
abi,secours,abi,aide,0.99999994,0.60460556
abi,secours,abi,secours,0.99999994,1.0
abi,aide,tasuma,payer,0.5599308,0.51918125
abi,secours,tasuma,payer,0.5599308,0.48427328
abi,aide,haigestuma,tomber malade,0.54519707,0.36224425
abi,secours,haigestuma,tomber malade,0.54519707,0.45109764
abi,aide,ostma,acheter,0.54355717,0.45181298
abi,secours,ostma,acheter,0.54355717,0.37641174
abi,aide,mure,peine,0.5377142,0.334707
abi,aide,mure,chagrin,0.5377142,0.38977352
abi,secours,mure,peine,0.5377142,0.32710662
abi,secours,mure,chagrin,0.5377142,0.3585711
abi,aide,hoidma,tenir,0.5237941,0.2979358
abi,aide,hoidma,préserver,0.5237941,0.3724807
abi,secours,hoidma,tenir,0.5237941,0.30556533
abi,secours,hoidma,préserver,0.5237941,0.24032757
abi,aide,haigeks jääma,tomber malade,0.5223476,0.36224425
abi,secours,haigeks jääma,tomber malade,0.5223476,0.45109764
abi,aide,lubama,promettre,0.5214833,0.4461617
abi,secours,lubama,promettre,0.5214833,0.38475615
abi,aide,maksma,payer,0.5214381,0.51918125
abi,secours,maksma,payer,0.5214381,0.48427328
abi,aide,sisse astuma,entrer,0.5206201,0.44611555
abi,secours,sisse astuma,entrer,0.5206201,0.38632444
abi,aide,purustama,détruire,0.5085006,0.352375
abi,secours,purustama,détruire,0.5085006,0.3362083
abi,aide,rikkuma,gâter,0.50754535,0.10661535
abi,aide,rikkuma,corrompre,0.50754535,0.50658906
abi,aide,rikkuma,endommager,0.50754535,0.40203136
abi,secours,rikkuma,gâter,0.50754535,-0.08546376
abi,secours,rikkuma,corrompre,0.50754535,0.4613661
abi,secours,rikkuma,endommager,0.50754535,0.510803
abi,aide,lõhkuma,fendre,0.4995492,0.36431992
abi,secours,lõhkuma,fendre,0.4995492,0.36476874
abi,aide,haige olema,être malade,0.4989862,0.29170224
abi,secours,haige olema,être malade,0.4989862,0.36565146
abi,aide,torkama,piquer,0.49760288,0.42596138
abi,secours,torkama,piquer,0.49760288,0.34965032
abi,aide,alal hoidma,garder,0.49697444,0.38257766
abi,aide,alal hoidma,conserver,0.49697444,0.2921645
abi,secours,alal hoidma,garder,0.49697444,0.3938836
abi,secours,alal hoidma,conserver,0.49697444,0.15520194
abi,aide,päästma,sauver,0.49502295,0.43699718
abi,secours,päästma,sauver,0.49502295,0.48499072
abi,aide,sulgema,fermer,0.49499977,0.42692655
abi,secours,sulgema,fermer,0.49499977,0.5369854
abi,aide,toibuma,guérir,0.49209788,-0.1234612
abi,aide,toibuma,se remettre,0.49209788,0.370982
abi,secours,toibuma,guérir,0.49209788,-0.062568806
abi,secours,toibuma,se remettre,0.49209788,0.4241221
abi,aide,üles tõstma,ramasser,0.49183983,0.4136992
abi,aide,üles tõstma,lever,0.49183983,0.403777
abi,secours,üles tõstma,ramasser,0.49183983,0.40953058
abi,secours,üles tõstma,lever,0.49183983,0.41384107
abi,aide,võnkuma,vibrer,0.49115294,0.43617702
abi,aide,võnkuma,osciller,0.49115294,0.36822197
abi,secours,võnkuma,vibrer,0.49115294,0.42535967
abi,secours,võnkuma,osciller,0.49115294,0.26541537
abi,aide,sõtkuma,botter,0.48942345,0.32553074
abi,aide,sõtkuma,donner un coup de pied à,0.48942345,0.3027894
abi,secours,sõtkuma,botter,0.48942345,0.30761752
abi,secours,sõtkuma,donner un coup de pied à,0.48942345,0.29262558
abi,aide,haukuma,aboyer,0.48880482,0.43018168
abi,secours,haukuma,aboyer,0.48880482,0.29512197
abi,aide,tõstma,soulever,0.48842186,0.28065827
abi,secours,tõstma,soulever,0.48842186,0.2803424
abi,aide,ärkama,se réveiller,0.48827493,0.34226587
abi,aide,ärkama,se lever,0.48827493,0.29290164
abi,secours,ärkama,se réveiller,0.48827493,0.39682248
abi,secours,ärkama,se lever,0.48827493,0.22241852
abikaasa,mari,abikaasa,mari,1.0,1.0
abikaasa,mari,abikaasa,époux,1.0,0.646364
abikaasa,mari,abikaasa,femme,1.0,0.4904174
abikaasa,mari,abikaasa,épouse,1.0,0.58291525
abikaasa,époux,abikaasa,mari,1.0,0.646364
abikaasa,époux,abikaasa,époux,1.0,1.0
abikaasa,époux,abikaasa,femme,1.0,0.39883915
abikaasa,époux,abikaasa,épouse,1.0,0.5330367
abikaasa,femme,abikaasa,mari,1.0,0.4904174
abikaasa,femme,abikaasa,époux,1.0,0.39883915
abikaasa,femme,abikaasa,femme,1.0,1.0
abikaasa,femme,abikaasa,épouse,1.0,0.6108841
abikaasa,épouse,abikaasa,mari,1.0,0.58291525
abikaasa,épouse,abikaasa,époux,1.0,0.5330367
abikaasa,épouse,abikaasa,femme,1.0,0.6108841
abikaasa,épouse,abikaasa,épouse,1.0,0.99999994
abikaasa,mari,laps,enfant,0.7923335,0.50452167
abikaasa,époux,laps,enfant,0.7923335,0.4937812
abikaasa,femme,laps,enfant,0.7923335,0.54041255
abikaasa,épouse,laps,enfant,0.7923335,0.5086703
abikaasa,mari,poeg,fils,0.7351976,0.5712665
abikaasa,époux,poeg,fils,0.7351976,0.58512086
abikaasa,femme,poeg,fils,0.7351976,0.38001692
abikaasa,épouse,poeg,fils,0.7351976,0.6006436
abikaasa,mari,ema,mère,0.70164084,0.0039493404
abikaasa,époux,ema,mère,0.70164084,0.091666445
abikaasa,femme,ema,mère,0.70164084,-0.053954735
abikaasa,épouse,ema,mère,0.70164084,-0.12243785
abikaasa,mari,ülal,dessus,0.67967945,0.2531454
abikaasa,mari,ülal,en haut,0.67967945,0.3818161
abikaasa,époux,ülal,dessus,0.67967945,0.078777626
abikaasa,époux,ülal,en haut,0.67967945,0.36647096
abikaasa,femme,ülal,dessus,0.67967945,0.1491001
abikaasa,femme,ülal,en haut,0.67967945,0.3916055
abikaasa,épouse,ülal,dessus,0.67967945,0.14108223
abikaasa,épouse,ülal,en haut,0.67967945,0.4320562
abikaasa,mari,onu,oncle,0.6785167,0.5997835
abikaasa,époux,onu,oncle,0.6785167,0.6326445
abikaasa,femme,onu,oncle,0.6785167,0.34718806
abikaasa,épouse,onu,oncle,0.6785167,0.5757498
abikaasa,mari,vend,frère,0.64876604,-0.06303462
abikaasa,époux,vend,frère,0.64876604,-0.039106593
abikaasa,femme,vend,frère,0.64876604,-0.13237864
abikaasa,épouse,vend,frère,0.64876604,-0.11832987
abikaasa,mari,naine,femme,0.6482163,0.4904174
abikaasa,mari,naine,femme,0.6482163,0.4904174
abikaasa,mari,naine,épouse,0.6482163,0.58291525
abikaasa,époux,naine,femme,0.6482163,0.39883915
abikaasa,époux,naine,femme,0.6482163,0.39883915
abikaasa,époux,naine,épouse,0.6482163,0.5330367
abikaasa,femme,naine,femme,0.6482163,1.0
abikaasa,femme,naine,femme,0.6482163,1.0
abikaasa,femme,naine,épouse,0.6482163,0.6108841
abikaasa,épouse,naine,femme,0.6482163,0.6108841
abikaasa,épouse,naine,femme,0.6482163,0.6108841
abikaasa,épouse,naine,épouse,0.6482163,0.99999994
abikaasa,mari,isa,père,0.63391805,-0.12706758
abikaasa,époux,isa,père,0.63391805,-0.09252598
abikaasa,femme,isa,père,0.63391805,0.046615575
abikaasa,épouse,isa,père,0.63391805,-0.12385174
abikaasa,mari,õpetaja,professeur,0.6321616,0.23653561
abikaasa,mari,õpetaja,instituteur,0.6321616,0.3215523
abikaasa,époux,õpetaja,professeur,0.6321616,0.25927037
abikaasa,époux,õpetaja,instituteur,0.6321616,0.37869596
abikaasa,femme,õpetaja,professeur,0.6321616,0.22954868
abikaasa,femme,õpetaja,instituteur,0.6321616,0.33863574
abikaasa,épouse,õpetaja,professeur,0.6321616,0.4370997
abikaasa,épouse,õpetaja,instituteur,0.6321616,0.6194617
abikaasa,mari,vanaisa,grand-père,0.58894354,0.15139857
