src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aas,草原,aas,草原,1.0000001,0.0
aas,草原,aas,輪,1.0000001,0.0
aas,輪,aas,草原,1.0000001,0.0
aas,輪,aas,輪,1.0000001,0.0
aas,草原,nael,釘,0.7670443,0.0
aas,輪,nael,釘,0.7670443,0.0
aas,草原,vares,烏,0.71373695,0.0
aas,輪,vares,烏,0.71373695,0.0
aas,草原,kurg,鶴,0.6763659,0.0
aas,輪,kurg,鶴,0.6763659,0.0
aas,草原,pang,バケツ,0.6746385,0.0
aas,輪,pang,バケツ,0.6746385,0.0
aas,草原,kallama,注ぐ,0.6716365,0.0
aas,輪,kallama,注ぐ,0.6716365,0.0
aas,草原,naba,へそ,0.6653832,0.0
aas,輪,naba,へそ,0.6653832,0.0
aas,草原,rohi,草,0.65517396,0.0
aas,輪,rohi,草,0.65517396,0.0
aas,草原,kallas,岸,0.65332586,0.0
aas,輪,kallas,岸,0.65332586,0.0
aas,草原,niit,糸,0.6427066,0.0
aas,輪,niit,糸,0.6427066,0.0
aas,草原,sarv,角,0.64051175,0.0
aas,輪,sarv,角,0.64051175,0.0
aas,草原,kukk,雄鶏,0.623686,0.0
aas,輪,kukk,雄鶏,0.623686,0.0
aas,草原,orav,栗鼠,0.6204706,0.0
aas,輪,orav,栗鼠,0.6204706,0.0
aas,草原,ots,端,0.6199031,0.0
aas,輪,ots,端,0.6199031,0.0
aas,草原,mets,森,0.61499685,0.0
aas,輪,mets,森,0.61499685,0.0
aas,草原,vaht,泡,0.61294526,0.0
aas,輪,vaht,泡,0.61294526,0.0
aas,草原,teivas,棒,0.6058809,0.0
aas,輪,teivas,棒,0.6058809,0.0
aas,草原,lehm,牛,0.5904368,0.0
aas,輪,lehm,牛,0.5904368,0.0
aas,草原,kuuskümmend,六十,0.59016263,0.0
aas,輪,kuuskümmend,六十,0.59016263,0.0
aas,草原,latt,棒,0.5900719,0.0
aas,輪,latt,棒,0.5900719,0.0
aas,草原,kari,群れ,0.5889522,0.0
aas,輪,kari,群れ,0.5889522,0.0
aas,草原,pakane,霜,0.5862275,0.0
aas,輪,pakane,霜,0.5862275,0.0
aas,草原,nool,矢,0.5845937,0.0
aas,輪,nool,矢,0.5845937,0.0
aas,草原,mander,陸,0.5845829,0.0
aas,輪,mander,陸,0.5845829,0.0
aas,草原,sang,取っ手,0.58406496,0.0
aas,輪,sang,取っ手,0.58406496,0.0
aasta,年,aasta,年,1.0000001,0.0
aasta,年,jaanuar,一月,0.50261056,0.0
aasta,年,september,九月,0.48535332,0.0
aasta,年,hommik,朝,0.48267725,0.0
aasta,年,laupäev,土曜日,0.47599047,0.0
aasta,年,detsember,十二月,0.46580327,0.0
aasta,年,juuli,七月,0.46310702,0.0
aasta,年,viima,持って行く,0.45639157,0.0
aasta,年,suvi,夏,0.451993,0.0
aasta,年,kott,かばん,0.4428673,0.0
aasta,年,kott,袋,0.4428673,0.0
aasta,年,juuni,六月,0.44189477,0.0
aasta,年,november,十一月,0.44015932,0.0
aasta,年,jahe,涼しい,0.43988064,0.0
aasta,年,kaua,長い間,0.4383056,0.0
aasta,年,aprill,四月,0.43636638,0.0
aasta,年,saabas,ブーツ,0.43350655,0.0
aasta,年,mai,五月,0.43238923,0.0
aasta,年,kord,一回,0.42735836,0.0
aasta,年,kuuskümmend,六十,0.42549735,0.0
aasta,年,vehkima,振る,0.4230242,0.0
aasta,年,taha,後ろに,0.42255002,0.0
aasta,年,ilm,天気,0.4190681,0.0
aasta,年,viiskümmend,五十,0.41799864,0.0
aasta,年,veebruar,二月,0.4124724,0.0
aasta,年,viimane,最後の,0.4105964,0.0
abi,援助,abi,援助,0.99999994,0.0
abi,援助,tasuma,払う,0.5599308,0.0
abi,援助,haigestuma,病気になる,0.54519707,0.0
abi,援助,ostma,買う,0.54355717,0.0
abi,援助,mure,悩み,0.5377142,0.0
abi,援助,hoidma,持つ,0.5237941,0.0
abi,援助,hoidma,保存する,0.5237941,0.0
abi,援助,haigeks jääma,病気になる,0.5223476,0.0
abi,援助,lubama,約束する,0.5214833,0.0
abi,援助,maksma,支払う,0.5214381,0.0
