src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aboyer,bellen,aboyer,bellen,1.0000001,0.99999994
aboyer,bellen,ployer,beugen,0.81680536,0.48696348
aboyer,bellen,brouillard,Nebel,0.6794048,0.33672792
aboyer,bellen,aigre,sauer,0.67612946,0.2943655
aboyer,bellen,s'endormir,einschlafen,0.66262466,0.30036587
aboyer,bellen,écureuil,Eichhörnchen,0.65757746,0.42915332
aboyer,bellen,cochon,Schwein,0.65174073,0.011455156
aboyer,bellen,tronc,Stamm,0.64325833,0.4494542
aboyer,bellen,essuyer,abwischen,0.6295446,0.4493237
aboyer,bellen,fourchette,Gabel,0.62389773,0.36710325
aboyer,bellen,casquette,Mütze,0.622726,0.061948042
aboyer,bellen,bouger,sich bewegen,0.6182432,0.38566828
aboyer,bellen,brochet,Hecht,0.6078983,0.051722817
aboyer,bellen,bouillie,Brei,0.60604537,-0.2359069
aboyer,bellen,tourbière,Moor,0.603888,0.13070671
aboyer,bellen,jeune fille,Mädchen,0.6000221,0.3906963
aboyer,bellen,givre,Raureif,0.59501797,0.115149684
aboyer,bellen,vigoureux,kräftig,0.59184337,0.20743841
aboyer,bellen,nettoyer,reinigen,0.59091014,0.47638056
aboyer,bellen,étoffe,Stoff,0.58993495,0.04201483
aboyer,bellen,serrure,Schloss,0.5898575,0.2176686
aboyer,bellen,arracher,abreißen,0.5894519,0.45885253
aboyer,bellen,beurre,Butter,0.58815205,0.17452423
aboyer,bellen,joyeux,lustig,0.58414614,0.3284907
aboyer,bellen,botte,Stiefel,0.5813784,0.1623787
abuser,täuschen,abuser,täuschen,0.99999994,1.0
abuser,täuschen,dissimuler,verbergen,0.76095,0.47628245
abuser,täuschen,tromper,täuschen,0.74416244,1.0
abuser,täuschen,guérir,genesen,0.7393533,0.39409465
abuser,täuschen,remède,Arznei,0.7384885,0.34079388
abuser,täuschen,tolérer,ertragen,0.726447,0.5010195
abuser,täuschen,pourrir,faulen,0.7235059,0.4200242
abuser,täuschen,pourrir,verfaulen,0.7235059,0.3532784
abuser,täuschen,tirer,ziehen,0.7031913,0.48138028
abuser,täuschen,tirer,schießen,0.7031913,0.3466772
abuser,täuschen,agiter,schwenken,0.70316994,0.4514427
abuser,täuschen,percevoir,vernehmen,0.70021427,0.36468184
abuser,täuschen,bruit,Lärm,0.69787806,0.08525803
abuser,täuschen,nettoyer,reinigen,0.6915404,0.60557246
abuser,täuschen,se voir,zu sehen sein,0.6870542,0.3944063
abuser,täuschen,conduire,leiten,0.6845192,0.416323
abuser,täuschen,pourquoi,warum,0.68176585,0.4656117
abuser,täuschen,cuire,kochen,0.6748857,0.72508115
abuser,täuschen,cuire,backen,0.6748857,0.5837709
abuser,täuschen,doigt de pied,Zeh,0.6744932,0.118462905
abuser,täuschen,essayer,versuchen,0.6717992,0.63996613
abuser,täuschen,fumée,Rauch,0.6714471,0.5400384
abuser,täuschen,demander,fragen,0.6695764,0.51554406
abuser,täuschen,fermer,schließen,0.66952795,0.48824906
abuser,täuschen,apercevoir,bemerken,0.66932523,0.54622084
abuser,täuschen,sauter,springen,0.665161,0.4496761
abuser,täuschen,corrompre,verderben,0.66473645,0.520447
abuser,täuschen,tuer,töten,0.6626319,0.48716342
accrocher,aufhängen,accrocher,aufhängen,1.0,1.0
accrocher,aufhängen,toucher,rühren,0.68796873,0.6786735
accrocher,aufhängen,toucher,berühren,0.68796873,0.76297575
accrocher,aufhängen,aigu,spitz,0.6858527,0.5836674
