src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aboyer,bark,aboyer,bark,1.0000001,1.0
aboyer,bark,ployer,bow,0.81680536,0.54431546
aboyer,bark,brouillard,fog,0.6794048,0.4987364
aboyer,bark,aigre,sour,0.67612946,0.40316698
aboyer,bark,s'endormir,fall asleep,0.66262466,0.47732368
aboyer,bark,écureuil,squirrel,0.65757746,0.61763287
aboyer,bark,cochon,pig,0.65174073,0.5782299
aboyer,bark,tronc,trunk,0.64325833,0.55134976
aboyer,bark,essuyer,wipe,0.6295446,0.508161
aboyer,bark,fourchette,fork,0.62389773,0.48444495
aboyer,bark,casquette,cap,0.622726,0.3645519
aboyer,bark,bouger,move,0.6182432,0.21424082
aboyer,bark,brochet,pike,0.6078983,0.35030156
aboyer,bark,bouillie,mush,0.60604537,0.54347646
aboyer,bark,tourbière,moor,0.603888,0.36767623
aboyer,bark,jeune fille,girl,0.6000221,0.3861141
aboyer,bark,givre,hoarfrost,0.59501797,0.5915064
aboyer,bark,vigoureux,powerful,0.59184337,0.34165466
aboyer,bark,nettoyer,clean,0.59091014,0.44770595
aboyer,bark,étoffe,cloth,0.58993495,0.48818493
aboyer,bark,serrure,lock,0.5898575,0.3177504
aboyer,bark,arracher,tear off,0.5894519,0.49876803
aboyer,bark,beurre,butter,0.58815205,0.48961803
aboyer,bark,joyeux,merry,0.58414614,0.3342228
aboyer,bark,botte,boot,0.5813784,0.4370572
abuser,deceive,abuser,deceive,0.99999994,1.0
abuser,deceive,dissimuler,conceal,0.76095,0.56999236
abuser,deceive,tromper,deceive,0.74416244,1.0
abuser,deceive,guérir,recover,0.7393533,0.3409105
abuser,deceive,remède,medicine,0.7384885,0.36368757
abuser,deceive,tolérer,endure,0.726447,0.52117914
abuser,deceive,pourrir,rot,0.7235059,0.4105758
abuser,deceive,pourrir,decay,0.7235059,0.23553956
abuser,deceive,tirer,pull,0.7031913,0.36592123
abuser,deceive,tirer,shoot,0.7031913,0.3199681
abuser,deceive,agiter,swing,0.70316994,0.22276351
abuser,deceive,percevoir,hear,0.70021427,0.41125268
abuser,deceive,bruit,noise,0.69787806,0.39345437
abuser,deceive,nettoyer,clean,0.6915404,0.24501726
abuser,deceive,se voir,show,0.6870542,0.30816925
abuser,deceive,conduire,lead,0.6845192,0.2841674
abuser,deceive,pourquoi,why,0.68176585,0.532181
abuser,deceive,cuire,boil,0.6748857,0.587923
