src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aboyer,haukuma,aboyer,haukuma,1.0000001,1.0
aboyer,haukuma,ployer,painutama,0.81680536,0.81116134
aboyer,haukuma,brouillard,udu,0.6794048,-0.0031192116
aboyer,haukuma,aigre,hapu,0.67612946,-0.054627825
aboyer,haukuma,s'endormir,uinuma,0.66262466,0.2662503
aboyer,haukuma,écureuil,orav,0.65757746,0.30455673
aboyer,haukuma,cochon,siga,0.65174073,0.7734376
aboyer,haukuma,tronc,tüvi,0.64325833,0.044976976
aboyer,haukuma,essuyer,puhtaks pühkima,0.6295446,0.82914805
aboyer,haukuma,fourchette,kahvel,0.62389773,0.5084176
aboyer,haukuma,casquette,müts,0.622726,0.021146618
aboyer,haukuma,bouger,liikuma,0.6182432,0.8992422
aboyer,haukuma,brochet,haug,0.6078983,0.4435841
aboyer,haukuma,bouillie,puder,0.60604537,-0.056260265
aboyer,haukuma,tourbière,raba,0.603888,0.7171983
aboyer,haukuma,jeune fille,tüdruk,0.6000221,0.661132
aboyer,haukuma,givre,härmatis,0.59501797,0.703997
aboyer,haukuma,vigoureux,jõuline,0.59184337,0.5430973
aboyer,haukuma,nettoyer,puhastama,0.59091014,0.8956491
aboyer,haukuma,étoffe,kangas,0.58993495,0.80006737
aboyer,haukuma,serrure,lukk,0.5898575,0.8908551
aboyer,haukuma,arracher,rebima,0.5894519,0.1489174
aboyer,haukuma,arracher,ära rebima,0.5894519,0.22059663
aboyer,haukuma,beurre,või,0.58815205,0.048304453
aboyer,haukuma,joyeux,lõbus,0.58414614,0.3948511
aboyer,haukuma,botte,saabas,0.5813784,0.7650037
abuser,petma,abuser,petma,0.99999994,0.99999994
abuser,petma,abuser,tüssama,0.99999994,-0.060980767
abuser,tüssama,abuser,petma,0.99999994,-0.060980767
abuser,tüssama,abuser,tüssama,0.99999994,1.0
abuser,petma,dissimuler,peitma,0.76095,-0.16893137
abuser,petma,dissimuler,varjama,0.76095,-0.15202206
abuser,tüssama,dissimuler,peitma,0.76095,0.7256391
abuser,tüssama,dissimuler,varjama,0.76095,0.75530505
abuser,petma,tromper,petma,0.74416244,0.99999994
abuser,petma,tromper,tüssama,0.74416244,-0.060980767
abuser,tüssama,tromper,petma,0.74416244,-0.060980767
abuser,tüssama,tromper,tüssama,0.74416244,1.0
abuser,petma,guérir,toibuma,0.7393533,-0.09867279
abuser,tüssama,guérir,toibuma,0.7393533,0.7165979
abuser,petma,remède,ravim,0.7384885,-0.12789907
abuser,tüssama,remède,ravim,0.7384885,0.7760935
abuser,petma,tolérer,taluma,0.726447,-0.15306698
abuser,tüssama,tolérer,taluma,0.726447,0.63492185
abuser,petma,pourrir,mädanema,0.7235059,-0.035374887
abuser,petma,pourrir,mädanema,0.7235059,-0.035374887
abuser,tüssama,pourrir,mädanema,0.7235059,0.37144417
abuser,tüssama,pourrir,mädanema,0.7235059,0.37144417
abuser,petma,tirer,vedama,0.7031913,-0.10828741
