src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-आना,laskma,-आना,laskma,1.0,1.0
-आना,laskma,पुराना,vana,0.29510927,0.32396424
-आना,laskma,चमड़ा,nahk,0.29177088,0.42307258
-आना,laskma,स्वप्न,unenägu,0.26528835,-0.21513383
-आना,laskma,जानु,põlv,0.25803405,-0.14276946
-आना,laskma,कोयल,kägu,0.25706726,0.20845042
-आना,laskma,डरना,kartma,0.24686839,0.9032876
-आना,laskma,डरना,hirmu tundma,0.24686839,0.6981842
-आना,laskma,आदमी,mees,0.24277599,0.584077
-आना,laskma,पगडंडी,rada,0.23772146,0.6015395
-आना,laskma,सत्तर,seitsekümmend,0.23760504,0.8122361
-आना,laskma,मराल,luik,0.23241189,0.41067758
-आना,laskma,हत्था,sang,0.23216969,0.47998682
-आना,laskma,हत्था,käepide,0.23216969,0.64706933
-आना,laskma,भारी,raske,0.22910808,0.62234783
-आना,laskma,ताक़त,tugevus,0.22744432,0.53705245
-आना,laskma,उपहार,kingitus,0.2267853,0.80174994
-आना,laskma,पहले,enne,0.2261734,0.5003146
-आना,laskma,पहले,enne,0.2261734,0.5003146
-आना,laskma,पहले,esmalt,0.2261734,0.64451027
-आना,laskma,दूसरा,muu,0.22553906,0.34354967
-आना,laskma,दूसरा,teine,0.22553906,0.45233238
-आना,laskma,दूसरा,teine,0.22553906,0.45233238
-आना,laskma,वैद्य,arst,0.22326775,0.58875227
-आना,laskma,दाम,hind,0.22194584,0.61642396
-आना,laskma,कपड़ा,kangas,0.21971247,0.6873981
-आना,laskma,कम,väike,0.2184658,0.10878408
-आना,laskma,कम,pisike,0.2184658,-0.029311467
-आना,laskma,चुनना,valima,0.21657121,0.5001646
-आना,laskma,चुनना,valima,0.21657121,0.5001646
-आना,laskma,चुनना,noppima,0.21657121,0.6194612
-आना,laskma,आसमानी,sinine,0.21597849,0.09061113
-आना,laskma,शब्द,sõna,0.2150179,0.070318475
-आना,laskma,कारण,põhjus,0.21496697,0.5056341
अँगुली,sõrm,अँगुली,sõrm,1.0000001,1.0
अँगुली,sõrm,सर्दी,külm,0.33884072,-0.08555794
अँगुली,sõrm,सर्दी,külmus,0.33884072,0.14234114
अँगुली,sõrm,घटना,vajuma,0.29597214,0.07540496
अँगुली,sõrm,घटना,langema,0.29597214,0.1674205
अँगुली,sõrm,घटना,vähenema,0.29597214,0.17862679
अँगुली,sõrm,घटना,kahenema,0.29597214,0.15797392
अँगुली,sõrm,हर जगह,kõikjal,0.2852314,0.14187875
अँगुली,sõrm,दर्पण,peegel,0.2836856,0.22528511
अँगुली,sõrm,रंग,värv,0.26591048,0.097898215
अँगुली,sõrm,नवंबर,november,0.26126745,0.17348143
अँगुली,sõrm,निकल भागना,põgenema,0.2608251,0.18994692
अँगुली,sõrm,मोड़ना,ümber pöörama,0.25876993,0.15880543
अँगुली,sõrm,खिसकाना,lükkama,0.25273508,0.18642333
अँगुली,sõrm,लफ़्ज़,sõna,0.2497672,0.23688117
अँगुली,sõrm,चूल्हा,ahi,0.24525164,0.04213539
अँगुली,sõrm,चप्पू,aer,0.23969305,0.13073382
अँगुली,sõrm,दूसरा,muu,0.2350821,0.17633472
अँगुली,sõrm,दूसरा,teine,0.2350821,0.1357454
अँगुली,sõrm,दूसरा,teine,0.2350821,0.1357454
अँगुली,sõrm,अभ्र,pilv,0.2288048,0.23801342
अँगुली,sõrm,पुतली,nukk,0.22869715,0.21117973
अँगुली,sõrm,भ्राता,vend,0.21929212,0.25834495
अँगुली,sõrm,नापना,mõõtma,0.21805492,0.17463037
अँगुली,sõrm,पाँव की उँगली,varvas,0.21142645,0.08554757
अँगुली,sõrm,गँवाना,kaotama,0.20991258,0.106698826
अँगुली,sõrm,सर्द,külm,0.20699616,-0.08555794
