src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-आना,faire,-आना,faire,1.0,1.0
-आना,faire,पुराना,vieux,0.29510927,0.15091237
-आना,faire,चमड़ा,cuir,0.29177088,0.10352579
-आना,faire,स्वप्न,songe,0.26528835,0.431549
-आना,faire,जानु,genou,0.25803405,0.25122
-आना,faire,कोयल,coucou,0.25706726,0.35588712
-आना,faire,डरना,avoir peur,0.24686839,0.34922224
-आना,faire,आदमी,homme,0.24277599,0.19055098
-आना,faire,पगडंडी,sentier,0.23772146,0.4173592
-आना,faire,सत्तर,soixante-dix,0.23760504,0.14213553
-आना,faire,मराल,cygne,0.23241189,0.28274906
-आना,faire,हत्था,prise,0.23216969,0.29402837
-आना,faire,हत्था,manche,0.23216969,0.28424004
-आना,faire,भारी,lourd,0.22910808,0.31714684
-आना,faire,भारी,pesant,0.22910808,0.3334386
-आना,faire,ताक़त,vigueur,0.22744432,0.23084423
-आना,faire,उपहार,cadeau,0.2267853,0.37197673
-आना,faire,उपहार,présent,0.2267853,0.2680534
-आना,faire,पहले,auparavant,0.2261734,0.17639159
-आना,faire,पहले,d'abord,0.2261734,0.47375488
-आना,faire,पहले,premièrement,0.2261734,0.32643437
-आना,faire,दूसरा,autre,0.22553906,0.3657993
-आना,faire,दूसरा,second,0.22553906,0.27638257
-आना,faire,दूसरा,deuxième,0.22553906,0.19732314
-आना,faire,वैद्य,médecin,0.22326775,0.18880162
-आना,faire,दाम,prix,0.22194584,0.251947
-आना,faire,कपड़ा,tissu,0.21971247,0.20131883
-आना,faire,कपड़ा,étoffe,0.21971247,0.48456466
-आना,faire,कम,petit,0.2184658,0.23491393
-आना,faire,चुनना,choisir,0.21657121,0.49690044
-आना,faire,चुनना,choisir,0.21657121,0.49690044
-आना,faire,चुनना,sélectionner,0.21657121,0.5078463
-आना,faire,चुनना,cueillir,0.21657121,0.45274574
-आना,faire,आसमानी,bleu,0.21597849,0.21276994
-आना,faire,शब्द,mot,0.2150179,0.3217074
-आना,faire,कारण,cause,0.21496697,0.3022377
-आना,faire,कारण,raison,0.21496697,0.27607504
अँगुली,doigt,अँगुली,doigt,1.0000001,1.0
अँगुली,doigt,सर्दी,froid,0.33884072,0.39530775
अँगुली,doigt,घटना,descendre,0.29597214,0.43709958
अँगुली,doigt,घटना,s'abaisser,0.29597214,0.4627355
अँगुली,doigt,घटना,diminuer,0.29597214,0.43426389
अँगुली,doigt,हर जगह,partout,0.2852314,0.41096824
अँगुली,doigt,दर्पण,glace,0.2836856,0.45261788
अँगुली,doigt,दर्पण,miroir,0.2836856,0.5279248
अँगुली,doigt,रंग,peinture,0.26591048,0.22918507
अँगुली,doigt,नवंबर,novembre,0.26126745,0.13942046
अँगुली,doigt,निकल भागना,s'enfuir,0.2608251,0.48179638
अँगुली,doigt,मोड़ना,retourner,0.25876993,0.4162321
अँगुली,doigt,खिसकाना,pousser,0.25273508,0.4338559
अँगुली,doigt,लफ़्ज़,mot,0.2497672,0.42736587
अँगुली,doigt,चूल्हा,poêle,0.24525164,-0.029184595
अँगुली,doigt,चप्पू,rame,0.23969305,0.42271134
अँगुली,doigt,चप्पू,aviron,0.23969305,0.1450458
अँगुली,doigt,दूसरा,autre,0.2350821,0.43637586
अँगुली,doigt,दूसरा,second,0.2350821,0.23528516
अँगुली,doigt,दूसरा,deuxième,0.2350821,0.12973404
अँगुली,doigt,अभ्र,nuage,0.2288048,0.48975325
अँगुली,doigt,पुतली,poupée,0.22869715,0.4996441
अँगुली,doigt,भ्राता,frère,0.21929212,-0.18161303
अँगुली,doigt,नापना,mesurer,0.21805492,0.36315513
अँगुली,doigt,पाँव की उँगली,orteil,0.21142645,0.5713062
अँगुली,doigt,पाँव की उँगली,doigt de pied,0.21142645,0.90947556
अँगुली,doigt,गँवाना,perdre,0.20991258,0.49814314
अँगुली,doigt,सर्द,froid,0.20699616,0.39530775
अँगुली,doigt,चर्च,église,0.20282517,0.30671245
अँगुली,doigt,गंद,boue,0.2022156,0.534132
अँगुली,doigt,गंद,saleté,0.2022156,0.27747098
अँगुली,doigt,कोना,coin,0.19977212,0.45375434
अँगुली,doigt,कोना,tournant,0.19977212,0.36265838
अँगुली,doigt,कोना,coin,0.19977212,0.45375434
अँगुली,doigt,कोना,réduit,0.19977212,0.37370527
अँगुली,doigt,बारिश,pluie,0.19494322,0.39726192
अँगूठी,bague,अँगूठी,bague,0.99999994,1.0
अँगूठी,bague,चक्षु,œil,0.28595185,0.48240227
अँगूठी,bague,उपांत,bord,0.27632597,0.23987187
अँगूठी,bague,जवान,jeune,0.2738511,0.4387983
अँगूठी,bague,झुंड,nuée,0.26583284,0.07591857
अँगूठी,bague,झुंड,volée,0.26583284,0.072274655
अँगूठी,bague,ख़त,lettre,0.26331735,0.46945834
अँगूठी,bague,केवल,seulement,0.2500095,0.31535318
अँगूठी,bague,केवल,ne ... que,0.2500095,-3.2817945e-05
अँगूठी,bague,के सामने,devant,0.23728175,0.41836762
अँगूठी,bague,फ़रवरी,février,0.23080306,0.24343567
अँगूठी,bague,पहेली,énigme,0.22696634,0.479492
अँगूठी,bague,पहेली,devinette,0.22696634,0.6671934
अँगूठी,bague,चरबी,graisse,0.22471914,0.34511265
अँगूठी,bague,देग़,chaudron,0.22201873,0.52878267
अँगूठी,bague,हत्था,prise,0.22042021,0.29779115
अँगूठी,bague,हत्था,manche,0.22042021,0.2852347
अँगूठी,bague,अक्सर,souvent,0.21622133,0.32133082
अँगूठी,bague,अक़्ल,raison,0.21416733,0.2410744
अँगूठी,bague,राह,route,0.21267508,0.20240003
अँगूठी,bague,झूठ,mensonge,0.2115394,0.44846404
अँगूठी,bague,स्मरण-शक्ति,mémoire,0.21106584,0.5233929
अँगूठी,bague,नमूना,dessin,0.21090502,0.45394695
अँगूठी,bague,बंद जाना,cesser,0.20736787,0.22156498
अँगूठी,bague,बंद जाना,arrêter,0.20736787,-0.15795752
अँगूठी,bague,सुधारना,améliorer,0.20712285,0.15762715
अँगूठी,bague,नीला,bleu,0.20507275,0.46178448
अँगूठी,bague,नाम देना,nommer,0.19815585,0.32051626
अँगूठी,bague,नाम देना,appeler,0.19815585,0.382652
अँगूठी,bague,सूरज,soleil,0.19776535,0.38800895
अँगूठी,bague,हाँकना,mener,0.19762598,0.14789718
अँगोछा,serviette,अँगोछा,serviette,0.99999994,1.0
अँगोछा,serviette,अँगोछा,essuie-mains,0.99999994,0.34844974
अँगोछा,essuie-mains,अँगोछा,serviette,0.99999994,0.34844974
अँगोछा,essuie-mains,अँगोछा,essuie-mains,0.99999994,1.0
अँगोछा,serviette,एक दफ़ा,une fois,0.29958943,0.60556793
अँगोछा,essuie-mains,एक दफ़ा,une fois,0.29958943,0.61049366
अँगोछा,serviette,चिढ़ाना,agacer,0.2992532,0.36240572
अँगोछा,essuie-mains,चिढ़ाना,agacer,0.2992532,0.52914876
अँगोछा,serviette,बेटा,fils,0.29352593,0.44128734
अँगोछा,essuie-mains,बेटा,fils,0.29352593,0.23671547
अँगोछा,serviette,पकड़ना,saisir,0.29161492,0.48207748
अँगोछा,serviette,पकड़ना,prendre,0.29161492,0.26457852
अँगोछा,serviette,पकड़ना,tenir,0.29161492,0.25947246
अँगोछा,serviette,पकड़ना,attraper,0.29161492,0.31534845
अँगोछा,serviette,पकड़ना,agripper,0.29161492,0.44515634
अँगोछा,serviette,पकड़ना,capturer,0.29161492,0.31778938
अँगोछा,essuie-mains,पकड़ना,saisir,0.29161492,0.39209628
अँगोछा,essuie-mains,पकड़ना,prendre,0.29161492,0.30819407
अँगोछा,essuie-mains,पकड़ना,tenir,0.29161492,0.44817448
अँगोछा,essuie-mains,पकड़ना,attraper,0.29161492,0.41325274
अँगोछा,essuie-mains,पकड़ना,agripper,0.29161492,0.51132894
अँगोछा,essuie-mains,पकड़ना,capturer,0.29161492,0.46501583
अँगोछा,serviette,बिल,terrier,0.2795401,0.37577665
अँगोछा,essuie-mains,बिल,terrier,0.2795401,0.26400936
अँगोछा,serviette,उदास,triste,0.27266148,0.36250255
अँगोछा,essuie-mains,उदास,triste,0.27266148,0.2103143
अँगोछा,serviette,द्वितीय,second,0.24699931,0.406084
अँगोछा,serviette,द्वितीय,deuxième,0.24699931,0.25174165
अँगोछा,essuie-mains,द्वितीय,second,0.24699931,0.30153865
अँगोछा,essuie-mains,द्वितीय,deuxième,0.24699931,0.38581687
अँगोछा,serviette,चपटा,plat,0.24560072,0.32881215
अँगोछा,essuie-mains,चपटा,plat,0.24560072,0.31979135
अँगोछा,serviette,खिड़की,fenêtre,0.24254768,-0.045415193
अँगोछा,essuie-mains,खिड़की,fenêtre,0.24254768,-0.10239405
अँगोछा,serviette,लड़की,fille,0.23700938,0.5615983
अँगोछा,serviette,लड़की,jeune fille,0.23700938,0.6117882
अँगोछा,essuie-mains,लड़की,fille,0.23700938,0.25554162
