src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-たい,wollen,-たい,wollen,0.99999994,1.0
-たい,wollen,病気になる,krank werden,0.26737878,0.472714
-たい,wollen,閉まった,geschlossen,0.2512156,0.40147415
-たい,wollen,ストーブ,Ofen,0.24752921,0.18772359
-たい,wollen,お嬢さん,Tochter,0.23640038,0.37532037
-たい,wollen,～だけ,nur,0.22220697,0.2366778
-たい,wollen,呼び声,Ruf,0.21207494,-0.0070036016
-たい,wollen,裕福な,reich,0.19401585,0.22353753
-たい,wollen,きゃんきゃん鳴く,heulen,0.19021438,0.35140246
-たい,wollen,到着する,ankommen,0.18880087,0.65406126
-たい,wollen,気が付く,bemerken,0.17832346,0.47471842
-たい,wollen,元気になる,genesen,0.17142497,0.49279365
-たい,wollen,止まる,anhalten,0.16961917,0.58557826
-たい,wollen,あの時,damals,0.16708402,0.19337341
-たい,wollen,そちら,dort,0.16445251,0.23400092
-たい,wollen,真ん中,Mitte,0.16381726,0.18758193
-たい,wollen,揺さぶる,rütteln,0.16370147,0.43487018
-たい,wollen,揺さぶる,schütteln,0.16370147,0.48791346
-たい,wollen,認識する,erkennen,0.15973571,0.4452694
-たい,wollen,起こる,passieren,0.15766078,0.6830301
-たい,wollen,ズボン,Hose,0.15729827,0.044144545
-たい,wollen,水をやる,gießen,0.15554515,0.40383244
-たい,wollen,カップ,Tasse,0.14853022,0.21891722
-たい,wollen,呼吸する,atmen,0.14777437,0.5507419
-たい,wollen,集める,sammeln,0.14398667,0.48596317
-たい,wollen,どこでも,überall,0.14218818,0.4210064
あなた,du,あなた,du,0.99999994,1.0
あなた,du,バケツ,Eimer,0.3310496,0.26247072
あなた,du,励ます,antreiben,0.30433962,0.18180472
あなた,du,感じる,fühlen,0.25463605,0.22682518
あなた,du,疾駆する,sausen,0.25401562,0.27821776
あなた,du,盲目の,blind,0.25120932,0.47946393
あなた,du,加える,hinzufügen,0.24737076,0.27370605
あなた,du,最初に,zuerst,0.24501328,0.2998091
あなた,du,器用な,geschickt,0.24412152,0.32790673
あなた,du,揺さぶる,rütteln,0.24109592,0.19532347
あなた,du,揺さぶる,schütteln,0.24109592,0.2164995
あなた,du,ペンキ,Farbe,0.23768595,0.37637043
あなた,du,数える,zählen,0.23415247,0.185464
あなた,du,シャベル,Schaufel,0.22995885,0.49222934
あなた,du,三番目,dritter,0.21230285,0.1797587
あなた,du,過去に,einst,0.21050291,0.36685836
あなた,du,始める,anfangen,0.20329978,0.33492804
あなた,du,呼び声,Ruf,0.2005399,0.004409328
あなた,du,裏返す,wenden,0.1937619,0.15179569
あなた,du,裏返す,umdrehen,0.1937619,0.32669505
あなた,du,お願いする,bitten,0.19330747,0.34996444
あなた,du,柔らかい,weich,0.18568441,0.25341257
あなた,du,フォーク,Gabel,0.17854719,0.49626556
あなた,du,見せる,zeigen,0.17732324,0.16977769
あなた,du,煙を出す,rauchen,0.17523836,0.30100644
あなた,du,増える,zunehmen,0.1711344,0.10637018
あなた,du,起こす,wecken,0.168597,0.20130056
あなた達,ihr,あなた達,ihr,1.0,1.0
あなた達,ihr,取っ手,Griff,0.2768955,0.25666502
あなた達,ihr,シャツ,Hemd,0.21480364,-0.04362711
あなた達,ihr,お嬢さん,Tochter,0.19911686,0.3966149
あなた達,ihr,狩りをする,jagen,0.19438538,0.28578386
あなた達,ihr,腹を立てる,sich ärgern,0.19373786,0.27562523
あなた達,ihr,ナイフ,Messer,0.19240968,0.35329086
あなた達,ihr,落とす,fallen lassen,0.19183594,0.32836613
あなた達,ihr,うめく,stöhnen,0.18295723,0.3812032
あなた達,ihr,育てる,aufziehen,0.18193528,0.42876166
あなた達,ihr,ほっそりした,schlank,0.17159705,0.37107906
あなた達,ihr,煙を出す,rauchen,0.1696237,0.30810392
あなた達,ihr,綺麗な,schön,0.16843875,0.47863296
あなた達,ihr,約束する,versprechen,0.16788837,0.37779677
あなた達,ihr,どのくらい,wieviel,0.16097544,0.27960947
あなた達,ihr,十一月,November,0.15522113,0.2738166
あなた達,ihr,フクロウ,Eule,0.1546551,0.04026035
あなた達,ihr,中に入る,eintreten,0.15465009,0.24927023
あなた達,ihr,一人で,allein,0.15448579,0.33675265
あなた達,ihr,平らな,flach,0.15097874,0.26418203
あなた達,ihr,呼吸する,atmen,0.14829901,0.38381904
あなた達,ihr,保護する,schützen,0.1479253,0.25335872
あなた達,ihr,揺れる,schwanken,0.14605734,0.31141445
あなた達,ihr,スプーン,Löffel,0.14152189,0.35222578
あなた達,ihr,食べてみる,probieren,0.1410763,0.33902562
あの時,damals,あの時,damals,0.9999999,1.0
あの時,damals,駄目な,schlecht,0.30204967,0.29030222
あの時,damals,止める,aufhören,0.26352504,0.30812377
あの時,damals,開いた,offen,0.25757018,0.29606682
あの時,damals,終わる,enden,0.238919,0.2790138
あの時,damals,染める,färben,0.22745746,0.36363003
あの時,damals,分ける,teilen,0.22648554,0.28708804
あの時,damals,ストーブ,Ofen,0.22423007,0.057257004
あの時,damals,結びつける,verbinden,0.21676293,0.2692483
あの時,damals,搾乳する,melken,0.21282028,0.14279917
あの時,damals,保存する,bewahren,0.21031159,0.26135397
あの時,damals,平らな,flach,0.20742849,0.2604456
あの時,damals,乾いた,trocken,0.20728208,0.23026344
あの時,damals,けちな,geizig,0.20716305,0.36572695
あの時,damals,黄色い,gelb,0.20568816,0.09046149
あの時,damals,バケツ,Eimer,0.200612,0.5181196
あの時,damals,溶ける,tauen,0.19837028,0.30249602
あの時,damals,溶ける,schmelzen,0.19837028,0.20309383
あの時,damals,有名な,bekannt,0.1953429,0.30644017
あの時,damals,有名な,berühmt,0.1953429,0.41044086
あの時,damals,閉まった,geschlossen,0.19340676,0.3996992
あの時,damals,揺れる,schwanken,0.18557492,0.22724278
あの時,damals,なめる,lecken,0.18408939,0.24412112
あの時,damals,器用な,geschickt,0.17985089,0.2633687
あの時,damals,据える,stellen,0.17591266,0.29715735
あの時,damals,助ける,retten,0.17522186,0.30539167
あの時,damals,どこに,wo,0.17462501,0.4062906
いっぱいにする,füllen,いっぱいにする,füllen,1.0000001,1.0
いっぱいにする,füllen,いっぱいの,voll,0.3176356,0.5502308
いっぱいにする,füllen,落とす,fallen lassen,0.25348154,0.60697746
いっぱいにする,füllen,キスする,küssen,0.23302373,0.6284335
いっぱいにする,füllen,ここへ,hierhin,0.23222491,0.57183516
いっぱいにする,füllen,飲み込む,schlucken,0.20866571,0.5613773
いっぱいにする,füllen,成功する,gelingen,0.20268704,0.57137877
いっぱいにする,füllen,揺れる,schwanken,0.1878536,0.43117517
いっぱいにする,füllen,気が付く,bemerken,0.18603744,0.7201375
いっぱいにする,füllen,据える,stellen,0.18568163,0.6917879
いっぱいにする,füllen,出発する,abfahren,0.17376247,0.43629062
いっぱいにする,füllen,伯父さん,Onkel,0.17175852,0.24167904
いっぱいにする,füllen,贈り物,Geschenk,0.1653946,0.0911075
いっぱいにする,füllen,震える,zittern,0.16484466,0.5098362
いっぱいにする,füllen,清潔な,sauber,0.15328023,0.64868975
いっぱいにする,füllen,ナイフ,Messer,0.15140387,0.5602362
いっぱいにする,füllen,雨が降る,regnen,0.15085931,0.8063016
いっぱいにする,füllen,終わり,Schluss,0.14965151,0.24042504
いっぱいにする,füllen,病気である,krank sein,0.14891517,0.4084019
いっぱいにする,füllen,耐える,ertragen,0.1472613,0.5817219
いっぱいにする,füllen,休養する,sich erholen,0.14564021,0.64363754
いっぱいにする,füllen,曲げる,biegen,0.14512725,0.5015155
いっぱいにする,füllen,労働者,Arbeiter,0.14262185,0.36977458
いっぱいにする,füllen,朽ちる,verfaulen,0.14020559,0.4658131
いっぱいにする,füllen,どのくらい,wieviel,0.13822484,0.09625245
いっぱいの,voll,いっぱいの,voll,1.0000001,1.0
いっぱいの,voll,いっぱいにする,füllen,0.3176356,0.5502308
いっぱいの,voll,ゆとり,Platz,0.29770824,0.19951278
いっぱいの,voll,終わり,Schluss,0.27883455,0.22998375
いっぱいの,voll,成功する,gelingen,0.2656432,0.45484507
いっぱいの,voll,スカーフ,Tuch,0.25477636,-0.050082225
いっぱいの,voll,変える,ändern,0.25333604,0.52958727
いっぱいの,voll,とんとん叩く,klopfen,0.23229258,0.6280398
