src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-たい,want,-たい,want,0.99999994,1.0
-たい,want,病気になる,fall ill,0.26737878,0.23414251
-たい,want,閉まった,closed,0.2512156,0.2106728
-たい,want,ストーブ,stove,0.24752921,0.30219653
-たい,want,お嬢さん,daughter,0.23640038,0.18237399
-たい,want,～だけ,only,0.22220697,0.29133195
-たい,want,呼び声,call,0.21207494,0.38988703
-たい,want,裕福な,rich,0.19401585,0.2339673
-たい,want,きゃんきゃん鳴く,howl,0.19021438,0.12569438
-たい,want,到着する,arrive,0.18880087,0.3288132
-たい,want,気が付く,notice,0.17832346,0.32725435
-たい,want,元気になる,recover,0.17142497,0.20508866
-たい,want,止まる,stop,0.16961917,0.50081444
-たい,want,あの時,at that time,0.16708402,0.29918134
-たい,want,そちら,there,0.16445251,0.24530357
-たい,want,真ん中,middle,0.16381726,0.20786646
-たい,want,揺さぶる,jolt,0.16370147,0.07799526
-たい,want,揺さぶる,shake,0.16370147,0.5201161
-たい,want,認識する,recognize,0.15973571,0.38917398
-たい,want,起こる,happen,0.15766078,0.6011613
-たい,want,ズボン,trousers,0.15729827,0.3856521
-たい,want,水をやる,water,0.15554515,0.11301993
-たい,want,カップ,cup,0.14853022,0.16776505
-たい,want,呼吸する,breathe,0.14777437,0.48991206
-たい,want,集める,gather,0.14398667,0.3697974
-たい,want,どこでも,everywhere,0.14218818,0.5927746
あなた,you,あなた,you,0.99999994,1.0
あなた,you,あなた,thou,0.99999994,0.5477669
あなた,thou,あなた,you,0.99999994,0.5477669
あなた,thou,あなた,thou,0.99999994,1.0
あなた,you,バケツ,bucket,0.3310496,0.3583454
あなた,thou,バケツ,bucket,0.3310496,0.31853795
あなた,you,励ます,urge,0.30433962,0.54248154
あなた,thou,励ます,urge,0.30433962,0.41684264
あなた,you,感じる,feel,0.25463605,0.67787415
あなた,thou,感じる,feel,0.25463605,0.5312378
あなた,you,疾駆する,dash,0.25401562,0.28146207
あなた,thou,疾駆する,dash,0.25401562,0.36558658
あなた,you,盲目の,blind,0.25120932,0.34811935
あなた,thou,盲目の,blind,0.25120932,0.32852826
あなた,you,加える,add,0.24737076,0.32871538
あなた,thou,加える,add,0.24737076,0.37674057
あなた,you,最初に,at first,0.24501328,0.30752453
あなた,thou,最初に,at first,0.24501328,0.31248194
あなた,you,器用な,skilful,0.24412152,0.37648475
あなた,thou,器用な,skilful,0.24412152,0.4846303
あなた,you,揺さぶる,jolt,0.24109592,0.15408993
あなた,you,揺さぶる,shake,0.24109592,0.5697013
あなた,thou,揺さぶる,jolt,0.24109592,0.0823376
あなた,thou,揺さぶる,shake,0.24109592,0.48233312
あなた,you,ペンキ,paint,0.23768595,0.30111423
あなた,thou,ペンキ,paint,0.23768595,0.4976642
あなた,you,数える,count,0.23415247,0.28375837
あなた,thou,数える,count,0.23415247,0.21025601
あなた,you,シャベル,shovel,0.22995885,0.32942784
あなた,thou,シャベル,shovel,0.22995885,0.31294537
あなた,you,三番目,third,0.21230285,0.23353867
あなた,thou,三番目,third,0.21230285,0.10940359
あなた,you,過去に,once,0.21050291,0.29090458
あなた,thou,過去に,once,0.21050291,0.32982826
あなた,you,始める,start,0.20329978,0.26086986
あなた,thou,始める,start,0.20329978,0.35441053
あなた,you,呼び声,call,0.2005399,0.4591948
あなた,thou,呼び声,call,0.2005399,0.27365556
あなた,you,裏返す,turn,0.1937619,0.2873537
あなた,you,裏返す,turn around,0.1937619,0.4223982
あなた,thou,裏返す,turn,0.1937619,0.40334016
あなた,thou,裏返す,turn around,0.1937619,0.5073547
あなた,you,お願いする,request,0.19330747,0.23090217
あなた,thou,お願いする,request,0.19330747,0.14520723
あなた,you,柔らかい,soft,0.18568441,0.36801714
あなた,thou,柔らかい,soft,0.18568441,0.2412488
あなた,you,フォーク,fork,0.17854719,0.2487203
あなた,thou,フォーク,fork,0.17854719,0.23898691
あなた,you,見せる,show,0.17732324,0.39087793
あなた,thou,見せる,show,0.17732324,0.33219597
あなた,you,煙を出す,smoke,0.17523836,0.24393255
あなた,thou,煙を出す,smoke,0.17523836,0.28532502
あなた,you,増える,increase,0.1711344,0.12087004
あなた,thou,増える,increase,0.1711344,0.32678902
あなた,you,起こす,wake,0.168597,0.30386382
あなた,thou,起こす,wake,0.168597,0.36642683
あなた達,you,あなた達,you,1.0,1.0
あなた達,you,取っ手,handle,0.2768955,0.22776717
あなた達,you,シャツ,shirt,0.21480364,0.3468334
あなた達,you,お嬢さん,daughter,0.19911686,0.27125478
あなた達,you,狩りをする,hunt,0.19438538,0.2658338
あなた達,you,腹を立てる,be annoyed,0.19373786,0.32941604
あなた達,you,ナイフ,knife,0.19240968,0.3815409
あなた達,you,落とす,drop,0.19183594,0.2555624
あなた達,you,うめく,groan,0.18295723,0.15419245
あなた達,you,育てる,bring up,0.18193528,0.30049175
あなた達,you,ほっそりした,slim,0.17159705,0.43185896
あなた達,you,煙を出す,smoke,0.1696237,0.24393255
あなた達,you,綺麗な,beautiful,0.16843875,0.48186576
あなた達,you,約束する,promise,0.16788837,0.4062373
あなた達,you,どのくらい,how much,0.16097544,0.4111843
あなた達,you,十一月,November,0.15522113,0.14418489
あなた達,you,フクロウ,owl,0.1546551,0.4907
あなた達,you,中に入る,enter,0.15465009,0.23896338
あなた達,you,一人で,alone,0.15448579,0.38095802
あなた達,you,平らな,flat,0.15097874,0.24285837
あなた達,you,呼吸する,breathe,0.14829901,0.52665174
あなた達,you,保護する,protect,0.1479253,0.3090042
あなた達,you,揺れる,sway,0.14605734,0.26484686
あなた達,you,スプーン,spoon,0.14152189,0.5487115
あなた達,you,食べてみる,taste,0.1410763,0.49105448
あの時,at that time,あの時,at that time,0.9999999,1.0
あの時,at that time,駄目な,bad,0.30204967,0.33139822
あの時,at that time,止める,stop,0.26352504,0.4120503
あの時,at that time,開いた,open,0.25757018,0.21794894
あの時,at that time,終わる,end,0.238919,0.37940753
あの時,at that time,染める,dye,0.22745746,0.38751847
あの時,at that time,分ける,divide,0.22648554,0.20829831
あの時,at that time,ストーブ,stove,0.22423007,0.4295223
あの時,at that time,結びつける,connect,0.21676293,0.28495288
あの時,at that time,搾乳する,milk,0.21282028,0.1976871
あの時,at that time,保存する,preserve,0.21031159,0.15053836
あの時,at that time,平らな,flat,0.20742849,0.24471176
あの時,at that time,乾いた,dry,0.20728208,0.2562301
あの時,at that time,けちな,stingy,0.20716305,0.23278014
あの時,at that time,黄色い,yellow,0.20568816,0.1778264
あの時,at that time,バケツ,bucket,0.200612,0.4731
あの時,at that time,溶ける,thaw,0.19837028,0.4835488
あの時,at that time,溶ける,melt,0.19837028,0.32732317
あの時,at that time,有名な,familiar,0.1953429,0.3122286
あの時,at that time,有名な,famous,0.1953429,0.31717426
あの時,at that time,閉まった,closed,0.19340676,0.29566377
あの時,at that time,揺れる,sway,0.18557492,0.37532327
あの時,at that time,なめる,lick,0.18408939,0.40618357
あの時,at that time,器用な,skilful,0.17985089,0.31151217
あの時,at that time,据える,put,0.17591266,0.25782084
あの時,at that time,助ける,rescue,0.17522186,0.33167267
あの時,at that time,どこに,where,0.17462501,0.29033455
いっぱいにする,fill,いっぱいにする,fill,1.0000001,1.0
いっぱいにする,fill,いっぱいの,full,0.3176356,0.3807497
いっぱいにする,fill,落とす,drop,0.25348154,0.3866603
いっぱいにする,fill,キスする,kiss,0.23302373,0.35296923
いっぱいにする,fill,ここへ,hither,0.23222491,0.4431332
いっぱいにする,fill,飲み込む,swallow,0.20866571,0.44774562
いっぱいにする,fill,成功する,succeed,0.20268704,0.33029565
いっぱいにする,fill,揺れる,sway,0.1878536,0.38446915
いっぱいにする,fill,気が付く,notice,0.18603744,0.36684856
いっぱいにする,fill,据える,put,0.18568163,0.29269958
いっぱいにする,fill,出発する,depart,0.17376247,0.27723563
いっぱいにする,fill,伯父さん,uncle,0.17175852,0.21438253
いっぱいにする,fill,贈り物,gift,0.1653946,0.23240694
いっぱいにする,fill,震える,tremble,0.16484466,0.44893706
いっぱいにする,fill,清潔な,clean,0.15328023,0.3116393
いっぱいにする,fill,ナイフ,knife,0.15140387,0.33561105
いっぱいにする,fill,雨が降る,rain,0.15085931,0.1940626
いっぱいにする,fill,終わり,conclusion,0.14965151,0.2548633
いっぱいにする,fill,病気である,be ill,0.14891517,0.15290439
いっぱいにする,fill,耐える,endure,0.1472613,0.27018785
いっぱいにする,fill,休養する,relax,0.14564021,0.40510416
いっぱいにする,fill,曲げる,bend,0.14512725,0.32000148
いっぱいにする,fill,労働者,worker,0.14262185,0.19063851
いっぱいにする,fill,朽ちる,decay,0.14020559,0.17561829
いっぱいにする,fill,どのくらい,how much,0.13822484,0.36555964
いっぱいの,full,いっぱいの,full,1.0000001,1.0
いっぱいの,full,いっぱいにする,fill,0.3176356,0.3807497
いっぱいの,full,ゆとり,space,0.29770824,0.42052191
いっぱいの,full,終わり,conclusion,0.27883455,0.31693873
いっぱいの,full,成功する,succeed,0.2656432,0.14105724
いっぱいの,full,スカーフ,scarf,0.25477636,0.26556396
いっぱいの,full,変える,alter,0.25333604,0.29675612
いっぱいの,full,とんとん叩く,knock,0.23229258,0.23193246
いっぱいの,full,約束する,promise,0.20425054,0.27294642
いっぱいの,full,伸びる,grow,0.18415317,0.09064981
いっぱいの,full,上げる,give,0.18090154,0.2809035
いっぱいの,full,フクロウ,owl,0.17900097,0.22227845
いっぱいの,full,ぴかぴか光る,sparkle,0.1776911,0.18381914
いっぱいの,full,どのくらい,how much,0.17462859,0.29959175
いっぱいの,full,寝付く,fall asleep,0.17421237,0.25126368
いっぱいの,full,無駄に,in vain,0.16566445,0.297498
いっぱいの,full,以前の,former,0.16498369,0.16397622
いっぱいの,full,恐れる,be afraid of,0.1634653,0.28150517
いっぱいの,full,逃げる,flee,0.16122352,0.19029438
いっぱいの,full,かばん,bag,0.15790023,0.33323538
いっぱいの,full,耐える,endure,0.15515825,0.3483325
いっぱいの,full,病気である,be ill,0.15250811,-0.025961336
いっぱいの,full,ブーツ,boot,0.14302486,0.33985132
いっぱいの,full,年齢,age,0.13909878,0.13685644
いっぱいの,full,カップ,cup,0.13858823,0.22082946
いつも,always,いつも,always,1.0000001,1.0
いつも,always,ように見える,seem,0.27975655,0.6455665
いつも,always,そちら,there,0.27315846,0.480403
いつも,always,どこでも,everywhere,0.26512975,0.6270039
いつも,always,損傷する,damage,0.23124836,0.1314125
いつも,always,切り取る,cut off,0.20882869,-0.105454534
いつも,always,止まる,stop,0.20207758,0.31656578
いつも,always,通して,through,0.20014465,0.260468
いつも,always,見知らぬ,foreign,0.1999907,0.24774179
いつも,always,小さい,little,0.19184782,0.57535434
いつも,always,準備する,prepare,0.19128147,0.35322765
いつも,always,間もなく,soon,0.18767388,0.15531896
いつも,always,計算する,calculate,0.18100883,0.4409963
いつも,always,静けさ,calm,0.17413633,0.57200956
いつも,always,伯父さん,uncle,0.16923842,0.42271876
いつも,always,裕福な,rich,0.16886725,0.40751177
いつも,always,助ける,rescue,0.16590817,0.16746362
いつも,always,入浴する,bath,0.15905479,0.11611155
いつも,always,シャツ,shirt,0.15747504,0.37751096
いつも,always,かかと,heel,0.15176228,0.31885502
いつも,always,放牧する,herd,0.14742771,0.38353118
いつも,always,座らせる,place,0.14394057,0.32574266
いつも,always,引っ掻く,scrape,0.14286885,0.36469442
いつも,always,開ける,open,0.1424795,0.27599263
いつも,always,間違い,mistake,0.1413063,0.6180645
うめく,groan,うめく,groan,1.0,1.0
うめく,groan,感情を動かす,move,0.27068728,0.05826072
うめく,groan,掛ける,hang up,0.22245449,0.23135294
うめく,groan,労働者,worker,0.21592169,-0.03153252
うめく,groan,約束する,promise,0.20463276,0.040860035
うめく,groan,キスする,kiss,0.2025977,0.094607964
うめく,groan,小さい,little,0.19686286,0.02531619
うめく,groan,放牧する,herd,0.1966527,-0.18337163
うめく,groan,干し草,hay,0.1966506,0.07147737
うめく,groan,期待する,wait for,0.1935357,0.15101841
うめく,groan,変わる,change,0.19321954,0.007072039
うめく,groan,見知らぬ,foreign,0.19140522,-0.05774044
うめく,groan,以前の,former,0.18795289,-0.001649417
うめく,groan,一緒に,together,0.1851522,-0.033894993
うめく,groan,案内する,guide,0.18509187,0.20754619
うめく,groan,あなた達,you,0.18295725,0.15419245
うめく,groan,無駄に,in vain,0.1811365,0.10135138
うめく,groan,軽微する,guard,0.17970827,0.21221513
うめく,groan,病気である,be ill,0.1733723,0.08477194
うめく,groan,酸っぱい,sour,0.17163317,0.110060796
うめく,groan,どのくらい,how much,0.16966666,-0.056022525
うめく,groan,数える,count,0.16102475,-0.06989119
うめく,groan,ここから,hence,0.1598117,-0.012668759
うめく,groan,修理する,mend,0.15627031,0.22895774
うめく,groan,寝付く,fall asleep,0.15579024,0.06155012
おじいさん,grandfather,おじいさん,grandfather,1.0000001,1.0
おじいさん,grandfather,挙げる,raise,0.27584866,0.218227
おじいさん,grandfather,長い間,long,0.26798424,0.16293104
おじいさん,grandfather,燃える,burn,0.261931,0.13406302
おじいさん,grandfather,通して,through,0.25871983,0.20951352
おじいさん,grandfather,閉める,close,0.22270192,0.3374462
おじいさん,grandfather,灰色の,grey,0.22046499,0.18633223
おじいさん,grandfather,邪魔する,bother,0.21538413,0.5838531
おじいさん,grandfather,目が覚める,wake up,0.20584416,0.36246324
おじいさん,grandfather,息子さん,son,0.2027749,0.7040067
おじいさん,grandfather,洗濯する,wash,0.19903654,0.19998606
おじいさん,grandfather,製造する,produce,0.19007106,0.14011037
おじいさん,grandfather,明るい,bright,0.18528368,0.3433638
おじいさん,grandfather,始める,start,0.1727512,0.15177003
おじいさん,grandfather,開いた,open,0.1706423,0.09453727
おじいさん,grandfather,入浴する,bath,0.16789156,0.26751235
おじいさん,grandfather,強力な,powerful,0.16743244,0.20229693
おじいさん,grandfather,励ます,urge,0.16629839,0.12714991
おじいさん,grandfather,伝える,convey,0.16173522,0.26986644
おじいさん,grandfather,ベルト,belt,0.15807116,0.20367974
おじいさん,grandfather,食べる,eat,0.15107174,0.18602896
おじいさん,grandfather,二番目,second,0.15050428,0.15852086
おじいさん,grandfather,煙を出す,smoke,0.14924255,0.02067155
おじいさん,grandfather,増える,increase,0.14885409,0.08123449
おじいさん,grandfather,別れる,separate,0.14724904,0.023670582
おじいさん,grandfather,別れる,leave,0.14724904,0.28778198
おばあさん,grandmother,おばあさん,grandmother,1.0000001,1.0
おばあさん,grandmother,ひどい,nasty,0.29632667,0.4481447
おばあさん,grandmother,逆巻く,roar,0.2691071,0.39147073
おばあさん,grandmother,愛する,love,0.2634906,0.5371642
おばあさん,grandmother,好きである,like,0.24008404,0.20855677
おばあさん,grandmother,けちな,stingy,0.23669156,0.10094947
おばあさん,grandmother,伝える,convey,0.23464988,0.31352592
おばあさん,grandmother,病気になる,fall ill,0.22470571,0.29063103
おばあさん,grandmother,正しい,correct,0.22110987,0.1990692
おばあさん,grandmother,干し草,hay,0.20970605,0.42334294
おばあさん,grandmother,ストーブ,stove,0.19906436,0.41134328
おばあさん,grandmother,二番目,second,0.19623081,0.27697352
おばあさん,grandmother,破壊する,destroy,0.19448906,0.28355613
おばあさん,grandmother,スカーフ,scarf,0.19418694,0.5243717
おばあさん,grandmother,新聞,newspaper,0.18331042,0.20889789
おばあさん,grandmother,ちょっと,a little,0.17923926,0.45765713
おばあさん,grandmother,終わり,conclusion,0.17722015,0.236395
おばあさん,grandmother,豊かさ,wealth,0.17032133,0.41475216
おばあさん,grandmother,搾乳する,milk,0.16949154,0.27780777
おばあさん,grandmother,無くす,lose,0.16738173,0.287829
おばあさん,grandmother,預かる,keep,0.16289082,0.31026447
おばあさん,grandmother,上がる,rise,0.16192934,0.2506827
おばあさん,grandmother,勉強する,learn,0.15899426,0.422939
おばあさん,grandmother,終える,finish,0.15804376,0.26706594
おばあさん,grandmother,オール,oar,0.1573456,-0.12021441
お嬢さん,daughter,お嬢さん,daughter,1.0000001,1.0
お嬢さん,daughter,きゃんきゃん鳴く,howl,0.27034372,-0.053471606
お嬢さん,daughter,呼吸する,breathe,0.259988,0.2377376
お嬢さん,daughter,出会う,meet,0.25794744,0.24397205
お嬢さん,daughter,一緒に,together,0.2533714,0.30907312
お嬢さん,daughter,ここから,hence,0.2439141,0.30815193
お嬢さん,daughter,長い間,long,0.24377365,0.10995838
お嬢さん,daughter,ちょっと,a little,0.2390916,0.3680969
お嬢さん,daughter,-たい,want,0.23640043,0.18237399
お嬢さん,daughter,止める,stop,0.21985371,0.11326401
お嬢さん,daughter,怒らせる,annoy,0.21696518,0.2618897
お嬢さん,daughter,元気になる,recover,0.20706508,0.32906222
お嬢さん,daughter,ヘラジカ,elk,0.20529988,0.41267684
お嬢さん,daughter,あなた達,you,0.19911689,0.27125478
お嬢さん,daughter,下がる,drop,0.19557509,0.09605353
