src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-たい,tahtma,-たい,tahtma,0.99999994,1.0
-たい,tahtma,病気になる,haigestuma,0.26737878,0.63038117
-たい,tahtma,病気になる,haigeks jääma,0.26737878,0.62850296
-たい,tahtma,閉まった,suletud,0.2512156,0.5946309
-たい,tahtma,ストーブ,ahi,0.24752921,-0.13333023
-たい,tahtma,お嬢さん,tütar,0.23640038,-0.026895195
-たい,tahtma,～だけ,ainult,0.22220697,0.61989987
-たい,tahtma,呼び声,hüüe,0.21207494,-0.09839851
-たい,tahtma,裕福な,rikas,0.19401585,0.5978824
-たい,tahtma,きゃんきゃん鳴く,uluma,0.19021438,0.61945736
-たい,tahtma,到着する,saabuma,0.18880087,0.4192148
-たい,tahtma,気が付く,märkama,0.17832346,0.8284381
-たい,tahtma,元気になる,toibuma,0.17142497,0.7778704
-たい,tahtma,止まる,peatuma,0.16961917,0.7191083
-たい,tahtma,あの時,tookord,0.16708402,0.6844628
-たい,tahtma,そちら,seal,0.16445251,0.4293411
-たい,tahtma,真ん中,keskpaik,0.16381726,0.54342735
-たい,tahtma,揺さぶる,raputama,0.16370147,0.39940885
-たい,tahtma,揺さぶる,raputama,0.16370147,0.39940885
-たい,tahtma,揺さぶる,loksutama,0.16370147,0.4446653
-たい,tahtma,認識する,ära tundma,0.15973571,0.5405201
-たい,tahtma,起こる,juhtuma,0.15766078,0.78140736
-たい,tahtma,ズボン,püksid,0.15729827,0.66810346
-たい,tahtma,水をやる,kastma,0.15554515,0.45861924
-たい,tahtma,カップ,tass,0.14853022,0.50258654
-たい,tahtma,呼吸する,hingama,0.14777437,0.72859955
-たい,tahtma,集める,koguma,0.14398667,0.6245315
-たい,tahtma,集める,korjama,0.14398667,0.41133463
-たい,tahtma,どこでも,kõikjal,0.14218818,0.78612036
あなた,sina,あなた,sina,0.99999994,1.0
あなた,sina,バケツ,pang,0.3310496,0.116244674
あなた,sina,バケツ,ämber,0.3310496,0.23243727
あなた,sina,励ます,ergutama,0.30433962,0.20874615
あなた,sina,感じる,tundma,0.25463605,0.35633478
あなた,sina,疾駆する,kihutama,0.25401562,0.26667866
あなた,sina,疾駆する,tormama,0.25401562,0.24703652
あなた,sina,盲目の,pime,0.25120932,0.5468967
あなた,sina,加える,lisama,0.24737076,0.5267064
あなた,sina,最初に,enne,0.24501328,0.14790963
あなた,sina,最初に,esmalt,0.24501328,0.47757024
あなた,sina,器用な,osav,0.24412152,0.24925627
あなた,sina,揺さぶる,raputama,0.24109592,0.2218296
あなた,sina,揺さぶる,raputama,0.24109592,0.2218296
あなた,sina,揺さぶる,loksutama,0.24109592,0.34022576
あなた,sina,ペンキ,värv,0.23768595,-0.11926478
あなた,sina,数える,loendama,0.23415247,0.2751214
あなた,sina,シャベル,kühvel,0.22995885,0.29973155
あなた,sina,三番目,kolmas,0.21230285,0.2697616
あなた,sina,過去に,vanasti,0.21050291,0.5765324
あなた,sina,始める,hakkama,0.20329978,0.3376819
あなた,sina,始める,alustama,0.20329978,0.18238164
あなた,sina,呼び声,hüüe,0.2005399,-0.37028182
あなた,sina,裏返す,ümber pöörama,0.1937619,0.2948798
あなた,sina,裏返す,ümber keerama,0.1937619,0.32927448
あなた,sina,お願いする,paluma,0.19330747,0.27318007
あなた,sina,柔らかい,pehme,0.18568441,0.650169
あなた,sina,フォーク,kahvel,0.17854719,0.29366928
あなた,sina,見せる,näitama,0.17732324,0.34052867
あなた,sina,煙を出す,suitsema,0.17523836,0.3717737
あなた,sina,増える,kasvama,0.1711344,0.50297064
あなた,sina,起こす,äratama,0.168597,0.34531125
あなた達,te,あなた達,te,1.0,1.0
あなた達,te,取っ手,sang,0.2768955,0.47032702
あなた達,te,取っ手,käepide,0.2768955,0.7464844
あなた達,te,シャツ,särk,0.21480364,0.047909223
あなた達,te,お嬢さん,tütar,0.19911686,0.006603807
あなた達,te,狩りをする,jahtima,0.19438538,0.60856354
あなた達,te,腹を立てる,ärrituma,0.19373786,0.7197227
あなた達,te,腹を立てる,vihastuma,0.19373786,0.7847277
あなた達,te,ナイフ,nuga,0.19240968,0.8128143
あなた達,te,落とす,maha pillama,0.19183594,0.44692588
あなた達,te,落とす,kukkuda laskma,0.19183594,0.79534507
あなた達,te,うめく,oigama,0.18295723,0.91454023
あなた達,te,育てる,üles kasvatama,0.18193528,0.7060249
あなた達,te,ほっそりした,sale,0.17159705,0.8123373
あなた達,te,煙を出す,suitsema,0.1696237,0.65592617
あなた達,te,綺麗な,kena,0.16843875,0.025707765
あなた達,te,約束する,lubama,0.16788837,0.7287171
あなた達,te,約束する,tõotama,0.16788837,0.56050813
あなた達,te,どのくらい,mitu,0.16097544,0.5313977
あなた達,te,どのくらい,kui palju,0.16097544,0.67934525
あなた達,te,十一月,november,0.15522113,0.5563357
あなた達,te,フクロウ,kakk,0.1546551,0.759942
あなた達,te,フクロウ,öökull,0.1546551,0.63785934
あなた達,te,中に入る,sisenema,0.15465009,0.6892017
あなた達,te,中に入る,sisse astuma,0.15465009,0.78706694
あなた達,te,一人で,üksi,0.15448579,-0.07904593
あなた達,te,平らな,lame,0.15097874,0.70607114
あなた達,te,平らな,tasane,0.15097874,0.6935453
あなた達,te,呼吸する,hingama,0.14829901,0.9215878
あなた達,te,保護する,kaitsma,0.1479253,0.54202944
あなた達,te,揺れる,kõikuma,0.14605734,0.91775835
あなた達,te,スプーン,lusikas,0.14152189,0.60440964
あなた達,te,食べてみる,proovima,0.1410763,0.78652763
あの時,tookord,あの時,tookord,0.9999999,1.0
あの時,tookord,駄目な,halb,0.30204967,0.5078922
あの時,tookord,止める,lakkama,0.26352504,0.71401775
あの時,tookord,開いた,avatud,0.25757018,0.55565834
あの時,tookord,開いた,lahtine,0.25757018,0.7197726
あの時,tookord,終わる,lõppema,0.238919,0.70187646
あの時,tookord,染める,värvima,0.22745746,0.6848184
あの時,tookord,分ける,jagama,0.22648554,0.615255
あの時,tookord,分ける,jaotama,0.22648554,0.6421558
あの時,tookord,ストーブ,ahi,0.22423007,-0.05231685
あの時,tookord,結びつける,ühendama,0.21676293,0.7017689
あの時,tookord,搾乳する,lüpsma,0.21282028,-0.041854884
あの時,tookord,保存する,hoidma,0.21031159,0.6984156
あの時,tookord,平らな,lame,0.20742849,0.5546169
あの時,tookord,平らな,tasane,0.20742849,0.6009328
あの時,tookord,乾いた,kuiv,0.20728208,0.46463513
あの時,tookord,けちな,ihne,0.20716305,0.15524939
あの時,tookord,黄色い,kollane,0.20568816,0.5296261
あの時,tookord,バケツ,pang,0.200612,0.54293716
あの時,tookord,バケツ,ämber,0.200612,0.51015294
あの時,tookord,溶ける,sulama,0.19837028,0.59263784
あの時,tookord,溶ける,sulama,0.19837028,0.59263784
あの時,tookord,有名な,teada,0.1953429,0.5468966
あの時,tookord,有名な,tuttav,0.1953429,0.7358828
あの時,tookord,有名な,tuntud,0.1953429,0.47905564
あの時,tookord,閉まった,suletud,0.19340676,0.62408304
あの時,tookord,揺れる,kõikuma,0.18557492,0.6559431
あの時,tookord,なめる,lakkuma,0.18408939,0.72315633
あの時,tookord,器用な,osav,0.17985089,0.61974657
あの時,tookord,据える,panema,0.17591266,0.6051415
あの時,tookord,据える,asetama,0.17591266,0.58908045
あの時,tookord,助ける,päästma,0.17522186,0.75634396
あの時,tookord,どこに,kus,0.17462501,0.392479
いっぱいにする,täitma,いっぱいにする,täitma,1.0000001,1.0
いっぱいにする,täitma,いっぱいの,täis,0.3176356,-0.023853986
いっぱいにする,täitma,落とす,maha pillama,0.25348154,0.7433779
いっぱいにする,täitma,落とす,kukkuda laskma,0.25348154,0.9167214
いっぱいにする,täitma,キスする,suudlema,0.23302373,0.81896067
いっぱいにする,täitma,ここへ,siia,0.23222491,0.680455
いっぱいにする,täitma,飲み込む,neelama,0.20866571,0.7303524
いっぱいにする,täitma,成功する,õnnestuma,0.20268704,0.7092172
いっぱいにする,täitma,揺れる,kõikuma,0.1878536,0.80831707
いっぱいにする,täitma,気が付く,märkama,0.18603744,0.8530741
いっぱいにする,täitma,据える,panema,0.18568163,0.80393314
いっぱいにする,täitma,据える,asetama,0.18568163,0.84567595
いっぱいにする,täitma,出発する,väljuma,0.17376247,0.4956486
いっぱいにする,täitma,出発する,ära sõitma,0.17376247,0.99452525
いっぱいにする,täitma,伯父さん,onu,0.17175852,0.55598783
いっぱいにする,täitma,贈り物,kingitus,0.1653946,0.8668003
いっぱいにする,täitma,震える,värisema,0.16484466,0.629418
いっぱいにする,täitma,清潔な,puhas,0.15328023,0.6551176
いっぱいにする,täitma,ナイフ,nuga,0.15140387,0.75983137
いっぱいにする,täitma,雨が降る,sadama,0.15085931,0.6196854
いっぱいにする,täitma,終わり,lõpp,0.14965151,0.012283154
いっぱいにする,täitma,病気である,haige olema,0.14891517,0.8322606
いっぱいにする,täitma,耐える,taluma,0.1472613,0.8642955
いっぱいにする,täitma,休養する,puhkama,0.14564021,0.9238907
いっぱいにする,täitma,曲げる,painutama,0.14512725,0.73348546
いっぱいにする,täitma,労働者,tööline,0.14262185,0.54897624
いっぱいにする,täitma,朽ちる,mädanema,0.14020559,0.61902416
いっぱいにする,täitma,どのくらい,mitu,0.13822484,0.5917958
いっぱいにする,täitma,どのくらい,kui palju,0.13822484,0.5647619
いっぱいの,täis,いっぱいの,täis,1.0000001,1.0
いっぱいの,täis,いっぱいにする,täitma,0.3176356,-0.023853986
いっぱいの,täis,ゆとり,ruum,0.29770824,-0.0680787
いっぱいの,täis,終わり,lõpp,0.27883455,-0.15858376
いっぱいの,täis,成功する,õnnestuma,0.2656432,0.14707534
いっぱいの,täis,スカーフ,kalev,0.25477636,-0.01437003
いっぱいの,täis,変える,muutma,0.25333604,0.11922887
いっぱいの,täis,変える,ümber tegema,0.25333604,0.11783774
いっぱいの,täis,とんとん叩く,koputama,0.23229258,0.089261875
いっぱいの,täis,約束する,lubama,0.20425054,0.032054294
いっぱいの,täis,約束する,tõotama,0.20425054,0.14049582
いっぱいの,täis,伸びる,kasvama,0.18415317,-0.118611515
いっぱいの,täis,上げる,andma,0.18090154,0.030381277
いっぱいの,täis,フクロウ,kakk,0.17900097,-0.15975946
いっぱいの,täis,フクロウ,öökull,0.17900097,-0.03420885
いっぱいの,täis,ぴかぴか光る,sädelema,0.1776911,0.0917519
いっぱいの,täis,どのくらい,mitu,0.17462859,-0.18610182
いっぱいの,täis,どのくらい,kui palju,0.17462859,-0.048950687
いっぱいの,täis,寝付く,uinuma,0.17421237,-0.11341877
