src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-たい,vouloir,-たい,vouloir,0.99999994,1.0
-たい,vouloir,病気になる,tomber malade,0.26737878,0.4944701
-たい,vouloir,閉まった,clos,0.2512156,0.38685545
-たい,vouloir,閉まった,fermé,0.2512156,0.23214523
-たい,vouloir,ストーブ,poêle,0.24752921,-0.03544371
-たい,vouloir,お嬢さん,fille,0.23640038,0.22025776
-たい,vouloir,～だけ,seulement,0.22220697,0.31292018
-たい,vouloir,～だけ,ne ... que,0.22220697,0.07583329
-たい,vouloir,呼び声,cri,0.21207494,0.25145277
-たい,vouloir,呼び声,appel,0.21207494,0.48899385
-たい,vouloir,裕福な,riche,0.19401585,0.04883759
-たい,vouloir,きゃんきゃん鳴く,hurler,0.19021438,0.4213942
-たい,vouloir,到着する,arriver,0.18880087,0.46269813
-たい,vouloir,気が付く,remarquer,0.17832346,0.41816172
-たい,vouloir,気が付く,apercevoir,0.17832346,0.56499666
-たい,vouloir,元気になる,guérir,0.17142497,-0.08799355
-たい,vouloir,元気になる,se remettre,0.17142497,0.5505941
-たい,vouloir,止まる,s'arrêter,0.16961917,0.23501112
-たい,vouloir,あの時,alors,0.16708402,0.3168611
-たい,vouloir,あの時,à l'époque,0.16708402,0.29927984
-たい,vouloir,そちら,là,0.16445251,0.0
-たい,vouloir,そちら,là-bas,0.16445251,0.008215293
-たい,vouloir,真ん中,milieu,0.16381726,0.21227738
-たい,vouloir,揺さぶる,cahoter,0.16370147,0.48545486
-たい,vouloir,揺さぶる,secouer,0.16370147,0.4380188
-たい,vouloir,認識する,reconnaître,0.15973571,0.53876996
-たい,vouloir,起こる,se passer,0.15766078,0.53200924
-たい,vouloir,ズボン,pantalon,0.15729827,0.16463684
-たい,vouloir,水をやる,arroser,0.15554515,0.35049114
-たい,vouloir,カップ,tasse,0.14853022,0.28886074
-たい,vouloir,呼吸する,respirer,0.14777437,0.41492802
-たい,vouloir,集める,collectionner,0.14398667,0.42594546
-たい,vouloir,どこでも,partout,0.14218818,0.30254358
あなた,tu,あなた,tu,0.99999994,1.0
あなた,tu,あなた,toi,0.99999994,0.5319854
あなた,toi,あなた,tu,0.99999994,0.5319854
あなた,toi,あなた,toi,0.99999994,1.0
あなた,tu,バケツ,seau,0.3310496,0.27126327
あなた,toi,バケツ,seau,0.3310496,0.39430743
あなた,tu,励ます,pousser,0.30433962,0.3983112
あなた,toi,励ます,pousser,0.30433962,0.2803465
あなた,tu,感じる,sentir,0.25463605,0.3408504
あなた,toi,感じる,sentir,0.25463605,0.424681
あなた,tu,疾駆する,filer,0.25401562,0.41228387
あなた,toi,疾駆する,filer,0.25401562,0.43707627
あなた,tu,盲目の,aveugle,0.25120932,0.28062022
あなた,toi,盲目の,aveugle,0.25120932,0.39903164
あなた,tu,加える,ajouter,0.24737076,0.31507364
あなた,toi,加える,ajouter,0.24737076,0.34651083
あなた,tu,最初に,d'abord,0.24501328,0.4332807
あなた,tu,最初に,premièrement,0.24501328,0.34632257
あなた,toi,最初に,d'abord,0.24501328,0.34381893
あなた,toi,最初に,premièrement,0.24501328,0.29755637
あなた,tu,器用な,habile,0.24412152,0.24131322
あなた,toi,器用な,habile,0.24412152,0.35298073
あなた,tu,揺さぶる,cahoter,0.24109592,0.39895594
あなた,tu,揺さぶる,secouer,0.24109592,0.45394528
あなた,toi,揺さぶる,cahoter,0.24109592,0.35923624
あなた,toi,揺さぶる,secouer,0.24109592,0.36222947
あなた,tu,ペンキ,peinture,0.23768595,0.19438979
あなた,toi,ペンキ,peinture,0.23768595,0.07209155
あなた,tu,数える,compter,0.23415247,0.13979444
あなた,toi,数える,compter,0.23415247,0.12992421
あなた,tu,シャベル,pelle,0.22995885,0.1732404
あなた,toi,シャベル,pelle,0.22995885,0.22549477
あなた,tu,三番目,troisième,0.21230285,0.18852322
あなた,toi,三番目,troisième,0.21230285,0.19656776
あなた,tu,過去に,jadis,0.21050291,0.27067223
あなた,tu,過去に,autrefois,0.21050291,0.20152126
あなた,toi,過去に,jadis,0.21050291,0.2694785
あなた,toi,過去に,autrefois,0.21050291,0.25009108
あなた,tu,始める,commencer,0.20329978,0.39243555
あなた,toi,始める,commencer,0.20329978,0.3165989
あなた,tu,呼び声,cri,0.2005399,0.45375752
あなた,tu,呼び声,appel,0.2005399,0.14243299
あなた,toi,呼び声,cri,0.2005399,0.41589046
あなた,toi,呼び声,appel,0.2005399,0.31605026
あなた,tu,裏返す,retourner,0.1937619,0.33702028
あなた,tu,裏返す,tourner,0.1937619,0.34993207
あなた,toi,裏返す,retourner,0.1937619,0.39457494
あなた,toi,裏返す,tourner,0.1937619,0.4704508
あなた,tu,お願いする,prier,0.19330747,0.3373478
あなた,toi,お願いする,prier,0.19330747,0.46252275
あなた,tu,柔らかい,mou,0.18568441,0.25440732
あなた,toi,柔らかい,mou,0.18568441,0.20379198
あなた,tu,フォーク,fourchette,0.17854719,0.21905732
あなた,toi,フォーク,fourchette,0.17854719,0.30197984
あなた,tu,見せる,montrer,0.17732324,0.25957793
あなた,tu,見せる,faire voir,0.17732324,0.32374018
あなた,toi,見せる,montrer,0.17732324,0.37638718
あなた,toi,見せる,faire voir,0.17732324,0.34114042
あなた,tu,煙を出す,fumer,0.17523836,0.37151325
あなた,toi,煙を出す,fumer,0.17523836,0.35855642
あなた,tu,増える,augmenter,0.1711344,0.2096575
あなた,toi,増える,augmenter,0.1711344,0.113838285
あなた,tu,起こす,éveiller,0.168597,0.3054086
あなた,tu,起こす,réveiller,0.168597,0.30529106
あなた,toi,起こす,éveiller,0.168597,0.38488254
あなた,toi,起こす,réveiller,0.168597,0.38414127
あなた達,vous,あなた達,vous,1.0,0.99999994
あなた達,vous,取っ手,prise,0.2768955,0.19782808
あなた達,vous,取っ手,manche,0.2768955,0.26107335
あなた達,vous,シャツ,chemise,0.21480364,0.26024634
あなた達,vous,お嬢さん,fille,0.19911686,0.09115723
あなた達,vous,狩りをする,chasser,0.19438538,0.27669504
あなた達,vous,腹を立てる,se fâcher,0.19373786,0.3816216
あなた達,vous,ナイフ,couteau,0.19240968,0.38952166
あなた達,vous,落とす,lâcher,0.19183594,0.38479257
あなた達,vous,落とす,laisser tomber,0.19183594,0.4390964
あなた達,vous,うめく,gémir,0.18295723,-0.067150846
あなた達,vous,育てる,élever,0.18193528,0.44234252
あなた達,vous,ほっそりした,svelte,0.17159705,0.24498141
あなた達,vous,煙を出す,fumer,0.1696237,0.397408
あなた達,vous,綺麗な,beau,0.16843875,0.30683494
あなた達,vous,約束する,promettre,0.16788837,0.3603499
あなた達,vous,どのくらい,combien,0.16097544,0.4685682
あなた達,vous,十一月,novembre,0.15522113,0.20294546
あなた達,vous,フクロウ,hibou,0.1546551,0.3370043
あなた達,vous,中に入る,entrer,0.15465009,0.28511736
あなた達,vous,一人で,seul,0.15448579,0.21693176
あなた達,vous,平らな,plat,0.15097874,0.24923712
あなた達,vous,呼吸する,respirer,0.14829901,0.39722303
あなた達,vous,保護する,protéger,0.1479253,0.13615823
あなた達,vous,揺れる,osciller,0.14605734,0.32312083
あなた達,vous,揺れる,chanceler,0.14605734,0.3572635
あなた達,vous,スプーン,cuiller,0.14152189,0.3487881
あなた達,vous,食べてみる,goûter,0.1410763,0.01668213
あの時,alors,あの時,alors,0.9999999,1.0
あの時,alors,あの時,à l'époque,0.9999999,0.41016144
あの時,à l'époque,あの時,alors,0.9999999,0.41016144
あの時,à l'époque,あの時,à l'époque,0.9999999,1.0
あの時,alors,駄目な,mauvais,0.30204967,0.28317782
あの時,à l'époque,駄目な,mauvais,0.30204967,0.30690786
あの時,alors,止める,cesser,0.26352504,0.24777296
あの時,alors,止める,arrêter,0.26352504,-0.04093935
あの時,à l'époque,止める,cesser,0.26352504,0.2723826
あの時,à l'époque,止める,arrêter,0.26352504,-0.121629074
あの時,alors,開いた,ouvert,0.25757018,0.2582497
あの時,à l'époque,開いた,ouvert,0.25757018,0.38084906
あの時,alors,終わる,finir,0.238919,0.22691368
あの時,alors,終わる,se terminer,0.238919,0.3454919
あの時,à l'époque,終わる,finir,0.238919,0.28851572
あの時,à l'époque,終わる,se terminer,0.238919,0.38094032
あの時,alors,染める,teindre,0.22745746,0.30407727
あの時,à l'époque,染める,teindre,0.22745746,0.37539932
あの時,alors,分ける,diviser,0.22648554,0.3474021
あの時,à l'époque,分ける,diviser,0.22648554,0.3412532
あの時,alors,ストーブ,poêle,0.22423007,-0.014196798
あの時,à l'époque,ストーブ,poêle,0.22423007,0.0001250878
あの時,alors,結びつける,lier,0.21676293,0.20746236
あの時,à l'époque,結びつける,lier,0.21676293,0.35851938
あの時,alors,搾乳する,traire,0.21282028,0.14324488
あの時,à l'époque,搾乳する,traire,0.21282028,0.28253847
あの時,alors,保存する,préserver,0.21031159,0.17717096
あの時,à l'époque,保存する,préserver,0.21031159,0.162339
あの時,alors,平らな,plat,0.20742849,0.26301056
あの時,à l'époque,平らな,plat,0.20742849,0.3572994
あの時,alors,乾いた,sec,0.20728208,0.17907754
あの時,à l'époque,乾いた,sec,0.20728208,0.36557686
あの時,alors,けちな,avare,0.20716305,0.4706533
あの時,à l'époque,けちな,avare,0.20716305,0.4851315
あの時,alors,黄色い,jaune,0.20568816,0.20460202
あの時,à l'époque,黄色い,jaune,0.20568816,0.25393197
あの時,alors,バケツ,seau,0.200612,0.19140491
あの時,à l'époque,バケツ,seau,0.200612,0.39770585
あの時,alors,溶ける,dégeler,0.19837028,0.35073432
あの時,alors,溶ける,fondre,0.19837028,0.3253403
あの時,à l'époque,溶ける,dégeler,0.19837028,0.27722067
あの時,à l'époque,溶ける,fondre,0.19837028,0.4622844
あの時,alors,有名な,connu,0.1953429,0.2063304
あの時,alors,有名な,fameux,0.1953429,0.2578661
あの時,alors,有名な,célèbre,0.1953429,0.006002525
あの時,à l'époque,有名な,connu,0.1953429,0.43023595
あの時,à l'époque,有名な,fameux,0.1953429,0.5146681
あの時,à l'époque,有名な,célèbre,0.1953429,-0.0057997964
あの時,alors,閉まった,clos,0.19340676,0.17983693
あの時,alors,閉まった,fermé,0.19340676,0.12082523
あの時,à l'époque,閉まった,clos,0.19340676,0.3110513
あの時,à l'époque,閉まった,fermé,0.19340676,0.19018856
あの時,alors,揺れる,osciller,0.18557492,0.43633607
あの時,alors,揺れる,chanceler,0.18557492,0.36953765
あの時,à l'époque,揺れる,osciller,0.18557492,0.42972898
あの時,à l'époque,揺れる,chanceler,0.18557492,0.3403277
あの時,alors,なめる,lécher,0.18408939,0.19598435
あの時,à l'époque,なめる,lécher,0.18408939,0.18789025
あの時,alors,器用な,habile,0.17985089,0.29196155
あの時,à l'époque,器用な,habile,0.17985089,0.531312
あの時,alors,据える,poser,0.17591266,0.33233094
あの時,alors,据える,mettre,0.17591266,0.3256998
あの時,à l'époque,据える,poser,0.17591266,0.3361581
あの時,à l'époque,据える,mettre,0.17591266,0.25737748
あの時,alors,助ける,sauver,0.17522186,0.3439867
あの時,à l'époque,助ける,sauver,0.17522186,0.24525611
あの時,alors,どこに,où,0.17462501,0.0
あの時,à l'époque,どこに,où,0.17462501,0.0
いっぱいにする,remplir,いっぱいにする,remplir,1.0000001,0.99999994
いっぱいにする,remplir,いっぱいの,plein,0.3176356,0.3668961
いっぱいにする,remplir,いっぱいの,rempli,0.3176356,0.8609055
いっぱいにする,remplir,落とす,lâcher,0.25348154,0.5812178
いっぱいにする,remplir,落とす,laisser tomber,0.25348154,0.5923788
いっぱいにする,remplir,キスする,embrasser,0.23302373,0.5339872
いっぱいにする,remplir,ここへ,par ici,0.23222491,-0.007172564
いっぱいにする,remplir,飲み込む,avaler,0.20866571,0.41705495
いっぱいにする,remplir,成功する,réussir,0.20268704,0.6255598
いっぱいにする,remplir,揺れる,osciller,0.1878536,0.45099068
いっぱいにする,remplir,揺れる,chanceler,0.1878536,0.49280205
いっぱいにする,remplir,気が付く,remarquer,0.18603744,0.40876704
いっぱいにする,remplir,気が付く,apercevoir,0.18603744,0.68685484
いっぱいにする,remplir,据える,poser,0.18568163,0.5689933
いっぱいにする,remplir,据える,mettre,0.18568163,0.48303872
いっぱいにする,remplir,出発する,partir,0.17376247,0.16814004
