src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-たい,चाहना,-たい,चाहना,0.99999994,1.0
-たい,चाहना,病気になる,बीमार पड़ना,0.26737878,-8.556247e-05
-たい,चाहना,閉まった,बंद,0.2512156,-0.093080565
-たい,चाहना,ストーブ,चूल्हा,0.24752921,0.19530773
-たい,चाहना,お嬢さん,बेटी,0.23640038,-0.049970444
-たい,चाहना,お嬢さん,पुत्री,0.23640038,0.061334763
-たい,चाहना,～だけ,केवल,0.22220697,0.09753813
-たい,चाहना,～だけ,सिर्फ़,0.22220697,0.02225975
-たい,चाहना,呼び声,पुकार,0.21207494,-0.02125277
-たい,चाहना,呼び声,आह्वान,0.21207494,-0.18460584
-たい,चाहना,裕福な,धनी,0.19401585,-0.022726662
-たい,चाहना,裕福な,अमीर,0.19401585,-0.055803448
-たい,चाहना,きゃんきゃん鳴く,गुर्राना,0.19021438,-0.065622546
-たい,चाहना,到着する,पहुँचना,0.18880087,-0.014283694
-たい,चाहना,気が付く,ध्यान देना पर,0.17832346,0.028101124
-たい,चाहना,元気になる,ठीक हो जाना,0.17142497,-0.09556091
-たい,चाहना,元気になる,स्वस्थ हो जाना,0.17142497,-0.0694844
-たい,चाहना,止まる,रुकना,0.16961917,0.01636941
-たい,चाहना,止まる,खड़ा होना,0.16961917,-0.029310124
-たい,चाहना,あの時,उस समय,0.16708402,-0.042088468
-たい,चाहना,あの時,उन दिनों,0.16708402,-0.050320283
-たい,चाहना,そちら,उधर,0.16445251,-0.0228898
-たい,चाहना,そちら,वहाँ,0.16445251,-0.041826457
-たい,चाहना,真ん中,बीच,0.16381726,-0.18405193
-たい,चाहना,真ん中,मध्य,0.16381726,0.04715637
-たい,चाहना,揺さぶる,झकझोरना,0.16370147,-0.05138109
-たい,चाहना,揺さぶる,हिलाना,0.16370147,0.045934275
-たい,चाहना,認識する,पहचानना,0.15973571,-0.107953005
-たい,चाहना,起こる,होना,0.15766078,-0.058998547
-たい,चाहना,ズボン,पैंट,0.15729827,0.12654944
-たい,चाहना,ズボン,पतलून,0.15729827,0.021923369
-たい,चाहना,水をやる,सींचना,0.15554515,0.1041311
-たい,चाहना,カップ,प्याला,0.14853022,0.14806497
-たい,चाहना,呼吸する,साँस लेना,0.14777437,-0.15175381
-たい,चाहना,集める,जमा करना,0.14398667,-0.10779346
-たい,चाहना,どこでも,हर जगह,0.14218818,-0.10422597
-たい,चाहना,どこでも,हर स्थान,0.14218818,-0.09784292
あなた,तू,あなた,तू,0.99999994,0.0
あなた,तू,バケツ,बाल्टी,0.3310496,0.0
あなた,तू,励ます,हड़बड़ाना,0.30433962,0.0
あなた,तू,感じる,महसूस करना,0.25463605,0.0
あなた,तू,疾駆する,बड़ी तेज़ी से चलना,0.25401562,0.0
あなた,तू,盲目の,अंधा,0.25120932,0.0
あなた,तू,加える,जोड़ना,0.24737076,0.0
あなた,तू,最初に,पहले,0.24501328,0.0
あなた,तू,器用な,किशल,0.24412152,0.0
あなた,तू,揺さぶる,झकझोरना,0.24109592,0.0
あなた,तू,揺さぶる,हिलाना,0.24109592,0.0
あなた,तू,ペンキ,रंग,0.23768595,0.0
あなた,तू,ペンキ,वर्ण,0.23768595,0.0
あなた,तू,数える,गिनना,0.23415247,0.0
あなた,तू,シャベル,बेलचा,0.22995885,0.0
あなた,तू,シャベル,फावड़ा,0.22995885,0.0
あなた,तू,三番目,तीसरा,0.21230285,0.0
あなた,तू,過去に,एक दिन,0.21050291,0.0
あなた,तू,過去に,पहले कभी,0.21050291,0.0
あなた,तू,始める,शुरू करना,0.20329978,0.0
あなた,तू,呼び声,पुकार,0.2005399,0.0
あなた,तू,呼び声,आह्वान,0.2005399,0.0
あなた,तू,裏返す,पलटना,0.1937619,0.0
あなた,तू,裏返す,मोड़ना,0.1937619,0.0
あなた,तू,裏返す,घुमाना,0.1937619,0.0
あなた,तू,お願いする,माँगना से,0.19330747,0.0
あなた,तू,柔らかい,नरम,0.18568441,0.0
あなた,तू,柔らかい,मुलायम,0.18568441,0.0
あなた,तू,フォーク,काँटा,0.17854719,0.0
あなた,तू,見せる,दिखाना,0.17732324,0.0
あなた,तू,煙を出す,धुआँ उड़ाना,0.17523836,0.0
あなた,तू,増える,बढ़ना,0.1711344,0.0
あなた,तू,起こす,जगाना,0.168597,0.0
あなた達,तुम,あなた達,तुम,1.0,1.0
あなた達,तुम,取っ手,मूठ,0.2768955,0.09337448
あなた達,तुम,取っ手,हत्था,0.2768955,0.028463911
あなた達,तुम,シャツ,कुरता,0.21480364,-0.0021931622
あなた達,तुम,シャツ,क़मीज़,0.21480364,0.19965383
あなた達,तुम,お嬢さん,बेटी,0.19911686,0.046979934
あなた達,तुम,お嬢さん,पुत्री,0.19911686,0.0718092
あなた達,तुम,狩りをする,आखेट करना,0.19438538,-0.03544455
あなた達,तुम,狩りをする,शिकार करना,0.19438538,-0.06441857
あなた達,तुम,腹を立てる,चिढ़ना,0.19373786,-0.15508544
あなた達,तुम,腹を立てる,नाराज़ होना,0.19373786,0.040601455
あなた達,तुम,ナイフ,छुरा,0.19240968,0.022772033
あなた達,तुम,ナイフ,चाक़ू,0.19240968,-0.046203583
