src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
Abend,evening,Abend,evening,1.0,1.0
Abend,evening,Mittag,noon,0.5689231,0.37340897
Abend,evening,Samstag,Saturday,0.49524423,0.4885254
Abend,evening,morgen,tomorrow,0.47102517,0.35938078
Abend,evening,Sonntag,Sunday,0.46678817,0.475838
Abend,evening,Januar,January,0.45594367,0.40252966
Abend,evening,April,April,0.45379728,0.25396547
Abend,evening,Dezember,December,0.4536986,0.33388436
Abend,evening,sechzig,sixty,0.44963273,0.28325057
Abend,evening,Oktober,October,0.44429174,0.3484345
Abend,evening,Februar,February,0.44404137,0.31488833
Abend,evening,fünfzig,fifty,0.43830317,0.21387933
Abend,evening,Löffel,spoon,0.43007392,0.24651635
Abend,evening,Freitag,Friday,0.42835152,0.53600526
Abend,evening,November,November,0.42649102,0.3344121
Abend,evening,Montag,Monday,0.4123096,0.5011052
Abend,evening,Dienstag,Tuesday,0.41067165,0.4019749
Abend,evening,Genick,nape,0.41006666,0.31583923
Abend,evening,singen,sing,0.40150508,0.46391296
Abend,evening,Mitte,middle,0.39603162,0.24089801
Abend,evening,August,August,0.39598733,0.3867073
Abend,evening,neunzig,ninety,0.39424163,0.2819913
Abend,evening,sich unterhalten,chat,0.3896253,0.28797856
Abend,evening,Fingernagel,fingernail,0.38542962,0.16048487
Abend,evening,Tanne,fir,0.38033298,0.14000122
Abhang,slope,Abhang,slope,0.9999998,1.0
Abhang,slope,Genick,nape,0.62754744,0.47567365
Abhang,slope,Beutel,pouch,0.625929,0.17970416
Abhang,slope,blind,blind,0.6003395,0.21186882
Abhang,slope,Pfeil,arrow,0.5938336,0.26759216
Abhang,slope,Silber,silver,0.5529433,0.34376675
Abhang,slope,Zwiebel,onion,0.5493829,0.28591254
Abhang,slope,fett,fat,0.5406495,0.53251445
Abhang,slope,Volk,nation,0.5342285,0.23442373
Abhang,slope,Fell,fur,0.52722275,0.5166866
Abhang,slope,Knopf,button,0.51544,0.30406514
Abhang,slope,Regal,shelf,0.5123374,0.3164836
Abhang,slope,Milch,milk,0.51054907,0.35550267
Abhang,slope,Korn,grain,0.50877017,0.37765872
Abhang,slope,Schwarm,swarm,0.5077363,0.28096914
Abhang,slope,Wurzel,root,0.503554,0.2157254
Abhang,slope,Schulter,shoulder,0.50012016,0.3792802
Abhang,slope,verderben,spoil,0.49631792,0.28236035
Abhang,slope,Kehle,throat,0.49432528,0.49983793
Abhang,slope,stricken,knit,0.48763517,0.54064393
Abhang,slope,Ehemann,husband,0.47780883,0.37358356
Abhang,slope,Stamm,trunk,0.4772678,0.6191919
Abhang,slope,Geschenk,gift,0.47523892,0.29099017
Abhang,slope,wehen,blow,0.47371733,0.28846174
Abhang,slope,Deckel,cover,0.47305956,0.35147834
Abstand,gap,Abstand,gap,1.0000001,1.0
Abstand,gap,Verstand,mind,0.7083562,0.308743
Abstand,gap,schütteln,shake,0.65464276,0.31513643
Abstand,gap,Gegenstand,item,0.6499806,0.3644862
Abstand,gap,hinfallen,tumble,0.6452129,0.39200687
Abstand,gap,aufhängen,hang up,0.63936496,0.19573185
Abstand,gap,fallen,fall,0.6268741,0.1983285
Abstand,gap,kühl,cool,0.6016076,0.27554122
Abstand,gap,weich,soft,0.60047895,0.22679429
Abstand,gap,Fußboden,floor,0.5979429,0.32629102
Abstand,gap,Apfel,apple,0.59768635,0.21034187
Abstand,gap,stumpf,blunt,0.5973866,0.1853401
Abstand,gap,plötzlich,suddenly,0.59349006,0.34921438
Abstand,gap,schleifen,grind,0.58783895,0.29746276
Abstand,gap,vorwärts,forward,0.5864355,0.16278973
Abstand,gap,aufheben,pick up,0.58572835,0.16306308
Abstand,gap,schleppen,drag,0.5855013,0.31460953
Abstand,gap,sinken,drop,0.58456224,0.38262123
Abstand,gap,sich erheben,stand up,0.5830105,0.26005614
Abstand,gap,leer,empty,0.58259666,0.37932634
Abstand,gap,Gipfel,summit,0.58061934,0.36616147
Abstand,gap,fallen lassen,drop,0.5801275,0.38262123
Abstand,gap,Geist,spirit,0.57888705,0.14250413
Abstand,gap,Lagerfeuer,campfire,0.57755536,0.41559666
Abstand,gap,lecken,lick,0.5764637,0.11489785
Ader,vein,Ader,vein,1.0,1.0
Ader,vein,Schaum,foam,0.246897,0.0021572374
Ader,vein,Hase,hare,0.23318927,0.052651484
Ader,vein,Rohr,pipe,0.19810334,0.040316366
Ader,vein,Knie,knee,0.19502166,-0.06919917
Ader,vein,Ton,tone,0.19146052,0.049946133
Ader,vein,dumm,stupid,0.19086216,0.1415566
Ader,vein,Baum,tree,0.17746748,-0.015766814
Ader,vein,Spur,track,0.16432126,0.008674275
Ader,vein,Gott,god,0.15960604,-0.06182219
Ader,vein,Bär,bear,0.15139933,0.17138338
Ader,vein,niemals,never,0.13890238,0.08973935
Ader,vein,Juli,July,0.1334461,-0.0011148918
Ader,vein,Lehm,clay,0.132035,-0.01386057
Ader,vein,wieviel,how much,0.13192771,0.1790371
Ader,vein,Frau,woman,0.12943476,0.0027745757
Ader,vein,Elch,elk,0.12900531,0.08301081
Ader,vein,Fett,fat,0.12517636,0.12623581
Ader,vein,Zeh,toe,0.12468197,-0.024576038
Ader,vein,Honig,honey,0.11708261,-0.085576534
Ader,vein,Sehne,sinew,0.10917654,-0.062880196
Ader,vein,Haus,house,0.09974864,0.04984213
Ader,vein,Krähe,crow,0.09854375,-0.02043762
Ader,vein,Lust,desire,0.09822921,0.0021841973
Ader,vein,Schuh,shoe,0.09775903,0.0590545
Adler,eagle,Adler,eagle,1.0,1.0
Adler,eagle,Milch,milk,0.65140367,0.26416647
Adler,eagle,Klaue,claw,0.6283064,0.3507694
Adler,eagle,Lehrer,teacher,0.62075686,0.026106305
Adler,eagle,jung,young,0.5866584,0.10364012
Adler,eagle,lecker,delicious,0.5843902,0.3215016
Adler,eagle,Leber,liver,0.56994206,0.31343573
Adler,eagle,Funke,spark,0.5650212,0.23693943
Adler,eagle,klug,clever,0.5630156,0.2483995
Adler,eagle,Pfeil,arrow,0.56100327,0.15024415
Adler,eagle,Handtuch,towel,0.55471504,0.2872392
Adler,eagle,fleißig,diligent,0.5473337,0.27609932
Adler,eagle,Schlinge,noose,0.547299,0.28735888
Adler,eagle,Schulter,shoulder,0.5352737,0.21823004
Adler,eagle,Hunger,hunger,0.52793145,0.13883618
Adler,eagle,gelingen,succeed,0.52563715,0.08219326
Adler,eagle,Donner,thunder,0.5218173,0.1467438
Adler,eagle,Sommer,summer,0.51837015,0.1497832
Adler,eagle,Fehler,mistake,0.516804,0.26805657
Adler,eagle,sauer,sour,0.51475275,0.2062145
Adler,eagle,Deckel,cover,0.5104761,0.36723956
Adler,eagle,schwarz,black,0.5099272,0.42230642
Adler,eagle,Gelächter,laughter,0.50302815,0.23368357
Adler,eagle,süß,sweet,0.50259316,0.32717702
Adler,eagle,Kralle,claw,0.5013899,0.3507694
Alter,age,Alter,age,1.0000001,1.0
Alter,age,Schulter,shoulder,0.7575911,0.26423508
Alter,age,zwanzig,twenty,0.5244287,0.2080296
Alter,age,Lehrer,teacher,0.5226559,0.3799984
Alter,age,füttern,feed,0.5204437,0.25517514
Alter,age,hart,hard,0.50663143,0.22321874
Alter,age,geraten,turn out,0.50011915,0.33091995
Alter,age,krank werden,fall ill,0.4954883,0.07026722
Alter,age,Großvater,grandfather,0.4872364,0.23107585
Alter,age,Lagerfeuer,campfire,0.4796638,0.3058291
Alter,age,genesen,recover,0.47619414,0.2760682
Alter,age,krank sein,be ill,0.47432026,0.02503785
Alter,age,schwingen,swing,0.4727665,0.36362213
Alter,age,krank,sick,0.47211534,0.2818498
Alter,age,Großmutter,grandmother,0.4719132,0.25575796
Alter,age,plötzlich,suddenly,0.4699808,0.4028673
Alter,age,Genick,nape,0.4695344,0.40672794
Alter,age,verderben,spoil,0.46785358,0.05460182
Alter,age,hinfallen,tumble,0.46588662,0.34566987
Alter,age,Brett,board,0.46181703,0.17794278
Alter,age,geboren werden,be born,0.46105465,0.32294157
Alter,age,hineingehen,go in,0.45664895,0.23547477
Alter,age,Pfeil,arrow,0.4546326,0.23790184
Alter,age,schon,already,0.4534306,0.20978622
Alter,age,neunzig,ninety,0.45266357,0.39947897
Ameise,ant,Ameise,ant,1.0000001,1.0
Ameise,ant,Speise,dish,0.8373432,0.29296288
Ameise,ant,Junge,boy,0.5725313,0.35129908
Ameise,ant,Zunge,tongue,0.5711473,0.36805707
Ameise,ant,Knoten,knot,0.565345,0.33191025
Ameise,ant,lärmen,be noisy,0.56281334,-0.02951359
Ameise,ant,dünn,thin,0.5572403,0.2685526
Ameise,ant,fürchten,be afraid of,0.5570957,0.3524813
Ameise,ant,Leine,leash,0.556892,0.31860107
Ameise,ant,manchmal,sometimes,0.55463177,0.34855276
Ameise,ant,Schaden,damage,0.54223424,0.20445305
Ameise,ant,Magen,stomach,0.5353436,0.36550516
Ameise,ant,bezahlen,pay for,0.5320856,-0.030971395
Ameise,ant,warum,why,0.53187215,0.26655555
Ameise,ant,Menge,amount,0.5204271,0.32264343
Ameise,ant,sich fürchten,be afraid,0.5156292,0.36762166
Ameise,ant,Länge,length,0.5136351,0.31614774
Ameise,ant,Fußboden,floor,0.5131783,0.2958331
Ameise,ant,einladen,invite,0.51183325,0.32659876
Ameise,ant,Hitze,heat,0.51046544,0.23603949
Ameise,ant,flüchten,escape,0.50942165,0.23271911
Ameise,ant,Tasche,bag,0.50326556,0.18339944
Ameise,ant,stöhnen,groan,0.50025654,0.09199189
Ameise,ant,Geruch,odour,0.4983979,0.07651313
Ameise,ant,verschwinden,disappear,0.49238154,0.35130644
Angelegenheit,matter,Angelegenheit,matter,1.0,1.0
Angelegenheit,matter,Wolle,wool,0.617897,0.44400677
Angelegenheit,matter,Kälte,chill,0.59423137,0.30335552
Angelegenheit,matter,einladen,invite,0.569725,0.22974966
Angelegenheit,matter,Wahrheit,truth,0.56251365,0.4560012
Angelegenheit,matter,fragen,ask,0.5582338,0.5871521
Angelegenheit,matter,vorbereiten,prepare,0.55486685,0.19533882
Angelegenheit,matter,bewahren,preserve,0.5522633,0.46645373
Angelegenheit,matter,Hunger,hunger,0.5281978,0.4476075
Angelegenheit,matter,versprechen,promise,0.5275994,0.45897976
Angelegenheit,matter,sich fürchten,be afraid,0.5252806,0.4724754
