src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
Abend,õhtu,Abend,õhtu,1.0,0.99999994
Abend,õhtu,Mittag,lõuna,0.5689231,0.056077685
Abend,õhtu,Mittag,keskpäev,0.5689231,0.02112756
Abend,õhtu,Samstag,laupäev,0.49524423,0.23354721
Abend,õhtu,morgen,homme,0.47102517,0.05125673
Abend,õhtu,Sonntag,pühapäev,0.46678817,-0.038659833
Abend,õhtu,Januar,jaanuar,0.45594367,-0.062172137
Abend,õhtu,April,aprill,0.45379728,-0.055705473
Abend,õhtu,Dezember,detsember,0.4536986,-0.040471938
Abend,õhtu,sechzig,kuuskümmend,0.44963273,0.01927846
Abend,õhtu,Oktober,oktoober,0.44429174,-0.049731832
Abend,õhtu,Februar,veebruar,0.44404137,-0.05958439
Abend,õhtu,fünfzig,viiskümmend,0.43830317,0.0667069
Abend,õhtu,Löffel,lusikas,0.43007392,0.08274825
Abend,õhtu,Freitag,reede,0.42835152,0.09263658
Abend,õhtu,November,november,0.42649102,0.025628643
Abend,õhtu,Montag,esmaspäev,0.4123096,0.16590208
Abend,õhtu,Dienstag,teisipäev,0.41067165,0.0028295116
Abend,õhtu,Genick,kukal,0.41006666,0.07215825
Abend,õhtu,singen,laulma,0.40150508,-0.1001158
Abend,õhtu,Mitte,keskpaik,0.39603162,0.03520211
Abend,õhtu,August,august,0.39598733,0.16499901
Abend,õhtu,neunzig,üheksakümmend,0.39424163,0.10425864
Abend,õhtu,sich unterhalten,vestlema,0.3896253,0.0199745
Abend,õhtu,Fingernagel,küüs,0.38542962,0.11141033
Abend,õhtu,Tanne,nulg,0.38033298,0.019503169
Abhang,nõlvak,Abhang,nõlvak,0.9999998,1.0
Abhang,nõlvak,Genick,kukal,0.62754744,-0.079842225
Abhang,nõlvak,Beutel,paun,0.625929,-0.04354252
Abhang,nõlvak,blind,pime,0.6003395,0.11581951
Abhang,nõlvak,Pfeil,nool,0.5938336,-0.10489769
Abhang,nõlvak,Silber,hõbe,0.5529433,-0.28624645
Abhang,nõlvak,Zwiebel,sibul,0.5493829,0.09909445
Abhang,nõlvak,fett,rasvane,0.5406495,0.010939732
Abhang,nõlvak,Volk,rahvas,0.5342285,0.057840593
Abhang,nõlvak,Fell,karvkate,0.52722275,0.06870374
Abhang,nõlvak,Fell,karusnahk,0.52722275,0.16090912
Abhang,nõlvak,Knopf,nööp,0.51544,-0.008805737
Abhang,nõlvak,Regal,riiul,0.5123374,0.02948016
Abhang,nõlvak,Milch,piim,0.51054907,0.020270582
Abhang,nõlvak,Korn,iva,0.50877017,0.16014266
Abhang,nõlvak,Korn,tera,0.50877017,-0.080220155
Abhang,nõlvak,Schwarm,parv,0.5077363,0.0595729
Abhang,nõlvak,Wurzel,juur,0.503554,0.13185306
Abhang,nõlvak,Schulter,õlg,0.50012016,0.008848909
Abhang,nõlvak,verderben,rikkuma,0.49631792,0.114642315
Abhang,nõlvak,Kehle,kõri,0.49432528,-0.091138646
Abhang,nõlvak,stricken,kuduma,0.48763517,0.0790157
Abhang,nõlvak,Ehemann,mees,0.47780883,-0.084300354
Abhang,nõlvak,Ehemann,abikaasa,0.47780883,0.056145355
Abhang,nõlvak,Stamm,tüvi,0.4772678,0.0355655
Abhang,nõlvak,Geschenk,kingitus,0.47523892,0.0288236
Abhang,nõlvak,wehen,puhuma,0.47371733,0.0026943497
Abhang,nõlvak,Deckel,kaas,0.47305956,0.036215216
Abstand,vahe,Abstand,vahe,1.0000001,1.0
Abstand,vahe,Verstand,aru,0.7083562,0.13870382
Abstand,vahe,Verstand,mõistus,0.7083562,0.2849524
Abstand,vahe,schütteln,raputama,0.65464276,0.21996696
Abstand,vahe,schütteln,loksutama,0.65464276,0.29794395
Abstand,vahe,Gegenstand,ese,0.6499806,0.2212781
Abstand,vahe,hinfallen,kukkuma,0.6452129,0.27862406
Abstand,vahe,hinfallen,maha kukkuma,0.6452129,0.3173172
Abstand,vahe,aufhängen,riputama,0.63936496,0.22789603
Abstand,vahe,fallen,langema,0.6268741,0.40730518
Abstand,vahe,kühl,jahe,0.6016076,0.41946715
Abstand,vahe,weich,pehme,0.60047895,0.4692214
Abstand,vahe,Fußboden,põrand,0.5979429,0.18931934
Abstand,vahe,Apfel,õun,0.59768635,0.14851359
Abstand,vahe,stumpf,nüri,0.5973866,0.21134545
Abstand,vahe,plötzlich,äkki,0.59349006,-0.18571047
Abstand,vahe,plötzlich,järsku,0.59349006,-0.107184716
Abstand,vahe,schleifen,lihvima,0.58783895,0.20728362
Abstand,vahe,schleifen,teritama,0.58783895,0.21886902
Abstand,vahe,vorwärts,edasi,0.5864355,0.3018123
Abstand,vahe,aufheben,üles tõstma,0.58572835,0.3319239
Abstand,vahe,schleppen,tassima,0.5855013,0.28949782
Abstand,vahe,schleppen,lohistama,0.5855013,0.19387203
Abstand,vahe,sinken,vajuma,0.58456224,0.2840368
Abstand,vahe,sinken,langema,0.58456224,0.40730518
Abstand,vahe,sich erheben,kerkima,0.5830105,0.36351418
Abstand,vahe,leer,tühi,0.58259666,0.04049768
Abstand,vahe,Gipfel,mäetipp,0.58061934,0.2557013
Abstand,vahe,fallen lassen,maha pillama,0.5801275,0.3584412
Abstand,vahe,fallen lassen,kukkuda laskma,0.5801275,0.24818069
Abstand,vahe,Geist,vaim,0.57888705,0.17555073
Abstand,vahe,Lagerfeuer,lõke,0.57755536,0.026594503
Abstand,vahe,lecken,lakkuma,0.5764637,0.27929935
Ader,veen,Ader,veen,1.0,1.0
Ader,veen,Schaum,vaht,0.246897,0.28070134
Ader,veen,Hase,jänes,0.23318927,-0.002225399
Ader,veen,Rohr,toru,0.19810334,0.3644435
Ader,veen,Knie,põlv,0.19502166,-0.048422482
Ader,veen,Ton,toon,0.19146052,0.32843858
Ader,veen,dumm,juhm,0.19086216,0.09217258
Ader,veen,dumm,rumal,0.19086216,0.52816606
Ader,veen,Baum,puu,0.17746748,0.37195134
Ader,veen,Spur,jälg,0.16432126,0.056901075
Ader,veen,Gott,jumal,0.15960604,0.52840066
Ader,veen,Bär,karu,0.15139933,0.28982165
Ader,veen,niemals,mitte kunagi,0.13890238,0.53706104
Ader,veen,Juli,juuli,0.1334461,0.25390348
Ader,veen,Lehm,savi,0.132035,0.31977844
Ader,veen,wieviel,mitu,0.13192771,0.15477583
Ader,veen,wieviel,kui palju,0.13192771,0.3219818
Ader,veen,Frau,naine,0.12943476,0.4839206
Ader,veen,Elch,põder,0.12900531,0.036716953
Ader,veen,Fett,rasv,0.12517636,0.45734084
Ader,veen,Zeh,varvas,0.12468197,0.30578813
Ader,veen,Honig,mesi,0.11708261,0.21387623
Ader,veen,Sehne,kõõlus,0.10917654,0.12323287
Ader,veen,Haus,maja,0.09974864,0.27229995
Ader,veen,Krähe,vares,0.09854375,0.20891593
Ader,veen,Lust,himu,0.09822921,0.030021805
Ader,veen,Schuh,king,0.09775903,0.2678592
Adler,kotkas,Adler,kotkas,1.0,1.0
Adler,kotkas,Milch,piim,0.65140367,0.36883277
Adler,kotkas,Klaue,küüs,0.6283064,-0.04769998
Adler,kotkas,Lehrer,õpetaja,0.62075686,0.34519938
Adler,kotkas,jung,noor,0.5866584,0.3366329
Adler,kotkas,lecker,hõrk,0.5843902,-0.08790511
Adler,kotkas,lecker,maitsev,0.5843902,0.28335613
Adler,kotkas,Leber,maks,0.56994206,0.3272559
