src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
Abend,soir,Abend,soir,1.0,0.99999994
Abend,soir,Abend,soirée,1.0,0.55272937
Abend,soirée,Abend,soir,1.0,0.55272937
Abend,soirée,Abend,soirée,1.0,1.0
Abend,soir,Mittag,midi,0.5689231,0.41912603
Abend,soirée,Mittag,midi,0.5689231,0.41052848
Abend,soir,Samstag,samedi,0.49524423,0.5620467
Abend,soirée,Samstag,samedi,0.49524423,0.47152165
Abend,soir,morgen,demain,0.47102517,0.41634783
Abend,soirée,morgen,demain,0.47102517,0.4089554
Abend,soir,Sonntag,dimanche,0.46678817,0.6994209
Abend,soirée,Sonntag,dimanche,0.46678817,0.3963433
Abend,soir,Januar,janvier,0.45594367,0.38681585
Abend,soirée,Januar,janvier,0.45594367,0.2917743
Abend,soir,April,avril,0.45379728,0.37268293
Abend,soirée,April,avril,0.45379728,0.38455063
Abend,soir,Dezember,décembre,0.4536986,0.4099183
Abend,soirée,Dezember,décembre,0.4536986,0.36528024
Abend,soir,sechzig,soixante,0.44963273,0.3746574
Abend,soirée,sechzig,soixante,0.44963273,0.34322336
Abend,soir,Oktober,octobre,0.44429174,0.37020767
Abend,soirée,Oktober,octobre,0.44429174,0.35016173
Abend,soir,Februar,février,0.44404137,0.35622197
Abend,soirée,Februar,février,0.44404137,0.2900698
Abend,soir,fünfzig,cinquante,0.43830317,0.43557376
Abend,soirée,fünfzig,cinquante,0.43830317,0.4985776
Abend,soir,Löffel,cuiller,0.43007392,0.4326148
Abend,soirée,Löffel,cuiller,0.43007392,0.25704676
Abend,soir,Freitag,vendredi,0.42835152,0.54587257
Abend,soirée,Freitag,vendredi,0.42835152,0.4838692
Abend,soir,November,novembre,0.42649102,0.3476556
Abend,soirée,November,novembre,0.42649102,0.3636796
Abend,soir,Montag,lundi,0.4123096,0.62254655
Abend,soirée,Montag,lundi,0.4123096,0.6419523
Abend,soir,Dienstag,mardi,0.41067165,0.48880276
Abend,soirée,Dienstag,mardi,0.41067165,0.37798676
Abend,soir,Genick,nuque,0.41006666,0.21054012
Abend,soirée,Genick,nuque,0.41006666,0.07593485
Abend,soir,singen,chanter,0.40150508,0.33185732
Abend,soirée,singen,chanter,0.40150508,0.39198217
Abend,soir,Mitte,milieu,0.39603162,0.31675795
Abend,soirée,Mitte,milieu,0.39603162,0.068907425
Abend,soir,August,août,0.39598733,0.36013216
Abend,soirée,August,août,0.39598733,0.3599508
Abend,soir,neunzig,quatre-vingt-dix,0.39424163,0.29661688
Abend,soirée,neunzig,quatre-vingt-dix,0.39424163,0.49249774
Abend,soir,sich unterhalten,bavarder,0.3896253,0.31661782
Abend,soir,sich unterhalten,s'entretenir,0.3896253,0.23000343
Abend,soirée,sich unterhalten,bavarder,0.3896253,0.32981306
Abend,soirée,sich unterhalten,s'entretenir,0.3896253,0.22766092
Abend,soir,Fingernagel,ongle,0.38542962,0.22697987
Abend,soirée,Fingernagel,ongle,0.38542962,0.28997505
Abend,soir,Tanne,sapin,0.38033298,0.39782047
Abend,soirée,Tanne,sapin,0.38033298,0.3674451
Abhang,pente,Abhang,pente,0.9999998,1.0
Abhang,pente,Abhang,versant,0.9999998,0.4340198
Abhang,versant,Abhang,pente,0.9999998,0.4340198
Abhang,versant,Abhang,versant,0.9999998,1.0
Abhang,pente,Genick,nuque,0.62754744,0.12621096
Abhang,versant,Genick,nuque,0.62754744,0.1876297
Abhang,pente,Beutel,sac,0.625929,0.3152976
Abhang,pente,Beutel,petit sac,0.625929,0.41287896
Abhang,versant,Beutel,sac,0.625929,0.34052923
Abhang,versant,Beutel,petit sac,0.625929,0.41520208
Abhang,pente,blind,aveugle,0.6003395,0.16845465
Abhang,versant,blind,aveugle,0.6003395,0.26053447
Abhang,pente,Pfeil,flèche,0.5938336,0.53078675
Abhang,versant,Pfeil,flèche,0.5938336,0.3454471
Abhang,pente,Silber,argent,0.5529433,0.3144274
Abhang,versant,Silber,argent,0.5529433,0.16396397
Abhang,pente,Zwiebel,oignon,0.5493829,0.24814188
Abhang,versant,Zwiebel,oignon,0.5493829,0.09685057
Abhang,pente,fett,gras,0.5406495,0.12963092
Abhang,versant,fett,gras,0.5406495,0.22278988
Abhang,pente,Volk,peuple,0.5342285,0.15599231
Abhang,versant,Volk,peuple,0.5342285,0.212786
Abhang,pente,Fell,peau,0.52722275,0.48214418
Abhang,versant,Fell,peau,0.52722275,0.3315583
Abhang,pente,Knopf,bouton,0.51544,0.29023057
Abhang,versant,Knopf,bouton,0.51544,0.34215206
Abhang,pente,Regal,étagère,0.5123374,0.58126044
Abhang,versant,Regal,étagère,0.5123374,0.4461539
Abhang,pente,Milch,lait,0.51054907,0.41639125
Abhang,versant,Milch,lait,0.51054907,0.4144519
Abhang,pente,Korn,grain,0.50877017,0.37097
Abhang,versant,Korn,grain,0.50877017,0.31752884
Abhang,pente,Schwarm,nuée,0.5077363,-0.16151586
Abhang,pente,Schwarm,volée,0.5077363,0.35276344
Abhang,versant,Schwarm,nuée,0.5077363,0.057895474
Abhang,versant,Schwarm,volée,0.5077363,0.45084542
Abhang,pente,Wurzel,racine,0.503554,0.27369916
Abhang,versant,Wurzel,racine,0.503554,0.21564838
Abhang,pente,Schulter,épaule,0.50012016,0.591552
Abhang,versant,Schulter,épaule,0.50012016,0.39215282
Abhang,pente,verderben,gâter,0.49631792,0.009165952
Abhang,pente,verderben,corrompre,0.49631792,0.24001956
Abhang,versant,verderben,gâter,0.49631792,-0.021495387
Abhang,versant,verderben,corrompre,0.49631792,0.351389
Abhang,pente,Kehle,gorge,0.49432528,0.51484793
Abhang,versant,Kehle,gorge,0.49432528,0.4673453
Abhang,pente,stricken,tricoter,0.48763517,0.33893916
Abhang,versant,stricken,tricoter,0.48763517,0.4031681
Abhang,pente,Ehemann,mari,0.47780883,0.060026772
Abhang,pente,Ehemann,époux,0.47780883,0.21843597
Abhang,versant,Ehemann,mari,0.47780883,0.23357397
Abhang,versant,Ehemann,époux,0.47780883,0.29354733
Abhang,pente,Stamm,tronc,0.4772678,0.22262678
Abhang,versant,Stamm,tronc,0.4772678,0.16219127
