src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
Abend,晩,Abend,晩,1.0,0.0
Abend,晩,Abend,夕方,1.0,0.0
Abend,夕方,Abend,晩,1.0,0.0
Abend,夕方,Abend,夕方,1.0,0.0
Abend,晩,Mittag,昼,0.5689231,0.0
Abend,夕方,Mittag,昼,0.5689231,0.0
Abend,晩,Samstag,土曜日,0.49524423,0.0
Abend,夕方,Samstag,土曜日,0.49524423,0.0
Abend,晩,morgen,明日,0.47102517,0.0
Abend,夕方,morgen,明日,0.47102517,0.0
Abend,晩,Sonntag,日曜日,0.46678817,0.0
Abend,夕方,Sonntag,日曜日,0.46678817,0.0
Abend,晩,Januar,一月,0.45594367,0.0
Abend,夕方,Januar,一月,0.45594367,0.0
Abend,晩,April,四月,0.45379728,0.0
Abend,夕方,April,四月,0.45379728,0.0
Abend,晩,Dezember,十二月,0.4536986,0.0
Abend,夕方,Dezember,十二月,0.4536986,0.0
Abend,晩,sechzig,六十,0.44963273,0.0
Abend,夕方,sechzig,六十,0.44963273,0.0
Abend,晩,Oktober,十月,0.44429174,0.0
Abend,夕方,Oktober,十月,0.44429174,0.0
Abend,晩,Februar,二月,0.44404137,0.0
Abend,夕方,Februar,二月,0.44404137,0.0
Abend,晩,fünfzig,五十,0.43830317,0.0
Abend,夕方,fünfzig,五十,0.43830317,0.0
Abend,晩,Löffel,スプーン,0.43007392,0.0
Abend,夕方,Löffel,スプーン,0.43007392,0.0
Abend,晩,Freitag,金曜日,0.42835152,0.0
Abend,夕方,Freitag,金曜日,0.42835152,0.0
Abend,晩,November,十一月,0.42649102,0.0
Abend,夕方,November,十一月,0.42649102,0.0
Abend,晩,Montag,月曜日,0.4123096,0.0
Abend,夕方,Montag,月曜日,0.4123096,0.0
Abend,晩,Dienstag,火曜日,0.41067165,0.0
Abend,夕方,Dienstag,火曜日,0.41067165,0.0
Abend,晩,Genick,首,0.41006666,0.0
Abend,夕方,Genick,首,0.41006666,0.0
Abend,晩,singen,歌う,0.40150508,0.0
Abend,夕方,singen,歌う,0.40150508,0.0
Abend,晩,Mitte,真ん中,0.39603162,0.0
Abend,夕方,Mitte,真ん中,0.39603162,0.0
Abend,晩,August,八月,0.39598733,0.0
Abend,夕方,August,八月,0.39598733,0.0
Abend,晩,neunzig,九十,0.39424163,0.0
Abend,夕方,neunzig,九十,0.39424163,0.0
Abend,晩,sich unterhalten,話をする,0.3896253,0.0
Abend,夕方,sich unterhalten,話をする,0.3896253,0.0
Abend,晩,Fingernagel,爪,0.38542962,0.0
Abend,夕方,Fingernagel,爪,0.38542962,0.0
Abend,晩,Tanne,樅,0.38033298,0.0
Abend,夕方,Tanne,樅,0.38033298,0.0
Abhang,斜面,Abhang,斜面,0.9999998,0.0
Abhang,斜面,Genick,首,0.62754744,0.0
Abhang,斜面,Beutel,袋,0.625929,0.0
Abhang,斜面,blind,盲目の,0.6003395,0.0
Abhang,斜面,Pfeil,矢,0.5938336,0.0
Abhang,斜面,Silber,銀,0.5529433,0.0
Abhang,斜面,Zwiebel,玉葱,0.5493829,0.0
Abhang,斜面,fett,太った,0.5406495,0.0
Abhang,斜面,Volk,民族,0.5342285,0.0
Abhang,斜面,Fell,毛皮,0.52722275,0.0
Abhang,斜面,Knopf,ボタン,0.51544,0.0
Abhang,斜面,Regal,棚,0.5123374,0.0
Abhang,斜面,Milch,牛乳,0.51054907,0.0
Abhang,斜面,Korn,粒,0.50877017,0.0
Abhang,斜面,Schwarm,群れ,0.5077363,0.0
Abhang,斜面,Wurzel,根,0.503554,0.0
Abhang,斜面,Schulter,肩,0.50012016,0.0
Abhang,斜面,verderben,台無しにする,0.49631792,0.0
Abhang,斜面,Kehle,喉,0.49432528,0.0
Abhang,斜面,stricken,編む,0.48763517,0.0
Abhang,斜面,Ehemann,夫,0.47780883,0.0
Abhang,斜面,Ehemann,主人,0.47780883,0.0
Abhang,斜面,Stamm,幹,0.4772678,0.0
Abhang,斜面,Geschenk,贈り物,0.47523892,0.0
Abhang,斜面,wehen,吹く,0.47371733,0.0
Abhang,斜面,Deckel,蓋,0.47305956,0.0
Abstand,距離,Abstand,距離,1.0000001,0.0
Abstand,距離,Verstand,理解力,0.7083562,0.0
Abstand,距離,schütteln,振る,0.65464276,0.0
Abstand,距離,schütteln,揺さぶる,0.65464276,0.0
Abstand,距離,Gegenstand,物件,0.6499806,0.0
Abstand,距離,hinfallen,転ぶ,0.6452129,0.0
Abstand,距離,aufhängen,掛ける,0.63936496,0.0
Abstand,距離,fallen,落ちる,0.6268741,0.0
Abstand,距離,kühl,涼しい,0.6016076,0.0
Abstand,距離,weich,柔らかい,0.60047895,0.0
Abstand,距離,Fußboden,床,0.5979429,0.0
Abstand,距離,Apfel,林檎,0.59768635,0.0
Abstand,距離,stumpf,鈍い,0.5973866,0.0
Abstand,距離,plötzlich,急に,0.59349006,0.0
Abstand,距離,schleifen,研ぐ,0.58783895,0.0
Abstand,距離,vorwärts,前へ,0.5864355,0.0
Abstand,距離,aufheben,拾う,0.58572835,0.0
Abstand,距離,schleppen,引きずる,0.5855013,0.0
Abstand,距離,sinken,下がる,0.58456224,0.0
Abstand,距離,sich erheben,立ち上がる,0.5830105,0.0
Abstand,距離,leer,空の,0.58259666,0.0
Abstand,距離,Gipfel,頂上,0.58061934,0.0
Abstand,距離,fallen lassen,落とす,0.5801275,0.0
Abstand,距離,Geist,精神,0.57888705,0.0
Abstand,距離,Lagerfeuer,篝火,0.57755536,0.0
Abstand,距離,lecken,なめる,0.5764637,0.0
Ader,血管,Ader,血管,1.0,0.0
Ader,血管,Schaum,泡,0.246897,0.0
Ader,血管,Hase,兎,0.23318927,0.0
Ader,血管,Rohr,管,0.19810334,0.0
Ader,血管,Knie,膝,0.19502166,0.0
Ader,血管,Ton,音,0.19146052,0.0
Ader,血管,dumm,馬鹿な,0.19086216,0.0
Ader,血管,Baum,木,0.17746748,0.0
Ader,血管,Spur,跡,0.16432126,0.0
Ader,血管,Gott,神,0.15960604,0.0
Ader,血管,Bär,熊,0.15139933,0.0
Ader,血管,niemals,一度も...ない,0.13890238,0.0
Ader,血管,Juli,七月,0.1334461,0.0
Ader,血管,Lehm,ローム,0.132035,0.0
Ader,血管,wieviel,どのくらい,0.13192771,0.0
Ader,血管,Frau,女,0.12943476,0.0
Ader,血管,Frau,女性,0.12943476,0.0
Ader,血管,Elch,ヘラジカ,0.12900531,0.0
Ader,血管,Fett,脂肪,0.12517636,0.0
Ader,血管,Zeh,足の指,0.12468197,0.0
Ader,血管,Honig,蜂蜜,0.11708261,0.0
Ader,血管,Sehne,腱,0.10917654,0.0
Ader,血管,Haus,家,0.09974864,0.0
Ader,血管,Krähe,烏,0.09854375,0.0
Ader,血管,Lust,気,0.09822921,0.0
Ader,血管,Schuh,靴,0.09775903,0.0
Adler,鷲,Adler,鷲,1.0,0.0
Adler,鷲,Milch,牛乳,0.65140367,0.0
Adler,鷲,Klaue,鉤爪,0.6283064,0.0
Adler,鷲,Lehrer,先生,0.62075686,0.0
Adler,鷲,jung,若い,0.5866584,0.0
Adler,鷲,lecker,美味しい,0.5843902,0.0
Adler,鷲,Leber,肝臓,0.56994206,0.0
Adler,鷲,Funke,火花,0.5650212,0.0
Adler,鷲,klug,賢い,0.5630156,0.0
Adler,鷲,klug,頭のいい,0.5630156,0.0
Adler,鷲,Pfeil,矢,0.56100327,0.0
Adler,鷲,Handtuch,タオル,0.55471504,0.0
Adler,鷲,fleißig,勤勉な,0.5473337,0.0
Adler,鷲,Schlinge,輪,0.547299,0.0
Adler,鷲,Schulter,肩,0.5352737,0.0
Adler,鷲,Hunger,空腹,0.52793145,0.0
Adler,鷲,gelingen,成功する,0.52563715,0.0
Adler,鷲,Donner,雷,0.5218173,0.0
Adler,鷲,Sommer,夏,0.51837015,0.0
Adler,鷲,Fehler,間違い,0.516804,0.0
Adler,鷲,sauer,酸っぱい,0.51475275,0.0
Adler,鷲,Deckel,蓋,0.5104761,0.0
Adler,鷲,schwarz,黒い,0.5099272,0.0
Adler,鷲,Gelächter,笑い,0.50302815,0.0
Adler,鷲,süß,甘い,0.50259316,0.0
Adler,鷲,Kralle,爪,0.5013899,0.0
Alter,年,Alter,年,1.0000001,0.0
Alter,年,Alter,年齢,1.0000001,0.0
Alter,年齢,Alter,年,1.0000001,0.0
Alter,年齢,Alter,年齢,1.0000001,1.0
Alter,年,Schulter,肩,0.7575911,0.0
Alter,年齢,Schulter,肩,0.7575911,0.0
Alter,年,zwanzig,二十,0.5244287,0.0
Alter,年齢,zwanzig,二十,0.5244287,0.0
Alter,年,Lehrer,先生,0.5226559,0.0
Alter,年齢,Lehrer,先生,0.5226559,0.0
Alter,年,füttern,餌をやる,0.5204437,0.0
Alter,年齢,füttern,餌をやる,0.5204437,0.06794806
Alter,年,hart,堅い,0.50663143,0.0
Alter,年齢,hart,堅い,0.50663143,0.0
Alter,年,geraten,当たる,0.50011915,0.0
Alter,年齢,geraten,当たる,0.50011915,0.020912455
Alter,年,krank werden,病気になる,0.4954883,0.0
Alter,年齢,krank werden,病気になる,0.4954883,0.04141847
Alter,年,Großvater,祖父,0.4872364,0.0
Alter,年,Großvater,おじいさん,0.4872364,0.0
Alter,年齢,Großvater,祖父,0.4872364,0.4385629
Alter,年齢,Großvater,おじいさん,0.4872364,0.048764646
Alter,年,Lagerfeuer,篝火,0.4796638,0.0
