src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
April,aprill,April,aprill,1.0000001,1.0
April,aprill,February,veebruar,0.74839634,0.7585237
April,aprill,November,november,0.73710865,0.73512316
April,aprill,December,detsember,0.7311475,0.78796184
April,aprill,October,oktoober,0.7180678,0.78156626
April,aprill,September,september,0.7046387,0.8450541
April,aprill,August,august,0.6830222,0.66369593
April,aprill,January,jaanuar,0.6186014,0.86531425
April,aprill,autumn,sügis,0.53682536,-0.049989972
April,aprill,Friday,reede,0.48423898,0.483021
April,aprill,Thursday,neljapäev,0.48040742,0.1878261
April,aprill,Tuesday,teisipäev,0.4453754,0.16315962
April,aprill,spring,kevad,0.4390901,0.30192024
April,aprill,Saturday,laupäev,0.40879703,0.48147845
April,aprill,March,märts,0.40705705,0.026603725
April,aprill,Monday,esmaspäev,0.4061186,0.23168764
April,aprill,morning,hommik,0.37695992,0.54452187
April,aprill,pike,haug,0.3728838,0.18652926
April,aprill,night,öö,0.3661851,0.0
April,aprill,Wednesday,kesknädal,0.36289722,0.24151412
April,aprill,month,kuu,0.3311249,0.300377
April,aprill,fog,udu,0.33003944,0.2643135
April,aprill,forehead,otsmik,0.3285568,0.012347981
April,aprill,Sunday,pühapäev,0.32649937,0.028029308
April,aprill,begin,algama,0.32055977,0.3827438
April,aprill,begin,hakkama,0.32055977,0.25838542
August,august,August,august,1.0,1.0
August,august,September,september,0.86804193,0.6764307
August,august,October,oktoober,0.8328768,0.65210664
August,august,November,november,0.8022118,0.6148554
August,august,December,detsember,0.77862304,0.6093837
August,august,February,veebruar,0.73541737,0.6464158
August,august,January,jaanuar,0.70648557,0.60138243
August,august,April,aprill,0.68302214,0.66369593
August,august,autumn,sügis,0.51089174,0.18454137
August,august,Thursday,neljapäev,0.5090693,0.18577734
August,august,spring,kevad,0.4930626,0.32464406
August,august,March,märts,0.48175406,-0.032822352
August,august,fog,udu,0.47633982,0.18611163
August,august,morning,hommik,0.4692175,0.47191173
August,august,forehead,otsmik,0.45415342,0.011310831
August,august,filth,saast,0.4408866,0.20260131
August,august,filth,mustus,0.4408866,0.2693478
August,august,eleven,üksteist,0.43082806,0.20389336
August,august,Tuesday,teisipäev,0.42463875,0.15224546
August,august,Friday,reede,0.42349404,0.35005537
August,august,Saturday,laupäev,0.4210212,0.4948134
August,august,oar,aer,0.41529036,0.09305353
August,august,year,aasta,0.40628356,0.32049763
August,august,afterwards,seejärel,0.39065906,0.050427265
August,august,take,võtma,0.3906442,0.04199637
August,august,place,paik,0.39044362,0.22960299
August,august,place,panema,0.39044362,0.17849854
December,detsember,December,detsember,1.0000001,1.0
December,detsember,November,november,0.936966,0.88717365
December,detsember,September,september,0.90052485,0.8937087
December,detsember,October,oktoober,0.8829655,0.7862084
December,detsember,February,veebruar,0.8321295,0.7547244
December,detsember,August,august,0.778623,0.6093837
December,detsember,January,jaanuar,0.76523423,0.85388553
December,detsember,April,aprill,0.73114747,0.78796184
December,detsember,autumn,sügis,0.4868784,0.011314735
December,detsember,Thursday,neljapäev,0.47825414,0.32784653
December,detsember,Saturday,laupäev,0.47376165,0.5187316
December,detsember,Friday,reede,0.47325003,0.39812583
December,detsember,morning,hommik,0.4609483,0.5735442
December,detsember,fog,udu,0.45164746,0.32748204
December,detsember,forehead,otsmik,0.44365132,-0.0057875365
December,detsember,spring,kevad,0.44340485,0.37804472
December,detsember,March,märts,0.43320766,0.08879216
December,detsember,turn out,jõudma,0.42422083,0.48223838
December,detsember,Tuesday,teisipäev,0.41376385,0.29110387
December,detsember,Monday,esmaspäev,0.4115418,0.18800256
December,detsember,winter,talv,0.41001067,0.43971875
December,detsember,stupid,juhm,0.3846573,-0.008619085
December,detsember,stupid,rumal,0.3846573,0.2600732
December,detsember,oar,aer,0.3731202,-0.026072845
December,detsember,filth,saast,0.36903703,0.25188187
December,detsember,filth,mustus,0.36903703,0.20275292
December,detsember,afterwards,seejärel,0.3630927,0.19819334
February,veebruar,February,veebruar,1.0,1.0
February,veebruar,January,jaanuar,0.8851744,0.7596029
February,veebruar,December,detsember,0.83212936,0.7547244
February,veebruar,November,november,0.8230101,0.66950953
February,veebruar,September,september,0.81125784,0.76827013
February,veebruar,October,oktoober,0.80533475,0.71556073
February,veebruar,April,aprill,0.7483962,0.7585237
February,veebruar,August,august,0.7354173,0.6464158
February,veebruar,autumn,sügis,0.508913,0.08967337
February,veebruar,Thursday,neljapäev,0.4634809,0.22279993
February,veebruar,forehead,otsmik,0.43972853,0.0031186193
February,veebruar,Tuesday,teisipäev,0.43509582,0.16997707
February,veebruar,Friday,reede,0.43363872,0.44683474
February,veebruar,spring,kevad,0.4224032,0.3394786
February,veebruar,March,märts,0.41063067,0.038116977
February,veebruar,in front of,ees,0.40088162,0.23706551
February,veebruar,Saturday,laupäev,0.38775912,0.48262584
February,veebruar,fog,udu,0.3866391,0.25692746
February,veebruar,oar,aer,0.3839156,-0.04535623
February,veebruar,morning,hommik,0.3780786,0.4984782
February,veebruar,summer,suvi,0.37594327,0.4485632
February,veebruar,afterwards,seejärel,0.3724504,0.11564795
February,veebruar,place,paik,0.36995965,0.20465207
February,veebruar,place,panema,0.36995965,0.2409177
February,veebruar,blunt,nüri,0.36821938,0.26832396
February,veebruar,begin,algama,0.36602494,0.36290067
February,veebruar,begin,hakkama,0.36602494,0.3134399
Friday,reede,Friday,reede,1.0,1.0
Friday,reede,Thursday,neljapäev,0.79691297,0.18507038
Friday,reede,Saturday,laupäev,0.78226066,0.42776507
Friday,reede,Tuesday,teisipäev,0.7350751,0.20404622
Friday,reede,Monday,esmaspäev,0.72878855,0.40643522
Friday,reede,Sunday,pühapäev,0.69723874,-0.1130033
Friday,reede,night,öö,0.66767514,0.0
Friday,reede,Wednesday,kesknädal,0.66367364,0.32750112
Friday,reede,morning,hommik,0.5603444,0.39097965
Friday,reede,broom,luud,0.5588526,0.2540256
Friday,reede,day,päev,0.5440772,-0.23175263
Friday,reede,at that time,tookord,0.5376822,0.5104023
Friday,reede,evening,õhtu,0.53600526,0.09263658
Friday,reede,fog,udu,0.5336719,0.26043952
Friday,reede,dirty,räpane,0.5169071,0.3299526
Friday,reede,dirty,määrdunud,0.5169071,0.28557405
Friday,reede,sky,taevas,0.51667565,0.311134
Friday,reede,year,aasta,0.51123375,0.23751135
Friday,reede,forehead,otsmik,0.5081655,-0.09066995
Friday,reede,smoke,suits,0.5036747,0.5379415
Friday,reede,smoke,suitsema,0.5036747,0.35258958
Friday,reede,autumn,sügis,0.49731398,0.06325355
Friday,reede,tomorrow,homme,0.49462184,0.39365748
Friday,reede,sit down,istet võtma,0.4943462,0.34311235
Friday,reede,thing,ese,0.4931646,0.28505462
Friday,reede,dream,unenägu,0.4927756,0.45560068
Friday,reede,wet,märg,0.48837742,-0.023578431
January,jaanuar,January,jaanuar,1.0000001,1.0
January,jaanuar,February,veebruar,0.88517445,0.7596029
January,jaanuar,October,oktoober,0.76648605,0.73868215
January,jaanuar,December,detsember,0.76523423,0.85388553
January,jaanuar,November,november,0.76377803,0.7454668
January,jaanuar,September,september,0.75447387,0.8413807
January,jaanuar,August,august,0.7064855,0.60138243
January,jaanuar,April,aprill,0.6186013,0.86531425
January,jaanuar,forehead,otsmik,0.5536316,0.020921052
January,jaanuar,Thursday,neljapäev,0.52118915,0.20827618
January,jaanuar,Tuesday,teisipäev,0.50893587,0.29093546
January,jaanuar,place,paik,0.50250113,0.16195397
January,jaanuar,place,panema,0.50250113,0.25732055
January,jaanuar,afterwards,seejärel,0.49262556,0.1938343
January,jaanuar,fog,udu,0.48157027,0.32141298
January,jaanuar,autumn,sügis,0.4798761,-0.05997046
January,jaanuar,spring,kevad,0.47087237,0.29884458
January,jaanuar,Friday,reede,0.46366018,0.4094289
January,jaanuar,oar,aer,0.45489702,-0.030874003
January,jaanuar,filth,saast,0.4525191,0.24757141
January,jaanuar,filth,mustus,0.4525191,0.18810838
January,jaanuar,wipe,puhtaks pühkima,0.45009398,0.15040883
January,jaanuar,cut off,ära lõikama,0.44096935,0.14369951
January,jaanuar,month,kuu,0.44006655,0.3031459
January,jaanuar,summer,suvi,0.43830016,0.43098706
January,jaanuar,Saturday,laupäev,0.4346065,0.45980963
January,jaanuar,begin,algama,0.43327627,0.3141013
January,jaanuar,begin,hakkama,0.43327627,0.2577278
July,juuli,July,juuli,1.0000001,1.0
July,juuli,beautiful,kena,0.19408748,0.21162644
July,juuli,heart,süda,0.19279851,0.16428554
July,juuli,spade,labidas,0.18897331,0.30446634
July,juuli,everything,kõik,0.18365881,-0.12013671
July,juuli,hair,juus,0.18336996,0.084616154
July,juuli,seek,otsima,0.16882306,0.27888417
July,juuli,give,andma,0.16154934,0.22653054
July,juuli,give,kinkima,0.16154934,0.4112926
July,juuli,net,võrk,0.16084395,-0.03312948
July,juuli,item,ese,0.15766408,0.23981485
July,juuli,wash,pesema,0.15668455,0.017453853
July,juuli,wash,end pesema,0.15668455,0.015212724
July,juuli,raise,tõstma,0.1535508,0.37462726
July,juuli,receive,saama,0.15169354,0.26159334
July,juuli,keep,säilitama,0.14550069,0.17496201
July,juuli,keep,alal hoidma,0.14550069,0.21987864
July,juuli,wake,äratama,0.1425094,0.1435129
July,juuli,wake up,ärkama,0.1382975,0.40811154
July,juuli,May,mai,0.13099784,0.74886775
July,juuli,lazy,laisk,0.12953089,0.14944872
July,juuli,alone,üksi,0.12914653,-0.06742997
July,juuli,because of,tõttu,0.12911133,-0.051627725
July,juuli,because of,pärast,0.12911133,0.20778772
July,juuli,add,lisama,0.12723732,0.10829843
July,juuli,instruct,õpetama,0.12623021,0.2044218
July,juuli,lose,kaotama,0.124908455,0.22400984
July,juuli,never,mitte kunagi,0.12487358,0.17386384
July,juuli,learn,õppima,0.12434739,0.19593391
June,juuni,June,juuni,1.0000001,1.0
June,juuni,seem,näida,0.70300865,0.005634472
June,juuni,seem,ilmuda,0.70300865,0.1623085
June,juuni,laughter,naer,0.68188715,-0.056435898
June,juuni,aunt,tädi,0.6799431,-0.011638574
June,juuni,go in,sisenema,0.6478141,0.4024776
June,juuni,go in,sisse minema,0.6478141,0.3777645
June,juuni,grandmother,vanaema,0.64361984,0.2844546
June,juuni,tumble,kukkuma,0.6314332,0.44917366
June,juuni,tumble,maha kukkuma,0.6314332,0.4807972
June,juuni,bother,ahistama,0.6224291,0.39457273
June,juuni,uncle,onu,0.6186398,0.20978731
June,juuni,friend,sõber,0.6113303,0.04672897
June,juuni,daughter,tütar,0.60626453,-0.0013621561
June,juuni,navel,naba,0.60591376,0.39060527
June,juuni,swamp,soo,0.59533936,0.3020341
June,juuni,pretty,kena,0.58851516,0.24384777
June,juuni,grind,lihvima,0.5861435,0.21508788
June,juuni,grind,teritama,0.5861435,0.2152934
June,juuni,wife,naine,0.58478683,0.22556102
June,juuni,wife,abikaasa,0.58478683,0.2575511
June,juuni,grandfather,vanaisa,0.5820398,0.26498726
June,juuni,diligent,virk,0.5815165,0.13562089
June,juuni,diligent,hoolas,0.5815165,0.1665163
June,juuni,mushroom,seen,0.58058876,0.10200791
June,juuni,grumble,sõimama,0.5740296,0.23076046
June,juuni,mother,ema,0.573847,0.29509506
June,juuni,nail,küüs,0.5654512,0.021678489
June,juuni,nail,nael,0.5654512,0.39936623
June,juuni,husband,mees,0.5619147,0.20402315
June,juuni,husband,abikaasa,0.5619147,0.2575511
June,juuni,be afraid,kartma,0.56114787,0.24403715
June,juuni,be afraid,hirmu tundma,0.56114787,0.3376714
June,juuni,hinder,takistama,0.55778164,0.25816947
March,märts,March,märts,1.0,1.0
March,märts,spring,kevad,0.51658064,0.18258321
March,märts,October,oktoober,0.5019164,0.072053105
March,märts,September,september,0.4850459,0.14708649
March,märts,August,august,0.481754,-0.032822352
March,märts,November,november,0.47372654,0.1297668
March,märts,December,detsember,0.43320766,0.08879216
March,märts,load,koorem,0.42069358,0.09653312
March,märts,size,suurus,0.41879594,0.09665309
March,märts,January,jaanuar,0.41242716,0.062074747
March,märts,Monday,esmaspäev,0.41168886,0.116561554
March,märts,home,kodu,0.41138074,0.02251547
March,märts,February,veebruar,0.4106307,0.038116977
March,märts,build,ehitama,0.40721148,-0.09423031
March,märts,April,aprill,0.407057,0.026603725
March,märts,strength,tugevus,0.40654284,0.09067768
March,märts,stream,voolama,0.40316507,0.19136824
March,märts,Sunday,pühapäev,0.39987725,-0.04457908
March,märts,bracket,tugi,0.39454463,0.24356739
March,märts,morning,hommik,0.38806388,0.132299
March,märts,ladder,redel,0.386405,0.2266591
March,märts,Thursday,neljapäev,0.37936422,0.16976924
March,märts,ground,maa,0.3771623,0.06817713
March,märts,ground,pinnas,0.3771623,0.06895201
March,märts,well,kaev,0.37681374,0.003317447
March,märts,Wednesday,kesknädal,0.3766134,0.1479108
May,mai,May,mai,0.99999994,1.0
May,mai,chair,tool,0.16943292,0.23047262
May,mai,glue,kleepima,0.16001903,0.26888353
May,mai,sew,õmblema,0.15416214,0.027327843
May,mai,skin,nahk,0.1509243,0.14370754
May,mai,pain,valu,0.14770256,0.1506181
May,mai,brain,aju,0.1326399,0.02684617
May,mai,shovel,kühvel,0.1314583,-0.16935603
May,mai,July,juuli,0.13099782,0.74886775
May,mai,heart,süda,0.12941837,0.26885867
May,mai,mountain,mägi,0.12839368,-0.26735103
May,mai,bright,hele,0.12423567,0.24752364
May,mai,boil,keema,0.12304774,-0.008103836
May,mai,boil,keetma,0.12304774,0.08873679
May,mai,lip,huul,0.122628495,0.15352635
May,mai,elk,põder,0.122061245,0.077765316
May,mai,height,kõrgus,0.12163142,0.25511777
May,mai,talk,kõne,0.121418886,0.1119552
May,mai,talk,vestlus,0.121418886,0.32735145
May,mai,talk,kõnelema,0.121418886,0.16077739
May,mai,coal,süsi,0.1211272,-0.06974718
May,mai,vein,veen,0.12053689,0.24816981
May,mai,twelve,kaksteist,0.11844716,0.32182097
May,mai,stingy,ihne,0.11472693,0.16166443
May,mai,soil,maa,0.111729056,0.11367099
May,mai,soil,pinnas,0.111729056,0.19705129
May,mai,meaning,tähendus,0.10792601,0.13101968
May,mai,village,küla,0.10695919,-0.112541705
May,mai,fence,aed,0.105536304,0.12589562
May,mai,fence,tara,0.105536304,0.39763045
Monday,esmaspäev,Monday,esmaspäev,1.0,0.99999994
Monday,esmaspäev,Sunday,pühapäev,0.9342944,0.103225514
Monday,esmaspäev,Thursday,neljapäev,0.82743603,0.43499318
Monday,esmaspäev,Tuesday,teisipäev,0.7557675,0.35518408
Monday,esmaspäev,Friday,reede,0.72878855,0.40643522
Monday,esmaspäev,Saturday,laupäev,0.7232895,0.59021914
Monday,esmaspäev,Wednesday,kesknädal,0.6947063,0.47362044
Monday,esmaspäev,spring,kevad,0.5813055,0.46782523
Monday,esmaspäev,night,öö,0.5731098,0.0
Monday,esmaspäev,morning,hommik,0.55530494,0.5004349
Monday,esmaspäev,fog,udu,0.55435866,0.4585206
Monday,esmaspäev,at that time,tookord,0.5228079,0.40072373
Monday,esmaspäev,twenty,kakskümmend,0.5047022,0.44223619
Monday,esmaspäev,evening,õhtu,0.5011053,0.16590208
