src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
April,avril,April,avril,1.0000001,1.0
April,avril,February,février,0.74839634,0.8360305
April,avril,November,novembre,0.73710865,0.82143134
April,avril,December,décembre,0.7311475,0.8481312
April,avril,October,octobre,0.7180678,0.7965972
April,avril,September,septembre,0.7046387,0.8599739
April,avril,August,août,0.6830222,0.8288319
April,avril,January,janvier,0.6186014,0.80341005
April,avril,autumn,automne,0.53682536,0.44606513
April,avril,Friday,vendredi,0.48423898,0.4519818
April,avril,Thursday,jeudi,0.48040742,0.5033066
April,avril,Tuesday,mardi,0.4453754,0.4223889
April,avril,spring,printemps,0.4390901,0.35191458
April,avril,Saturday,samedi,0.40879703,0.4495639
April,avril,March,mars,0.40705705,0.87611187
April,avril,Monday,lundi,0.4061186,0.47521526
April,avril,morning,matin,0.37695992,0.43448335
April,avril,morning,matinée,0.37695992,0.39167088
April,avril,pike,brochet,0.3728838,0.22236519
April,avril,night,nuit,0.3661851,0.15216026
April,avril,Wednesday,mercredi,0.36289722,0.5155005
April,avril,month,mois,0.3311249,0.39663076
April,avril,fog,brume,0.33003944,0.077547416
April,avril,fog,brouillard,0.33003944,0.10033853
April,avril,forehead,front,0.3285568,0.1779058
April,avril,Sunday,dimanche,0.32649937,0.30650926
April,avril,begin,commencer,0.32055977,0.3281067
August,août,August,août,1.0,1.0
August,août,September,septembre,0.86804193,0.8812897
August,août,October,octobre,0.8328768,0.8540515
August,août,November,novembre,0.8022118,0.8566649
August,août,December,décembre,0.77862304,0.851225
August,août,February,février,0.73541737,0.78561836
August,août,January,janvier,0.70648557,0.8355269
August,août,April,avril,0.68302214,0.8288319
August,août,autumn,automne,0.51089174,0.53082377
August,août,Thursday,jeudi,0.5090693,0.5340245
August,août,spring,printemps,0.4930626,0.4248218
August,août,March,mars,0.48175406,0.80778944
August,août,fog,brume,0.47633982,0.093211725
August,août,fog,brouillard,0.47633982,0.07160933
August,août,morning,matin,0.4692175,0.42229515
August,août,morning,matinée,0.4692175,0.42952785
August,août,forehead,front,0.45415342,0.23531507
August,août,filth,crotte,0.4408866,0.17257194
August,août,eleven,onze,0.43082806,0.46544474
August,août,Tuesday,mardi,0.42463875,0.3978508
August,août,Friday,vendredi,0.42349404,0.44378388
August,août,Saturday,samedi,0.4210212,0.45046976
August,août,oar,rame,0.41529036,0.07783403
August,août,oar,aviron,0.41529036,0.39765596
August,août,year,an,0.40628356,0.24961933
August,août,year,année,0.40628356,0.3687572
August,août,afterwards,après,0.39065906,0.378749
August,août,afterwards,ensuite,0.39065906,0.3073637
August,août,take,prendre,0.3906442,0.18931442
August,août,place,lieu,0.39044362,0.40811282
August,août,place,endroit,0.39044362,0.18539739
August,août,place,placer,0.39044362,0.17945941
December,décembre,December,décembre,1.0000001,1.0
December,décembre,November,novembre,0.936966,0.86917454
December,décembre,September,septembre,0.90052485,0.8542721
December,décembre,October,octobre,0.8829655,0.84383225
December,décembre,February,février,0.8321295,0.8527046
December,décembre,August,août,0.778623,0.851225
December,décembre,January,janvier,0.76523423,0.8361356
December,décembre,April,avril,0.73114747,0.8481312
December,décembre,autumn,automne,0.4868784,0.49707356
December,décembre,Thursday,jeudi,0.47825414,0.5430201
December,décembre,Saturday,samedi,0.47376165,0.4641197
December,décembre,Friday,vendredi,0.47325003,0.42550308
December,décembre,morning,matin,0.4609483,0.42603356
