src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
April,अप्रैल,April,अप्रैल,1.0000001,1.0
April,अप्रैल,February,फ़रवरी,0.74839634,0.07618597
April,अप्रैल,November,नवंबर,0.73710865,0.1450071
April,अप्रैल,December,दिसंबर,0.7311475,0.02304213
April,अप्रैल,October,अक्तूबर,0.7180678,-0.046734795
April,अप्रैल,September,सितंबर,0.7046387,0.17617166
April,अप्रैल,August,अगस्त,0.6830222,-0.037081398
April,अप्रैल,January,जनवरी,0.6186014,0.21108037
April,अप्रैल,autumn,शरत्,0.53682536,0.078209974
April,अप्रैल,autumn,पतझड़,0.53682536,-0.06685509
April,अप्रैल,Friday,शुक्रवार,0.48423898,-0.21688914
April,अप्रैल,Thursday,गुरुवार,0.48040742,-0.04206536
April,अप्रैल,Thursday,बृहस्पतिवार,0.48040742,0.002763912
April,अप्रैल,Tuesday,मंगलवार,0.4453754,-0.053205762
April,अप्रैल,spring,वसंत,0.4390901,-0.086958244
April,अप्रैल,Saturday,सनीचर,0.40879703,0.1778951
April,अप्रैल,Saturday,शनिवार,0.40879703,-0.1761541
April,अप्रैल,March,मार्च,0.40705705,-0.03978234
April,अप्रैल,Monday,पीर,0.4061186,-0.098731905
April,अप्रैल,Monday,सोमवार,0.4061186,-0.010571238
April,अप्रैल,morning,सुबह,0.37695992,-0.086754136
April,अप्रैल,pike,पाइक,0.3728838,-0.106092095
April,अप्रैल,night,रात,0.3661851,0.015665464
April,अप्रैल,night,रात्रि,0.3661851,-0.09851259
April,अप्रैल,Wednesday,बुधवार,0.36289722,-0.06138955
April,अप्रैल,month,मास,0.3311249,-0.0059081037
April,अप्रैल,month,महीना,0.3311249,0.13742414
April,अप्रैल,fog,धुँध,0.33003944,0.004899051
April,अप्रैल,fog,कुहरा,0.33003944,0.08479017
April,अप्रैल,forehead,माथा,0.3285568,0.024303518
April,अप्रैल,forehead,मस्तक,0.3285568,-0.07056618
April,अप्रैल,Sunday,इतवार,0.32649937,-0.035687536
April,अप्रैल,Sunday,रविवार,0.32649937,-0.1488978
April,अप्रैल,begin,आरंभ होना,0.32055977,-0.0034645312
April,अप्रैल,begin,प्रारंभ होना,0.32055977,0.0031044632
August,अगस्त,August,अगस्त,1.0,0.99999994
August,अगस्त,September,सितंबर,0.86804193,0.13142516
August,अगस्त,October,अक्तूबर,0.8328768,-0.035195176
August,अगस्त,November,नवंबर,0.8022118,-0.17410031
August,अगस्त,December,दिसंबर,0.77862304,0.20940818
August,अगस्त,February,फ़रवरी,0.73541737,0.04699865
August,अगस्त,January,जनवरी,0.70648557,0.0053819213
August,अगस्त,April,अप्रैल,0.68302214,-0.037081398
August,अगस्त,autumn,शरत्,0.51089174,0.06614798
August,अगस्त,autumn,पतझड़,0.51089174,-0.0450949
August,अगस्त,Thursday,गुरुवार,0.5090693,-0.0040087253
August,अगस्त,Thursday,बृहस्पतिवार,0.5090693,0.11925383
August,अगस्त,spring,वसंत,0.4930626,-0.011999331
August,अगस्त,March,मार्च,0.48175406,-0.03076829
August,अगस्त,fog,धुँध,0.47633982,0.08384294
August,अगस्त,fog,कुहरा,0.47633982,0.21156001
August,अगस्त,morning,सुबह,0.4692175,0.010226022
August,अगस्त,forehead,माथा,0.45415342,-0.18865746
August,अगस्त,forehead,मस्तक,0.45415342,-0.048965335
