src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aas,Wiese,aas,Wiese,1.0000001,1.0
aas,Wiese,aas,Schlinge,1.0000001,0.445072
aas,Schlinge,aas,Wiese,1.0000001,0.445072
aas,Schlinge,aas,Schlinge,1.0000001,1.0
aas,Wiese,nael,Nagel,0.7670443,0.29375666
aas,Schlinge,nael,Nagel,0.7670443,0.24203187
aas,Wiese,vares,Krähe,0.71373695,0.087743595
aas,Schlinge,vares,Krähe,0.71373695,0.17296289
aas,Wiese,kurg,Kranich,0.6763659,0.3524537
aas,Schlinge,kurg,Kranich,0.6763659,0.5446495
aas,Wiese,pang,Eimer,0.6746385,0.22778772
aas,Schlinge,pang,Eimer,0.6746385,0.21642739
aas,Wiese,kallama,schütten,0.6716365,0.28193516
aas,Schlinge,kallama,schütten,0.6716365,0.50664514
aas,Wiese,naba,Nabel,0.6653832,0.42598927
aas,Schlinge,naba,Nabel,0.6653832,0.34158486
aas,Wiese,rohi,Gras,0.65517396,-0.20133454
aas,Schlinge,rohi,Gras,0.65517396,-0.1376674
aas,Wiese,kallas,Ufer,0.65332586,0.16162957
aas,Schlinge,kallas,Ufer,0.65332586,-0.018850349
aas,Wiese,niit,Faden,0.6427066,0.26393843
aas,Schlinge,niit,Faden,0.6427066,0.38425982
aas,Wiese,sarv,Horn,0.64051175,-0.013440801
aas,Schlinge,sarv,Horn,0.64051175,0.04742591
aas,Wiese,kukk,Hahn,0.623686,-0.02138076
aas,Schlinge,kukk,Hahn,0.623686,-0.009804159
aas,Wiese,orav,Eichhörnchen,0.6204706,0.30536506
aas,Schlinge,orav,Eichhörnchen,0.6204706,0.43002498
aas,Wiese,ots,Ende,0.6199031,0.13807508
aas,Schlinge,ots,Ende,0.6199031,0.10960017
aas,Wiese,mets,Wald,0.61499685,-0.09334483
aas,Schlinge,mets,Wald,0.61499685,0.009958014
aas,Wiese,vaht,Schaum,0.61294526,0.08944537
aas,Schlinge,vaht,Schaum,0.61294526,-0.10870231
aas,Wiese,teivas,Stange,0.6058809,0.30482423
aas,Schlinge,teivas,Stange,0.6058809,0.3429302
aas,Wiese,lehm,Kuh,0.5904368,-0.009341791
aas,Schlinge,lehm,Kuh,0.5904368,-0.0218831
aas,Wiese,kuuskümmend,sechzig,0.59016263,0.203012
aas,Schlinge,kuuskümmend,sechzig,0.59016263,0.17219105
aas,Wiese,latt,Stange,0.5900719,0.30482423
aas,Schlinge,latt,Stange,0.5900719,0.3429302
aas,Wiese,kari,Herde,0.5889522,0.18361975
aas,Schlinge,kari,Herde,0.5889522,0.25645497
aas,Wiese,pakane,Frost,0.5862275,0.15418968
aas,Schlinge,pakane,Frost,0.5862275,0.32637632
aas,Wiese,nool,Pfeil,0.5845937,0.4786172
aas,Schlinge,nool,Pfeil,0.5845937,0.41205156
aas,Wiese,mander,Festland,0.5845829,0.34368747
aas,Schlinge,mander,Festland,0.5845829,0.37273958
aas,Wiese,sang,Griff,0.58406496,0.244703
aas,Schlinge,sang,Griff,0.58406496,0.18978684
aasta,Jahr,aasta,Jahr,1.0000001,1.0
aasta,Jahr,jaanuar,Januar,0.50261056,-0.069422275
aasta,Jahr,september,September,0.48535332,0.0013742521
aasta,Jahr,hommik,Morgen,0.48267725,-0.13611045
aasta,Jahr,laupäev,Samstag,0.47599047,-0.1311564
aasta,Jahr,detsember,Dezember,0.46580327,0.02051185
aasta,Jahr,juuli,Juli,0.46310702,-0.15423341
aasta,Jahr,viima,bringen,0.45639157,-0.16827108
aasta,Jahr,suvi,Sommer,0.451993,-0.03613227
aasta,Jahr,kott,Tasche,0.4428673,0.052159928
aasta,Jahr,kott,Sack,0.4428673,-0.06629519
aasta,Jahr,juuni,Juni,0.44189477,-0.000600528
aasta,Jahr,november,November,0.44015932,-0.00065243244
aasta,Jahr,jahe,kühl,0.43988064,0.0156147
aasta,Jahr,kaua,lange,0.4383056,0.013421524
aasta,Jahr,aprill,April,0.43636638,0.021117602
aasta,Jahr,saabas,Stiefel,0.43350655,-0.009030966
aasta,Jahr,mai,Mai,0.43238923,-0.07705285
aasta,Jahr,kord,einmal,0.42735836,-0.07539384
aasta,Jahr,kuuskümmend,sechzig,0.42549735,-0.08046776
aasta,Jahr,vehkima,schwenken,0.4230242,-0.07478151
aasta,Jahr,taha,hinter,0.42255002,-0.057817247
aasta,Jahr,ilm,Wetter,0.4190681,-0.08742006
aasta,Jahr,viiskümmend,fünfzig,0.41799864,-0.008429401
aasta,Jahr,veebruar,Februar,0.4124724,-0.08400318
aasta,Jahr,viimane,letzter,0.4105964,-0.06300712
abi,Hilfe,abi,Hilfe,0.99999994,1.0
abi,Hilfe,tasuma,bezahlen,0.5599308,0.5450691
abi,Hilfe,haigestuma,krank werden,0.54519707,0.3829561
abi,Hilfe,ostma,kaufen,0.54355717,0.34830862
abi,Hilfe,mure,Kummer,0.5377142,0.2051897
abi,Hilfe,hoidma,halten,0.5237941,0.35842258
abi,Hilfe,hoidma,bewahren,0.5237941,0.34675884
abi,Hilfe,haigeks jääma,krank werden,0.5223476,0.3829561
abi,Hilfe,lubama,versprechen,0.5214833,0.3188978
abi,Hilfe,maksma,zahlen,0.5214381,0.43639874
abi,Hilfe,sisse astuma,eintreten,0.5206201,0.30505636
abi,Hilfe,purustama,zerstören,0.5085006,0.3523087
abi,Hilfe,rikkuma,verderben,0.50754535,0.45816758
abi,Hilfe,rikkuma,beschädigen,0.50754535,0.44429874
abi,Hilfe,lõhkuma,hacken,0.4995492,0.4779104
abi,Hilfe,haige olema,krank sein,0.4989862,0.33706093
abi,Hilfe,torkama,stechen,0.49760288,0.46277514
abi,Hilfe,alal hoidma,aufbewahren,0.49697444,0.3909078
abi,Hilfe,päästma,retten,0.49502295,0.3422847
abi,Hilfe,sulgema,schließen,0.49499977,0.3826248
abi,Hilfe,toibuma,genesen,0.49209788,0.32653916
abi,Hilfe,üles tõstma,aufheben,0.49183983,0.27001148
abi,Hilfe,üles tõstma,hochheben,0.49183983,0.31688774
abi,Hilfe,võnkuma,schwingen,0.49115294,0.33773246
abi,Hilfe,sõtkuma,treten,0.48942345,0.16851342
abi,Hilfe,haukuma,bellen,0.48880482,0.4636984
abi,Hilfe,tõstma,heben,0.48842186,0.2895101
abi,Hilfe,ärkama,aufwachen,0.48827493,0.413099
abi,Hilfe,ärkama,aufstehen,0.48827493,0.32345873
abikaasa,Ehemann,abikaasa,Ehemann,1.0,0.99999994
abikaasa,Ehemann,abikaasa,Ehefrau,1.0,0.5713847
abikaasa,Ehefrau,abikaasa,Ehemann,1.0,0.5713847
