src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aas,meadow,aas,meadow,1.0000001,1.0
aas,meadow,aas,noose,1.0000001,0.4084553
aas,noose,aas,meadow,1.0000001,0.4084553
aas,noose,aas,noose,1.0000001,1.0
aas,meadow,nael,nail,0.7670443,0.2591954
aas,noose,nael,nail,0.7670443,0.43190786
aas,meadow,vares,crow,0.71373695,0.384206
aas,noose,vares,crow,0.71373695,0.34983963
aas,meadow,kurg,crane,0.6763659,0.4802217
aas,noose,kurg,crane,0.6763659,0.3070055
aas,meadow,pang,bucket,0.6746385,0.253605
aas,noose,pang,bucket,0.6746385,0.29612178
aas,meadow,kallama,pour,0.6716365,0.11512361
aas,noose,kallama,pour,0.6716365,0.25002155
aas,meadow,naba,navel,0.6653832,0.24871433
aas,noose,naba,navel,0.6653832,0.41015953
aas,meadow,rohi,grass,0.65517396,0.47189108
aas,noose,rohi,grass,0.65517396,0.31580865
aas,meadow,kallas,shore,0.65332586,0.31846634
aas,noose,kallas,shore,0.65332586,0.36432597
aas,meadow,niit,thread,0.6427066,0.27407926
aas,noose,niit,thread,0.6427066,0.35372007
aas,meadow,sarv,horn,0.64051175,0.4530031
aas,noose,sarv,horn,0.64051175,0.28684682
aas,meadow,kukk,cock,0.623686,0.4127582
aas,noose,kukk,cock,0.623686,0.2814916
aas,meadow,orav,squirrel,0.6204706,0.32185727
aas,noose,orav,squirrel,0.6204706,0.39158666
aas,meadow,ots,end,0.6199031,0.28912452
aas,noose,ots,end,0.6199031,0.35672158
aas,meadow,mets,forest,0.61499685,0.4921828
aas,noose,mets,forest,0.61499685,0.20572023
aas,meadow,vaht,foam,0.61294526,-0.06388821
aas,noose,vaht,foam,0.61294526,-0.0054598153
aas,meadow,teivas,pole,0.6058809,0.22866765
aas,noose,teivas,pole,0.6058809,0.1679654
aas,meadow,lehm,cow,0.5904368,0.3367206
aas,noose,lehm,cow,0.5904368,0.5142057
aas,meadow,kuuskümmend,sixty,0.59016263,0.31934753
aas,noose,kuuskümmend,sixty,0.59016263,0.19238856
aas,meadow,latt,pole,0.5900719,0.22866765
aas,noose,latt,pole,0.5900719,0.1679654
aas,meadow,kari,flock,0.5889522,0.40311283
aas,noose,kari,flock,0.5889522,0.3646285
aas,meadow,pakane,frost,0.5862275,0.48324522
aas,noose,pakane,frost,0.5862275,0.3344024
aas,meadow,nool,arrow,0.5845937,0.35858756
aas,noose,nool,arrow,0.5845937,0.23861632
aas,meadow,mander,land,0.5845829,0.20533521
aas,noose,mander,land,0.5845829,0.36094397
aas,meadow,sang,handle,0.58406496,0.3710505
aas,noose,sang,handle,0.58406496,0.50331986
aasta,year,aasta,year,1.0000001,1.0
aasta,year,jaanuar,January,0.50261056,0.411531
aasta,year,september,September,0.48535332,0.34579676
aasta,year,hommik,morning,0.48267725,0.36659092
aasta,year,laupäev,Saturday,0.47599047,0.4574965
aasta,year,detsember,December,0.46580327,0.31719416
aasta,year,juuli,July,0.46310702,-0.12828606
aasta,year,viima,bring,0.45639157,0.21371943
aasta,year,suvi,summer,0.451993,0.45919362
aasta,year,kott,bag,0.4428673,0.14657967
aasta,year,kott,sack,0.4428673,0.36709613
aasta,year,juuni,June,0.44189477,0.14632282
aasta,year,november,November,0.44015932,0.31639615
aasta,year,jahe,cool,0.43988064,0.3329348
aasta,year,kaua,long,0.4383056,0.29323605
aasta,year,aprill,April,0.43636638,0.3122191
aasta,year,saabas,boot,0.43350655,0.28815928
aasta,year,mai,May,0.43238923,-0.147183
aasta,year,kord,once,0.42735836,0.30599943
aasta,year,kuuskümmend,sixty,0.42549735,0.25324422
aasta,year,vehkima,swing,0.4230242,0.4376041
aasta,year,taha,behind,0.42255002,0.14135948
aasta,year,ilm,weather,0.4190681,0.20258418
aasta,year,viiskümmend,fifty,0.41799864,0.33419973
aasta,year,veebruar,February,0.4124724,0.3606292
aasta,year,viimane,last,0.4105964,0.43071765
abi,help,abi,help,0.99999994,1.0
abi,help,tasuma,pay for,0.5599308,0.052116282
abi,help,haigestuma,fall ill,0.54519707,0.17586999
abi,help,ostma,buy,0.54355717,0.33367103
abi,help,mure,grief,0.5377142,0.3483991
abi,help,hoidma,hold,0.5237941,0.23452981
abi,help,hoidma,preserve,0.5237941,0.5046693
abi,help,haigeks jääma,fall ill,0.5223476,0.17586999
abi,help,lubama,promise,0.5214833,0.40319473
abi,help,maksma,pay,0.5214381,0.26997742
abi,help,sisse astuma,enter,0.5206201,0.26018402
abi,help,purustama,destroy,0.5085006,0.39104617
abi,help,rikkuma,spoil,0.50754535,0.28033265
abi,help,rikkuma,damage,0.50754535,0.2662193
abi,help,lõhkuma,chop,0.4995492,0.16313976
abi,help,haige olema,be ill,0.4989862,0.1417256
abi,help,torkama,sting,0.49760288,0.18412611
abi,help,alal hoidma,keep,0.49697444,0.47445214
abi,help,päästma,rescue,0.49502295,0.45122564
abi,help,sulgema,close,0.49499977,0.26761866
abi,help,toibuma,recover,0.49209788,0.4736545
abi,help,üles tõstma,pick up,0.49183983,0.15119451
abi,help,üles tõstma,lift,0.49183983,0.4491175
abi,help,võnkuma,swing,0.49115294,0.2797523
abi,help,sõtkuma,kick,0.48942345,0.26898584
abi,help,haukuma,bark,0.48880482,0.35067788
abi,help,tõstma,raise,0.48842186,0.4937821
abi,help,ärkama,wake up,0.48827493,0.28141394
abi,help,ärkama,get up,0.48827493,0.20073876
abikaasa,husband,abikaasa,husband,1.0,0.99999994
abikaasa,husband,abikaasa,wife,1.0,0.7326013
abikaasa,wife,abikaasa,husband,1.0,0.7326013
abikaasa,wife,abikaasa,wife,1.0,1.0
abikaasa,husband,laps,child,0.7923335,0.4721923
abikaasa,wife,laps,child,0.7923335,0.5241149
abikaasa,husband,poeg,son,0.7351976,0.64431465
abikaasa,wife,poeg,son,0.7351976,0.7052367
abikaasa,husband,ema,mother,0.70164084,0.67578876
abikaasa,wife,ema,mother,0.70164084,0.7335835
abikaasa,husband,ülal,above,0.67967945,0.14848207
abikaasa,wife,ülal,above,0.67967945,0.070404
abikaasa,husband,onu,uncle,0.6785167,0.58666563
abikaasa,wife,onu,uncle,0.6785167,0.6227316
abikaasa,husband,vend,brother,0.64876604,0.53790694
abikaasa,wife,vend,brother,0.64876604,0.47723258
abikaasa,husband,naine,woman,0.6482163,0.43877614
abikaasa,husband,naine,wife,0.6482163,0.7326013
abikaasa,wife,naine,woman,0.6482163,0.48969597
abikaasa,wife,naine,wife,0.6482163,1.0
abikaasa,husband,isa,father,0.63391805,0.666879
abikaasa,wife,isa,father,0.63391805,0.6781407
abikaasa,husband,õpetaja,teacher,0.6321616,0.42074215
abikaasa,wife,õpetaja,teacher,0.6321616,0.4955596
abikaasa,husband,vanaisa,grandfather,0.58894354,0.642195
abikaasa,wife,vanaisa,grandfather,0.58894354,0.7205639
abikaasa,husband,viilukas,slice,0.5654611,0.36148584
abikaasa,wife,viilukas,slice,0.5654611,0.405165
abikaasa,husband,vanaema,grandmother,0.5524782,0.71156096
abikaasa,wife,vanaema,grandmother,0.5524782,0.7436943
abikaasa,husband,ikka,always,0.5495681,0.37588337
abikaasa,wife,ikka,always,0.5495681,0.3744912
abikaasa,husband,haige,sick,0.54665774,0.40320754
abikaasa,wife,haige,sick,0.54665774,0.4499128
abikaasa,husband,surm,death,0.5459889,0.5873625
abikaasa,wife,surm,death,0.5459889,0.5187577
abikaasa,husband,vanemad,parents,0.5421792,0.5730321
abikaasa,wife,vanemad,parents,0.5421792,0.5658694
abikaasa,husband,varras,staff,0.5401809,0.2767654
