src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aas,pré,aas,pré,1.0000001,1.0
aas,pré,aas,lacs,1.0000001,0.47226697
aas,lacs,aas,pré,1.0000001,0.47226697
aas,lacs,aas,lacs,1.0000001,1.0
aas,pré,nael,clou,0.7670443,0.5933432
aas,lacs,nael,clou,0.7670443,0.32591516
aas,pré,vares,corneille,0.71373695,0.39841473
aas,lacs,vares,corneille,0.71373695,0.24350017
aas,pré,kurg,grue,0.6763659,0.38502428
aas,lacs,kurg,grue,0.6763659,0.5098572
aas,pré,pang,seau,0.6746385,0.4274678
aas,lacs,pang,seau,0.6746385,0.32028234
aas,pré,kallama,verser,0.6716365,0.14906693
aas,lacs,kallama,verser,0.6716365,0.25166324
aas,pré,naba,nombril,0.6653832,0.29085052
aas,lacs,naba,nombril,0.6653832,0.28423294
aas,pré,rohi,herbe,0.65517396,0.34469563
aas,lacs,rohi,herbe,0.65517396,0.24051586
aas,pré,kallas,bord,0.65332586,0.43734923
aas,pré,kallas,rivage,0.65332586,0.3677851
aas,lacs,kallas,bord,0.65332586,0.3863228
aas,lacs,kallas,rivage,0.65332586,0.17810796
aas,pré,niit,fil,0.6427066,0.2699966
aas,lacs,niit,fil,0.6427066,0.33079347
aas,pré,sarv,corne,0.64051175,0.27922446
aas,lacs,sarv,corne,0.64051175,0.19434239
aas,pré,kukk,coq,0.623686,0.46907818
aas,lacs,kukk,coq,0.623686,0.26282364
aas,pré,orav,écureuil,0.6204706,0.33349904
aas,lacs,orav,écureuil,0.6204706,0.18855375
aas,pré,ots,bout,0.6199031,0.2989177
aas,lacs,ots,bout,0.6199031,0.26627454
aas,pré,mets,bois,0.61499685,0.39615175
aas,pré,mets,forêt,0.61499685,0.3673145
aas,lacs,mets,bois,0.61499685,0.38570234
aas,lacs,mets,forêt,0.61499685,0.5066968
aas,pré,vaht,écume,0.61294526,0.011126734
aas,pré,vaht,mousse,0.61294526,0.49154347
aas,lacs,vaht,écume,0.61294526,-0.012244299
aas,lacs,vaht,mousse,0.61294526,0.37302208
aas,pré,teivas,barre,0.6058809,0.40245977
aas,pré,teivas,perche,0.6058809,0.36842424
aas,lacs,teivas,barre,0.6058809,0.29181457
aas,lacs,teivas,perche,0.6058809,0.26141053
aas,pré,lehm,vache,0.5904368,0.44890335
aas,lacs,lehm,vache,0.5904368,0.3639608
aas,pré,kuuskümmend,soixante,0.59016263,0.26619583
aas,lacs,kuuskümmend,soixante,0.59016263,0.34233266
aas,pré,latt,barre,0.5900719,0.40245977
aas,pré,latt,perche,0.5900719,0.36842424
aas,lacs,latt,barre,0.5900719,0.29181457
aas,lacs,latt,perche,0.5900719,0.26141053
aas,pré,kari,troupeau,0.5889522,0.3577189
aas,lacs,kari,troupeau,0.5889522,0.35501978
aas,pré,pakane,gel,0.5862275,0.30967665
aas,pré,pakane,gelée,0.5862275,0.37581623
aas,lacs,pakane,gel,0.5862275,0.2882661
aas,lacs,pakane,gelée,0.5862275,0.3277738
aas,pré,nool,flèche,0.5845937,0.37207484
aas,lacs,nool,flèche,0.5845937,0.43004167
aas,pré,mander,terre ferme,0.5845829,0.2950426
aas,lacs,mander,terre ferme,0.5845829,0.35825783
aas,pré,sang,prise,0.58406496,0.15353823
aas,pré,sang,manche,0.58406496,0.5319735
aas,lacs,sang,prise,0.58406496,0.17774959
aas,lacs,sang,manche,0.58406496,0.37664053
aasta,an,aasta,an,1.0000001,1.0
aasta,an,aasta,année,1.0000001,0.46676725
aasta,année,aasta,an,1.0000001,0.46676725
aasta,année,aasta,année,1.0000001,1.0
aasta,an,jaanuar,janvier,0.50261056,0.2064286
aasta,année,jaanuar,janvier,0.50261056,0.23713115
aasta,an,september,septembre,0.48535332,0.25448635
aasta,année,september,septembre,0.48535332,0.2797424
aasta,an,hommik,matin,0.48267725,0.25577563
aasta,an,hommik,matinée,0.48267725,0.3051947
aasta,année,hommik,matin,0.48267725,0.19080742
aasta,année,hommik,matinée,0.48267725,0.3114263
aasta,an,laupäev,samedi,0.47599047,0.22831446
aasta,année,laupäev,samedi,0.47599047,0.2210392
aasta,an,detsember,décembre,0.46580327,0.17731369
aasta,année,detsember,décembre,0.46580327,0.29874748
aasta,an,juuli,juillet,0.46310702,0.24447027
aasta,année,juuli,juillet,0.46310702,0.32095852
aasta,an,viima,apporter,0.45639157,0.3059853
aasta,année,viima,apporter,0.45639157,0.10560642
aasta,an,suvi,été,0.451993,0.1516735
aasta,année,suvi,été,0.451993,0.15915492
aasta,an,kott,sac,0.4428673,0.18838093
aasta,an,kott,sac,0.4428673,0.18838093
aasta,année,kott,sac,0.4428673,0.22334886
aasta,année,kott,sac,0.4428673,0.22334886
aasta,an,juuni,juin,0.44189477,0.177762
aasta,année,juuni,juin,0.44189477,0.2859305
aasta,an,november,novembre,0.44015932,0.13004258
aasta,année,november,novembre,0.44015932,0.3178653
aasta,an,jahe,frais,0.43988064,0.39361578
aasta,année,jahe,frais,0.43988064,0.42701358
aasta,an,kaua,longtemps,0.4383056,0.26105347
aasta,année,kaua,longtemps,0.4383056,0.20119339
aasta,an,aprill,avril,0.43636638,0.14990886
aasta,année,aprill,avril,0.43636638,0.20975882
aasta,an,saabas,botte,0.43350655,0.14607583
aasta,année,saabas,botte,0.43350655,0.1272134
aasta,an,mai,mai,0.43238923,0.18545333
aasta,année,mai,mai,0.43238923,0.28163224
aasta,an,kord,une fois,0.42735836,0.21354878
aasta,année,kord,une fois,0.42735836,0.23170759
aasta,an,kuuskümmend,soixante,0.42549735,0.27937174
aasta,année,kuuskümmend,soixante,0.42549735,0.24198966
aasta,an,vehkima,agiter,0.4230242,0.10849629
aasta,année,vehkima,agiter,0.4230242,0.09186314
aasta,an,taha,derrière,0.42255002,0.03255526
aasta,année,taha,derrière,0.42255002,0.0131681785
aasta,an,ilm,temps,0.4190681,0.2852072
aasta,année,ilm,temps,0.4190681,0.27140093
aasta,an,viiskümmend,cinquante,0.41799864,0.2141789
aasta,année,viiskümmend,cinquante,0.41799864,0.30960774
aasta,an,veebruar,février,0.4124724,0.18765616
aasta,année,veebruar,février,0.4124724,0.21144035
aasta,an,viimane,dernier,0.4105964,0.23225096
aasta,année,viimane,dernier,0.4105964,0.23679003
abi,aide,abi,aide,0.99999994,1.0
abi,aide,abi,secours,0.99999994,0.4191324
abi,secours,abi,aide,0.99999994,0.4191324
abi,secours,abi,secours,0.99999994,0.9999999
abi,aide,tasuma,payer,0.5599308,0.43496996
abi,secours,tasuma,payer,0.5599308,0.43317807
abi,aide,haigestuma,tomber malade,0.54519707,0.2980434
abi,secours,haigestuma,tomber malade,0.54519707,0.41249284
abi,aide,ostma,acheter,0.54355717,0.49252713
abi,secours,ostma,acheter,0.54355717,0.46219388
abi,aide,mure,peine,0.5377142,0.4032999
abi,aide,mure,chagrin,0.5377142,0.20767957
abi,secours,mure,peine,0.5377142,0.3862571
abi,secours,mure,chagrin,0.5377142,0.37794918
abi,aide,hoidma,tenir,0.5237941,0.44593063
abi,aide,hoidma,préserver,0.5237941,0.37089905
abi,secours,hoidma,tenir,0.5237941,0.35903537
abi,secours,hoidma,préserver,0.5237941,0.38466412
abi,aide,haigeks jääma,tomber malade,0.5223476,0.2980434
abi,secours,haigeks jääma,tomber malade,0.5223476,0.41249284
abi,aide,lubama,promettre,0.5214833,0.53785676
abi,secours,lubama,promettre,0.5214833,0.41883892
abi,aide,maksma,payer,0.5214381,0.43496996
abi,secours,maksma,payer,0.5214381,0.43317807
abi,aide,sisse astuma,entrer,0.5206201,0.48088545
abi,secours,sisse astuma,entrer,0.5206201,0.22144113
abi,aide,purustama,détruire,0.5085006,0.5458244
abi,secours,purustama,détruire,0.5085006,0.49126196
abi,aide,rikkuma,gâter,0.50754535,-0.11136177
abi,aide,rikkuma,corrompre,0.50754535,0.55752385
abi,aide,rikkuma,endommager,0.50754535,0.514272
abi,secours,rikkuma,gâter,0.50754535,-0.11751556
abi,secours,rikkuma,corrompre,0.50754535,0.44021487
abi,secours,rikkuma,endommager,0.50754535,0.5680527
abi,aide,lõhkuma,fendre,0.4995492,0.38982558
abi,secours,lõhkuma,fendre,0.4995492,0.33664328
abi,aide,haige olema,être malade,0.4989862,0.23226056
abi,secours,haige olema,être malade,0.4989862,0.3209074
abi,aide,torkama,piquer,0.49760288,0.44233233
abi,secours,torkama,piquer,0.49760288,0.24773596
abi,aide,alal hoidma,garder,0.49697444,0.43004078
abi,aide,alal hoidma,conserver,0.49697444,0.3431158
abi,secours,alal hoidma,garder,0.49697444,0.40511918
abi,secours,alal hoidma,conserver,0.49697444,0.20048699
abi,aide,päästma,sauver,0.49502295,0.53085536
abi,secours,päästma,sauver,0.49502295,0.435258
abi,aide,sulgema,fermer,0.49499977,0.57237756
abi,secours,sulgema,fermer,0.49499977,0.45003942
abi,aide,toibuma,guérir,0.49209788,0.44234383
abi,aide,toibuma,se remettre,0.49209788,0.45201576
abi,secours,toibuma,guérir,0.49209788,0.4671687
abi,secours,toibuma,se remettre,0.49209788,0.32319117
abi,aide,üles tõstma,ramasser,0.49183983,0.4411595
abi,aide,üles tõstma,lever,0.49183983,0.54032063
abi,secours,üles tõstma,ramasser,0.49183983,0.25209063
abi,secours,üles tõstma,lever,0.49183983,0.41420937
abi,aide,võnkuma,vibrer,0.49115294,0.4038576
abi,aide,võnkuma,osciller,0.49115294,0.4469879
abi,secours,võnkuma,vibrer,0.49115294,0.42318618
abi,secours,võnkuma,osciller,0.49115294,0.23812719
abi,aide,sõtkuma,botter,0.48942345,0.28080457
abi,aide,sõtkuma,donner un coup de pied à,0.48942345,0.5255767
abi,secours,sõtkuma,botter,0.48942345,0.1513451
abi,secours,sõtkuma,donner un coup de pied à,0.48942345,0.26744413
abi,aide,haukuma,aboyer,0.48880482,0.27377135
abi,secours,haukuma,aboyer,0.48880482,0.32858336
abi,aide,tõstma,soulever,0.48842186,0.3490593
abi,secours,tõstma,soulever,0.48842186,0.3831035
abi,aide,ärkama,se réveiller,0.48827493,0.3832445
abi,aide,ärkama,se lever,0.48827493,0.4123856
abi,secours,ärkama,se réveiller,0.48827493,0.32348776
abi,secours,ärkama,se lever,0.48827493,0.3109847
abikaasa,mari,abikaasa,mari,1.0,1.0
abikaasa,mari,abikaasa,époux,1.0,0.5874039
abikaasa,mari,abikaasa,femme,1.0,0.3974865
abikaasa,mari,abikaasa,épouse,1.0,0.57811344
abikaasa,époux,abikaasa,mari,1.0,0.5874039
abikaasa,époux,abikaasa,époux,1.0,1.0
abikaasa,époux,abikaasa,femme,1.0,0.48143142
abikaasa,époux,abikaasa,épouse,1.0,0.7679448
abikaasa,femme,abikaasa,mari,1.0,0.3974865
abikaasa,femme,abikaasa,époux,1.0,0.48143142
abikaasa,femme,abikaasa,femme,1.0,1.0
abikaasa,femme,abikaasa,épouse,1.0,0.5869757
abikaasa,épouse,abikaasa,mari,1.0,0.57811344
abikaasa,épouse,abikaasa,époux,1.0,0.7679448
abikaasa,épouse,abikaasa,femme,1.0,0.5869757
abikaasa,épouse,abikaasa,épouse,1.0,1.0
abikaasa,mari,laps,enfant,0.7923335,0.2989434
abikaasa,époux,laps,enfant,0.7923335,0.53853023
abikaasa,femme,laps,enfant,0.7923335,0.57683873
abikaasa,épouse,laps,enfant,0.7923335,0.51782095
abikaasa,mari,poeg,fils,0.7351976,0.4826946
abikaasa,époux,poeg,fils,0.7351976,0.63329303
abikaasa,femme,poeg,fils,0.7351976,0.41685516
abikaasa,épouse,poeg,fils,0.7351976,0.68419176
abikaasa,mari,ema,mère,0.70164084,0.42479026
abikaasa,époux,ema,mère,0.70164084,0.5195608
abikaasa,femme,ema,mère,0.70164084,0.69644326
abikaasa,épouse,ema,mère,0.70164084,0.6338663
abikaasa,mari,ülal,dessus,0.67967945,0.19530576
abikaasa,mari,ülal,en haut,0.67967945,-0.30094382
abikaasa,époux,ülal,dessus,0.67967945,0.20639792
abikaasa,époux,ülal,en haut,0.67967945,-0.18571302
abikaasa,femme,ülal,dessus,0.67967945,0.21958704
abikaasa,femme,ülal,en haut,0.67967945,-0.14411741
abikaasa,épouse,ülal,dessus,0.67967945,0.08088341
abikaasa,épouse,ülal,en haut,0.67967945,-0.24875619
abikaasa,mari,onu,oncle,0.6785167,0.5197354
abikaasa,époux,onu,oncle,0.6785167,0.5901746
abikaasa,femme,onu,oncle,0.6785167,0.47988984
abikaasa,épouse,onu,oncle,0.6785167,0.68223405
abikaasa,mari,vend,frère,0.64876604,0.46848166
abikaasa,époux,vend,frère,0.64876604,0.6311364
abikaasa,femme,vend,frère,0.64876604,0.48401058
abikaasa,épouse,vend,frère,0.64876604,0.6935571
abikaasa,mari,naine,femme,0.6482163,0.3974865
abikaasa,mari,naine,femme,0.6482163,0.3974865
abikaasa,mari,naine,épouse,0.6482163,0.57811344
abikaasa,époux,naine,femme,0.6482163,0.48143142
abikaasa,époux,naine,femme,0.6482163,0.48143142
abikaasa,époux,naine,épouse,0.6482163,0.7679448
abikaasa,femme,naine,femme,0.6482163,1.0
abikaasa,femme,naine,femme,0.6482163,1.0
abikaasa,femme,naine,épouse,0.6482163,0.5869757
abikaasa,épouse,naine,femme,0.6482163,0.5869757
abikaasa,épouse,naine,femme,0.6482163,0.5869757
abikaasa,épouse,naine,épouse,0.6482163,1.0
abikaasa,mari,isa,père,0.63391805,0.47379678
abikaasa,époux,isa,père,0.63391805,0.5622609
abikaasa,femme,isa,père,0.63391805,0.4144383
abikaasa,épouse,isa,père,0.63391805,0.59717745
abikaasa,mari,õpetaja,professeur,0.6321616,0.20737067
abikaasa,mari,õpetaja,instituteur,0.6321616,0.32182133
abikaasa,époux,õpetaja,professeur,0.6321616,0.25891137
abikaasa,époux,õpetaja,instituteur,0.6321616,0.2839676
abikaasa,femme,õpetaja,professeur,0.6321616,0.3640211
abikaasa,femme,õpetaja,instituteur,0.6321616,0.43446034
abikaasa,épouse,õpetaja,professeur,0.6321616,0.40547812
abikaasa,épouse,õpetaja,instituteur,0.6321616,0.42986962
abikaasa,mari,vanaisa,grand-père,0.58894354,0.4661076
abikaasa,époux,vanaisa,grand-père,0.58894354,0.5955154
abikaasa,femme,vanaisa,grand-père,0.58894354,0.49310368
abikaasa,épouse,vanaisa,grand-père,0.58894354,0.74541855
abikaasa,mari,viilukas,tranche,0.5654611,0.23886529
abikaasa,époux,viilukas,tranche,0.5654611,0.4271229
abikaasa,femme,viilukas,tranche,0.5654611,0.3912915
abikaasa,épouse,viilukas,tranche,0.5654611,0.36456546
abikaasa,mari,vanaema,grand-mère,0.5524782,0.47043306
abikaasa,époux,vanaema,grand-mère,0.5524782,0.61686975
abikaasa,femme,vanaema,grand-mère,0.5524782,0.5853871
abikaasa,épouse,vanaema,grand-mère,0.5524782,0.7571207
abikaasa,mari,ikka,toujours,0.5495681,0.23434523
abikaasa,époux,ikka,toujours,0.5495681,0.48765945
abikaasa,femme,ikka,toujours,0.5495681,0.3217896
abikaasa,épouse,ikka,toujours,0.5495681,0.30537087
abikaasa,mari,haige,malade,0.54665774,0.39405572
abikaasa,époux,haige,malade,0.54665774,0.43382794
abikaasa,femme,haige,malade,0.54665774,0.45609108
abikaasa,épouse,haige,malade,0.54665774,0.41979808
abikaasa,mari,surm,mort,0.5459889,0.3994612
abikaasa,époux,surm,mort,0.5459889,0.4097622
abikaasa,femme,surm,mort,0.5459889,0.2820663
abikaasa,épouse,surm,mort,0.5459889,0.41401252
abikaasa,mari,vanemad,parents,0.5421792,0.36693862
abikaasa,époux,vanemad,parents,0.5421792,0.5672718
abikaasa,femme,vanemad,parents,0.5421792,0.3180607
abikaasa,épouse,vanemad,parents,0.5421792,0.44906315
abikaasa,mari,varras,bâton,0.5401809,0.19273356
abikaasa,époux,varras,bâton,0.5401809,0.3125321
abikaasa,femme,varras,bâton,0.5401809,0.39439815
abikaasa,épouse,varras,bâton,0.5401809,0.2984349
abikaasa,mari,arst,médecin,0.5384155,0.44373068
abikaasa,époux,arst,médecin,0.5384155,0.5230063
abikaasa,femme,arst,médecin,0.5384155,0.52095926
abikaasa,épouse,arst,médecin,0.5384155,0.5440023
abikaasa,mari,surma saama,périr,0.52610546,0.44146228
abikaasa,époux,surma saama,périr,0.52610546,0.4235931
abikaasa,femme,surma saama,périr,0.52610546,0.23044497
abikaasa,épouse,surma saama,périr,0.52610546,0.27285028
