src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aboyer,bellen,aboyer,bellen,1.0000001,1.0
aboyer,bellen,ployer,beugen,0.81680536,0.47910762
aboyer,bellen,brouillard,Nebel,0.6794048,0.22365022
aboyer,bellen,aigre,sauer,0.67612946,0.1386778
aboyer,bellen,s'endormir,einschlafen,0.66262466,0.40649092
aboyer,bellen,écureuil,Eichhörnchen,0.65757746,0.48595172
aboyer,bellen,cochon,Schwein,0.65174073,0.17877777
aboyer,bellen,tronc,Stamm,0.64325833,0.26382315
aboyer,bellen,essuyer,abwischen,0.6295446,0.49771884
aboyer,bellen,fourchette,Gabel,0.62389773,0.3622973
aboyer,bellen,casquette,Mütze,0.622726,0.018923339
aboyer,bellen,bouger,sich bewegen,0.6182432,0.46603912
aboyer,bellen,brochet,Hecht,0.6078983,0.10176875
aboyer,bellen,bouillie,Brei,0.60604537,-0.08996913
aboyer,bellen,tourbière,Moor,0.603888,0.1752995
aboyer,bellen,jeune fille,Mädchen,0.6000221,0.44466895
aboyer,bellen,givre,Raureif,0.59501797,0.3499846
aboyer,bellen,vigoureux,kräftig,0.59184337,0.33080196
aboyer,bellen,nettoyer,reinigen,0.59091014,0.38892734
aboyer,bellen,étoffe,Stoff,0.58993495,0.123225436
aboyer,bellen,serrure,Schloss,0.5898575,0.11515742
aboyer,bellen,arracher,abreißen,0.5894519,0.40649152
aboyer,bellen,beurre,Butter,0.58815205,0.14679594
aboyer,bellen,joyeux,lustig,0.58414614,0.36490297
aboyer,bellen,botte,Stiefel,0.5813784,0.45540082
abuser,täuschen,abuser,täuschen,0.99999994,1.0
abuser,täuschen,dissimuler,verbergen,0.76095,0.6851609
abuser,täuschen,tromper,täuschen,0.74416244,1.0
abuser,täuschen,guérir,genesen,0.7393533,0.46756008
abuser,täuschen,remède,Arznei,0.7384885,0.36703098
abuser,täuschen,tolérer,ertragen,0.726447,0.53138614
abuser,täuschen,pourrir,faulen,0.7235059,0.32664454
abuser,täuschen,pourrir,verfaulen,0.7235059,0.31273377
abuser,täuschen,tirer,ziehen,0.7031913,0.46933663
abuser,täuschen,tirer,schießen,0.7031913,0.37631384
abuser,täuschen,agiter,schwenken,0.70316994,0.53662217
abuser,täuschen,percevoir,vernehmen,0.70021427,0.41657814
abuser,täuschen,bruit,Lärm,0.69787806,-0.091277294
abuser,täuschen,nettoyer,reinigen,0.6915404,0.57365024
abuser,täuschen,se voir,zu sehen sein,0.6870542,0.35283118
abuser,täuschen,conduire,leiten,0.6845192,0.5240205
abuser,täuschen,pourquoi,warum,0.68176585,0.5321275
abuser,täuschen,cuire,kochen,0.6748857,0.6611135
abuser,täuschen,cuire,backen,0.6748857,0.64163935
abuser,täuschen,doigt de pied,Zeh,0.6744932,-0.021475337
abuser,täuschen,essayer,versuchen,0.6717992,0.62343836
abuser,täuschen,fumée,Rauch,0.6714471,0.5017071
abuser,täuschen,demander,fragen,0.6695764,0.4981613
abuser,täuschen,fermer,schließen,0.66952795,0.5000226
abuser,täuschen,apercevoir,bemerken,0.66932523,0.5514879
abuser,täuschen,sauter,springen,0.665161,0.30239812
abuser,täuschen,corrompre,verderben,0.66473645,0.5240253
abuser,täuschen,tuer,töten,0.6626319,0.54723006
accrocher,aufhängen,accrocher,aufhängen,1.0,1.0
accrocher,aufhängen,toucher,rühren,0.68796873,0.5723503
accrocher,aufhängen,toucher,berühren,0.68796873,0.5825503
accrocher,aufhängen,aigu,spitz,0.6858527,0.6520995
accrocher,aufhängen,lâcher,fallen lassen,0.67800117,0.6019434
accrocher,aufhängen,se coucher,untergehen,0.66027814,0.4638102
accrocher,aufhängen,remarquer,bemerken,0.655693,0.4322971
accrocher,aufhängen,pleuvoir,regnen,0.6548605,0.46720517
accrocher,aufhängen,crochet,Haken,0.65440166,0.36077118
accrocher,aufhängen,dormir,schlafen,0.6525717,0.5006902
accrocher,aufhängen,goûter,probieren,0.6456784,0.5431869
accrocher,aufhängen,nu,nackt,0.6324727,0.5885683
accrocher,aufhängen,sentir,riechen,0.6289124,0.5327828
accrocher,aufhängen,sentir,fühlen,0.6289124,0.5009731
accrocher,aufhängen,oublier,vergessen,0.62553585,0.34937283
accrocher,aufhängen,percevoir,vernehmen,0.6238691,0.46213615
accrocher,aufhängen,écouter,zuhören,0.62240183,0.4824502
