src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aboyer,bark,aboyer,bark,1.0000001,1.0
aboyer,bark,ployer,bow,0.81680536,0.30659038
aboyer,bark,brouillard,fog,0.6794048,0.37109804
aboyer,bark,aigre,sour,0.67612946,0.18407854
aboyer,bark,s'endormir,fall asleep,0.66262466,0.31486017
aboyer,bark,écureuil,squirrel,0.65757746,0.52494615
aboyer,bark,cochon,pig,0.65174073,0.357511
aboyer,bark,tronc,trunk,0.64325833,0.3706892
aboyer,bark,essuyer,wipe,0.6295446,0.3952204
aboyer,bark,fourchette,fork,0.62389773,0.26057446
aboyer,bark,casquette,cap,0.622726,0.19352785
aboyer,bark,bouger,move,0.6182432,0.21947387
aboyer,bark,brochet,pike,0.6078983,0.44618726
aboyer,bark,bouillie,mush,0.60604537,0.45755357
aboyer,bark,tourbière,moor,0.603888,0.34398547
aboyer,bark,jeune fille,girl,0.6000221,0.22431764
aboyer,bark,givre,hoarfrost,0.59501797,0.38165674
aboyer,bark,vigoureux,powerful,0.59184337,0.21558505
aboyer,bark,nettoyer,clean,0.59091014,0.21038002
aboyer,bark,étoffe,cloth,0.58993495,0.28954625
aboyer,bark,serrure,lock,0.5898575,0.3299659
aboyer,bark,arracher,tear off,0.5894519,0.22142039
aboyer,bark,beurre,butter,0.58815205,0.2307865
aboyer,bark,joyeux,merry,0.58414614,0.42674074
aboyer,bark,botte,boot,0.5813784,0.28997064
abuser,deceive,abuser,deceive,0.99999994,1.0
abuser,deceive,dissimuler,conceal,0.76095,0.6757898
abuser,deceive,tromper,deceive,0.74416244,1.0
abuser,deceive,guérir,recover,0.7393533,0.5105598
abuser,deceive,remède,medicine,0.7384885,0.28370333
abuser,deceive,tolérer,endure,0.726447,0.41927683
abuser,deceive,pourrir,rot,0.7235059,-0.09931403
abuser,deceive,pourrir,decay,0.7235059,0.56673336
abuser,deceive,tirer,pull,0.7031913,0.5746264
abuser,deceive,tirer,shoot,0.7031913,0.27763873
abuser,deceive,agiter,swing,0.70316994,0.31344807
abuser,deceive,percevoir,hear,0.70021427,0.49434555
abuser,deceive,bruit,noise,0.69787806,0.27950603
abuser,deceive,nettoyer,clean,0.6915404,0.29833624
abuser,deceive,se voir,show,0.6870542,0.22020555
abuser,deceive,conduire,lead,0.6845192,0.36304867
abuser,deceive,pourquoi,why,0.68176585,0.49063432
abuser,deceive,cuire,boil,0.6748857,0.30402565
abuser,deceive,cuire,bake,0.6748857,0.04250598
abuser,deceive,doigt de pied,toe,0.6744932,0.17146556
abuser,deceive,essayer,try,0.6717992,0.6120953
abuser,deceive,fumée,smoke,0.6714471,0.38399053
abuser,deceive,demander,ask,0.6695764,0.7104317
abuser,deceive,fermer,close,0.66952795,0.27976054
abuser,deceive,apercevoir,notice,0.66932523,0.43869886
abuser,deceive,sauter,jump,0.665161,0.09076347
abuser,deceive,corrompre,spoil,0.66473645,0.49484
abuser,deceive,tuer,kill,0.6626319,0.45532185
accrocher,hang up,accrocher,hang up,1.0,1.0
accrocher,hang up,toucher,move,0.68796873,0.06277871
accrocher,hang up,toucher,touch,0.68796873,0.1806772
accrocher,hang up,aigu,pointed,0.6858527,0.064867735
accrocher,hang up,lâcher,drop,0.67800117,0.14449817
accrocher,hang up,se coucher,set,0.66027814,0.26982638
accrocher,hang up,remarquer,notice,0.655693,0.20210195
accrocher,hang up,pleuvoir,rain,0.6548605,0.09502226
accrocher,hang up,crochet,hook,0.65440166,0.22583684
accrocher,hang up,dormir,sleep,0.6525717,0.074764974
accrocher,hang up,goûter,taste,0.6456784,0.12625699
accrocher,hang up,nu,naked,0.6324727,0.2921098
accrocher,hang up,sentir,smell,0.6289124,0.21902856
accrocher,hang up,sentir,feel,0.6289124,0.011682505
accrocher,hang up,oublier,forget,0.62553585,0.28093487
accrocher,hang up,percevoir,hear,0.6238691,0.16161694
accrocher,hang up,écouter,listen,0.62240183,0.15667176
accrocher,hang up,morceau,piece,0.61842144,0.23729667
accrocher,hang up,doigt,finger,0.61663467,0.2261236
accrocher,hang up,s'endormir,fall asleep,0.61558545,0.15998334
