src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
aboyer,haukuma,aboyer,haukuma,1.0000001,1.0
aboyer,haukuma,ployer,painutama,0.81680536,0.76945287
aboyer,haukuma,brouillard,udu,0.6794048,0.188705
aboyer,haukuma,aigre,hapu,0.67612946,0.43545702
aboyer,haukuma,s'endormir,uinuma,0.66262466,0.101443864
aboyer,haukuma,écureuil,orav,0.65757746,0.25530475
aboyer,haukuma,cochon,siga,0.65174073,0.4132545
aboyer,haukuma,tronc,tüvi,0.64325833,-0.013266683
aboyer,haukuma,essuyer,puhtaks pühkima,0.6295446,0.4303167
aboyer,haukuma,fourchette,kahvel,0.62389773,0.41821194
aboyer,haukuma,casquette,müts,0.622726,-0.05917249
aboyer,haukuma,bouger,liikuma,0.6182432,0.72173285
aboyer,haukuma,brochet,haug,0.6078983,0.2906664
aboyer,haukuma,bouillie,puder,0.60604537,-0.005262267
aboyer,haukuma,tourbière,raba,0.603888,0.49275082
aboyer,haukuma,jeune fille,tüdruk,0.6000221,0.2101013
aboyer,haukuma,givre,härmatis,0.59501797,0.23792513
aboyer,haukuma,vigoureux,jõuline,0.59184337,0.2703513
aboyer,haukuma,nettoyer,puhastama,0.59091014,0.62163913
aboyer,haukuma,étoffe,kangas,0.58993495,0.21565457
aboyer,haukuma,serrure,lukk,0.5898575,0.51144284
aboyer,haukuma,arracher,rebima,0.5894519,0.37257564
aboyer,haukuma,arracher,ära rebima,0.5894519,0.2945674
aboyer,haukuma,beurre,või,0.58815205,-0.020278871
aboyer,haukuma,joyeux,lõbus,0.58414614,-0.16213702
aboyer,haukuma,botte,saabas,0.5813784,0.33995846
abuser,petma,abuser,petma,0.99999994,0.99999994
abuser,petma,abuser,tüssama,0.99999994,-0.12596993
abuser,tüssama,abuser,petma,0.99999994,-0.12596993
abuser,tüssama,abuser,tüssama,0.99999994,1.0
abuser,petma,dissimuler,peitma,0.76095,-0.08026078
abuser,petma,dissimuler,varjama,0.76095,-0.20713627
abuser,tüssama,dissimuler,peitma,0.76095,0.26502293
