src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-आना,lassen,-आना,lassen,1.0,1.0
-आना,lassen,पुराना,alt,0.29510927,0.20284311
-आना,lassen,चमड़ा,Leder,0.29177088,0.3177029
-आना,lassen,स्वप्न,Traum,0.26528835,0.19133148
-आना,lassen,जानु,Knie,0.25803405,-0.04624811
-आना,lassen,कोयल,Kuckuck,0.25706726,-0.08480835
-आना,lassen,डरना,sich fürchten,0.24686839,0.513201
-आना,lassen,आदमी,Mann,0.24277599,-0.048089914
-आना,lassen,पगडंडी,Pfad,0.23772146,0.015759494
-आना,lassen,सत्तर,siebzig,0.23760504,0.39302737
-आना,lassen,मराल,Schwan,0.23241189,0.13336217
-आना,lassen,हत्था,Griff,0.23216969,0.2047918
-आना,lassen,भारी,schwer,0.22910808,0.3128589
-आना,lassen,ताक़त,Stärke,0.22744432,0.27398822
-आना,lassen,उपहार,Geschenk,0.2267853,0.20658171
-आना,lassen,पहले,vorher,0.2261734,0.40513965
-आना,lassen,पहले,zuerst,0.2261734,0.35136694
-आना,lassen,दूसरा,anderer,0.22553906,0.3516284
-आना,lassen,दूसरा,zweiter,0.22553906,0.24713525
-आना,lassen,वैद्य,Arzt,0.22326775,0.091104865
-आना,lassen,दाम,Preis,0.22194584,0.06886265
-आना,lassen,कपड़ा,Stoff,0.21971247,0.016059734
-आना,lassen,कम,klein,0.2184658,0.29936934
-आना,lassen,चुनना,wählen,0.21657121,0.6335468
-आना,lassen,चुनना,auswählen,0.21657121,0.47187448
-आना,lassen,चुनना,pflücken,0.21657121,0.46384734
-आना,lassen,आसमानी,blau,0.21597849,0.26347163
-आना,lassen,शब्द,Wort,0.2150179,-0.02567
-आना,lassen,कारण,Grund,0.21496697,0.13327157
अँगुली,Finger,अँगुली,Finger,1.0000001,1.0
अँगुली,Finger,सर्दी,Kälte,0.33884072,0.34391728
अँगुली,Finger,घटना,sinken,0.29597214,0.23869765
अँगुली,Finger,घटना,abnehmen,0.29597214,0.29890665
अँगुली,Finger,हर जगह,überall,0.2852314,0.2821414
अँगुली,Finger,दर्पण,Spiegel,0.2836856,0.3412271
अँगुली,Finger,रंग,Farbe,0.26591048,0.17677674
अँगुली,Finger,नवंबर,November,0.26126745,0.32619143
अँगुली,Finger,निकल भागना,flüchten,0.2608251,0.3460965
अँगुली,Finger,मोड़ना,wenden,0.25876993,0.2749277
अँगुली,Finger,खिसकाना,schieben,0.25273508,0.2836668
अँगुली,Finger,लफ़्ज़,Wort,0.2497672,-0.23419619
अँगुली,Finger,चूल्हा,Ofen,0.24525164,0.07031186
अँगुली,Finger,चप्पू,Ruder,0.23969305,0.2802672
अँगुली,Finger,दूसरा,anderer,0.2350821,0.24712643
अँगुली,Finger,दूसरा,zweiter,0.2350821,0.20655146
अँगुली,Finger,अभ्र,Wolke,0.2288048,0.35520172
अँगुली,Finger,पुतली,Puppe,0.22869715,0.30254912
अँगुली,Finger,भ्राता,Bruder,0.21929212,0.37645963
अँगुली,Finger,नापना,messen,0.21805492,0.3193555
अँगुली,Finger,पाँव की उँगली,Zeh,0.21142645,-0.041820604
अँगुली,Finger,गँवाना,verlieren,0.20991258,0.18918872
अँगुली,Finger,सर्द,kalt,0.20699616,0.19905567
अँगुली,Finger,चर्च,Kirche,0.20282517,0.16758657
अँगुली,Finger,गंद,Schmutz,0.2022156,0.109582536
अँगुली,Finger,कोना,Ecke,0.19977212,-0.18669175
अँगुली,Finger,कोना,Winkel,0.19977212,0.3139586
अँगुली,Finger,बारिश,Regen,0.19494322,0.23522535
अँगूठी,Ring,अँगूठी,Ring,0.99999994,1.0
अँगूठी,Ring,चक्षु,Auge,0.28595185,-0.015676342
अँगूठी,Ring,उपांत,Rand,0.27632597,0.2661963
अँगूठी,Ring,जवान,jung,0.2738511,-0.0020230971
अँगूठी,Ring,झुंड,Schwarm,0.26583284,-0.10403957
अँगूठी,Ring,ख़त,Brief,0.26331735,-0.1208794
अँगूठी,Ring,केवल,nur,0.2500095,0.027431129
अँगूठी,Ring,के सामने,vor,0.23728175,-0.058307372
अँगूठी,Ring,फ़रवरी,Februar,0.23080306,0.057073478
अँगूठी,Ring,पहेली,Rätsel,0.22696634,0.05331938
अँगूठी,Ring,चरबी,Fett,0.22471914,-0.04422235
अँगूठी,Ring,देग़,Kessel,0.22201873,-0.16983366
अँगूठी,Ring,हत्था,Griff,0.22042021,-0.02301731
अँगूठी,Ring,अक्सर,oft,0.21622133,-0.11739561
अँगूठी,Ring,अक़्ल,Verstand,0.21416733,0.00092860684
अँगूठी,Ring,राह,Straße,0.21267508,0.007351052
अँगूठी,Ring,झूठ,Lüge,0.2115394,0.102088526
अँगूठी,Ring,स्मरण-शक्ति,Gedächtnis,0.21106584,-0.014851574
अँगूठी,Ring,नमूना,Muster,0.21090502,0.045863803
अँगूठी,Ring,बंद जाना,aufhören,0.20736787,0.12951508
अँगूठी,Ring,सुधारना,verbessern,0.20712285,0.06330185
अँगूठी,Ring,नीला,blau,0.20507275,-0.14899743
अँगूठी,Ring,नाम देना,nennen,0.19815585,0.13021888
अँगूठी,Ring,सूरज,Sonne,0.19776535,-0.06404528
अँगूठी,Ring,हाँकना,treiben,0.19762598,-0.09456899
अँगोछा,Handtuch,अँगोछा,Handtuch,0.99999994,1.0
अँगोछा,Handtuch,एक दफ़ा,einmal,0.29958943,0.31763226
अँगोछा,Handtuch,चिढ़ाना,ärgern,0.2992532,0.30127972
अँगोछा,Handtuch,बेटा,Sohn,0.29352593,-0.14790061
अँगोछा,Handtuch,पकड़ना,ergreifen,0.29161492,0.21014169
अँगोछा,Handtuch,पकड़ना,halten,0.29161492,0.31677002
अँगोछा,Handtuch,पकड़ना,fangen,0.29161492,0.25416672
अँगोछा,Handtuch,पकड़ना,packen,0.29161492,0.32714105
अँगोछा,Handtuch,पकड़ना,fassen,0.29161492,0.326889
अँगोछा,Handtuch,बिल,Bau,0.2795401,-0.015307346
अँगोछा,Handtuch,उदास,traurig,0.27266148,0.49680483
अँगोछा,Handtuch,द्वितीय,zweiter,0.24699931,0.22590056
अँगोछा,Handtuch,चपटा,flach,0.24560072,0.35546413
अँगोछा,Handtuch,खिड़की,Fenster,0.24254768,0.59636605
अँगोछा,Handtuch,लड़की,Mädchen,0.23700938,0.37761706
अँगोछा,Handtuch,शेख़ी बघारना,prahlen,0.23451461,0.19544303
अँगोछा,Handtuch,शीर्ष,Kopf,0.22920807,-0.075885035
अँगोछा,Handtuch,नरम,weich,0.2287693,0.36653864
अँगोछा,Handtuch,होशियार,klug,0.22746591,0.5085187
अँगोछा,Handtuch,स्वस्थ हो जाना,genesen,0.22308394,0.45312923
अँगोछा,Handtuch,माता-पिता,Eltern,0.22211775,0.32069284
अँगोछा,Handtuch,समझ,Verstand,0.22100723,0.294267
अँगोछा,Handtuch,मिलना से,besuchen,0.22053666,0.38212252
अँगोछा,Handtuch,गंद,Schmutz,0.22037607,0.11534575
अँगोछा,Handtuch,भालू,Bär,0.21907121,0.050742514
अँगोछा,Handtuch,भय खाना से,fürchten,0.21723926,0.39445648
अँगोछा,Handtuch,कोण,Winkel,0.2160878,0.5873854
अँगोछा,Handtuch,ढाल,Abhang,0.21573362,0.2969544
अँगोछा,Handtuch,माँगना से,bitten,0.21533188,0.43033078
अँधेरा,dunkel,अँधेरा,dunkel,0.9999999,1.0
अँधेरा,dunkel,जिह्वा,Zunge,0.32118326,0.226237
अँधेरा,dunkel,मक्खन,Butter,0.2783636,0.43546224
अँधेरा,dunkel,चिड़िया,Vogel,0.2757518,0.21434876
अँधेरा,dunkel,धरना,halten,0.2692159,0.41166565
अँधेरा,dunkel,लाना,bringen,0.26783648,0.3283739
अँधेरा,dunkel,स्वप्न,Traum,0.2642874,0.5341623
अँधेरा,dunkel,ख़बर देना,mitteilen,0.26416743,0.3934955
अँधेरा,dunkel,मूखी घास,Heu,0.26319665,0.09371208
अँधेरा,dunkel,मूल्यवान्,wertvoll,0.2579904,0.41176808
अँधेरा,dunkel,पंक्ति,Reihe,0.2460279,0.19986123
अँधेरा,dunkel,थकना,müde werden,0.23732504,0.37799388
अँधेरा,dunkel,सीटी देना,pfeifen,0.23603876,0.4452515
अँधेरा,dunkel,धूआँ,Rauch,0.23370339,0.38195246
अँधेरा,dunkel,स्याह,schwarz,0.23097731,0.42828307
अँधेरा,dunkel,नष्ट करना,zerstören,0.22640236,0.36662835
अँधेरा,dunkel,सत्ता,Macht,0.22157726,0.3806296
अँधेरा,dunkel,सौदा,Geschäft,0.22125344,0.09397029
अँधेरा,dunkel,गृह,Heim,0.22009099,0.03188315
अँधेरा,dunkel,खाट,Bett,0.21785234,0.29948956
अँधेरा,dunkel,डोरा,Faden,0.21752164,0.32524008
अँधेरा,dunkel,बलवान्,stark,0.21609253,0.4645875
अँधेरा,dunkel,पतझड़,Herbst,0.21539472,0.4799431
अँधेरा,dunkel,जीतना,siegen,0.20785755,0.39711264
अँधेरा,dunkel,उछलना,springen,0.20695922,0.27209976
अंकुश,Haken,अंकुश,Haken,1.0,1.0
अंकुश,Haken,कोशिश करना,versuchen,0.3343215,0.401886
अंकुश,Haken,समाप्त करना,beenden,0.30226928,0.56863725
अंकुश,Haken,सैर करना,spazierengehen,0.29788586,0.48769113
अंकुश,Haken,तेज़ करना,schleifen,0.28987482,0.29842848
अंकुश,Haken,बंद करना,schließen,0.27418494,0.3678364
अंकुश,Haken,परीवर्तन करना,ändern,0.2604734,0.3729206
अंकुश,Haken,डाँस,Mücke,0.25779098,0.27135694
अंकुश,Haken,वहाँ,dort,0.25723663,0.34223112
अंकुश,Haken,छोटा,klein,0.25510812,0.16008855
अंकुश,Haken,छोटा,kurz,0.25510812,0.33908722
अंकुश,Haken,रोशनी,Licht,0.24709094,0.18754134
