src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-आना,let,-आना,let,1.0,1.0
-आना,let,पुराना,old,0.29510927,0.13350451
-आना,let,चमड़ा,leather,0.29177088,0.31642732
-आना,let,स्वप्न,dream,0.26528835,0.46497697
-आना,let,जानु,knee,0.25803405,0.3490609
-आना,let,कोयल,cuckoo,0.25706726,0.54973036
-आना,let,डरना,be afraid,0.24686839,0.5326608
-आना,let,आदमी,man,0.24277599,0.2683158
-आना,let,पगडंडी,path,0.23772146,0.24073182
-आना,let,सत्तर,seventy,0.23760504,0.3319428
-आना,let,मराल,swan,0.23241189,0.344013
-आना,let,हत्था,handle,0.23216969,0.39146626
-आना,let,भारी,heavy,0.22910808,0.12398304
-आना,let,ताक़त,strength,0.22744432,0.103403255
-आना,let,उपहार,gift,0.2267853,0.31392515
-आना,let,पहले,before,0.2261734,0.29594994
-आना,let,पहले,at first,0.2261734,0.2172468
-आना,let,दूसरा,other,0.22553906,0.2104995
-आना,let,दूसरा,second,0.22553906,0.15944314
-आना,let,वैद्य,doctor,0.22326775,0.08295508
-आना,let,दाम,price,0.22194584,0.29857928
-आना,let,कपड़ा,cloth,0.21971247,0.2488364
-आना,let,कम,little,0.2184658,0.3229705
-आना,let,चुनना,choose,0.21657121,0.3414589
-आना,let,चुनना,select,0.21657121,0.3043155
-आना,let,चुनना,pick,0.21657121,0.10831641
-आना,let,आसमानी,blue,0.21597849,0.19628993
-आना,let,शब्द,word,0.2150179,0.21596898
-आना,let,कारण,reason,0.21496697,0.36550906
अँगुली,finger,अँगुली,finger,1.0000001,1.0
अँगुली,finger,सर्दी,chill,0.33884072,0.27045345
अँगुली,finger,घटना,drop,0.29597214,0.34017044
अँगुली,finger,घटना,decrease,0.29597214,0.3398985
अँगुली,finger,हर जगह,everywhere,0.2852314,0.28980467
अँगुली,finger,दर्पण,mirror,0.2836856,0.39916855
अँगुली,finger,रंग,paint,0.26591048,0.5795331
अँगुली,finger,नवंबर,November,0.26126745,0.17324151
अँगुली,finger,निकल भागना,escape,0.2608251,0.46255377
अँगुली,finger,मोड़ना,turn,0.25876993,0.41114303
अँगुली,finger,खिसकाना,push,0.25273508,0.32027346
अँगुली,finger,लफ़्ज़,word,0.2497672,0.3413114
अँगुली,finger,चूल्हा,stove,0.24525164,-0.03956752
