src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-आना,laskma,-आना,laskma,1.0,0.99999994
-आना,laskma,पुराना,vana,0.29510927,0.24360344
-आना,laskma,चमड़ा,nahk,0.29177088,0.39088964
-आना,laskma,स्वप्न,unenägu,0.26528835,0.4597443
-आना,laskma,जानु,põlv,0.25803405,-0.15440354
-आना,laskma,कोयल,kägu,0.25706726,0.055029932
-आना,laskma,डरना,kartma,0.24686839,0.33366102
-आना,laskma,डरना,hirmu tundma,0.24686839,0.37868083
-आना,laskma,आदमी,mees,0.24277599,0.22838722
-आना,laskma,पगडंडी,rada,0.23772146,0.33936164
-आना,laskma,सत्तर,seitsekümmend,0.23760504,0.29031694
-आना,laskma,मराल,luik,0.23241189,0.49401858
-आना,laskma,हत्था,sang,0.23216969,0.3721354
-आना,laskma,हत्था,käepide,0.23216969,0.21160579
-आना,laskma,भारी,raske,0.22910808,0.33057594
-आना,laskma,ताक़त,tugevus,0.22744432,0.3849058
-आना,laskma,उपहार,kingitus,0.2267853,0.31188872
-आना,laskma,पहले,enne,0.2261734,0.17900804
-आना,laskma,पहले,enne,0.2261734,0.17900804
-आना,laskma,पहले,esmalt,0.2261734,0.16630603
-आना,laskma,दूसरा,muu,0.22553906,0.15805405
-आना,laskma,दूसरा,teine,0.22553906,0.20927222
-आना,laskma,दूसरा,teine,0.22553906,0.20927222
-आना,laskma,वैद्य,arst,0.22326775,0.30299792
-आना,laskma,दाम,hind,0.22194584,0.19413295
-आना,laskma,कपड़ा,kangas,0.21971247,0.27535635
-आना,laskma,कम,väike,0.2184658,0.09723085
-आना,laskma,कम,pisike,0.2184658,-0.14363854
-आना,laskma,चुनना,valima,0.21657121,0.34201205
-आना,laskma,चुनना,valima,0.21657121,0.34201205
-आना,laskma,चुनना,noppima,0.21657121,0.35237628
-आना,laskma,आसमानी,sinine,0.21597849,0.17302456
-आना,laskma,शब्द,sõna,0.2150179,0.08475934
-आना,laskma,कारण,põhjus,0.21496697,0.24095564
अँगुली,sõrm,अँगुली,sõrm,1.0000001,1.0
अँगुली,sõrm,सर्दी,külm,0.33884072,-0.08555794
अँगुली,sõrm,सर्दी,külmus,0.33884072,0.07296858
अँगुली,sõrm,घटना,vajuma,0.29597214,0.08401473
अँगुली,sõrm,घटना,langema,0.29597214,0.037422247
अँगुली,sõrm,घटना,vähenema,0.29597214,-0.009025749
अँगुली,sõrm,घटना,kahenema,0.29597214,0.0851281
अँगुली,sõrm,हर जगह,kõikjal,0.2852314,0.07667473
अँगुली,sõrm,दर्पण,peegel,0.2836856,0.004057564
अँगुली,sõrm,रंग,värv,0.26591048,0.097898215
अँगुली,sõrm,नवंबर,november,0.26126745,0.014988348
अँगुली,sõrm,निकल भागना,põgenema,0.2608251,0.036979802
अँगुली,sõrm,मोड़ना,ümber pöörama,0.25876993,-0.033828117
अँगुली,sõrm,खिसकाना,lükkama,0.25273508,0.06846505
अँगुली,sõrm,लफ़्ज़,sõna,0.2497672,0.23688117
अँगुली,sõrm,चूल्हा,ahi,0.24525164,0.04213539
अँगुली,sõrm,चप्पू,aer,0.23969305,0.13073382
अँगुली,sõrm,दूसरा,muu,0.2350821,0.07336676
अँगुली,sõrm,दूसरा,teine,0.2350821,0.03312882
अँगुली,sõrm,दूसरा,teine,0.2350821,0.03312882
अँगुली,sõrm,अभ्र,pilv,0.2288048,-0.007924125
अँगुली,sõrm,पुतली,nukk,0.22869715,0.038621724
अँगुली,sõrm,भ्राता,vend,0.21929212,0.081234954
अँगुली,sõrm,नापना,mõõtma,0.21805492,0.17463037
अँगुली,sõrm,पाँव की उँगली,varvas,0.21142645,0.088905916
अँगुली,sõrm,गँवाना,kaotama,0.20991258,0.18504196
अँगुली,sõrm,सर्द,külm,0.20699616,-0.08555794
अँगुली,sõrm,चर्च,kirik,0.20282517,0.043481026
अँगुली,sõrm,गंद,pori,0.2022156,0.037644394
अँगुली,sõrm,गंद,mustus,0.2022156,0.06614603
अँगुली,sõrm,कोना,nurk,0.19977212,-0.009540394
अँगुली,sõrm,कोना,nurk,0.19977212,-0.009540394
अँगुली,sõrm,बारिश,sadu,0.19494322,0.20457062
अँगूठी,sõrmus,अँगूठी,sõrmus,0.99999994,1.0
अँगूठी,sõrmus,चक्षु,silm,0.28595185,0.32745734
अँगूठी,sõrmus,उपांत,äär,0.27632597,-0.1195578
अँगूठी,sõrmus,उपांत,serv,0.27632597,0.031036258
अँगूठी,sõrmus,जवान,noor,0.2738511,0.40156132
अँगूठी,sõrmus,झुंड,parv,0.26583284,0.06832651
अँगूठी,sõrmus,ख़त,kiri,0.26331735,0.041020185
अँगूठी,sõrmus,केवल,ainult,0.2500095,-0.023557313
अँगूठी,sõrmus,के सामने,ees,0.23728175,0.24623542
अँगूठी,sõrmus,फ़रवरी,veebruar,0.23080306,0.15418515
अँगूठी,sõrmus,पहेली,mõistatus,0.22696634,0.14071761
अँगूठी,sõrmus,चरबी,rasv,0.22471914,-0.0148004
अँगूठी,sõrmus,देग़,pada,0.22201873,0.5811574
अँगूठी,sõrmus,हत्था,sang,0.22042021,0.5375147
अँगूठी,sõrmus,हत्था,käepide,0.22042021,0.020855427
अँगूठी,sõrmus,अक्सर,tihti,0.21622133,0.1868484
अँगूठी,sõrmus,अक्सर,sageli,0.21622133,0.1486274
अँगूठी,sõrmus,अक़्ल,aru,0.21416733,0.27211404
अँगूठी,sõrmus,अक़्ल,mõistus,0.21416733,0.15517882
अँगूठी,sõrmus,राह,tee,0.21267508,0.11889545
अँगूठी,sõrmus,झूठ,vale,0.2115394,0.043855876
अँगूठी,sõrmus,स्मरण-शक्ति,mälu,0.21106584,0.035830926
अँगूठी,sõrmus,नमूना,muster,0.21090502,0.23511249
अँगूठी,sõrmus,बंद जाना,lakkama,0.20736787,-0.06947929
अँगूठी,sõrmus,सुधारना,parandama,0.20712285,-0.0866116
अँगूठी,sõrmus,नीला,sinine,0.20507275,0.24191359
अँगूठी,sõrmus,नाम देना,nimetama,0.19815585,0.08621244
अँगूठी,sõrmus,सूरज,päike,0.19776535,0.05193273
अँगूठी,sõrmus,हाँकना,ajama,0.19762598,-0.055682212
अँगोछा,käterätik,अँगोछा,käterätik,0.99999994,1.0
अँगोछा,käterätik,एक दफ़ा,kord,0.29958943,0.26082978
अँगोछा,käterätik,एक दफ़ा,üks kord,0.29958943,0.17498267
अँगोछा,käterätik,चिढ़ाना,ärritama,0.2992532,0.45370415
अँगोछा,käterätik,चिढ़ाना,vihastama,0.2992532,0.5472937
अँगोछा,käterätik,बेटा,poeg,0.29352593,-0.0021213144
अँगोछा,käterätik,पकड़ना,haarama,0.29161492,0.33508414
अँगोछा,käterätik,पकड़ना,hoidma,0.29161492,0.4775254
अँगोछा,käterätik,पकड़ना,püüdma,0.29161492,-0.07194291
अँगोछा,käterätik,पकड़ना,kinni haarama,0.29161492,0.33768085
अँगोछा,käterätik,पकड़ना,kinni võtma,0.29161492,0.33416957
अँगोछा,käterätik,पकड़ना,püüdma,0.29161492,-0.07194291
अँगोछा,käterätik,बिल,urg,0.2795401,-0.15986109
अँगोछा,käterätik,उदास,kurb,0.27266148,0.30843085
अँगोछा,käterätik,द्वितीय,teine,0.24699931,0.16296211
अँगोछा,käterätik,चपटा,lame,0.24560072,0.3391753
अँगोछा,käterätik,चपटा,tasane,0.24560072,0.43821177
अँगोछा,käterätik,खिड़की,aken,0.24254768,0.27999982
अँगोछा,käterätik,लड़की,tüdruk,0.23700938,0.07135437
अँगोछा,käterätik,शेख़ी बघारना,hooplema,0.23451461,0.36385942
अँगोछा,käterätik,शीर्ष,pea,0.22920807,0.14767765
अँगोछा,käterätik,नरम,pehme,0.2287693,0.4049927
अँगोछा,käterätik,होशियार,tark,0.22746591,0.17630997
अँगोछा,käterätik,होशियार,arukas,0.22746591,0.03642065
अँगोछा,käterätik,होशियार,mõistlik,0.22746591,0.14875507
अँगोछा,käterätik,स्वस्थ हो जाना,toibuma,0.22308394,0.45020998
अँगोछा,käterätik,माता-पिता,vanemad,0.22211775,0.10626066
अँगोछा,käterätik,समझ,aru,0.22100723,0.21349657
अँगोछा,käterätik,समझ,mõistus,0.22100723,0.13986576
अँगोछा,käterätik,मिलना से,külastama,0.22053666,0.4914328
अँगोछा,käterätik,गंद,pori,0.22037607,0.35723233
अँगोछा,käterätik,गंद,mustus,0.22037607,0.40442717
अँगोछा,käterätik,भालू,karu,0.21907121,0.22091061
अँगोछा,käterätik,भय खाना से,kartma,0.21723926,0.2880897
अँगोछा,käterätik,कोण,nurk,0.2160878,0.1442635
अँगोछा,käterätik,ढाल,nõlvak,0.21573362,0.043236174
अँगोछा,käterätik,माँगना से,paluma,0.21533188,0.48069695
अँधेरा,pime,अँधेरा,pime,0.9999999,1.0
अँधेरा,pime,जिह्वा,keel,0.32118326,0.306642
अँधेरा,pime,मक्खन,või,0.2783636,0.027144574
अँधेरा,pime,चिड़िया,lind,0.2757518,0.4220156
अँधेरा,pime,धरना,hoidma,0.2692159,0.48054844
अँधेरा,pime,लाना,viima,0.26783648,0.31021443
अँधेरा,pime,स्वप्न,unenägu,0.2642874,0.5782775
अँधेरा,pime,ख़बर देना,teatama,0.26416743,0.42089993
अँधेरा,pime,ख़बर देना,teada andma,0.26416743,0.46977538
अँधेरा,pime,मूखी घास,hein,0.26319665,0.39462417
अँधेरा,pime,मूल्यवान्,väärtuslik,0.2579904,0.27776837
अँधेरा,pime,पंक्ति,rivi,0.2460279,0.35454828
अँधेरा,pime,थकना,väsima,0.23732504,0.4591004
अँधेरा,pime,सीटी देना,vilistama,0.23603876,0.44440126
अँधेरा,pime,धूआँ,suits,0.23370339,0.6336446
अँधेरा,pime,स्याह,must,0.23097731,0.4726563
अँधेरा,pime,नष्ट करना,purustama,0.22640236,0.28192872
अँधेरा,pime,सत्ता,võim,0.22157726,-0.07252529
अँधेरा,pime,सौदा,äri,0.22125344,0.0029276833
अँधेरा,pime,गृह,kodu,0.22009099,0.4047584
अँधेरा,pime,खाट,voodi,0.21785234,0.47730586
अँधेरा,pime,डोरा,niit,0.21752164,0.32509005
अँधेरा,pime,बलवान्,tugev,0.21609253,0.44318348
अँधेरा,pime,पतझड़,sügis,0.21539472,0.08795211
अँधेरा,pime,जीतना,võitma,0.20785755,0.39179397
अँधेरा,pime,उछलना,hüppama,0.20695922,0.016085424
अंकुश,haak,अंकुश,haak,1.0,1.0
अंकुश,haak,अंकुश,konks,1.0,0.0075328574
अंकुश,konks,अंकुश,haak,1.0,0.0075328574
अंकुश,konks,अंकुश,konks,1.0,1.0
