src_word,tr_src_word,tar_word,tr_tar_word,sim,tr_sim
-たい,want,-たい,want,0.99999994,1.0
-たい,want,病気になる,fall ill,0.26737878,0.38714153
-たい,want,閉まった,closed,0.2512156,0.21050587
-たい,want,ストーブ,stove,0.24752921,-0.09618383
-たい,want,お嬢さん,daughter,0.23640038,0.33411026
-たい,want,～だけ,only,0.22220697,0.4999789
-たい,want,呼び声,call,0.21207494,0.372844
-たい,want,裕福な,rich,0.19401585,0.23243949
-たい,want,きゃんきゃん鳴く,howl,0.19021438,0.20719084
-たい,want,到着する,arrive,0.18880087,0.23535666
-たい,want,気が付く,notice,0.17832346,0.4245999
-たい,want,元気になる,recover,0.17142497,0.3607807
-たい,want,止まる,stop,0.16961917,0.4911729
-たい,want,あの時,at that time,0.16708402,0.36346188
-たい,want,そちら,there,0.16445251,0.25912583
-たい,want,真ん中,middle,0.16381726,0.14282656
-たい,want,揺さぶる,jolt,0.16370147,0.08222946
-たい,want,揺さぶる,shake,0.16370147,0.5068561
-たい,want,認識する,recognize,0.15973571,0.35595456
-たい,want,起こる,happen,0.15766078,0.6834425
-たい,want,ズボン,trousers,0.15729827,0.5067396
-たい,want,水をやる,water,0.15554515,0.29831982
-たい,want,カップ,cup,0.14853022,0.26156694
-たい,want,呼吸する,breathe,0.14777437,0.38549897
-たい,want,集める,gather,0.14398667,0.28982508
-たい,want,どこでも,everywhere,0.14218818,0.3153736
あなた,you,あなた,you,0.99999994,1.0
あなた,you,あなた,thou,0.99999994,0.3959266
あなた,thou,あなた,you,0.99999994,0.3959266
あなた,thou,あなた,thou,0.99999994,1.0
あなた,you,バケツ,bucket,0.3310496,0.37525338
あなた,thou,バケツ,bucket,0.3310496,0.13512753
あなた,you,励ます,urge,0.30433962,0.34383613
あなた,thou,励ます,urge,0.30433962,0.36057955
あなた,you,感じる,feel,0.25463605,0.45319337
あなた,thou,感じる,feel,0.25463605,0.37469727
あなた,you,疾駆する,dash,0.25401562,0.31896582
あなた,thou,疾駆する,dash,0.25401562,0.33693105
あなた,you,盲目の,blind,0.25120932,0.312734
あなた,thou,盲目の,blind,0.25120932,0.21907946
あなた,you,加える,add,0.24737076,0.4119467
あなた,thou,加える,add,0.24737076,0.353735
あなた,you,最初に,at first,0.24501328,0.20244184
あなた,thou,最初に,at first,0.24501328,0.327916
あなた,you,器用な,skilful,0.24412152,0.26460737
あなた,thou,器用な,skilful,0.24412152,0.3718891
あなた,you,揺さぶる,jolt,0.24109592,0.076686904
あなた,you,揺さぶる,shake,0.24109592,0.44684142
あなた,thou,揺さぶる,jolt,0.24109592,-0.051121686
あなた,thou,揺さぶる,shake,0.24109592,0.35608578
あなた,you,ペンキ,paint,0.23768595,0.19403657
あなた,thou,ペンキ,paint,0.23768595,0.38286412
あなた,you,数える,count,0.23415247,0.37343764
あなた,thou,数える,count,0.23415247,0.24050789
あなた,you,シャベル,shovel,0.22995885,0.35623544
あなた,thou,シャベル,shovel,0.22995885,0.50492793
あなた,you,三番目,third,0.21230285,0.2392682
あなた,thou,三番目,third,0.21230285,0.17420042
あなた,you,過去に,once,0.21050291,0.22122246
あなた,thou,過去に,once,0.21050291,0.28097847
あなた,you,始める,start,0.20329978,0.16005236
あなた,thou,始める,start,0.20329978,0.1980462
あなた,you,呼び声,call,0.2005399,0.34023613
あなた,thou,呼び声,call,0.2005399,0.17680705
あなた,you,裏返す,turn,0.1937619,0.35185727
あなた,you,裏返す,turn around,0.1937619,0.35857671
あなた,thou,裏返す,turn,0.1937619,0.28866482
あなた,thou,裏返す,turn around,0.1937619,0.4316155
あなた,you,お願いする,request,0.19330747,0.3014406
あなた,thou,お願いする,request,0.19330747,0.2185208
あなた,you,柔らかい,soft,0.18568441,0.39109498
あなた,thou,柔らかい,soft,0.18568441,0.24094106
あなた,you,フォーク,fork,0.17854719,0.3717384
あなた,thou,フォーク,fork,0.17854719,0.3380298
あなた,you,見せる,show,0.17732324,0.326603
あなた,thou,見せる,show,0.17732324,0.27488428
あなた,you,煙を出す,smoke,0.17523836,0.47500435
あなた,thou,煙を出す,smoke,0.17523836,0.49862924
